time,player1,player2,result
8,7788,5695,1
8,7788,5692,1
8,7788,5332,1
8,7788,5591,1
8,7788,7747,1
8,7788,5747,1
8,7788,5302,1
8,7788,5662,1
8,7788,7743,1
8,7788,6560,1
8,7788,5320,1
8,7788,5823,1
8,7788,6442,1
8,7788,5321,1
8,7788,5305,1
8,7788,5296,1
8,7788,5348,1
8,7788,5755,1
8,7788,5629,1
8,7788,5683,1
8,7788,5651,1
8,7788,5633,1
8,7788,5687,1
8,7788,6202,1
8,7788,5694,1
8,7788,5669,1
8,7788,5851,1
8,7788,5297,1
8,7788,5327,1
8,7788,5620,1
8,7788,6137,1
8,7788,5881,1
8,7788,5711,1
8,7788,5718,1
8,7788,5742,1
8,7788,11318,1
8,7788,5654,1
8,7788,5713,1
8,7788,5331,1
8,7788,6086,1
8,7788,15944,1
8,7788,5802,1
8,7788,5624,1
8,7788,5707,1
8,7788,6899,1
8,7788,10434,1
8,7788,6131,1
8,7788,18173,1
8,7788,16895,1
8,7788,5776,1
8,7788,6087,1
8,7788,6084,1
8,5695,5692,1
8,5695,5332,1
8,5695,5591,1
8,5695,7747,1
8,5695,5747,1
8,5695,5302,1
8,5695,5662,1
8,5695,7743,1
8,5695,6560,1
8,5695,5320,1
8,5695,5823,1
8,5695,6442,1
8,5695,5321,1
8,5695,5305,1
8,5695,5296,1
8,5695,5348,1
8,5695,5755,1
8,5695,5629,1
8,5695,5683,1
8,5695,5651,1
8,5695,5633,1
8,5695,5687,1
8,5695,6202,1
8,5695,5694,1
8,5695,5669,1
8,5695,5851,1
8,5695,5297,1
8,5695,5327,1
8,5695,5620,1
8,5695,6137,1
8,5695,5881,1
8,5695,5711,1
8,5695,5718,1
8,5695,5742,1
8,5695,11318,1
8,5695,5654,1
8,5695,5713,1
8,5695,5331,1
8,5695,6086,1
8,5695,15944,1
8,5695,5802,1
8,5695,5624,1
8,5695,5707,1
8,5695,6899,1
8,5695,10434,1
8,5695,6131,1
8,5695,18173,1
8,5695,16895,1
