time,player1,player2,result
3,5526,5530,1
3,5526,7766,1
3,5526,6210,1
3,5526,5573,1
3,5526,6783,1
3,5526,5410,1
3,5526,12785,1
3,5526,6246,1
3,5526,5476,1
3,5526,5567,1
3,5526,5399,1
3,5526,6120,1
3,5526,11070,1
3,5526,5312,1
3,5526,6150,1
3,5526,5398,1
3,5526,12786,1
3,5526,5523,1
3,5526,5369,1
3,5526,6224,1
3,5526,5571,1
3,5526,15483,1
3,5526,6209,1
3,5526,21978,1
3,5526,5943,1
3,5526,6338,1
3,5526,5559,1
3,5526,23837,1
3,5526,6862,1
3,5526,6434,1
3,5526,7730,1
3,5526,5539,1
3,5526,6435,1
3,5526,5467,1
3,5526,5517,1
3,5526,5318,1
3,5526,5576,1
3,5530,7766,1
3,5530,6210,1
3,5530,5573,1
3,5530,6783,1
3,5530,5410,1
3,5530,12785,1
3,5530,6246,1
3,5530,5476,1
3,5530,5567,1
3,5530,5399,1
3,5530,6120,1
3,5530,11070,1
3,5530,5312,1
3,5530,6150,1
3,5530,5398,1
3,5530,12786,1
3,5530,5523,1
3,5530,5369,1
3,5530,6224,1
3,5530,5571,1
3,5530,15483,1
3,5530,6209,1
3,5530,21978,1
3,5530,5943,1
3,5530,6338,1
3,5530,5559,1
3,5530,23837,1
3,5530,6862,1
3,5530,6434,1
3,5530,7730,1
3,5530,5539,1
3,5530,6435,1
3,5530,5467,1
3,5530,5517,1
3,5530,5318,1
3,5530,5576,1
3,7766,6210,1
3,7766,5573,1
3,7766,6783,1
3,7766,5410,1
3,7766,12785,1
3,7766,6246,1
3,7766,5476,1
3,7766,5567,1
3,7766,5399,1
3,7766,6120,1
3,7766,11070,1
3,7766,5312,1
3,7766,6150,1
3,7766,5398,1
3,7766,12786,1
3,7766,5523,1
3,7766,5369,1
3,7766,6224,1
3,7766,5571,1
3,7766,15483,1
3,7766,6209,1
3,7766,21978,1
3,7766,5943,1
3,7766,6338,1
3,7766,5559,1
3,7766,23837,1
3,7766,6862,1
3,7766,6434,1
3,7766,7730,1
3,7766,5539,1
3,7766,6435,1
3,7766,5467,1
3,7766,5517,1
3,7766,5318,1
3,7766,5576,1
3,6210,5573,1
3,6210,6783,1
3,6210,5410,1
3,6210,12785,1
3,6210,6246,1
3,6210,5476,1
3,6210,5567,1
3,6210,5399,1
3,6210,6120,1
3,6210,11070,1
3,6210,5312,1
3,6210,6150,1
3,6210,5398,1
3,6210,12786,1
3,6210,5523,1
3,6210,5369,1
3,6210,6224,1
3,6210,5571,1
3,6210,15483,1
3,6210,6209,1
3,6210,21978,1
3,6210,5943,1
3,6210,6338,1
3,6210,5559,1
3,6210,23837,1
3,6210,6862,1
3,6210,6434,1
3,6210,7730,1
3,6210,5539,1
3,6210,6435,1
3,6210,5467,1
3,6210,5517,1
3,6210,5318,1
3,6210,5576,1
3,5573,6783,1
3,5573,5410,1
3,5573,12785,1
3,5573,6246,1
3,5573,5476,1
3,5573,5567,1
3,5573,5399,1
3,5573,6120,1
3,5573,11070,1
3,5573,5312,1
3,5573,6150,1
3,5573,5398,1
3,5573,12786,1
3,5573,5523,1
3,5573,5369,1
3,5573,6224,1
3,5573,5571,1
3,5573,15483,1
3,5573,6209,1
3,5573,21978,1
3,5573,5943,1
3,5573,6338,1
3,5573,5559,1
3,5573,23837,1
3,5573,6862,1
3,5573,6434,1
3,5573,7730,1
3,5573,5539,1
3,5573,6435,1
3,5573,5467,1
3,5573,5517,1
3,5573,5318,1
3,5573,5576,1
3,6783,5410,1
3,6783,12785,1
3,6783,6246,1
3,6783,5476,1
3,6783,5567,1
3,6783,5399,1
3,6783,6120,1
3,6783,11070,1
3,6783,5312,1
3,6783,6150,1
3,6783,5398,1
3,6783,12786,1
3,6783,5523,1
3,6783,5369,1
