time,player1,player2,result
2,7788,5695,1
2,7788,5662,1
2,7788,5332,1
2,7788,5638,1
2,7788,5320,1
2,7788,6560,1
2,7788,5755,1
2,7788,5296,1
2,7788,7747,1
2,7788,5823,1
2,7788,5591,1
2,7788,11378,1
2,7788,5713,1
2,7788,5683,1
2,7788,5348,1
2,7788,12431,1
2,7788,6110,1
2,7788,5881,1
2,7788,5629,1
2,7788,5624,1
2,7788,5321,1
2,7788,6202,1
2,7788,5679,1
2,7788,5664,1
2,7788,11060,1
2,7788,5297,1
2,7788,5605,1
2,7788,6131,1
2,7788,6899,1
2,7788,6707,1
2,7788,9887,1
2,7788,5711,1
2,7788,5331,1
2,7788,6784,1
2,7788,5663,1
2,7788,11092,1
2,7788,5851,1
2,7788,10434,1
2,7788,5873,1
2,7788,10871,1
2,7788,6973,1
2,7788,18346,1
2,7788,5750,1
2,7788,6976,1
2,7788,6084,1
2,7788,5776,1
2,7788,5351,1
2,7788,12133,1
2,7788,5692,1
2,7788,5722,1
2,7788,15838,1
2,7788,7743,1
2,7788,6442,1
2,7788,5821,1
2,7788,6086,1
2,7788,5931,1
2,7788,5763,1
2,7788,5350,1
2,7788,5340,1
2,7788,10107,1
2,7788,5635,1
2,7788,5718,1
2,7788,5835,1
2,7788,6997,1
2,7788,10758,1
2,5695,5662,1
2,5695,5332,1
2,5695,5638,1
2,5695,5320,1
2,5695,6560,1
2,5695,5755,1
2,5695,5296,1
2,5695,7747,1
2,5695,5823,1
2,5695,5591,1
2,5695,11378,1
2,5695,5713,1
2,5695,5683,1
2,5695,5348,1
2,5695,12431,1
2,5695,6110,1
2,5695,5881,1
2,5695,5629,1
2,5695,5624,1
2,5695,5321,1
2,5695,6202,1
2,5695,5679,1
2,5695,5664,1
2,5695,11060,1
2,5695,5297,1
2,5695,5605,1
2,5695,6131,1
2,5695,6899,1
2,5695,6707,1
2,5695,9887,1
2,5695,5711,1
2,5695,5331,1
2,5695,6784,1
2,5695,5663,1
2,5695,11092,1
2,5695,5851,1
