time,player1,player2,result
1,5372,6120,1
1,5372,5573,1
1,5372,5398,1
1,5372,5312,1
1,5372,7766,1
1,5372,5407,1
1,5372,5567,1
1,5372,6783,1
1,5372,6246,1
1,5372,11385,1
1,5372,8739,1
1,5372,5523,1
1,5372,5517,1
1,5372,11141,1
1,5372,11409,1
1,5372,5376,1
1,5372,6848,1
1,5372,17143,1
1,5372,6706,1
1,5372,5564,1
1,5372,5842,1
1,5372,5385,1
1,5372,6069,1
1,5372,6224,1
1,5372,5539,1
1,5372,17056,1
1,5372,5576,1
1,5372,5369,1
1,5372,6122,1
1,5372,5547,1
1,5372,6435,1
1,5372,6861,1
1,5372,6963,1
1,5372,11836,1
1,5372,21486,1
1,5372,7004,1
1,5372,6336,1
1,5372,7730,1
1,5372,6150,1
1,5372,6357,1
1,5372,5467,1
1,5372,10761,1
1,5372,17660,1
1,5372,17003,1
1,5372,23833,1
1,5372,7135,1
1,5372,5548,1
1,5372,5410,1
1,5372,5454,1
1,5372,12786,1
1,5372,5365,1
1,5372,10930,1
1,5372,9939,1
1,5372,12785,1
1,5372,21978,1
1,5372,23914,1
1,5372,6522,1
1,6120,5573,1
1,6120,5398,1
1,6120,5312,1
1,6120,7766,1
1,6120,5407,1
1,6120,5567,1
1,6120,6783,1
1,6120,6246,1
1,6120,11385,1
1,6120,8739,1
1,6120,5523,1
1,6120,5517,1
1,6120,11141,1
1,6120,11409,1
1,6120,5376,1
1,6120,6848,1
1,6120,17143,1
1,6120,6706,1
1,6120,5564,1
1,6120,5842,1
1,6120,5385,1
1,6120,6069,1
1,6120,6224,1
1,6120,5539,1
1,6120,17056,1
1,6120,5576,1
1,6120,5369,1
1,6120,6122,1
1,6120,5547,1
1,6120,6435,1
1,6120,6861,1
1,6120,6963,1
1,6120,11836,1
1,6120,21486,1
1,6120,7004,1
1,6120,6336,1
1,6120,7730,1
1,6120,6150,1
1,6120,6357,1
1,6120,5467,1
1,6120,10761,1
1,6120,17660,1
1,6120,17003,1
1,6120,23833,1
1,6120,7135,1
1,6120,5548,1
1,6120,5410,1
1,6120,5454,1
1,6120,12786,1
1,6120,5365,1
1,6120,10930,1
1,6120,9939,1
1,6120,12785,1
1,6120,21978,1
1,6120,23914,1
1,6120,6522,1
