time,player1,player2,result
3,7788,5695,1
3,7788,5332,1
3,7788,5300,1
3,7788,5325,1
3,7788,5692,1
3,7788,5662,1
3,7788,6442,1
3,7788,5747,1
3,7788,6560,1
3,7788,5711,1
3,7788,5348,1
3,7788,5718,1
3,7788,5687,1
3,7788,5638,1
3,7788,5654,1
3,7788,5359,1
3,7788,5305,1
3,7788,5929,1
3,7788,5624,1
3,7788,5331,1
3,7788,5635,1
3,7788,5327,1
3,7788,5620,1
3,7788,5942,1
3,7788,10434,1
3,7788,6899,1
3,7788,5703,1
3,7788,10871,1
3,7788,6202,1
3,7788,5355,1
3,7788,5298,1
3,7788,6185,1
3,7788,6131,1
3,7788,5297,1
3,7788,5683,1
3,7788,5931,1
3,7788,5713,1
3,7788,5742,1
3,7788,39458,1
3,7788,5802,1
3,7788,5776,1
3,7788,5302,1
3,7788,5657,1
3,7788,6084,1
3,7788,5349,1
3,5695,5332,1
3,5695,5300,1
3,5695,5325,1
3,5695,5692,1
3,5695,5662,1
3,5695,6442,1
3,5695,5747,1
3,5695,6560,1
3,5695,5711,1
3,5695,5348,1
3,5695,5718,1
3,5695,5687,1
3,5695,5638,1
3,5695,5654,1
3,5695,5359,1
3,5695,5305,1
3,5695,5929,1
3,5695,5624,1
3,5695,5331,1
3,5695,5635,1
3,5695,5327,1
3,5695,5620,1
3,5695,5942,1
3,5695,10434,1
3,5695,6899,1
3,5695,5703,1
3,5695,10871,1
3,5695,6202,1
3,5695,5355,1
3,5695,5298,1
3,5695,6185,1
3,5695,6131,1
3,5695,5297,1
3,5695,5683,1
3,5695,5931,1
3,5695,5713,1
3,5695,5742,1
3,5695,39458,1
3,5695,5802,1
3,5695,5776,1
3,5695,5302,1
3,5695,5657,1
3,5695,6084,1
3,5695,5349,1
3,5332,5300,1
3,5332,5325,1
3,5332,5692,1
3,5332,5662,1
3,5332,6442,1
3,5332,5747,1
3,5332,6560,1
3,5332,5711,1
3,5332,5348,1
3,5332,5718,1
3,5332,5687,1
3,5332,5638,1
3,5332,5654,1
3,5332,5359,1
3,5332,5305,1
3,5332,5929,1
3,5332,5624,1
3,5332,5331,1
3,5332,5635,1
3,5332,5327,1
3,5332,5620,1
3,5332,5942,1
3,5332,10434,1
3,5332,6899,1
3,5332,5703,1
3,5332,10871,1
3,5332,6202,1
3,5332,5355,1
3,5332,5298,1
3,5332,6185,1
3,5332,6131,1
3,5332,5297,1
3,5332,5683,1
3,5332,5931,1
3,5332,5713,1
3,5332,5742,1
3,5332,39458,1
3,5332,5802,1
3,5332,5776,1
3,5332,5302,1
3,5332,5657,1
3,5332,6084,1
3,5332,5349,1
3,5300,5325,1
3,5300,5692,1
3,5300,5662,1
3,5300,6442,1
3,5300,5747,1
3,5300,6560,1
3,5300,5711,1
3,5300,5348,1
3,5300,5718,1
3,5300,5687,1
3,5300,5638,1
3,5300,5654,1
3,5300,5359,1
3,5300,5305,1
3,5300,5929,1
3,5300,5624,1
3,5300,5331,1
3,5300,5635,1
3,5300,5327,1
3,5300,5620,1
3,5300,5942,1
3,5300,10434,1
3,5300,6899,1
