time,player1,player2,result
5,6442,5711,1
5,6442,7743,1
5,6442,5747,1
5,6442,5297,1
5,6442,5332,1
5,6442,5296,1
5,6442,7747,1
5,6442,5302,1
5,6442,5692,1
5,6442,5629,1
5,6442,5755,1
5,6442,5348,1
5,6442,5824,1
5,6442,5320,1
5,6442,5651,1
5,6442,7778,1
5,6442,7744,1
5,6442,5669,1
5,6442,10575,1
5,6442,6226,1
5,6442,5633,1
5,6442,11318,1
5,6442,5694,1
5,6442,10857,1
5,6442,6131,1
5,6442,10003,1
5,6442,11314,1
5,6442,7702,1
5,6442,6899,1
5,6442,5324,1
5,6442,11293,1
5,6442,6110,1
5,6442,5931,1
5,6442,10100,1
5,6442,7786,1
5,6442,5742,1
5,6442,6086,1
5,6442,6445,1
5,6442,6973,1
5,6442,5687,1
5,6442,6198,1
5,6442,25165,1
5,6442,10014,1
5,6442,6192,1
5,6442,5881,1
5,6442,6997,1
5,6442,11092,1
5,6442,6707,1
5,6442,5835,1
5,6442,5638,1
5,5711,7743,1
5,5711,5747,1
5,5711,5297,1
5,5711,5332,1
5,5711,5296,1
5,5711,7747,1
5,5711,5302,1
5,5711,5692,1
5,5711,5629,1
5,5711,5755,1
5,5711,5348,1
5,5711,5824,1
5,5711,5320,1
5,5711,5651,1
5,5711,7778,1
5,5711,7744,1
5,5711,5669,1
5,5711,10575,1
5,5711,6226,1
5,5711,5633,1
5,5711,11318,1
5,5711,5694,1
5,5711,10857,1
5,5711,6131,1
5,5711,10003,1
5,5711,11314,1
5,5711,7702,1
5,5711,6899,1
5,5711,5324,1
5,5711,11293,1
5,5711,6110,1
5,5711,5931,1
5,5711,10100,1
5,5711,7786,1
5,5711,5742,1
5,5711,6086,1
5,5711,6445,1
5,5711,6973,1
5,5711,5687,1
5,5711,6198,1
5,5711,25165,1
5,5711,10014,1
5,5711,6192,1
5,5711,5881,1
5,5711,6997,1
5,5711,11092,1
5,5711,6707,1
5,5711,5835,1
5,5711,5638,1
5,7743,5747,1
5,7743,5297,1
5,7743,5332,1
5,7743,5296,1
5,7743,7747,1
5,7743,5302,1
5,7743,5692,1
5,7743,5629,1
5,7743,5755,1
5,7743,5348,1
5,7743,5824,1
5,7743,5320,1
5,7743,5651,1
5,7743,7778,1
5,7743,7744,1
5,7743,5669,1
5,7743,10575,1
5,7743,6226,1
5,7743,5633,1
5,7743,11318,1
5,7743,5694,1
5,7743,10857,1
5,7743,6131,1
5,7743,10003,1
5,7743,11314,1
5,7743,7702,1
5,7743,6899,1
5,7743,5324,1
5,7743,11293,1
5,7743,6110,1
5,7743,5931,1
5,7743,10100,1
5,7743,7786,1
5,7743,5742,1
5,7743,6086,1
5,7743,6445,1
5,7743,6973,1
5,7743,5687,1
5,7743,6198,1
5,7743,25165,1
5,7743,10014,1
5,7743,6192,1
5,7743,5881,1
5,7743,6997,1
5,7743,11092,1
5,7743,6707,1
5,7743,5835,1
5,7743,5638,1
5,5747,5297,1
5,5747,5332,1
5,5747,5296,1
5,5747,7747,1
5,5747,5302,1
5,5747,5692,1
5,5747,5629,1
5,5747,5755,1
5,5747,5348,1
5,5747,5824,1
5,5747,5320,1
5,5747,5651,1
5,5747,7778,1
5,5747,7744,1
5,5747,5669,1
5,5747,10575,1
5,5747,6226,1
5,5747,5633,1
5,5747,11318,1
5,5747,5694,1
5,5747,10857,1
5,5747,6131,1
5,5747,10003,1
5,5747,11314,1
5,5747,7702,1
5,5747,6899,1
