time,player1,player2,result
6,7788,5747,1
6,7788,5296,1
6,7788,6226,1
6,7788,5662,1
6,7788,5718,1
6,7788,5591,1
6,7788,5851,1
6,7788,5305,1
6,7788,7778,1
6,7788,5320,1
6,7788,7747,1
6,7788,6192,1
6,7788,6560,1
6,7788,7743,1
6,7788,5638,1
6,7788,7744,1
6,7788,10575,1
6,7788,5669,1
6,7788,5942,1
6,7788,5620,1
6,7788,5654,1
6,7788,5683,1
6,7788,5651,1
6,7788,6087,1
6,7788,11378,1
6,7788,6084,1
6,7788,10857,1
6,7788,5931,1
6,7788,11818,1
6,7788,5624,1
6,7788,5327,1
6,7788,5349,1
6,7788,6110,1
6,7788,5824,1
6,7788,5802,1
6,7788,5713,1
6,7788,5679,1
6,7788,5703,1
6,7788,9887,1
6,7788,17584,1
6,7788,5359,1
6,7788,10107,1
6,7788,5321,1
6,7788,5837,1
6,7788,7145,1
6,7788,5657,1
6,5747,5296,1
6,5747,6226,1
6,5747,5662,1
6,5747,5718,1
6,5747,5591,1
6,5747,5851,1
6,5747,5305,1
6,5747,7778,1
6,5747,5320,1
6,5747,7747,1
6,5747,6192,1
6,5747,6560,1
6,5747,7743,1
6,5747,5638,1
6,5747,7744,1
6,5747,10575,1
6,5747,5669,1
6,5747,5942,1
6,5747,5620,1
6,5747,5654,1
6,5747,5683,1
6,5747,5651,1
6,5747,6087,1
6,5747,11378,1
6,5747,6084,1
6,5747,10857,1
6,5747,5931,1
6,5747,11818,1
6,5747,5624,1
6,5747,5327,1
6,5747,5349,1
6,5747,6110,1
6,5747,5824,1
6,5747,5802,1
6,5747,5713,1
6,5747,5679,1
6,5747,5703,1
6,5747,9887,1
6,5747,17584,1
6,5747,5359,1
6,5747,10107,1
6,5747,5321,1
6,5747,5837,1
6,5747,7145,1
6,5747,5657,1
6,5296,6226,1
6,5296,5662,1
6,5296,5718,1
6,5296,5591,1
6,5296,5851,1
6,5296,5305,1
6,5296,7778,1
6,5296,5320,1
6,5296,7747,1
6,5296,6192,1
6,5296,6560,1
6,5296,7743,1
6,5296,5638,1
6,5296,7744,1
6,5296,10575,1
6,5296,5669,1
6,5296,5942,1
6,5296,5620,1
6,5296,5654,1
6,5296,5683,1
6,5296,5651,1
6,5296,6087,1
6,5296,11378,1
6,5296,6084,1
6,5296,10857,1
6,5296,5931,1
6,5296,11818,1
6,5296,5624,1
6,5296,5327,1
6,5296,5349,1
6,5296,6110,1
6,5296,5824,1
6,5296,5802,1
6,5296,5713,1
6,5296,5679,1
6,5296,5703,1
6,5296,9887,1
6,5296,17584,1
6,5296,5359,1
6,5296,10107,1
6,5296,5321,1
6,5296,5837,1
6,5296,7145,1
6,5296,5657,1
6,6226,5662,1
6,6226,5718,1
6,6226,5591,1
6,6226,5851,1
6,6226,5305,1
6,6226,7778,1
6,6226,5320,1
6,6226,7747,1
6,6226,6192,1
6,6226,6560,1
6,6226,7743,1
6,6226,5638,1
6,6226,7744,1
6,6226,10575,1
6,6226,5669,1
6,6226,5942,1
6,6226,5620,1
6,6226,5654,1
6,6226,5683,1
6,6226,5651,1
6,6226,6087,1
6,6226,11378,1
6,6226,6084,1
6,6226,10857,1
6,6226,5931,1
6,6226,11818,1
6,6226,5624,1
6,6226,5327,1
6,6226,5349,1
6,6226,6110,1
6,6226,5824,1
6,6226,5802,1
6,6226,5713,1
6,6226,5679,1
6,6226,5703,1
6,6226,9887,1
6,6226,17584,1
6,6226,5359,1
6,6226,10107,1
6,6226,5321,1
6,6226,5837,1
6,6226,7145,1
6,6226,5657,1
6,5662,5718,1
6,5662,5591,1
6,5662,5851,1
6,5662,5305,1
6,5662,7778,1
6,5662,5320,1
6,5662,7747,1
6,5662,6192,1
6,5662,6560,1
6,5662,7743,1
6,5662,5638,1
6,5662,7744,1
6,5662,10575,1
6,5662,5669,1
6,5662,5942,1
6,5662,5620,1
6,5662,5654,1
6,5662,5683,1
6,5662,5651,1
6,5662,6087,1
6,5662,11378,1
6,5662,6084,1
6,5662,10857,1
6,5662,5931,1
6,5662,11818,1
6,5662,5624,1
6,5662,5327,1
6,5662,5349,1
6,5662,6110,1
6,5662,5824,1
6,5662,5802,1
6,5662,5713,1
6,5662,5679,1
6,5662,5703,1
6,5662,9887,1
6,5662,17584,1
6,5662,5359,1
6,5662,10107,1
6,5662,5321,1
6,5662,5837,1
6,5662,7145,1
6,5662,5657,1
6,5718,5591,1
6,5718,5851,1
6,5718,5305,1
6,5718,7778,1
6,5718,5320,1
6,5718,7747,1
6,5718,6192,1
6,5718,6560,1
6,5718,7743,1
6,5718,5638,1
6,5718,7744,1
6,5718,10575,1
6,5718,5669,1
6,5718,5942,1
6,5718,5620,1
6,5718,5654,1
6,5718,5683,1
6,5718,5651,1
6,5718,6087,1
6,5718,11378,1
6,5718,6084,1
6,5718,10857,1
6,5718,5931,1
6,5718,11818,1
6,5718,5624,1
6,5718,5327,1
6,5718,5349,1
6,5718,6110,1
6,5718,5824,1
6,5718,5802,1
6,5718,5713,1
6,5718,5679,1
6,5718,5703,1
6,5718,9887,1
6,5718,17584,1
6,5718,5359,1
6,5718,10107,1
6,5718,5321,1
6,5718,5837,1
6,5718,7145,1
6,5718,5657,1
6,5591,5851,1
6,5591,5305,1
6,5591,7778,1
6,5591,5320,1
6,5591,7747,1
6,5591,6192,1
6,5591,6560,1
6,5591,7743,1
6,5591,5638,1
6,5591,7744,1
6,5591,10575,1
6,5591,5669,1
6,5591,5942,1
6,5591,5620,1
6,5591,5654,1
6,5591,5683,1
6,5591,5651,1
6,5591,6087,1
6,5591,11378,1
6,5591,6084,1
6,5591,10857,1
6,5591,5931,1
6,5591,11818,1
6,5591,5624,1
6,5591,5327,1
6,5591,5349,1
6,5591,6110,1
6,5591,5824,1
6,5591,5802,1
6,5591,5713,1
6,5591,5679,1
6,5591,5703,1
6,5591,9887,1
6,5591,17584,1
6,5591,5359,1
6,5591,10107,1
6,5591,5321,1
6,5591,5837,1
6,5591,7145,1
6,5591,5657,1
6,5851,5305,1
6,5851,7778,1
6,5851,5320,1
6,5851,7747,1
6,5851,6192,1
6,5851,6560,1
6,5851,7743,1
6,5851,5638,1
6,5851,7744,1
6,5851,10575,1
6,5851,5669,1
6,5851,5942,1
6,5851,5620,1
6,5851,5654,1
6,5851,5683,1
6,5851,5651,1
6,5851,6087,1
6,5851,11378,1
6,5851,6084,1
6,5851,10857,1
6,5851,5931,1
6,5851,11818,1
6,5851,5624,1
6,5851,5327,1
6,5851,5349,1
6,5851,6110,1
6,5851,5824,1
6,5851,5802,1
6,5851,5713,1
6,5851,5679,1
6,5851,5703,1
6,5851,9887,1
6,5851,17584,1
6,5851,5359,1
6,5851,10107,1
6,5851,5321,1
6,5851,5837,1
6,5851,7145,1
6,5851,5657,1
6,5305,7778,1
6,5305,5320,1
6,5305,7747,1
6,5305,6192,1
6,5305,6560,1
6,5305,7743,1
6,5305,5638,1
6,5305,7744,1
6,5305,10575,1
6,5305,5669,1
6,5305,5942,1
6,5305,5620,1
6,5305,5654,1
6,5305,5683,1
6,5305,5651,1
6,5305,6087,1
6,5305,11378,1
6,5305,6084,1
6,5305,10857,1
6,5305,5931,1
6,5305,11818,1
6,5305,5624,1
6,5305,5327,1
6,5305,5349,1
6,5305,6110,1
6,5305,5824,1
6,5305,5802,1
6,5305,5713,1
6,5305,5679,1
6,5305,5703,1
6,5305,9887,1
6,5305,17584,1
6,5305,5359,1
6,5305,10107,1
6,5305,5321,1
6,5305,5837,1
6,5305,7145,1
6,5305,5657,1
6,7778,5320,1
6,7778,7747,1
6,7778,6192,1
6,7778,6560,1
6,7778,7743,1
6,7778,5638,1
6,7778,7744,1
6,7778,10575,1
6,7778,5669,1
6,7778,5942,1
6,7778,5620,1
6,7778,5654,1
6,7778,5683,1
6,7778,5651,1
6,7778,6087,1
6,7778,11378,1
6,7778,6084,1
6,7778,10857,1
6,7778,5931,1
6,7778,11818,1
6,7778,5624,1
6,7778,5327,1
6,7778,5349,1
6,7778,6110,1
6,7778,5824,1
6,7778,5802,1
6,7778,5713,1
6,7778,5679,1
6,7778,5703,1
6,7778,9887,1
6,7778,17584,1
6,7778,5359,1
6,7778,10107,1
6,7778,5321,1
6,7778,5837,1
6,7778,7145,1
6,7778,5657,1
6,5320,7747,1
6,5320,6192,1
6,5320,6560,1
6,5320,7743,1
6,5320,5638,1
6,5320,7744,1
6,5320,10575,1
6,5320,5669,1
6,5320,5942,1
6,5320,5620,1
6,5320,5654,1
6,5320,5683,1
6,5320,5651,1
6,5320,6087,1
6,5320,11378,1
6,5320,6084,1
6,5320,10857,1
6,5320,5931,1
6,5320,11818,1
6,5320,5624,1
6,5320,5327,1
6,5320,5349,1
6,5320,6110,1
6,5320,5824,1
6,5320,5802,1
6,5320,5713,1
6,5320,5679,1
6,5320,5703,1
6,5320,9887,1
6,5320,17584,1
6,5320,5359,1
6,5320,10107,1
6,5320,5321,1
6,5320,5837,1
6,5320,7145,1
6,5320,5657,1
6,7747,6192,1
6,7747,6560,1
6,7747,7743,1
6,7747,5638,1
6,7747,7744,1
6,7747,10575,1
6,7747,5669,1
6,7747,5942,1
6,7747,5620,1
6,7747,5654,1
6,7747,5683,1
6,7747,5651,1
6,7747,6087,1
6,7747,11378,1
6,7747,6084,1
6,7747,10857,1
6,7747,5931,1
6,7747,11818,1
6,7747,5624,1
6,7747,5327,1
6,7747,5349,1
6,7747,6110,1
6,7747,5824,1
6,7747,5802,1
6,7747,5713,1
6,7747,5679,1
6,7747,5703,1
6,7747,9887,1
6,7747,17584,1
6,7747,5359,1
6,7747,10107,1
6,7747,5321,1
6,7747,5837,1
6,7747,7145,1
6,7747,5657,1
6,6192,6560,1
6,6192,7743,1
6,6192,5638,1
6,6192,7744,1
6,6192,10575,1
6,6192,5669,1
6,6192,5942,1
6,6192,5620,1
6,6192,5654,1
6,6192,5683,1
6,6192,5651,1
6,6192,6087,1
6,6192,11378,1
6,6192,6084,1
6,6192,10857,1
6,6192,5931,1
6,6192,11818,1
6,6192,5624,1
6,6192,5327,1
6,6192,5349,1
6,6192,6110,1
6,6192,5824,1
6,6192,5802,1
6,6192,5713,1
6,6192,5679,1
6,6192,5703,1
6,6192,9887,1
6,6192,17584,1
6,6192,5359,1
6,6192,10107,1
6,6192,5321,1
6,6192,5837,1
6,6192,7145,1
6,6192,5657,1
6,6560,7743,1
6,6560,5638,1
6,6560,7744,1
6,6560,10575,1
6,6560,5669,1
6,6560,5942,1
6,6560,5620,1
6,6560,5654,1
6,6560,5683,1
6,6560,5651,1
6,6560,6087,1
6,6560,11378,1
6,6560,6084,1
6,6560,10857,1
6,6560,5931,1
6,6560,11818,1
6,6560,5624,1
6,6560,5327,1
6,6560,5349,1
6,6560,6110,1
6,6560,5824,1
6,6560,5802,1
6,6560,5713,1
6,6560,5679,1
6,6560,5703,1
6,6560,9887,1
6,6560,17584,1
6,6560,5359,1
6,6560,10107,1
6,6560,5321,1
6,6560,5837,1
6,6560,7145,1
6,6560,5657,1
6,7743,5638,1
6,7743,7744,1
6,7743,10575,1
6,7743,5669,1
6,7743,5942,1
6,7743,5620,1
6,7743,5654,1
6,7743,5683,1
6,7743,5651,1
6,7743,6087,1
6,7743,11378,1
6,7743,6084,1
6,7743,10857,1
6,7743,5931,1
6,7743,11818,1
6,7743,5624,1
6,7743,5327,1
6,7743,5349,1
6,7743,6110,1
6,7743,5824,1
6,7743,5802,1
6,7743,5713,1
6,7743,5679,1
6,7743,5703,1
6,7743,9887,1
6,7743,17584,1
6,7743,5359,1
6,7743,10107,1
6,7743,5321,1
6,7743,5837,1
6,7743,7145,1
6,7743,5657,1
6,5638,7744,1
6,5638,10575,1
6,5638,5669,1
6,5638,5942,1
6,5638,5620,1
6,5638,5654,1
6,5638,5683,1
6,5638,5651,1
6,5638,6087,1
6,5638,11378,1
6,5638,6084,1
6,5638,10857,1
6,5638,5931,1
6,5638,11818,1
6,5638,5624,1
6,5638,5327,1
6,5638,5349,1
6,5638,6110,1
6,5638,5824,1
6,5638,5802,1
6,5638,5713,1
6,5638,5679,1
6,5638,5703,1
6,5638,9887,1
6,5638,17584,1
6,5638,5359,1
6,5638,10107,1
6,5638,5321,1
6,5638,5837,1
6,5638,7145,1
6,5638,5657,1
6,7744,10575,1
6,7744,5669,1
6,7744,5942,1
6,7744,5620,1
6,7744,5654,1
6,7744,5683,1
6,7744,5651,1
6,7744,6087,1
6,7744,11378,1
6,7744,6084,1
6,7744,10857,1
6,7744,5931,1
6,7744,11818,1
6,7744,5624,1
6,7744,5327,1
6,7744,5349,1
6,7744,6110,1
6,7744,5824,1
6,7744,5802,1
6,7744,5713,1
6,7744,5679,1
6,7744,5703,1
6,7744,9887,1
6,7744,17584,1
6,7744,5359,1
6,7744,10107,1
6,7744,5321,1
6,7744,5837,1
6,7744,7145,1
6,7744,5657,1
6,10575,5669,1
6,10575,5942,1
6,10575,5620,1
6,10575,5654,1
6,10575,5683,1
6,10575,5651,1
6,10575,6087,1
6,10575,11378,1
6,10575,6084,1
6,10575,10857,1
6,10575,5931,1
6,10575,11818,1
6,10575,5624,1
6,10575,5327,1
6,10575,5349,1
6,10575,6110,1
6,10575,5824,1
6,10575,5802,1
6,10575,5713,1
6,10575,5679,1
6,10575,5703,1
6,10575,9887,1
6,10575,17584,1
6,10575,5359,1
6,10575,10107,1
6,10575,5321,1
6,10575,5837,1
6,10575,7145,1
6,10575,5657,1
6,5669,5942,1
6,5669,5620,1
6,5669,5654,1
6,5669,5683,1
6,5669,5651,1
6,5669,6087,1
6,5669,11378,1
6,5669,6084,1
6,5669,10857,1
6,5669,5931,1
6,5669,11818,1
6,5669,5624,1
6,5669,5327,1
6,5669,5349,1
6,5669,6110,1
6,5669,5824,1
6,5669,5802,1
6,5669,5713,1
6,5669,5679,1
6,5669,5703,1
6,5669,9887,1
6,5669,17584,1
6,5669,5359,1
6,5669,10107,1
6,5669,5321,1
6,5669,5837,1
6,5669,7145,1
6,5669,5657,1
6,5942,5620,1
6,5942,5654,1
6,5942,5683,1
6,5942,5651,1
6,5942,6087,1
6,5942,11378,1
6,5942,6084,1
6,5942,10857,1
6,5942,5931,1
6,5942,11818,1
6,5942,5624,1
6,5942,5327,1
6,5942,5349,1
6,5942,6110,1
6,5942,5824,1
6,5942,5802,1
6,5942,5713,1
6,5942,5679,1
6,5942,5703,1
6,5942,9887,1
6,5942,17584,1
6,5942,5359,1
6,5942,10107,1
6,5942,5321,1
6,5942,5837,1
6,5942,7145,1
6,5942,5657,1
6,5620,5654,1
6,5620,5683,1
6,5620,5651,1
6,5620,6087,1
6,5620,11378,1
6,5620,6084,1
6,5620,10857,1
6,5620,5931,1
6,5620,11818,1
6,5620,5624,1
6,5620,5327,1
6,5620,5349,1
6,5620,6110,1
6,5620,5824,1
6,5620,5802,1
6,5620,5713,1
6,5620,5679,1
6,5620,5703,1
6,5620,9887,1
6,5620,17584,1
6,5620,5359,1
6,5620,10107,1
6,5620,5321,1
6,5620,5837,1
