time,player1,player2,result
1,5530,5526,1
1,5530,12785,1
1,5530,5571,1
1,5530,7825,1
1,5530,5369,1
1,5530,5523,1
1,5530,5371,1
1,5530,5467,1
1,5530,5476,1
1,5530,12786,1
1,5530,5410,1
1,5530,5842,1
1,5530,5573,1
1,5530,5385,1
1,5530,5312,1
1,5530,5376,1
1,5530,6150,1
1,5530,6069,1
1,5530,5943,1
1,5530,9939,1
1,5530,21978,1
1,5530,5567,1
1,5530,5360,1
1,5530,6963,1
1,5530,5407,1
1,5530,6209,1
1,5530,9742,1
1,5530,5565,1
1,5530,9817,1
1,5530,7817,1
1,5530,23847,1
1,5530,6224,1
1,5530,5539,1
1,5530,5559,1
1,5530,5576,1
1,5530,17003,1
1,5530,5521,1
1,5530,6783,1
1,5530,10976,1
1,5530,6744,1
1,5530,6848,1
1,5530,5364,1
1,5530,17348,1
1,5530,6780,1
1,5530,15483,1
1,5530,7766,1
1,5530,11070,1
1,5526,12785,1
1,5526,5571,1
1,5526,7825,1
1,5526,5369,1
1,5526,5523,1
1,5526,5371,1
1,5526,5467,1
1,5526,5476,1
1,5526,12786,1
1,5526,5410,1
1,5526,5842,1
1,5526,5573,1
1,5526,5385,1
1,5526,5312,1
1,5526,5376,1
1,5526,6150,1
1,5526,6069,1
1,5526,5943,1
1,5526,9939,1
1,5526,21978,1
1,5526,5567,1
1,5526,5360,1
1,5526,6963,1
1,5526,5407,1
1,5526,6209,1
1,5526,9742,1
1,5526,5565,1
1,5526,9817,1
1,5526,7817,1
1,5526,23847,1
1,5526,6224,1
1,5526,5539,1
1,5526,5559,1
1,5526,5576,1
1,5526,17003,1
1,5526,5521,1
1,5526,6783,1
1,5526,10976,1
1,5526,6744,1
1,5526,6848,1
1,5526,5364,1
1,5526,17348,1
1,5526,6780,1
1,5526,15483,1
1,5526,7766,1
1,5526,11070,1
1,12785,5571,1
1,12785,7825,1
1,12785,5369,1
1,12785,5523,1
1,12785,5371,1
1,12785,5467,1
1,12785,5476,1
1,12785,12786,1
1,12785,5410,1
1,12785,5842,1
1,12785,5573,1
1,12785,5385,1
1,12785,5312,1
1,12785,5376,1
1,12785,6150,1
1,12785,6069,1
1,12785,5943,1
1,12785,9939,1
1,12785,21978,1
1,12785,5567,1
1,12785,5360,1
1,12785,6963,1
1,12785,5407,1
1,12785,6209,1
1,12785,9742,1
1,12785,5565,1
1,12785,9817,1
1,12785,7817,1
1,12785,23847,1
1,12785,6224,1
1,12785,5539,1
1,12785,5559,1
1,12785,5576,1
1,12785,17003,1
1,12785,5521,1
1,12785,6783,1
1,12785,10976,1
1,12785,6744,1
1,12785,6848,1
1,12785,5364,1
1,12785,17348,1
1,12785,6780,1
1,12785,15483,1
1,12785,7766,1
1,12785,11070,1
1,5571,7825,1
1,5571,5369,1
1,5571,5523,1
1,5571,5371,1
1,5571,5467,1
1,5571,5476,1
1,5571,12786,1
1,5571,5410,1
1,5571,5842,1
1,5571,5573,1
1,5571,5385,1
1,5571,5312,1
1,5571,5376,1
1,5571,6150,1
1,5571,6069,1
1,5571,5943,1
1,5571,9939,1
1,5571,21978,1
1,5571,5567,1
1,5571,5360,1
1,5571,6963,1
1,5571,5407,1
1,5571,6209,1
1,5571,9742,1
1,5571,5565,1
1,5571,9817,1
1,5571,7817,1
1,5571,23847,1
1,5571,6224,1
1,5571,5539,1
1,5571,5559,1
1,5571,5576,1
1,5571,17003,1
1,5571,5521,1
1,5571,6783,1
1,5571,10976,1
1,5571,6744,1
1,5571,6848,1
1,5571,5364,1
1,5571,17348,1
1,5571,6780,1
1,5571,15483,1
1,5571,7766,1
1,5571,11070,1
1,7825,5369,1
1,7825,5523,1
1,7825,5371,1
1,7825,5467,1
1,7825,5476,1
1,7825,12786,1
1,7825,5410,1
1,7825,5842,1
1,7825,5573,1
1,7825,5385,1
1,7825,5312,1
1,7825,5376,1
1,7825,6150,1
1,7825,6069,1
1,7825,5943,1
1,7825,9939,1
1,7825,21978,1
1,7825,5567,1
1,7825,5360,1
1,7825,6963,1
1,7825,5407,1
1,7825,6209,1
1,7825,9742,1
1,7825,5565,1
1,7825,9817,1
1,7825,7817,1
1,7825,23847,1
1,7825,6224,1
1,7825,5539,1
1,7825,5559,1
1,7825,5576,1
1,7825,17003,1
1,7825,5521,1
1,7825,6783,1
1,7825,10976,1
1,7825,6744,1
1,7825,6848,1
1,7825,5364,1
1,7825,17348,1
1,7825,6780,1
1,7825,15483,1
1,7825,7766,1
1,7825,11070,1
1,5369,5523,1
1,5369,5371,1
1,5369,5467,1
1,5369,5476,1
1,5369,12786,1
1,5369,5410,1
1,5369,5842,1
1,5369,5573,1
1,5369,5385,1
1,5369,5312,1
1,5369,5376,1
1,5369,6150,1
1,5369,6069,1
1,5369,5943,1
1,5369,9939,1
1,5369,21978,1
1,5369,5567,1
1,5369,5360,1
1,5369,6963,1
1,5369,5407,1
1,5369,6209,1
1,5369,9742,1
1,5369,5565,1
1,5369,9817,1
1,5369,7817,1
1,5369,23847,1
1,5369,6224,1
1,5369,5539,1
1,5369,5559,1
1,5369,5576,1
1,5369,17003,1
1,5369,5521,1
1,5369,6783,1
1,5369,10976,1
1,5369,6744,1
1,5369,6848,1
1,5369,5364,1
1,5369,17348,1
1,5369,6780,1
1,5369,15483,1
1,5369,7766,1
1,5369,11070,1
1,5523,5371,1
1,5523,5467,1
1,5523,5476,1
1,5523,12786,1
1,5523,5410,1
1,5523,5842,1
1,5523,5573,1
1,5523,5385,1
1,5523,5312,1
1,5523,5376,1
1,5523,6150,1
1,5523,6069,1
1,5523,5943,1
1,5523,9939,1
1,5523,21978,1
1,5523,5567,1
1,5523,5360,1
1,5523,6963,1
1,5523,5407,1
1,5523,6209,1
1,5523,9742,1
1,5523,5565,1
1,5523,9817,1
1,5523,7817,1
1,5523,23847,1
1,5523,6224,1
1,5523,5539,1
1,5523,5559,1
1,5523,5576,1
1,5523,17003,1
1,5523,5521,1
1,5523,6783,1
1,5523,10976,1
1,5523,6744,1
1,5523,6848,1
1,5523,5364,1
1,5523,17348,1
1,5523,6780,1
1,5523,15483,1
1,5523,7766,1
1,5523,11070,1
1,5371,5467,1
1,5371,5476,1
1,5371,12786,1
1,5371,5410,1
1,5371,5842,1
1,5371,5573,1
1,5371,5385,1
1,5371,5312,1
1,5371,5376,1
1,5371,6150,1
1,5371,6069,1
1,5371,5943,1
1,5371,9939,1
1,5371,21978,1
1,5371,5567,1
1,5371,5360,1
1,5371,6963,1
1,5371,5407,1
1,5371,6209,1
1,5371,9742,1
1,5371,5565,1
1,5371,9817,1
1,5371,7817,1
1,5371,23847,1
1,5371,6224,1
1,5371,5539,1
1,5371,5559,1
1,5371,5576,1
1,5371,17003,1
1,5371,5521,1
1,5371,6783,1
1,5371,10976,1
1,5371,6744,1
1,5371,6848,1
1,5371,5364,1
1,5371,17348,1
1,5371,6780,1
1,5371,15483,1
1,5371,7766,1
1,5371,11070,1
1,5467,5476,1
1,5467,12786,1
1,5467,5410,1
1,5467,5842,1
1,5467,5573,1
1,5467,5385,1
1,5467,5312,1
1,5467,5376,1
1,5467,6150,1
1,5467,6069,1
1,5467,5943,1
1,5467,9939,1
1,5467,21978,1
1,5467,5567,1
1,5467,5360,1
1,5467,6963,1
1,5467,5407,1
1,5467,6209,1
1,5467,9742,1
1,5467,5565,1
1,5467,9817,1
1,5467,7817,1
1,5467,23847,1
1,5467,6224,1
1,5467,5539,1
1,5467,5559,1
1,5467,5576,1
1,5467,17003,1
1,5467,5521,1
1,5467,6783,1
1,5467,10976,1
1,5467,6744,1
1,5467,6848,1
1,5467,5364,1
1,5467,17348,1
1,5467,6780,1
1,5467,15483,1
1,5467,7766,1
1,5467,11070,1
1,5476,12786,1
1,5476,5410,1
1,5476,5842,1
1,5476,5573,1
1,5476,5385,1
1,5476,5312,1
1,5476,5376,1
1,5476,6150,1
1,5476,6069,1
1,5476,5943,1
1,5476,9939,1
1,5476,21978,1
1,5476,5567,1
1,5476,5360,1
1,5476,6963,1
1,5476,5407,1
1,5476,6209,1
1,5476,9742,1
1,5476,5565,1
1,5476,9817,1
1,5476,7817,1
1,5476,23847,1
1,5476,6224,1
1,5476,5539,1
1,5476,5559,1
1,5476,5576,1
1,5476,17003,1
1,5476,5521,1
1,5476,6783,1
1,5476,10976,1
1,5476,6744,1
1,5476,6848,1
1,5476,5364,1
1,5476,17348,1
1,5476,6780,1
1,5476,15483,1
1,5476,7766,1
1,5476,11070,1
1,12786,5410,1
1,12786,5842,1
1,12786,5573,1
1,12786,5385,1
1,12786,5312,1
1,12786,5376,1
1,12786,6150,1
1,12786,6069,1
1,12786,5943,1
1,12786,9939,1
1,12786,21978,1
1,12786,5567,1
1,12786,5360,1
1,12786,6963,1
1,12786,5407,1
1,12786,6209,1
1,12786,9742,1
1,12786,5565,1
1,12786,9817,1
1,12786,7817,1
1,12786,23847,1
1,12786,6224,1
1,12786,5539,1
1,12786,5559,1
1,12786,5576,1
1,12786,17003,1
1,12786,5521,1
1,12786,6783,1
1,12786,10976,1
1,12786,6744,1
1,12786,6848,1
1,12786,5364,1
1,12786,17348,1
1,12786,6780,1
1,12786,15483,1
1,12786,7766,1
1,12786,11070,1
1,5410,5842,1
