time,player1,player2,result
1,5297,5711,1
1,5297,7747,1
1,5297,5296,1
1,5297,5747,1
1,5297,6442,1
1,5297,7743,1
1,5297,5662,1
1,5297,5305,1
1,5297,5591,1
1,5297,5755,1
1,5297,7787,1
1,5297,6084,1
1,5297,5302,1
1,5297,5679,1
1,5297,5823,1
1,5297,5335,1
1,5297,5331,1
1,5297,6202,1
1,5297,5824,1
1,5297,5340,1
1,5297,5348,1
1,5297,73138,1
1,5297,5776,1
1,5297,5713,1
1,5297,5321,1
1,5297,5624,1
1,5297,5687,1
1,5297,5654,1
1,5297,10434,1
1,5297,6899,1
1,5297,5742,1
1,5297,5327,1
1,5297,5635,1
1,5297,5802,1
1,5297,5931,1
1,5297,11134,1
1,5297,5722,1
1,5297,6777,1
1,5297,6707,1
1,5297,5705,1
1,5297,7202,1
1,5297,5804,1
1,5297,6131,1
1,5297,5655,1
1,5297,10539,1
1,5297,5750,1
1,5297,10935,1
1,5297,19870,1
1,5297,6192,1
1,5297,10579,1
1,5297,6978,1
1,5297,5351,1
1,5297,18173,1
1,5297,12749,1
1,5297,6236,1
1,5297,17346,1
1,5297,6555,1
1,5297,10536,1
1,5297,6541,1
1,5297,6827,1
1,5297,11171,1
1,5297,6831,1
1,5297,6779,1
1,5297,10166,1
1,5297,6233,1
1,5297,6832,1
1,5297,5901,1
1,5297,6977,1
1,5711,7747,1
1,5711,5296,1
1,5711,5747,1
1,5711,6442,1
1,5711,7743,1
1,5711,5662,1
1,5711,5305,1
1,5711,5591,1
1,5711,5755,1
1,5711,7787,1
1,5711,6084,1
1,5711,5302,1
1,5711,5679,1
1,5711,5823,1
1,5711,5335,1
1,5711,5331,1
1,5711,6202,1
1,5711,5824,1
1,5711,5340,1
1,5711,5348,1
1,5711,73138,1
1,5711,5776,1
1,5711,5713,1
1,5711,5321,1
1,5711,5624,1
1,5711,5687,1
1,5711,5654,1
1,5711,10434,1
1,5711,6899,1
1,5711,5742,1
1,5711,5327,1
1,5711,5635,1
1,5711,5802,1
1,5711,5931,1
1,5711,11134,1
1,5711,5722,1
1,5711,6777,1
1,5711,6707,1
1,5711,5705,1
1,5711,7202,1
1,5711,5804,1
1,5711,6131,1
1,5711,5655,1
1,5711,10539,1
1,5711,5750,1
1,5711,10935,1
1,5711,19870,1
1,5711,6192,1
1,5711,10579,1
1,5711,6978,1
1,5711,5351,1
1,5711,18173,1
1,5711,12749,1
1,5711,6236,1
1,5711,17346,1
1,5711,6555,1
1,5711,10536,1
1,5711,6541,1
1,5711,6827,1
1,5711,11171,1
1,5711,6831,1
1,5711,6779,1
1,5711,10166,1
1,5711,6233,1
1,5711,6832,1
1,5711,5901,1
1,5711,6977,1
1,7747,5296,1
1,7747,5747,1
1,7747,6442,1
1,7747,7743,1
1,7747,5662,1
1,7747,5305,1
1,7747,5591,1
1,7747,5755,1
1,7747,7787,1
1,7747,6084,1
1,7747,5302,1
1,7747,5679,1
1,7747,5823,1
1,7747,5335,1
1,7747,5331,1
1,7747,6202,1
1,7747,5824,1
1,7747,5340,1
1,7747,5348,1
1,7747,73138,1
1,7747,5776,1
1,7747,5713,1
1,7747,5321,1
1,7747,5624,1
1,7747,5687,1
1,7747,5654,1
1,7747,10434,1
1,7747,6899,1
1,7747,5742,1
1,7747,5327,1
1,7747,5635,1
1,7747,5802,1
1,7747,5931,1
1,7747,11134,1
1,7747,5722,1
1,7747,6777,1
1,7747,6707,1
1,7747,5705,1
1,7747,7202,1
1,7747,5804,1
1,7747,6131,1
1,7747,5655,1
1,7747,10539,1
1,7747,5750,1
1,7747,10935,1
1,7747,19870,1
1,7747,6192,1
1,7747,10579,1
1,7747,6978,1
1,7747,5351,1
1,7747,18173,1
1,7747,12749,1
1,7747,6236,1
1,7747,17346,1
1,7747,6555,1
1,7747,10536,1
1,7747,6541,1
1,7747,6827,1
1,7747,11171,1
1,7747,6831,1
1,7747,6779,1
1,7747,10166,1
1,7747,6233,1
1,7747,6832,1
1,7747,5901,1
1,7747,6977,1
1,5296,5747,1
1,5296,6442,1
1,5296,7743,1
1,5296,5662,1
1,5296,5305,1
1,5296,5591,1
1,5296,5755,1
1,5296,7787,1
1,5296,6084,1
1,5296,5302,1
1,5296,5679,1
1,5296,5823,1
1,5296,5335,1
1,5296,5331,1
1,5296,6202,1
1,5296,5824,1
1,5296,5340,1
1,5296,5348,1
1,5296,73138,1
1,5296,5776,1
1,5296,5713,1
1,5296,5321,1
1,5296,5624,1
1,5296,5687,1
1,5296,5654,1
1,5296,10434,1
1,5296,6899,1
1,5296,5742,1
1,5296,5327,1
1,5296,5635,1
1,5296,5802,1
1,5296,5931,1
1,5296,11134,1
1,5296,5722,1
1,5296,6777,1
1,5296,6707,1
1,5296,5705,1
1,5296,7202,1
1,5296,5804,1
1,5296,6131,1
1,5296,5655,1
1,5296,10539,1
1,5296,5750,1
1,5296,10935,1
1,5296,19870,1
1,5296,6192,1
1,5296,10579,1
1,5296,6978,1
1,5296,5351,1
1,5296,18173,1
1,5296,12749,1
1,5296,6236,1
1,5296,17346,1
1,5296,6555,1
1,5296,10536,1
1,5296,6541,1
1,5296,6827,1
1,5296,11171,1
1,5296,6831,1
1,5296,6779,1
1,5296,10166,1
1,5296,6233,1
1,5296,6832,1
1,5296,5901,1
1,5296,6977,1
1,5747,6442,1
1,5747,7743,1
1,5747,5662,1
1,5747,5305,1
1,5747,5591,1
1,5747,5755,1
1,5747,7787,1
1,5747,6084,1
1,5747,5302,1
1,5747,5679,1
1,5747,5823,1
1,5747,5335,1
1,5747,5331,1
1,5747,6202,1
1,5747,5824,1
1,5747,5340,1
1,5747,5348,1
1,5747,73138,1
1,5747,5776,1
1,5747,5713,1
1,5747,5321,1
1,5747,5624,1
1,5747,5687,1
1,5747,5654,1
1,5747,10434,1
1,5747,6899,1
1,5747,5742,1
1,5747,5327,1
1,5747,5635,1
1,5747,5802,1
1,5747,5931,1
1,5747,11134,1
1,5747,5722,1
1,5747,6777,1
1,5747,6707,1
1,5747,5705,1
1,5747,7202,1
1,5747,5804,1
1,5747,6131,1
1,5747,5655,1
1,5747,10539,1
1,5747,5750,1
1,5747,10935,1
1,5747,19870,1
1,5747,6192,1
1,5747,10579,1
1,5747,6978,1
1,5747,5351,1
1,5747,18173,1
1,5747,12749,1
1,5747,6236,1
1,5747,17346,1
1,5747,6555,1
1,5747,10536,1
1,5747,6541,1
1,5747,6827,1
1,5747,11171,1
1,5747,6831,1
1,5747,6779,1
1,5747,10166,1
1,5747,6233,1
1,5747,6832,1
1,5747,5901,1
1,5747,6977,1
1,6442,7743,1
1,6442,5662,1
1,6442,5305,1
1,6442,5591,1
1,6442,5755,1
1,6442,7787,1
1,6442,6084,1
1,6442,5302,1
1,6442,5679,1
1,6442,5823,1
1,6442,5335,1
1,6442,5331,1
1,6442,6202,1
1,6442,5824,1
1,6442,5340,1
1,6442,5348,1
1,6442,73138,1
1,6442,5776,1
1,6442,5713,1
1,6442,5321,1
1,6442,5624,1
1,6442,5687,1
1,6442,5654,1
1,6442,10434,1
1,6442,6899,1
1,6442,5742,1
1,6442,5327,1
1,6442,5635,1
1,6442,5802,1
1,6442,5931,1
1,6442,11134,1
1,6442,5722,1
1,6442,6777,1
1,6442,6707,1
1,6442,5705,1
1,6442,7202,1
1,6442,5804,1
1,6442,6131,1
1,6442,5655,1
1,6442,10539,1
1,6442,5750,1
1,6442,10935,1
1,6442,19870,1
1,6442,6192,1
1,6442,10579,1
1,6442,6978,1
1,6442,5351,1
1,6442,18173,1
1,6442,12749,1
1,6442,6236,1
1,6442,17346,1
1,6442,6555,1
1,6442,10536,1
1,6442,6541,1
1,6442,6827,1
1,6442,11171,1
1,6442,6831,1
1,6442,6779,1
1,6442,10166,1
1,6442,6233,1
1,6442,6832,1
1,6442,5901,1
1,6442,6977,1
1,7743,5662,1
1,7743,5305,1
1,7743,5591,1
1,7743,5755,1
1,7743,7787,1
1,7743,6084,1
1,7743,5302,1
1,7743,5679,1
1,7743,5823,1
1,7743,5335,1
1,7743,5331,1
1,7743,6202,1
1,7743,5824,1
1,7743,5340,1
1,7743,5348,1
1,7743,73138,1
1,7743,5776,1
1,7743,5713,1
1,7743,5321,1
1,7743,5624,1
1,7743,5687,1
1,7743,5654,1
1,7743,10434,1
1,7743,6899,1
1,7743,5742,1
1,7743,5327,1
1,7743,5635,1
1,7743,5802,1
1,7743,5931,1
1,7743,11134,1
1,7743,5722,1
1,7743,6777,1
1,7743,6707,1
1,7743,5705,1
1,7743,7202,1
1,7743,5804,1
1,7743,6131,1
1,7743,5655,1
1,7743,10539,1
1,7743,5750,1
1,7743,10935,1
1,7743,19870,1
1,7743,6192,1
1,7743,10579,1
1,7743,6978,1
1,7743,5351,1
1,7743,18173,1
1,7743,12749,1
1,7743,6236,1
1,7743,17346,1
1,7743,6555,1
1,7743,10536,1
1,7743,6541,1
1,7743,6827,1
1,7743,11171,1
1,7743,6831,1
1,7743,6779,1
1,7743,10166,1
1,7743,6233,1
1,7743,6832,1
1,7743,5901,1
1,7743,6977,1
1,5662,5305,1
1,5662,5591,1
1,5662,5755,1
1,5662,7787,1
1,5662,6084,1
1,5662,5302,1
1,5662,5679,1
1,5662,5823,1
1,5662,5335,1
1,5662,5331,1
1,5662,6202,1
1,5662,5824,1
1,5662,5340,1
1,5662,5348,1
1,5662,73138,1
1,5662,5776,1
1,5662,5713,1
1,5662,5321,1
1,5662,5624,1
1,5662,5687,1
1,5662,5654,1
1,5662,10434,1
1,5662,6899,1
1,5662,5742,1
1,5662,5327,1
1,5662,5635,1
1,5662,5802,1
1,5662,5931,1
1,5662,11134,1
1,5662,5722,1
1,5662,6777,1
1,5662,6707,1
1,5662,5705,1
1,5662,7202,1
1,5662,5804,1
1,5662,6131,1
1,5662,5655,1
1,5662,10539,1
1,5662,5750,1
1,5662,10935,1
1,5662,19870,1
1,5662,6192,1
1,5662,10579,1
1,5662,6978,1
1,5662,5351,1
1,5662,18173,1
1,5662,12749,1
1,5662,6236,1
1,5662,17346,1
1,5662,6555,1
1,5662,10536,1
1,5662,6541,1
1,5662,6827,1
1,5662,11171,1
1,5662,6831,1
1,5662,6779,1
1,5662,10166,1
1,5662,6233,1
1,5662,6832,1
1,5662,5901,1
1,5662,6977,1
1,5305,5591,1
1,5305,5755,1
1,5305,7787,1
1,5305,6084,1
1,5305,5302,1
1,5305,5679,1
1,5305,5823,1
1,5305,5335,1
1,5305,5331,1
1,5305,6202,1
1,5305,5824,1
1,5305,5340,1
1,5305,5348,1
1,5305,73138,1
1,5305,5776,1
1,5305,5713,1
1,5305,5321,1
1,5305,5624,1
1,5305,5687,1
1,5305,5654,1
1,5305,10434,1
1,5305,6899,1
1,5305,5742,1
1,5305,5327,1
1,5305,5635,1
1,5305,5802,1
1,5305,5931,1
1,5305,11134,1
1,5305,5722,1
1,5305,6777,1
1,5305,6707,1
1,5305,5705,1
1,5305,7202,1
1,5305,5804,1
1,5305,6131,1
1,5305,5655,1
1,5305,10539,1
1,5305,5750,1
1,5305,10935,1
1,5305,19870,1
1,5305,6192,1
1,5305,10579,1
1,5305,6978,1
1,5305,5351,1
1,5305,18173,1
1,5305,12749,1
1,5305,6236,1
1,5305,17346,1
1,5305,6555,1
1,5305,10536,1
1,5305,6541,1
1,5305,6827,1
1,5305,11171,1
1,5305,6831,1
1,5305,6779,1
1,5305,10166,1
1,5305,6233,1
1,5305,6832,1
1,5305,5901,1
1,5305,6977,1
1,5591,5755,1
1,5591,7787,1
1,5591,6084,1
1,5591,5302,1
1,5591,5679,1
1,5591,5823,1
1,5591,5335,1
1,5591,5331,1
1,5591,6202,1
1,5591,5824,1
1,5591,5340,1
1,5591,5348,1
1,5591,73138,1
1,5591,5776,1
1,5591,5713,1
1,5591,5321,1
1,5591,5624,1
1,5591,5687,1
1,5591,5654,1
1,5591,10434,1
1,5591,6899,1
1,5591,5742,1
1,5591,5327,1
1,5591,5635,1
1,5591,5802,1
1,5591,5931,1
1,5591,11134,1
1,5591,5722,1
1,5591,6777,1
1,5591,6707,1
1,5591,5705,1
1,5591,7202,1
1,5591,5804,1
1,5591,6131,1
1,5591,5655,1
1,5591,10539,1
1,5591,5750,1
1,5591,10935,1
1,5591,19870,1
1,5591,6192,1
1,5591,10579,1
1,5591,6978,1
1,5591,5351,1
1,5591,18173,1
1,5591,12749,1
1,5591,6236,1
1,5591,17346,1
1,5591,6555,1
1,5591,10536,1
1,5591,6541,1
1,5591,6827,1
1,5591,11171,1
1,5591,6831,1
1,5591,6779,1
1,5591,10166,1
1,5591,6233,1
1,5591,6832,1
1,5591,5901,1
1,5591,6977,1
1,5755,7787,1
1,5755,6084,1
1,5755,5302,1
1,5755,5679,1
1,5755,5823,1
1,5755,5335,1
1,5755,5331,1
1,5755,6202,1
1,5755,5824,1
1,5755,5340,1
1,5755,5348,1
1,5755,73138,1
1,5755,5776,1
1,5755,5713,1
1,5755,5321,1
1,5755,5624,1
1,5755,5687,1
1,5755,5654,1
1,5755,10434,1
1,5755,6899,1
1,5755,5742,1
1,5755,5327,1
1,5755,5635,1
1,5755,5802,1
1,5755,5931,1
1,5755,11134,1
1,5755,5722,1
1,5755,6777,1
1,5755,6707,1
1,5755,5705,1
1,5755,7202,1
1,5755,5804,1
1,5755,6131,1
1,5755,5655,1
1,5755,10539,1
1,5755,5750,1
1,5755,10935,1
