time,player1,player2,result
3,7788,5695,1
3,7788,5332,1
3,7788,5300,1
3,7788,5325,1
3,7788,5692,1
3,7788,5662,1
3,7788,6442,1
3,7788,5747,1
3,7788,6560,1
3,7788,5711,1
3,7788,5348,1
3,7788,5718,1
3,7788,5687,1
3,7788,5638,1
3,7788,5654,1
3,7788,5359,1
3,7788,5305,1
3,7788,5929,1
3,7788,5624,1
3,7788,5331,1
3,7788,5635,1
3,7788,5327,1
3,7788,5620,1
3,7788,5942,1
3,7788,10434,1
3,7788,6899,1
3,7788,5703,1
3,7788,10871,1
3,7788,6202,1
3,7788,5355,1
3,5695,5332,1
3,5695,5300,1
3,5695,5325,1
3,5695,5692,1
3,5695,5662,1
3,5695,6442,1
3,5695,5747,1
3,5695,6560,1
3,5695,5711,1
3,5695,5348,1
3,5695,5718,1
3,5695,5687,1
3,5695,5638,1
3,5695,5654,1
3,5695,5359,1
3,5695,5305,1
3,5695,5929,1
3,5695,5624,1
3,5695,5331,1
3,5695,5635,1
3,5695,5327,1
3,5695,5620,1
3,5695,5942,1
3,5695,10434,1
3,5695,6899,1
3,5695,5703,1
3,5695,10871,1
3,5695,6202,1
3,5695,5355,1
3,5332,5300,1
3,5332,5325,1
3,5332,5692,1
3,5332,5662,1
3,5332,6442,1
3,5332,5747,1
3,5332,6560,1
3,5332,5711,1
3,5332,5348,1
3,5332,5718,1
3,5332,5687,1
3,5332,5638,1
3,5332,5654,1
3,5332,5359,1
3,5332,5305,1
3,5332,5929,1
3,5332,5624,1
3,5332,5331,1
3,5332,5635,1
3,5332,5327,1
3,5332,5620,1
3,5332,5942,1
3,5332,10434,1
3,5332,6899,1
3,5332,5703,1
3,5332,10871,1
3,5332,6202,1
3,5332,5355,1
3,5300,5325,1
3,5300,5692,1
3,5300,5662,1
3,5300,6442,1
3,5300,5747,1
3,5300,6560,1
3,5300,5711,1
3,5300,5348,1
3,5300,5718,1
3,5300,5687,1
3,5300,5638,1
3,5300,5654,1
3,5300,5359,1
3,5300,5305,1
3,5300,5929,1
3,5300,5624,1
3,5300,5331,1
3,5300,5635,1
3,5300,5327,1
3,5300,5620,1
3,5300,5942,1
3,5300,10434,1
3,5300,6899,1
3,5300,5703,1
3,5300,10871,1
3,5300,6202,1
3,5300,5355,1
3,5325,5692,1
3,5325,5662,1
3,5325,6442,1
3,5325,5747,1
3,5325,6560,1
3,5325,5711,1
3,5325,5348,1
3,5325,5718,1
3,5325,5687,1
3,5325,5638,1
3,5325,5654,1
3,5325,5359,1
3,5325,5305,1
3,5325,5929,1
3,5325,5624,1
3,5325,5331,1
3,5325,5635,1
3,5325,5327,1
3,5325,5620,1
3,5325,5942,1
3,5325,10434,1
3,5325,6899,1
3,5325,5703,1
3,5325,10871,1
3,5325,6202,1
3,5325,5355,1
3,5692,5662,1
3,5692,6442,1
3,5692,5747,1
3,5692,6560,1
3,5692,5711,1
3,5692,5348,1
3,5692,5718,1
3,5692,5687,1
3,5692,5638,1
3,5692,5654,1
3,5692,5359,1
3,5692,5305,1
3,5692,5929,1
3,5692,5624,1
3,5692,5331,1
