time,player1,player2,result
7,5692,5296,1
7,5692,5695,1
7,5692,5662,1
7,5692,5297,1
7,5692,6442,1
7,5692,5755,1
7,5692,5591,1
7,5692,6084,1
7,5692,5332,1
7,5692,5942,1
7,5692,5331,1
7,5692,5327,1
7,5692,5742,1
7,5692,5654,1
7,5692,5758,1
7,5692,15944,1
7,5692,5669,1
7,5692,10108,1
7,5692,5655,1
7,5692,10107,1
7,5692,11315,1
7,5692,15593,1
7,5692,18576,1
7,5692,5705,1
7,5692,10003,1
7,5692,6102,1
7,5692,5776,1
7,5692,16315,1
7,5692,10017,1
7,5692,6827,1
7,5692,11535,1
7,5692,18332,1
7,5692,28508,1
7,5692,10100,1
7,5692,10982,1
7,5296,5695,1
7,5296,5662,1
7,5296,5297,1
7,5296,6442,1
7,5296,5755,1
7,5296,5591,1
7,5296,6084,1
7,5296,5332,1
7,5296,5942,1
7,5296,5331,1
7,5296,5327,1
7,5296,5742,1
7,5296,5654,1
7,5296,5758,1
7,5296,15944,1
7,5296,5669,1
7,5296,10108,1
7,5296,5655,1
7,5296,10107,1
7,5296,11315,1
7,5296,15593,1
7,5296,18576,1
7,5296,5705,1
7,5296,10003,1
7,5296,6102,1
7,5296,5776,1
7,5296,16315,1
7,5296,10017,1
7,5296,6827,1
7,5296,11535,1
7,5296,18332,1
7,5296,28508,1
7,5296,10100,1
7,5296,10982,1
7,5695,5662,1
7,5695,5297,1
7,5695,6442,1
7,5695,5755,1
7,5695,5591,1
7,5695,6084,1
7,5695,5332,1
7,5695,5942,1
7,5695,5331,1
7,5695,5327,1
7,5695,5742,1
7,5695,5654,1
7,5695,5758,1
7,5695,15944,1
7,5695,5669,1
7,5695,10108,1
7,5695,5655,1
7,5695,10107,1
7,5695,11315,1
7,5695,15593,1
7,5695,18576,1
7,5695,5705,1
7,5695,10003,1
7,5695,6102,1
7,5695,5776,1
7,5695,16315,1
7,5695,10017,1
7,5695,6827,1
7,5695,11535,1
7,5695,18332,1
7,5695,28508,1
7,5695,10100,1
7,5695,10982,1
7,5662,5297,1
7,5662,6442,1
7,5662,5755,1
7,5662,5591,1
7,5662,6084,1
7,5662,5332,1
7,5662,5942,1
7,5662,5331,1
7,5662,5327,1
7,5662,5742,1
7,5662,5654,1
7,5662,5758,1
7,5662,15944,1
7,5662,5669,1
7,5662,10108,1
7,5662,5655,1
7,5662,10107,1
7,5662,11315,1
7,5662,15593,1
7,5662,18576,1
7,5662,5705,1
7,5662,10003,1
7,5662,6102,1
7,5662,5776,1
7,5662,16315,1
7,5662,10017,1
7,5662,6827,1
7,5662,11535,1
7,5662,18332,1
7,5662,28508,1
7,5662,10100,1
7,5662,10982,1
7,5297,6442,1
7,5297,5755,1
7,5297,5591,1
7,5297,6084,1
7,5297,5332,1
7,5297,5942,1
7,5297,5331,1
7,5297,5327,1
7,5297,5742,1
7,5297,5654,1
7,5297,5758,1
7,5297,15944,1
7,5297,5669,1
7,5297,10108,1
7,5297,5655,1
7,5297,10107,1
7,5297,11315,1
7,5297,15593,1
7,5297,18576,1
