program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
4521,5297,Bevan,Docherty,NZL,1,00:18:36,00:00:48,01:00:18,00:00:24,00:30:20,1,01:50:25
4521,5711,Brad,Kahlefeldt,AUS,6,00:18:28,00:00:53,01:00:18,00:00:22,00:30:24,2,01:50:25
4521,7747,Dmitry,Polyanskiy,RUS,9,00:18:13,00:00:53,00:59:58,00:00:24,00:31:01,3,01:50:29
4521,5296,Kris,Gemmell,NZL,7,00:18:26,00:00:46,01:00:23,00:00:22,00:30:41,4,01:50:39
4521,5747,Steffen,Justus,GER,10,00:18:42,00:00:51,01:00:05,00:00:26,00:30:37,5,01:50:42
4521,6442,Jarrod,Shoemaker,USA,16,00:18:11,00:00:56,01:00:39,00:00:24,00:30:36,6,01:50:45
4521,7743,Alexander,Bryukhankov,RUS,17,00:18:09,00:00:51,01:00:04,00:00:26,00:31:17,7,01:50:46
4521,5662,Laurent,Vidal,FRA,3,00:18:18,00:00:49,01:00:28,00:00:22,00:30:48,8,01:50:46
4521,5305,Tim,Don,GBR,2,00:18:21,00:00:53,01:00:28,00:00:26,00:30:53,9,01:50:59
4521,5591,Courtney,Atkinson,AUS,38,00:18:09,00:01:01,01:00:29,00:00:22,00:31:04,10,01:51:06
4521,5755,Yulian,Malyshev,RUS,27,00:18:15,00:00:51,01:00:36,00:00:24,00:31:02,11,01:51:10
4521,7787,Oliver,Freeman,GBR,4,00:18:14,00:00:56,01:00:31,00:00:26,00:31:04,12,01:51:13
4521,6084,Dan,Wilson,AUS,39,00:18:37,00:00:49,01:00:13,00:00:22,00:31:16,13,01:51:17
4521,5302,Simon,Whitfield,CAN,5,00:18:17,00:00:51,01:00:33,00:00:22,00:31:13,14,01:51:17
4521,5679,Cedric,Fleureton,FRA,14,00:18:35,00:00:53,01:00:16,00:00:24,00:31:17,15,01:51:23
4521,5823,Bruno,Pais,POR,26,00:18:21,00:00:49,01:00:29,00:00:24,00:31:34,16,01:51:38
4521,5335,Peter,Robertson,AUS,19,00:18:41,00:00:51,01:00:07,00:00:24,00:31:39,17,01:51:44
4521,5331,Danylo,Sapunov,UKR,29,00:18:18,00:01:01,01:00:22,00:00:26,00:31:38,18,01:51:46
4521,6202,Kyle,Jones,CAN,11,00:18:43,00:00:51,01:00:07,00:00:22,00:31:45,19,01:51:49
4521,5824,Christian,Prochnow,GER,15,00:18:27,00:00:54,01:00:22,00:00:24,00:31:43,20,01:51:52
4521,5340,Filip,Ospaly,CZE,20,00:18:23,00:01:01,01:00:19,00:00:27,00:31:43,21,01:51:52
4521,5348,Brent,Mcmahon,CAN,22,00:18:40,00:00:51,01:00:06,00:00:24,00:31:51,22,01:51:53
4521,73138,Igor,Sysoev,RUS,12,00:18:14,00:00:54,01:00:31,00:00:26,00:31:49,23,01:51:57
4521,5776,Hiroki,Sugimoto,JPN,43,00:18:41,00:00:54,01:00:09,00:00:26,00:31:46,24,01:51:58
4521,5713,Gareth,Halverson,AUS,41,00:18:14,00:00:49,01:00:39,00:00:22,00:31:59,25,01:52:04
4521,5321,Frederic,Belaubre,FRA,32,00:18:07,00:00:51,00:59:31,00:00:29,00:33:13,26,01:52:11
4521,5624,Peter,Croes,BEL,18,00:18:43,00:00:51,01:00:05,00:00:24,00:32:10,27,01:52:14
4521,5687,Mark,Fretta,USA,30,00:18:39,00:00:58,00:58:53,00:00:32,00:33:18,28,01:52:21
4521,5654,Ryosuke,Yamamoto,JPN,31,00:18:12,00:01:04,01:00:23,00:00:24,00:32:24,29,01:52:29
4521,10434,Matt,Chrabot,USA,21,00:18:19,00:00:56,01:00:22,00:00:24,00:32:37,30,01:52:38
4521,6899,Ákos,Vanek,HUN,50,00:18:11,00:00:51,01:00:37,00:00:27,00:32:37,31,01:52:43
4521,5742,Yuichi,Hosoda,JPN,34,00:18:25,00:00:51,01:00:26,00:00:24,00:32:47,32,01:52:53
4521,5327,Hirokatsu,Tayama,JPN,23,00:18:13,00:00:56,01:00:35,00:00:22,00:32:52,33,01:52:58
4521,5635,Joe,Umphenour,USA,36,00:18:22,00:00:56,01:00:29,00:00:22,00:33:05,34,01:53:13
4521,5802,Matthew,Reed,USA,8,00:18:27,00:00:56,01:00:17,00:00:26,00:33:09,35,01:53:15
4521,5931,Andreas,Giglmayr,AUT,28,00:18:40,00:00:56,01:00:04,00:00:26,00:33:09,36,01:53:16
4521,11134,Piotr,Grzegorzek,POL,67,00:18:29,00:00:58,01:00:18,00:00:24,00:33:09,37,01:53:20
4521,5722,Franz,Höfer,AUT,25,00:18:39,00:00:51,01:00:14,00:00:24,00:33:12,38,01:53:21
4521,6777,Min Ho,Heo,KOR,49,00:18:17,00:00:48,01:00:36,00:00:21,00:33:20,39,01:53:23
4521,6707,Jan,Celustka,CZE,48,00:18:16,00:00:56,01:00:31,00:00:26,00:33:15,40,01:53:24
4521,5705,Hideo,Fukui,JPN,45,00:18:40,00:00:59,01:00:04,00:00:26,00:33:31,41,01:53:41
4521,7202,Sebastien,Gacond,SUI,35,00:18:42,00:00:51,01:00:04,00:00:24,00:33:41,42,01:53:41
4521,5804,Dmitriy,Smurov,KAZ,54,00:19:10,00:00:56,01:00:39,00:00:26,00:32:47,43,01:53:58
4521,6131,Hendrik,De Villiers,RSA,40,00:18:49,00:00:51,01:01:04,00:00:24,00:32:50,44,01:53:59
4521,5655,Junichi,Yamamoto,JPN,46,00:18:35,00:00:51,01:00:18,00:00:26,00:33:58,45,01:54:09
4521,10539,Joao,Silva,POR,58,00:18:25,00:00:51,01:00:27,00:00:21,00:34:14,46,01:54:18
4521,5750,Marek,Jaskolka,POL,24,00:18:48,00:00:56,01:01:01,00:00:22,00:33:18,47,01:54:25
4521,10935,Lukas,Salvisberg,SUI,37,00:18:18,00:00:53,01:00:29,00:00:24,00:34:25,48,01:54:29
4521,19870,Ludovic,Dernier,BEL,57,00:18:27,00:00:51,01:00:26,00:00:29,00:34:20,49,01:54:32
