prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4819,7788,Alistair Brownlee,GBR,0,1020,21,3485,4526,20,1744,6291,Alistair,Brownlee,1,Elite Men
4819,5695,Javier Gomez Noya,ESP,0,1022,23,3480,4525,18,1757,6297,Javier,Gomez Noya,2,Elite Men
4819,5692,Jan Frodeno,GER,0,1026,26,3470,4522,17,1784,6321,Jan,Frodeno,3,Elite Men
4819,5332,Maik Petzold,GER,0,1019,25,3477,4521,16,1789,6325,Maik,Petzold,4,Elite Men
4819,5591,Courtney Atkinson,AUS,0,1031,27,3467,4525,17,1787,6327,Courtney,Atkinson,5,Elite Men
4819,7747,Dmitry Polyanskiy,RUS,0,1020,23,3485,4528,23,1779,6329,Dmitry,Polyanskiy,6,Elite Men
4819,5747,Steffen Justus,GER,0,1035,23,3470,4528,20,1783,6330,Steffen,Justus,7,Elite Men
4819,5302,Simon Whitfield,CAN,0,1025,21,3478,4524,18,1791,6331,Simon,Whitfield,8,Elite Men
4819,5662,Laurent Vidal,FRA,0,1035,23,3465,4523,17,1798,6337,Laurent,Vidal,9,Elite Men
4819,7743,Alexander Bryukhankov,RUS,0,1019,23,3488,4530,21,1787,6338,Alexander,Bryukhankov,10,Elite Men
4819,6560,William Clarke,GBR,0,1024,23,3476,4523,19,1800,6342,William,Clarke,11,Elite Men
4819,5320,Sven Riederer,SUI,0,1028,27,3471,4526,19,1810,6353,Sven,Riederer,12,Elite Men
4819,5823,Bruno Pais,POR,0,1046,23,3391,4460,17,1881,6356,Bruno,Pais,13,Elite Men
4819,6442,Jarrod Shoemaker,USA,0,1029,24,3477,4530,20,1809,6358,Jarrod,Shoemaker,14,Elite Men
4819,5321,Frederic Belaubre,FRA,0,1022,24,3477,4523,18,1823,6362,Frederic,Belaubre,15,Elite Men
4819,5305,Tim Don,GBR,0,1052,23,3450,4525,23,1827,6373,Tim,Don,16,Elite Men
4819,5296,Kris Gemmell,NZL,0,1025,21,3478,4524,20,1833,6377,Kris,Gemmell,17,Elite Men
4819,5348,Brent Mcmahon,CAN,0,1034,21,3467,4522,21,1834,6377,Brent,Mcmahon,18,Elite Men
4819,5755,Yulian Malyshev,RUS,0,1032,26,3473,4531,20,1836,6387,Yulian,Malyshev,19,Elite Men
4819,5629,Paul Tichelaar,CAN,0,1032,23,3414,4469,18,1905,6393,Paul,Tichelaar,20,Elite Men
4819,5683,Clark Ellice,NZL,0,1065,23,3441,4529,19,1854,6399,Clark,Ellice,21,Elite Men
4819,5651,Ivan Vasiliev,RUS,0,1022,27,3478,4527,20,1864,6409,Ivan,Vasiliev,22,Elite Men
4819,5633,Vladimir Turbayevskiy,RUS,0,1024,25,3473,4522,20,1869,6409,Vladimir,Turbayevskiy,23,Elite Men
4819,5687,Mark Fretta,USA,0,1050,26,3454,4530,23,1860,6411,Mark,Fretta,24,Elite Men
4819,6202,Kyle Jones,CAN,0,1029,25,3476,4530,17,1868,6413,Kyle,Jones,25,Elite Men
4819,5694,Ramon Ejeda Medina,ESP,0,1044,24,3459,4527,21,1870,6419,Ramon,Ejeda Medina,26,Elite Men
4819,5669,Claude Eksteen,RSA,0,1027,21,3476,4524,19,1887,6429,Claude,Eksteen,27,Elite Men
4819,5851,Tony Moulai,FRA,0,1060,23,3439,4522,20,1902,6442,Tony,Moulai,28,Elite Men
4819,5297,Bevan Docherty,NZL,0,1027,23,3475,4525,20,1902,6445,Bevan,Docherty,29,Elite Men
4819,5327,Hirokatsu Tayama,JPN,0,1023,26,3480,4529,19,1900,6447,Hirokatsu,Tayama,30,Elite Men
4819,5620,Leonardo Chacon,CRC,0,1046,24,3459,4529,23,1901,6450,Leonardo,Chacon,31,Elite Men
4819,6137,Erhard Wolfaardt,RSA,0,1023,24,3482,4529,17,1907,6450,Erhard,Wolfaardt,32,Elite Men
4819,5881,Duarte Silva Marques,POR,0,1028,25,3477,4530,18,1907,6453,Duarte Silva,Marques,33,Elite Men
4819,5711,Brad Kahlefeldt,AUS,0,1050,21,3452,4523,19,1916,6457,Brad,Kahlefeldt,34,Elite Men
4819,5718,David Hauss,FRA,0,1022,25,3478,4525,20,1916,6459,David,Hauss,35,Elite Men
4819,5742,Yuichi Hosoda,JPN,0,1057,21,3446,4524,18,1930,6472,Yuichi,Hosoda,36,Elite Men
4819,11318,Kevin Collington,USA,0,1045,27,3459,4531,19,1940,6487,Kevin,Collington,37,Elite Men
4819,5654,Ryosuke Yamamoto,JPN,0,1053,21,3454,4528,19,1943,6489,Ryosuke,Yamamoto,38,Elite Men
4819,5713,Gareth Halverson,AUS,0,1027,28,3470,4525,16,1955,6494,Gareth,Halverson,39,Elite Men
4819,5331,Danylo Sapunov,UKR,0,1027,26,3410,4463,20,2025,6507,Danylo,Sapunov,40,Elite Men
4819,6086,Martin Van Barneveld,NZL,0,1027,24,3475,4526,18,1974,6517,Martin,Van Barneveld,41,Elite Men
4819,15944,Brendan Sexton,AUS,0,1052,23,3452,4527,17,1985,6527,Brendan,Sexton,42,Elite Men
4819,5802,Matthew Reed,USA,0,1031,25,3414,4470,17,2044,6530,Matthew,Reed,43,Elite Men
4819,5624,Peter Croes,BEL,0,1066,24,3436,4526,18,1987,6531,Peter,Croes,44,Elite Men
4819,5707,Arturo Garza,MEX,0,1058,20,3448,4526,19,1989,6532,Arturo,Garza,45,Elite Men
4819,6899,Ákos Vanek,HUN,0,1022,26,3478,4526,20,2024,6569,Ákos,Vanek,46,Elite Men
4819,10434,Matt Chrabot,USA,0,1044,21,3463,4528,20,2039,6587,Matt,Chrabot,47,Elite Men
4819,6131,Hendrik De Villiers,RSA,0,1047,23,3463,4533,21,2077,6631,Hendrik,De Villiers,48,Elite Men
4819,18173,Ju Seok Kim,KOR,0,1029,23,3480,4532,18,2099,6647,Ju Seok,Kim,49,Elite Men
4819,16895,Cameron Dye,USA,0,1024,26,3484,4534,21,2248,6803,Cameron,Dye,50,Elite Men
4819,5776,Hiroki Sugimoto,JPN,0,1044,23,3830,4897,20,2240,7155,Hiroki,Sugimoto,51,Elite Men
