prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4547,6442,Jarrod Shoemaker,USA,6,1000,44,3406,4450,20,1777,6246,Jarrod,Shoemaker,1,Elite Men
4547,5711,Brad Kahlefeldt,AUS,2,1005,38,3400,4443,22,1790,6254,Brad,Kahlefeldt,2,Elite Men
4547,7743,Alexander Bryukhankov,RUS,8,995,41,3414,4450,24,1785,6256,Alexander,Bryukhankov,3,Elite Men
4547,5747,Steffen Justus,GER,9,997,35,3415,4447,21,1795,6261,Steffen,Justus,4,Elite Men
4547,5297,Bevan Docherty,NZL,14,1028,37,3379,4444,19,1803,6265,Bevan,Docherty,5,Elite Men
4547,5332,Maik Petzold,GER,1,982,35,3428,4445,20,1807,6269,Maik,Petzold,6,Elite Men
4547,5296,Kris Gemmell,NZL,5,1004,39,3400,4443,19,1810,6269,Kris,Gemmell,7,Elite Men
4547,7747,Dmitry Polyanskiy,RUS,4,999,39,3406,4444,20,1818,6281,Dmitry,Polyanskiy,8,Elite Men
4547,5302,Simon Whitfield,CAN,20,992,36,3418,4446,20,1824,6289,Simon,Whitfield,9,Elite Men
4547,5692,Jan Frodeno,GER,7,1022,38,3383,4443,19,1835,6295,Jan,Frodeno,10,Elite Men
4547,5629,Paul Tichelaar,CAN,30,993,40,3331,4364,20,1915,6297,Paul,Tichelaar,11,Elite Men
4547,5755,Yulian Malyshev,RUS,11,993,39,3420,4452,23,1828,6301,Yulian,Malyshev,12,Elite Men
4547,5348,Brent Mcmahon,CAN,10,1023,37,3384,4444,20,1844,6306,Brent,Mcmahon,13,Elite Men
4547,5824,Christian Prochnow,GER,19,1000,40,3324,4364,18,1942,6321,Christian,Prochnow,14,Elite Men
4547,5320,Sven Riederer,SUI,18,1002,41,3402,4445,21,1867,6331,Sven,Riederer,15,Elite Men
4547,5651,Ivan Vasiliev,RUS,15,995,38,3414,4447,25,1863,6334,Ivan,Vasiliev,16,Elite Men
4547,7778,Jonathan Zipf,GER,33,1035,40,3371,4446,19,1871,6334,Jonathan,Zipf,17,Elite Men
4547,7744,Ivan Tutukin,RUS,64,1041,40,3364,4445,21,1871,6337,Ivan,Tutukin,18,Elite Men
4547,5669,Claude Eksteen,RSA,45,1031,45,3372,4448,20,1873,6339,Claude,Eksteen,19,Elite Men
4547,10575,Jan Van Berkel,SUI,61,1045,36,3368,4449,20,1881,6347,Jan,Van Berkel,20,Elite Men
4547,6226,Sebastian Rank,GER,25,1007,34,3404,4445,23,1896,6362,Sebastian,Rank,21,Elite Men
4547,5633,Vladimir Turbayevskiy,RUS,28,1011,39,3398,4448,21,1905,6371,Vladimir,Turbayevskiy,22,Elite Men
4547,11318,Kevin Collington,USA,35,1030,46,3375,4451,23,1903,6374,Kevin,Collington,23,Elite Men
4547,5694,Ramon Ejeda Medina,ESP,46,1040,39,3371,4450,22,1920,6390,Ramon,Ejeda Medina,24,Elite Men
4547,10857,Nils Frommhold,GER,39,984,38,3423,4445,18,1936,6398,Nils,Frommhold,25,Elite Men
4547,6131,Hendrik De Villiers,RSA,37,1036,37,3379,4452,23,1930,6402,Hendrik,De Villiers,26,Elite Men
4547,10003,Adam Carlton,AUS,34,1025,34,3390,4449,20,1942,6409,Adam,Carlton,27,Elite Men
4547,11314,Steven Sexton,USA,50,1038,39,3376,4453,24,1949,6424,Steven,Sexton,28,Elite Men
4547,7702,Aurelien Raphael,FRA,54,975,41,3430,4446,19,1972,6435,Aurelien,Raphael,29,Elite Men
4547,6899,Ákos Vanek,HUN,24,993,44,3411,4448,24,1967,6437,Ákos,Vanek,30,Elite Men
4547,5324,Olivier Marceau,SUI,47,1039,34,3377,4450,31,1964,6444,Olivier,Marceau,31,Elite Men
4547,11293,Denis Vasiliev,RUS,23,982,43,3422,4447,22,1981,6449,Denis,Vasiliev,32,Elite Men
4547,6110,James Seear,AUS,12,1025,42,3377,4444,19,1988,6449,James,Seear,33,Elite Men
4547,5931,Andreas Giglmayr,AUT,41,1036,42,3372,4450,22,1986,6455,Andreas,Giglmayr,34,Elite Men
4547,10100,Drew Box,AUS,65,985,38,3427,4450,20,1992,6459,Drew,Box,35,Elite Men
4547,7786,Jose Miguel Perez,ESP,49,1006,40,3405,4451,20,1996,6466,Jose Miguel,Perez,36,Elite Men
4547,5742,Yuichi Hosoda,JPN,27,1021,41,3386,4448,20,2004,6470,Yuichi,Hosoda,37,Elite Men
4547,6086,Martin Van Barneveld,NZL,48,1034,38,3376,4448,20,2008,6473,Martin,Van Barneveld,38,Elite Men
4547,6445,Stijn Goris,BEL,60,1027,38,3387,4452,22,2013,6485,Stijn,Goris,39,Elite Men
4547,6973,Dominik Berger,AUT,63,1031,39,3295,4365,20,2105,6488,Dominik,Berger,40,Elite Men
4547,5687,Mark Fretta,USA,22,1033,40,3291,4364,20,2116,6498,Mark,Fretta,41,Elite Men
4547,6198,Matthew Seymour,USA,53,1022,44,3388,4454,21,2034,6506,Matthew,Seymour,42,Elite Men
4547,25165,Grégory Rouault,USA,62,1047,41,3551,4639,20,1874,6532,Grégory,Rouault,43,Elite Men
4547,10014,Joshua Maeder,AUS,40,978,50,3422,4450,20,2069,6536,Joshua,Maeder,44,Elite Men
4547,6192,Yohann Vincent,FRA,32,1043,43,3554,4640,25,1881,6545,Yohann,Vincent,45,Elite Men
4547,5881,Duarte Silva Marques,POR,29,1038,38,3378,4454,22,2082,6555,Duarte Silva,Marques,46,Elite Men
4547,6997,Pavel Simko,SVK,59,1024,40,3385,4449,22,2120,6589,Pavel,Simko,47,Elite Men
4547,11092,Richard Varga,SVK,43,969,44,3441,4454,22,2137,6611,Richard,Varga,48,Elite Men
4547,6707,Jan Celustka,CZE,36,1042,42,3557,4641,23,2001,6663,Jan,Celustka,49,Elite Men
4547,5835,Jorge Eduardo Arias,COL,56,1044,44,3553,4641,23,2027,6688,Jorge Eduardo,Arias,50,Elite Men
4547,5638,Daniel Unger,GER,16,1002,40,3665,4707,21,1996,6722,Daniel,Unger,51,Elite Men
