prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4546,5526,Emma Moffatt,AUS,1,1053,46,3781,4880,25,2068,6972,Emma,Moffatt,1,Elite Women
4546,6120,Lisa Norden,SWE,7,1065,45,3771,4881,21,2125,7026,Lisa,Norden,2,Elite Women
4546,7766,Daniela Ryf,SUI,4,1097,39,3745,4881,23,2155,7059,Daniela,Ryf,3,Elite Women
4546,5476,Lauren Groves,CAN,5,1100,43,3830,4973,29,2077,7078,Lauren,Groves,4,Elite Women
4546,6150,Barbara Riveros,CHI,14,1102,43,3825,4970,25,2090,7082,Barbara,Riveros,5,Elite Women
4546,6210,Sarah Haskins,USA,6,1053,43,3879,4975,28,2086,7087,Sarah,Haskins,6,Elite Women
4546,5312,Anja Dittmer,GER,10,1102,54,3815,4971,23,2099,7092,Anja,Dittmer,7,Elite Women
4546,6848,Melanie Hauss,SUI,22,1066,41,3864,4971,26,2094,7093,Melanie,Hauss,8,Elite Women
4546,6963,Irina Abysova,RUS,36,1067,43,3863,4973,26,2099,7095,Irina,Abysova,9,Elite Women
4546,5571,Kathy Tremblay,CAN,2,1106,38,3826,4970,23,2109,7100,Kathy,Tremblay,10,Elite Women
4546,6706,Kathrin Muller,GER,46,1064,40,3867,4971,25,2109,7103,Kathrin,Muller,11,Elite Women
4546,17143,Svenja Bazlen,GER,47,1100,48,3822,4970,26,2109,7103,Svenja,Bazlen,12,Elite Women
4546,5523,Magali Di Marco Messmer,SUI,3,1056,39,3877,4972,24,2111,7104,Magali,Di Marco Messmer,13,Elite Women
4546,5567,Debbie Tanner,NZL,12,1098,41,3833,4972,25,2123,7118,Debbie,Tanner,14,Elite Women
4546,12674,Paula Findlay,CAN,31,1058,43,3874,4975,25,2134,7132,Paula,Findlay,15,Elite Women
4546,5517,Annabel Luxford,AUS,33,1056,40,3875,4971,28,2153,7149,Annabel,Luxford,16,Elite Women
4546,5399,Laura Bennett,USA,24,1056,41,3878,4975,28,2150,7153,Laura,Bennett,17,Elite Women
4546,5407,Ricarda Lisk,GER,21,1102,50,3818,4970,21,2196,7185,Ricarda,Lisk,18,Elite Women
4546,6069,Nicky Samuels,NZL,9,1104,39,3830,4973,26,2196,7193,Nicky,Samuels,19,Elite Women
4546,5565,Misato Takagi,JPN,27,1107,43,3823,4973,32,2195,7199,Misato,Takagi,20,Elite Women
4546,5385,Jodie Swallow,GBR,30,1053,40,3882,4975,26,2212,7212,Jodie,Swallow,21,Elite Women
4546,5404,Christiane Pilz,GER,17,1102,41,3832,4975,24,2247,7246,Christiane,Pilz,22,Elite Women
4546,5576,Ai Ueda,JPN,18,1112,41,3986,5139,26,2092,7256,Ai,Ueda,23,Elite Women
4546,6435,Jenna Parker,USA,37,1077,48,3846,4971,28,2285,7284,Jenna,Parker,24,Elite Women
4546,5376,Ainhoa Murua Zubizarreta,ESP,20,1104,46,3989,5139,28,2126,7289,Ainhoa,Murua Zubizarreta,25,Elite Women
4546,6246,Sarah True,USA,11,1089,47,3949,5085,27,2196,7307,Sarah,True,26,Elite Women
4546,23914,Alena Stawczynski,GER,48,1058,46,3864,4968,28,2323,7319,Alena,Stawczynski,27,Elite Women
4546,5360,Kate Allen,AUT,16,1159,43,3998,5200,26,2123,7349,Kate,Allen,28,Elite Women
4546,10930,Sarah Fladung,GER,38,1108,43,3986,5137,24,2189,7351,Sarah,Fladung,29,Elite Women
4546,6861,Maria Pujol,ESP,42,1102,43,3994,5139,29,2205,7371,Maria,Pujol,30,Elite Women
4546,6847,Anina Stampfli,SUI,43,1113,41,3986,5140,26,2212,7377,Anina,Stampfli,31,Elite Women
4546,7803,Vicky Van Der Merwe,RSA,35,1111,51,4039,5201,28,2179,7406,Vicky,Van Der Merwe,32,Elite Women
4546,5854,Birgit Cals-Berk,NED,32,1106,40,3995,5141,29,2241,7409,Birgit,Cals-Berk,33,Elite Women
4546,6357,Hideko Kikuchi,JPN,40,1153,41,4005,5199,23,2257,7478,Hideko,Kikuchi,34,Elite Women
4546,5548,Zuriñe Rodriguez Sanchez,ESP,29,1105,41,3993,5139,27,2418,7583,Zuriñe,Rodriguez Sanchez,35,Elite Women
4546,6336,Keiko Tanaka,JPN,39,1103,46,3990,5139,26,2434,7598,Keiko,Tanaka,36,Elite Women
4546,10761,Lydia Waldmüller,AUT,44,1139,46,4013,5198,24,2413,7633,Lydia,Waldmüller,37,Elite Women
