prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4544,7788,Alistair Brownlee,GBR,2,975,53,3307,4335,24,1836,6193,Alistair,Brownlee,1,Elite Men
4544,5695,Javier Gomez Noya,ESP,1,971,55,3308,4334,27,1843,6201,Javier,Gomez Noya,2,Elite Men
4544,5662,Laurent Vidal,FRA,7,1010,54,3271,4335,24,1846,6204,Laurent,Vidal,3,Elite Men
4544,5332,Maik Petzold,GER,6,976,56,3301,4333,25,1859,6216,Maik,Petzold,4,Elite Men
4544,5638,Daniel Unger,GER,25,1005,55,3276,4336,23,1874,6231,Daniel,Unger,5,Elite Men
4544,5320,Sven Riederer,SUI,29,980,58,3296,4334,29,1880,6241,Sven,Riederer,6,Elite Men
4544,6560,William Clarke,GBR,11,992,54,3293,4339,27,1881,6245,William,Clarke,7,Elite Men
4544,5755,Yulian Malyshev,RUS,57,983,57,3303,4343,28,1876,6245,Yulian,Malyshev,8,Elite Men
4544,5296,Kris Gemmell,NZL,32,998,50,3287,4335,34,1884,6251,Kris,Gemmell,9,Elite Men
4544,7747,Dmitry Polyanskiy,RUS,9,982,57,3302,4341,28,1886,6253,Dmitry,Polyanskiy,10,Elite Men
4544,5823,Bruno Pais,POR,21,1008,55,3241,4304,28,1929,6258,Bruno,Pais,11,Elite Men
4544,5591,Courtney Atkinson,AUS,4,974,50,3312,4336,26,1911,6272,Courtney,Atkinson,12,Elite Men
4544,11378,Jonathan Brownlee,GBR,60,978,53,3307,4338,24,1913,6274,Jonathan,Brownlee,13,Elite Men
4544,5713,Gareth Halverson,AUS,20,982,57,3302,4341,27,1919,6284,Gareth,Halverson,14,Elite Men
4544,5683,Clark Ellice,NZL,36,1001,53,3284,4338,27,1940,6303,Clark,Ellice,15,Elite Men
4544,5348,Brent Mcmahon,CAN,15,996,52,3286,4334,28,1947,6308,Brent,Mcmahon,16,Elite Men
4544,12431,David Mcnamee,GBR,65,1000,56,3284,4340,32,1941,6311,David,Mcnamee,17,Elite Men
4544,6110,James Seear,AUS,16,983,58,3293,4334,25,1963,6320,James,Seear,18,Elite Men
4544,5881,Duarte Silva Marques,POR,48,979,54,3310,4343,26,1955,6322,Duarte Silva,Marques,19,Elite Men
4544,5629,Paul Tichelaar,CAN,46,999,56,3248,4303,33,1995,6329,Paul,Tichelaar,20,Elite Men
4544,5624,Peter Croes,BEL,19,1004,56,3276,4336,28,1969,6331,Peter,Croes,21,Elite Men
4544,5321,Frederic Belaubre,FRA,34,973,58,3313,4344,36,1956,6334,Frederic,Belaubre,22,Elite Men
4544,6202,Kyle Jones,CAN,23,998,54,3288,4340,25,1973,6336,Kyle,Jones,23,Elite Men
4544,5679,Cedric Fleureton,FRA,24,999,57,3284,4340,29,1972,6339,Cedric,Fleureton,24,Elite Men
4544,5664,Emilio D'Aquino,ITA,33,1005,57,3276,4338,33,1977,6347,Emilio,D'Aquino,25,Elite Men
4544,11060,Alessandro Fabian,ITA,58,978,58,3343,4379,29,1950,6357,Alessandro,Fabian,26,Elite Men
4544,5297,Bevan Docherty,NZL,14,1007,55,3337,4399,29,1963,6389,Bevan,Docherty,27,Elite Men
4544,5605,Sander Berk,NED,38,1000,56,3286,4342,30,2027,6397,Sander,Berk,28,Elite Men
4544,6131,Hendrik De Villiers,RSA,44,1001,56,3284,4341,30,2046,6415,Hendrik,De Villiers,29,Elite Men
4544,6899,Ákos Vanek,HUN,27,977,56,3306,4339,31,2062,6430,Ákos,Vanek,30,Elite Men
4544,6707,Jan Celustka,CZE,43,999,59,3282,4340,28,2072,6437,Jan,Celustka,31,Elite Men
4544,9887,Callum Millward,NZL,51,1006,60,3397,4463,27,1959,6447,Callum,Millward,32,Elite Men
4544,5711,Brad Kahlefeldt,AUS,3,1006,53,3279,4338,24,2090,6450,Brad,Kahlefeldt,33,Elite Men
4544,5331,Danylo Sapunov,UKR,17,997,60,3285,4342,28,2130,6497,Danylo,Sapunov,34,Elite Men
