prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4543,5526,Emma Moffatt,AUS,1,1072,61,3641,4774,23,2082,6878,Emma,Moffatt,1,Elite Women
4543,5372,Nicola Spirig,SUI,34,1111,56,3608,4775,24,2115,6912,Nicola,Spirig,2,Elite Women
4543,6783,Andrea Hewitt,NZL,2,1075,57,3646,4778,25,2116,6917,Andrea,Hewitt,3,Elite Women
4543,5571,Kathy Tremblay,CAN,7,1076,54,3645,4775,23,2125,6921,Kathy,Tremblay,4,Elite Women
4543,5573,Helen Jenkins,GBR,6,1073,58,3647,4778,24,2126,6927,Helen,Jenkins,5,Elite Women
4543,7817,Yuliya Yelistratova,UKR,27,1113,57,3611,4781,27,2122,6928,Yuliya,Yelistratova,6,Elite Women
4543,5360,Kate Allen,AUT,22,1135,61,3585,4781,29,2121,6929,Kate,Allen,7,Elite Women
4543,8739,Kate Mcilroy,NZL,31,1076,61,3643,4780,27,2128,6932,Kate,Mcilroy,8,Elite Women
4543,5467,Vendula Frintova,CZE,10,1112,53,3614,4779,21,2139,6938,Vendula,Frintova,9,Elite Women
4543,5476,Lauren Groves,CAN,8,1086,56,3641,4783,27,2140,6947,Lauren,Groves,10,Elite Women
4543,5407,Ricarda Lisk,GER,20,1076,56,3646,4778,24,2162,6962,Ricarda,Lisk,11,Elite Women
4543,11409,Hollie Avil,GBR,36,1064,72,3639,4775,28,2176,6978,Hollie,Avil,12,Elite Women
4543,5523,Magali Di Marco Messmer,SUI,5,1073,54,3651,4778,23,2182,6981,Magali,Di Marco Messmer,13,Elite Women
4543,5547,Kate Roberts,RSA,26,1079,55,3642,4776,30,2180,6985,Kate,Roberts,14,Elite Women
4543,5452,Marina Damlaimcourt,ESP,21,1104,60,3618,4782,26,2185,6991,Marina,Damlaimcourt,15,Elite Women
4543,12674,Paula Findlay,CAN,43,1074,60,3646,4780,25,2197,7001,Paula,Findlay,16,Elite Women
4543,15483,Lisa Mensink,CAN,23,1080,57,3644,4781,24,2213,7016,Lisa,Mensink,17,Elite Women
4543,6069,Nicky Samuels,NZL,9,1120,51,3608,4779,23,2217,7017,Nicky,Samuels,18,Elite Women
4543,5410,Jessica Harrison,FRA,3,1078,55,3644,4777,23,2231,7029,Jessica,Harrison,19,Elite Women
4543,11018,Zsófia Tóth,HUN,40,1113,57,3611,4781,28,2231,7037,Zsófia,Tóth,20,Elite Women
4543,5943,Maria Czesnik,POL,14,1070,63,3644,4777,29,2242,7046,Maria,Czesnik,21,Elite Women
4543,6848,Melanie Hauss,SUI,16,1076,57,3645,4778,24,2248,7048,Melanie,Hauss,22,Elite Women
4543,5564,Zita Szabó,HUN,17,1137,65,3577,4779,25,2249,7052,Zita,Szabó,23,Elite Women
4543,5567,Debbie Tanner,NZL,11,1077,61,3638,4776,24,2259,7058,Debbie,Tanner,24,Elite Women
4543,5854,Birgit Cals-Berk,NED,30,1073,53,3651,4777,29,2266,7070,Birgit,Cals-Berk,25,Elite Women
4543,5548,Zuriñe Rodriguez Sanchez,ESP,25,1086,54,3638,4778,23,2298,7097,Zuriñe,Rodriguez Sanchez,26,Elite Women
4543,5376,Ainhoa Murua Zubizarreta,ESP,15,1074,61,3641,4776,24,2339,7137,Ainhoa,Murua Zubizarreta,27,Elite Women
4543,6224,Kerry Lang,GBR,18,1072,58,3646,4776,27,2349,7151,Kerry,Lang,28,Elite Women
4543,6336,Keiko Tanaka,JPN,38,1111,62,3608,4781,31,2358,7168,Keiko,Tanaka,29,Elite Women
4543,6357,Hideko Kikuchi,JPN,35,1149,53,3581,4783,31,2378,7190,Hideko,Kikuchi,30,Elite Women
4543,29104,Hayley Peirsol,USA,42,996,66,3731,4793,35,2386,7212,Hayley,Peirsol,31,Elite Women
4543,7803,Vicky Van Der Merwe,RSA,28,1079,59,3646,4784,31,2413,7225,Vicky,Van Der Merwe,32,Elite Women
4543,5404,Christiane Pilz,GER,12,1082,56,3638,4776,23,2461,7258,Christiane,Pilz,33,Elite Women
4543,7004,Irina Kirchler,AUT,49,1188,55,3653,4896,26,2341,7262,Irina,Kirchler,34,Elite Women
4543,6847,Anina Stampfli,SUI,44,1116,58,3608,4782,27,2464,7272,Anina,Stampfli,35,Elite Women
4543,6898,Olesya Prystayko,UKR,39,1190,56,3650,4896,25,2374,7293,Olesya,Prystayko,36,Elite Women
4543,10761,Lydia Waldmüller,AUT,45,1118,62,3603,4783,26,2519,7326,Lydia,Waldmüller,37,Elite Women
4543,6338,Chie Nakashima,JPN,29,1068,62,3653,4783,25,2525,7330,Chie,Nakashima,38,Elite Women
4543,13278,Olesya Dereza,UKR,46,1079,60,3644,4783,30,2781,7592,Olesya,Dereza,39,Elite Women
4543,5532,Saori Ohmatsu,JPN,37,1153,60,3935,5148,27,2466,7639,Saori,Ohmatsu,40,Elite Women
