prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4541,7788,Alistair Brownlee,GBR,1,1084,31,3232,4347,41,1723,6110,Alistair,Brownlee,1,Elite Men
4541,5747,Steffen Justus,GER,10,1118,35,3195,4348,39,1734,6118,Steffen,Justus,2,Elite Men
4541,5296,Kris Gemmell,NZL,8,1120,31,3196,4347,32,1744,6121,Kris,Gemmell,3,Elite Men
4541,6226,Sebastian Rank,GER,26,1128,33,3188,4349,34,1741,6121,Sebastian,Rank,4,Elite Men
4541,5662,Laurent Vidal,FRA,7,1092,32,3223,4347,38,1752,6136,Laurent,Vidal,5,Elite Men
4541,5718,David Hauss,FRA,18,1092,34,3223,4349,36,1755,6137,David,Hauss,6,Elite Men
4541,5591,Courtney Atkinson,AUS,9,1136,33,3179,4348,34,1765,6144,Courtney,Atkinson,7,Elite Men
4541,5851,Tony Moulai,FRA,38,1154,36,3157,4347,40,1764,6149,Tony,Moulai,8,Elite Men
4541,5305,Tim Don,GBR,19,1150,34,3166,4350,36,1767,6151,Tim,Don,9,Elite Men
4541,7778,Jonathan Zipf,GER,32,1148,35,3166,4349,38,1767,6152,Jonathan,Zipf,10,Elite Men
4541,5320,Sven Riederer,SUI,14,1100,34,3214,4348,36,1780,6161,Sven,Riederer,11,Elite Men
4541,7747,Dmitry Polyanskiy,RUS,5,1086,34,3230,4350,38,1784,6169,Dmitry,Polyanskiy,12,Elite Men
4541,6192,Yohann Vincent,FRA,46,1149,32,3168,4349,36,1788,6171,Yohann,Vincent,13,Elite Men
4541,6560,William Clarke,GBR,11,1126,32,3188,4346,35,1795,6175,William,Clarke,14,Elite Men
4541,7743,Alexander Bryukhankov,RUS,6,1094,33,3223,4350,42,1788,6178,Alexander,Bryukhankov,15,Elite Men
4541,5638,Daniel Unger,GER,17,1109,33,3206,4348,35,1819,6200,Daniel,Unger,16,Elite Men
4541,7744,Ivan Tutukin,RUS,27,1139,35,3174,4348,37,1817,6200,Ivan,Tutukin,17,Elite Men
4541,10575,Jan Van Berkel,SUI,45,1152,36,3161,4349,37,1818,6202,Jan,Van Berkel,18,Elite Men
4541,5669,Claude Eksteen,RSA,43,1137,34,3177,4348,37,1820,6204,Claude,Eksteen,19,Elite Men
4541,5942,Gavin Noble,IRL,52,1152,34,3166,4352,36,1823,6208,Gavin,Noble,20,Elite Men
4541,5620,Leonardo Chacon,CRC,25,1128,36,3186,4350,38,1824,6210,Leonardo,Chacon,21,Elite Men
4541,5654,Ryosuke Yamamoto,JPN,24,1140,36,3173,4349,36,1827,6211,Ryosuke,Yamamoto,22,Elite Men
4541,5683,Clark Ellice,NZL,29,1144,40,3167,4351,37,1832,6217,Clark,Ellice,23,Elite Men
4541,5651,Ivan Vasiliev,RUS,12,1081,36,3232,4349,38,1837,6221,Ivan,Vasiliev,24,Elite Men
4541,6087,James Elvery,NZL,58,1145,36,3167,4348,37,1842,6225,James,Elvery,25,Elite Men
4541,11378,Jonathan Brownlee,GBR,33,1085,31,3233,4349,35,1846,6228,Jonathan,Brownlee,26,Elite Men
4541,6084,Dan Wilson,AUS,23,1149,33,3168,4350,37,1850,6236,Dan,Wilson,27,Elite Men
4541,10857,Nils Frommhold,GER,42,1121,34,3194,4349,34,1861,6242,Nils,Frommhold,28,Elite Men
4541,5931,Andreas Giglmayr,AUT,53,1151,32,3166,4349,43,1855,6244,Andreas,Giglmayr,29,Elite Men
4541,11818,Ryan Sissons,NZL,60,1139,32,3179,4350,36,1866,6251,Ryan,Sissons,30,Elite Men
4541,5624,Peter Croes,BEL,22,1137,32,3179,4348,33,1876,6256,Peter,Croes,31,Elite Men
4541,5327,Hirokatsu Tayama,JPN,31,1086,34,3230,4350,38,1874,6261,Hirokatsu,Tayama,32,Elite Men
4541,5349,Juraci Moreira,BRA,57,1142,35,3173,4350,36,1888,6273,Juraci,Moreira,33,Elite Men
4541,6110,James Seear,AUS,15,1120,32,3198,4350,39,1890,6276,James,Seear,34,Elite Men
4541,5824,Christian Prochnow,GER,16,1144,33,3172,4349,37,1892,6276,Christian,Prochnow,35,Elite Men
4541,5802,Matthew Reed,USA,51,1136,37,3174,4347,39,1903,6288,Matthew,Reed,36,Elite Men
4541,5713,Gareth Halverson,AUS,21,1132,34,3184,4350,40,1907,6294,Gareth,Halverson,37,Elite Men
4541,5679,Cedric Fleureton,FRA,28,1150,35,3165,4350,40,1924,6313,Cedric,Fleureton,38,Elite Men
4541,5703,Brian Fleischmann,USA,59,1090,35,3227,4352,40,1935,6324,Brian,Fleischmann,39,Elite Men
4541,9887,Callum Millward,NZL,56,1156,33,3163,4352,38,1947,6335,Callum,Millward,40,Elite Men
4541,17584,Aaron Harris,GBR,66,1129,36,3186,4351,38,1952,6339,Aaron,Harris,41,Elite Men
4541,5359,Stuart Hayes,GBR,34,1151,36,3255,4442,36,1874,6350,Stuart,Hayes,42,Elite Men
4541,10107,Josh Mchugh,AUS,55,1143,35,3173,4351,38,2008,6395,Josh,Mchugh,43,Elite Men
4541,5321,Frederic Belaubre,FRA,36,1083,36,3230,4349,40,2023,6410,Frederic,Belaubre,44,Elite Men
4541,5837,Luciano Farias,ARG,63,1088,34,3230,4352,38,2026,6414,Luciano,Farias,45,Elite Men
4541,7145,Bruno Matheus,BRA,65,1152,35,3164,4351,33,2071,6453,Bruno,Matheus,46,Elite Men
4541,5657,Ruedi Wild,SUI,50,1158,34,3569,4761,13,2114,6887,Ruedi,Wild,47,Elite Men
