prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4540,5372,Nicola Spirig,SUI,22,1212,38,3599,4849,39,1979,6864,Nicola,Spirig,1,Elite Women
4540,6120,Lisa Norden,SWE,3,1190,34,3624,4848,40,1980,6866,Lisa,Norden,2,Elite Women
4540,5573,Helen Jenkins,GBR,5,1175,36,3638,4849,41,1981,6869,Helen,Jenkins,3,Elite Women
4540,5398,Elizabeth May,LUX,33,1224,39,3588,4851,41,1989,6878,Elizabeth,May,4,Elite Women
4540,5312,Anja Dittmer,GER,8,1227,36,3587,4850,40,2007,6895,Anja,Dittmer,5,Elite Women
4540,7766,Daniela Ryf,SUI,2,1190,35,3624,4849,40,2010,6897,Daniela,Ryf,6,Elite Women
4540,5407,Ricarda Lisk,GER,20,1223,36,3592,4851,40,2011,6900,Ricarda,Lisk,7,Elite Women
4540,5567,Debbie Tanner,NZL,14,1186,38,3627,4851,36,2019,6905,Debbie,Tanner,8,Elite Women
4540,6783,Andrea Hewitt,NZL,1,1180,35,3634,4849,38,2021,6907,Andrea,Hewitt,9,Elite Women
4540,6246,Sarah True,USA,15,1178,38,3636,4852,41,2026,6916,Sarah,True,10,Elite Women
4540,11385,Jodie Stimpson,GBR,61,1237,35,3581,4853,35,2039,6925,Jodie,Stimpson,11,Elite Women
4540,8739,Kate Mcilroy,NZL,17,1190,37,3625,4852,43,2057,6950,Kate,Mcilroy,12,Elite Women
4540,5523,Magali Di Marco Messmer,SUI,6,1197,36,3618,4851,38,2072,6959,Magali,Di Marco Messmer,13,Elite Women
4540,5517,Annabel Luxford,AUS,28,1170,36,3643,4849,41,2083,6971,Annabel,Luxford,14,Elite Women
4540,11141,Emmie Charayron,FRA,58,1219,38,3594,4851,37,2086,6972,Emmie,Charayron,15,Elite Women
4540,11409,Hollie Avil,GBR,35,1220,42,3587,4849,44,2084,6975,Hollie,Avil,16,Elite Women
4540,5376,Ainhoa Murua Zubizarreta,ESP,24,1176,38,3634,4848,37,2093,6977,Ainhoa,Murua Zubizarreta,17,Elite Women
4540,6848,Melanie Hauss,SUI,12,1196,36,3618,4850,39,2093,6980,Melanie,Hauss,18,Elite Women
4540,17143,Svenja Bazlen,GER,36,1237,40,3574,4851,41,2092,6981,Svenja,Bazlen,19,Elite Women
4540,6706,Kathrin Muller,GER,32,1238,38,3573,4849,44,2091,6983,Kathrin,Muller,20,Elite Women
4540,5564,Zita Szabó,HUN,26,1223,37,3591,4851,39,2098,6987,Zita,Szabó,21,Elite Women
4540,5842,Liz Blatchford,GBR,25,1188,38,3624,4850,41,2104,6993,Liz,Blatchford,22,Elite Women
4540,5385,Jodie Swallow,GBR,27,1180,42,3630,4852,50,2100,7000,Jodie,Swallow,23,Elite Women
4540,6069,Nicky Samuels,NZL,16,1230,36,3583,4849,42,2122,7010,Nicky,Samuels,24,Elite Women
4540,6224,Kerry Lang,GBR,31,1197,40,3615,4852,43,2133,7026,Kerry,Lang,25,Elite Women
4540,5539,Carole Peon,FRA,30,1239,39,3672,4950,38,2048,7035,Carole,Peon,26,Elite Women
4540,17056,Szandra Szalay,HUN,52,1232,39,3581,4852,43,2152,7045,Szandra,Szalay,27,Elite Women
4540,5576,Ai Ueda,JPN,21,1288,38,3625,4951,42,2055,7046,Ai,Ueda,28,Elite Women
4540,5369,Kiyomi Niwata,JPN,11,1244,41,3666,4951,43,2057,7050,Kiyomi,Niwata,29,Elite Women
4540,6122,Felicity Sheedy-Ryan,AUS,41,1291,37,3622,4950,45,2083,7076,Felicity,Sheedy-Ryan,30,Elite Women
4540,5547,Kate Roberts,RSA,29,1233,41,3627,4901,46,2142,7086,Kate,Roberts,31,Elite Women
4540,6435,Jenna Parker,USA,43,1210,36,3607,4853,41,2203,7093,Jenna,Parker,32,Elite Women
4540,6861,Maria Pujol,ESP,40,1240,35,3627,4902,42,2157,7098,Maria,Pujol,33,Elite Women
4540,6963,Irina Abysova,RUS,18,1202,40,3711,4953,42,2132,7125,Irina,Abysova,34,Elite Women
4540,11836,Emma Davis,IRL,57,1194,38,3618,4850,40,2243,7131,Emma,Davis,35,Elite Women
4540,21486,Pamella Oliveira,BRA,56,1177,38,3637,4852,42,2287,7179,Pamella,Oliveira,36,Elite Women
4540,7004,Irina Kirchler,AUT,48,1291,36,3624,4951,41,2197,7186,Irina,Kirchler,37,Elite Women
4540,6336,Keiko Tanaka,JPN,46,1240,37,3674,4951,43,2197,7189,Keiko,Tanaka,38,Elite Women
4540,7730,Rebecca Spence,NZL,51,1200,36,3617,4853,39,2326,7216,Rebecca,Spence,39,Elite Women
4540,6150,Barbara Riveros,CHI,9,1316,40,3840,5196,42,2036,7272,Barbara,Riveros,40,Elite Women
4540,6357,Hideko Kikuchi,JPN,47,1238,36,3680,4954,41,2281,7274,Hideko,Kikuchi,41,Elite Women
4540,5467,Vendula Frintova,CZE,10,1303,36,3856,5195,38,2078,7309,Vendula,Frintova,42,Elite Women
4540,10761,Lydia Waldmüller,AUT,53,1230,38,3625,4893,44,2385,7320,Lydia,Waldmüller,43,Elite Women
4540,17660,Sarah Crowley,AUS,50,1350,38,3807,5195,47,2108,7348,Sarah,Crowley,44,Elite Women
