program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
4537,6783,Andrea,Hewitt,NZL,23,00:20:09,00:01:20,01:08:10,00:00:26,00:35:51,1,02:05:58
4537,6120,Lisa,Norden,SWE,26,00:20:11,00:01:18,01:08:12,00:00:29,00:35:47,2,02:05:59
4537,5410,Jessica,Harrison,FRA,7,00:19:39,00:01:18,01:08:42,00:00:29,00:35:48,3,02:05:59
4537,5404,Christiane,Pilz,GER,32,00:20:01,00:01:23,01:08:18,00:00:29,00:35:52,4,02:06:01
4537,6210,Sarah,Haskins,USA,30,00:19:35,00:01:20,01:08:46,00:00:31,00:35:51,5,02:06:03
4537,5523,Magali,Di Marco Messmer,SUI,3,00:20:01,00:01:18,01:08:24,00:00:27,00:36:08,6,02:06:17
4537,5371,Samantha,Warriner,NZL,4,00:20:58,00:01:21,01:08:55,00:00:27,00:35:03,7,02:06:44
4537,7766,Daniela,Ryf,SUI,24,00:20:02,00:01:16,01:08:21,00:00:29,00:36:42,8,02:06:52
4537,6246,Sarah,True,USA,25,00:19:36,00:01:23,01:08:45,00:00:31,00:37:10,9,02:07:24
4537,5576,Ai,Ueda,JPN,22,00:20:56,00:01:25,01:08:56,00:00:29,00:35:44,10,02:07:31
4537,5539,Carole,Peon,FRA,21,00:20:16,00:01:20,01:09:39,00:00:27,00:35:57,11,02:07:39
4537,5312,Anja,Dittmer,GER,10,00:20:52,00:01:16,01:09:07,00:00:31,00:36:00,12,02:07:48
4537,5943,Maria,Czesnik,POL,15,00:20:14,00:01:26,01:09:39,00:00:34,00:35:59,13,02:07:50
4537,6069,Nicky,Samuels,NZL,14,00:19:59,00:01:20,01:08:24,00:00:31,00:37:46,14,02:07:57
4537,5467,Vendula,Frintova,CZE,5,00:20:50,00:01:20,01:09:06,00:00:27,00:36:38,15,02:08:20
4537,5573,Helen,Jenkins,GBR,8,00:20:09,00:01:20,01:09:45,00:00:27,00:36:54,16,02:08:36
4537,11070,Mary Beth,Ellis,USA,28,00:20:04,00:01:25,01:08:13,00:00:46,00:38:25,17,02:08:54
4537,5452,Marina,Damlaimcourt,ESP,40,00:20:55,00:01:23,01:09:02,00:00:29,00:37:18,18,02:09:05
4537,5564,Zita,Szabó,HUN,34,00:20:11,00:01:21,01:09:46,00:00:31,00:37:33,19,02:09:22
4537,6150,Barbara,Riveros,CHI,12,00:20:52,00:01:18,01:09:05,00:00:31,00:37:46,20,02:09:31
4537,6848,Melanie,Hauss,SUI,33,00:20:03,00:01:18,01:09:57,00:00:29,00:37:50,21,02:09:36
4537,5548,Zuriñe,Rodriguez Sanchez,ESP,35,00:20:15,00:01:23,01:09:40,00:00:29,00:38:09,22,02:09:54
4537,5547,Kate,Roberts,RSA,31,00:20:12,00:01:18,01:09:45,00:00:29,00:38:13,23,02:09:55
4537,5398,Elizabeth,May,LUX,29,00:20:52,00:01:23,01:09:02,00:00:29,00:38:26,24,02:10:11
4537,5369,Kiyomi,Niwata,JPN,2,00:20:19,00:01:20,01:09:36,00:00:31,00:38:58,25,02:10:46
4537,5407,Ricarda,Lisk,GER,17,00:20:04,00:01:20,01:08:14,00:00:26,00:40:52,26,02:10:57
4537,5376,Ainhoa,Murua Zubizarreta,ESP,11,00:19:58,00:01:25,01:09:55,00:00:34,00:39:18,27,02:11:08
4537,9742,Tomoko,Sonoda,JPN,18,00:20:07,00:01:18,01:08:16,00:00:27,00:41:04,28,02:11:12
4537,5854,Birgit,Cals-Berk,NED,39,00:20:54,00:01:21,01:09:04,00:00:31,00:39:46,29,02:11:36
4537,12786,Mariko,Adachi,JPN,6,00:19:35,00:01:42,01:13:39,00:00:36,00:38:00,30,02:13:23
