prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4538,7788,Alistair Brownlee,GBR,43,1077,68,3687,4832,26,1831,6686,Alistair,Brownlee,1,Elite Men
4538,5591,Courtney Atkinson,AUS,9,1072,68,3689,4829,24,1878,6734,Courtney,Atkinson,2,Elite Men
4538,5695,Javier Gomez Noya,ESP,24,1071,68,3693,4832,27,1879,6738,Javier,Gomez Noya,3,Elite Men
4538,5332,Maik Petzold,GER,28,1067,71,3694,4832,24,1895,6751,Maik,Petzold,4,Elite Men
4538,5651,Ivan Vasiliev,RUS,25,1066,76,3688,4830,29,1900,6759,Ivan,Vasiliev,5,Elite Men
4538,7743,Alexander Bryukhankov,RUS,6,1078,70,3685,4833,36,1898,6764,Alexander,Bryukhankov,6,Elite Men
4538,7747,Dmitry Polyanskiy,RUS,2,1079,66,3687,4832,27,1927,6788,Dmitry,Polyanskiy,7,Elite Men
4538,5824,Christian Prochnow,GER,14,1075,66,3690,4831,26,1938,6796,Christian,Prochnow,8,Elite Men
4538,5711,Brad Kahlefeldt,AUS,1,1088,66,3764,4918,24,1857,6798,Brad,Kahlefeldt,9,Elite Men
4538,5692,Jan Frodeno,GER,34,1109,66,3743,4918,26,1854,6799,Jan,Frodeno,10,Elite Men
4538,6110,James Seear,AUS,26,1083,70,3679,4832,24,1944,6800,James,Seear,11,Elite Men
4538,6442,Jarrod Shoemaker,USA,5,1105,73,3747,4925,26,1849,6800,Jarrod,Shoemaker,12,Elite Men
4538,5662,Laurent Vidal,FRA,7,1092,68,3760,4920,26,1878,6822,Laurent,Vidal,13,Elite Men
4538,6560,William Clarke,GBR,36,1111,68,3741,4920,27,1879,6829,William,Clarke,14,Elite Men
4538,5718,David Hauss,FRA,33,1078,71,3684,4833,26,1979,6838,David,Hauss,15,Elite Men
4538,5851,Tony Moulai,FRA,27,1144,71,3704,4919,29,1908,6856,Tony,Moulai,16,Elite Men
4538,7787,Oliver Freeman,GBR,10,1107,75,3740,4922,26,1914,6861,Oliver,Freeman,17,Elite Men
4538,5320,Sven Riederer,SUI,29,1109,70,3739,4918,26,1931,6877,Sven,Riederer,18,Elite Men
4538,5624,Peter Croes,BEL,18,1122,70,3727,4919,24,1941,6884,Peter,Croes,19,Elite Men
4538,5348,Brent Mcmahon,CAN,16,1139,68,3713,4920,29,1938,6887,Brent,Mcmahon,20,Elite Men
4538,5823,Bruno Pais,POR,11,1111,70,3739,4920,27,1945,6893,Bruno,Pais,21,Elite Men
4538,5713,Gareth Halverson,AUS,17,1104,71,3743,4918,27,1965,6910,Gareth,Halverson,22,Elite Men
4538,5310,Reto Hug,SUI,31,1146,71,3703,4920,27,1971,6919,Reto,Hug,23,Elite Men
4538,5664,Emilio D'Aquino,ITA,50,1118,73,3733,4924,26,1973,6924,Emilio,D'Aquino,24,Elite Men
4538,5620,Leonardo Chacon,CRC,30,1121,71,3728,4920,29,1985,6936,Leonardo,Chacon,25,Elite Men
4538,6226,Sebastian Rank,GER,38,1109,71,3740,4920,26,1992,6938,Sebastian,Rank,26,Elite Men
4538,5959,Ran Alterman,ISR,39,1132,73,3718,4923,27,1994,6944,Ran,Alterman,27,Elite Men
4538,11293,Denis Vasiliev,RUS,44,1069,75,3688,4832,29,2090,6951,Denis,Vasiliev,28,Elite Men
4538,5742,Yuichi Hosoda,JPN,20,1099,71,3751,4921,29,2007,6957,Yuichi,Hosoda,29,Elite Men
4538,5605,Sander Berk,NED,46,1112,71,3740,4923,29,2025,6979,Sander,Berk,30,Elite Men
4538,5663,Andrea D'Aquino,ITA,52,1145,71,3710,4926,29,2052,7006,Andrea,D'Aquino,31,Elite Men
4538,5359,Stuart Hayes,GBR,37,1085,73,3764,4922,26,2075,7022,Stuart,Hayes,32,Elite Men
4538,5327,Hirokatsu Tayama,JPN,21,1106,71,3747,4924,29,2101,7050,Hirokatsu,Tayama,33,Elite Men
4538,7796,Francesc Godoy Contreras,ESP,60,1083,70,3770,4923,26,2109,7059,Francesc,Godoy Contreras,34,Elite Men
4538,5747,Steffen Justus,GER,4,1101,71,3925,5097,26,1945,7068,Steffen,Justus,35,Elite Men
4538,5881,Duarte Silva Marques,POR,42,1120,70,3736,4926,27,2120,7073,Duarte Silva,Marques,36,Elite Men
4538,19870,Ludovic Dernier,BEL,61,1094,71,3753,4918,34,2155,7104,Ludovic,Dernier,37,Elite Men
4538,5340,Filip Ospaly,CZE,15,1104,71,3747,4922,29,2172,7123,Filip,Ospaly,38,Elite Men
4538,5655,Junichi Yamamoto,JPN,49,1136,76,3885,5097,29,2155,7281,Junichi,Yamamoto,39,Elite Men
4538,7786,Jose Miguel Perez,ESP,56,1076,71,3951,5098,29,2304,7429,Jose Miguel,Perez,40,Elite Men
4538,5873,Jan Janour,CZE,53,1144,73,4119,5336,29,2269,7633,Jan,Janour,41,Elite Men
