prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4537,6783,Andrea Hewitt,NZL,23,1209,80,4090,5379,26,2151,7558,Andrea,Hewitt,1,Elite Women
4537,6120,Lisa Norden,SWE,26,1211,78,4092,5381,29,2147,7559,Lisa,Norden,2,Elite Women
4537,5410,Jessica Harrison,FRA,7,1179,78,4122,5379,29,2148,7559,Jessica,Harrison,3,Elite Women
4537,5404,Christiane Pilz,GER,32,1201,83,4098,5382,29,2152,7561,Christiane,Pilz,4,Elite Women
4537,6210,Sarah Haskins,USA,30,1175,80,4126,5381,31,2151,7563,Sarah,Haskins,5,Elite Women
4537,5523,Magali Di Marco Messmer,SUI,3,1201,78,4104,5383,27,2168,7577,Magali,Di Marco Messmer,6,Elite Women
4537,5371,Samantha Warriner,NZL,4,1258,81,4135,5474,27,2103,7604,Samantha,Warriner,7,Elite Women
4537,7766,Daniela Ryf,SUI,24,1202,76,4101,5379,29,2202,7612,Daniela,Ryf,8,Elite Women
4537,6246,Sarah True,USA,25,1176,83,4125,5384,31,2230,7644,Sarah,True,9,Elite Women
4537,5576,Ai Ueda,JPN,22,1256,85,4136,5477,29,2144,7651,Ai,Ueda,10,Elite Women
4537,5539,Carole Peon,FRA,21,1216,80,4179,5475,27,2157,7659,Carole,Peon,11,Elite Women
4537,5312,Anja Dittmer,GER,10,1252,76,4147,5475,31,2160,7668,Anja,Dittmer,12,Elite Women
4537,5943,Maria Czesnik,POL,15,1214,86,4179,5479,34,2159,7670,Maria,Czesnik,13,Elite Women
4537,6069,Nicky Samuels,NZL,14,1199,80,4104,5383,31,2266,7677,Nicky,Samuels,14,Elite Women
4537,5467,Vendula Frintova,CZE,5,1250,80,4146,5476,27,2198,7700,Vendula,Frintova,15,Elite Women
4537,5573,Helen Jenkins,GBR,8,1209,80,4185,5474,27,2214,7716,Helen,Jenkins,16,Elite Women
4537,11070,Mary Beth Ellis,USA,28,1204,85,4093,5382,46,2305,7734,Mary Beth,Ellis,17,Elite Women
4537,5452,Marina Damlaimcourt,ESP,40,1255,83,4142,5480,29,2238,7745,Marina,Damlaimcourt,18,Elite Women
4537,5564,Zita Szabó,HUN,34,1211,81,4186,5478,31,2253,7762,Zita,Szabó,19,Elite Women
4537,6150,Barbara Riveros,CHI,12,1252,78,4145,5475,31,2266,7771,Barbara,Riveros,20,Elite Women
4537,6848,Melanie Hauss,SUI,33,1203,78,4197,5478,29,2270,7776,Melanie,Hauss,21,Elite Women
4537,5548,Zuriñe Rodriguez Sanchez,ESP,35,1215,83,4180,5478,29,2289,7794,Zuriñe,Rodriguez Sanchez,22,Elite Women
4537,5547,Kate Roberts,RSA,31,1212,78,4185,5475,29,2293,7795,Kate,Roberts,23,Elite Women
4537,5398,Elizabeth May,LUX,29,1252,83,4142,5477,29,2306,7811,Elizabeth,May,24,Elite Women
4537,5369,Kiyomi Niwata,JPN,2,1219,80,4176,5475,31,2338,7846,Kiyomi,Niwata,25,Elite Women
4537,5407,Ricarda Lisk,GER,17,1204,80,4094,5378,26,2452,7857,Ricarda,Lisk,26,Elite Women
4537,5376,Ainhoa Murua Zubizarreta,ESP,11,1198,85,4195,5478,34,2358,7868,Ainhoa,Murua Zubizarreta,27,Elite Women
4537,9742,Tomoko Sonoda,JPN,18,1207,78,4096,5381,27,2464,7872,Tomoko,Sonoda,28,Elite Women
4537,5854,Birgit Cals-Berk,NED,39,1254,81,4144,5479,31,2386,7896,Birgit,Cals-Berk,29,Elite Women
4537,12786,Mariko Adachi,JPN,6,1175,102,4419,5696,36,2280,8003,Mariko,Adachi,30,Elite Women
4537,5360,Kate Allen,AUT,16,1306,81,4378,5765,34,2210,8008,Kate,Allen,31,Elite Women
4537,5364,Ana Burgos Acuña,ESP,41,1255,83,4428,5766,31,2214,8013,Ana,Burgos Acuña,32,Elite Women
4537,6861,Maria Pujol,ESP,42,1252,80,4431,5763,32,2336,8134,Maria,Pujol,33,Elite Women
4537,9817,Olga Dmitrieva,RUS,20,1209,81,4477,5767,31,2378,8177,Olga,Dmitrieva,34,Elite Women
4537,12785,Juri Ide,JPN,1,1177,80,4508,5765,36,2485,8286,Juri,Ide,35,Elite Women
