prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4521,5297,Bevan Docherty,NZL,1,1116,48,3618,4782,24,1820,6625,Bevan,Docherty,1,Elite Men
4521,5711,Brad Kahlefeldt,AUS,6,1108,53,3618,4779,22,1824,6625,Brad,Kahlefeldt,2,Elite Men
4521,7747,Dmitry Polyanskiy,RUS,9,1093,53,3598,4744,24,1861,6629,Dmitry,Polyanskiy,3,Elite Men
4521,5296,Kris Gemmell,NZL,7,1106,46,3623,4775,22,1841,6639,Kris,Gemmell,4,Elite Men
4521,5747,Steffen Justus,GER,10,1122,51,3605,4778,26,1837,6642,Steffen,Justus,5,Elite Men
4521,6442,Jarrod Shoemaker,USA,16,1091,56,3639,4786,24,1836,6645,Jarrod,Shoemaker,6,Elite Men
4521,7743,Alexander Bryukhankov,RUS,17,1089,51,3604,4744,26,1877,6646,Alexander,Bryukhankov,7,Elite Men
4521,5662,Laurent Vidal,FRA,3,1098,49,3628,4775,22,1848,6646,Laurent,Vidal,8,Elite Men
4521,5305,Tim Don,GBR,2,1101,53,3628,4782,26,1853,6659,Tim,Don,9,Elite Men
4521,5591,Courtney Atkinson,AUS,38,1089,61,3629,4779,22,1864,6666,Courtney,Atkinson,10,Elite Men
4521,5755,Yulian Malyshev,RUS,27,1095,51,3636,4782,24,1862,6670,Yulian,Malyshev,11,Elite Men
4521,7787,Oliver Freeman,GBR,4,1094,56,3631,4781,26,1864,6673,Oliver,Freeman,12,Elite Men
4521,6084,Dan Wilson,AUS,39,1117,49,3613,4779,22,1876,6677,Dan,Wilson,13,Elite Men
4521,5302,Simon Whitfield,CAN,5,1097,51,3633,4781,22,1873,6677,Simon,Whitfield,14,Elite Men
4521,5679,Cedric Fleureton,FRA,14,1115,53,3616,4784,24,1877,6683,Cedric,Fleureton,15,Elite Men
4521,5823,Bruno Pais,POR,26,1101,49,3629,4779,24,1894,6698,Bruno,Pais,16,Elite Men
4521,5335,Peter Robertson,AUS,19,1121,51,3607,4779,24,1899,6704,Peter,Robertson,17,Elite Men
4521,5331,Danylo Sapunov,UKR,29,1098,61,3622,4781,26,1898,6706,Danylo,Sapunov,18,Elite Men
4521,6202,Kyle Jones,CAN,11,1123,51,3607,4781,22,1905,6709,Kyle,Jones,19,Elite Men
4521,5824,Christian Prochnow,GER,15,1107,54,3622,4783,24,1903,6712,Christian,Prochnow,20,Elite Men
4521,5340,Filip Ospaly,CZE,20,1103,61,3619,4783,27,1903,6712,Filip,Ospaly,21,Elite Men
4521,5348,Brent Mcmahon,CAN,22,1120,51,3606,4777,24,1911,6713,Brent,Mcmahon,22,Elite Men
4521,73138,Igor Sysoev,RUS,12,1094,54,3631,4779,26,1909,6717,Igor,Sysoev,23,Elite Men
4521,5776,Hiroki Sugimoto,JPN,43,1121,54,3609,4784,26,1906,6718,Hiroki,Sugimoto,24,Elite Men
4521,5713,Gareth Halverson,AUS,41,1094,49,3639,4782,22,1919,6724,Gareth,Halverson,25,Elite Men
4521,5321,Frederic Belaubre,FRA,32,1087,51,3571,4709,29,1993,6731,Frederic,Belaubre,26,Elite Men
4521,5624,Peter Croes,BEL,18,1123,51,3605,4779,24,1930,6734,Peter,Croes,27,Elite Men
4521,5687,Mark Fretta,USA,30,1119,58,3533,4710,32,1998,6741,Mark,Fretta,28,Elite Men
4521,5654,Ryosuke Yamamoto,JPN,31,1092,64,3623,4779,24,1944,6749,Ryosuke,Yamamoto,29,Elite Men
4521,10434,Matt Chrabot,USA,21,1099,56,3622,4777,24,1957,6758,Matt,Chrabot,30,Elite Men
4521,6899,Ákos Vanek,HUN,50,1091,51,3637,4779,27,1957,6763,Ákos,Vanek,31,Elite Men
4521,5742,Yuichi Hosoda,JPN,34,1105,51,3626,4782,24,1967,6773,Yuichi,Hosoda,32,Elite Men
4521,5327,Hirokatsu Tayama,JPN,23,1093,56,3635,4784,22,1972,6778,Hirokatsu,Tayama,33,Elite Men
4521,5635,Joe Umphenour,USA,36,1102,56,3629,4787,22,1985,6793,Joe,Umphenour,34,Elite Men
4521,5802,Matthew Reed,USA,8,1107,56,3617,4780,26,1989,6795,Matthew,Reed,35,Elite Men
4521,5931,Andreas Giglmayr,AUT,28,1120,56,3604,4780,26,1989,6796,Andreas,Giglmayr,36,Elite Men
4521,11134,Piotr Grzegorzek,POL,67,1109,58,3618,4785,24,1989,6800,Piotr,Grzegorzek,37,Elite Men
4521,5722,Franz Höfer,AUT,25,1119,51,3614,4784,24,1992,6801,Franz,Höfer,38,Elite Men
4521,6777,Min Ho Heo,KOR,49,1097,48,3636,4781,21,2000,6803,Min Ho,Heo,39,Elite Men
4521,6707,Jan Celustka,CZE,48,1096,56,3631,4783,26,1995,6804,Jan,Celustka,40,Elite Men
4521,5705,Hideo Fukui,JPN,45,1120,59,3604,4783,26,2011,6821,Hideo,Fukui,41,Elite Men
4521,7202,Sebastien Gacond,SUI,35,1122,51,3604,4777,24,2021,6821,Sebastien,Gacond,42,Elite Men
4521,5804,Dmitriy Smurov,KAZ,54,1150,56,3639,4845,26,1967,6838,Dmitriy,Smurov,43,Elite Men
4521,6131,Hendrik De Villiers,RSA,40,1129,51,3664,4844,24,1970,6839,Hendrik,De Villiers,44,Elite Men
4521,5655,Junichi Yamamoto,JPN,46,1115,51,3618,4784,26,2038,6849,Junichi,Yamamoto,45,Elite Men
4521,10539,Joao Silva,POR,58,1105,51,3627,4783,21,2054,6858,Joao,Silva,46,Elite Men
4521,5750,Marek Jaskolka,POL,24,1128,56,3661,4845,22,1998,6865,Marek,Jaskolka,47,Elite Men
