prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4535,7788,Alistair Brownlee,GBR,7,1206,33,3421,4660,20,1860,6538,Alistair,Brownlee,1,Elite Men
4535,5695,Javier Gomez Noya,ESP,9,1208,33,3419,4660,20,1872,6551,Javier,Gomez Noya,2,Elite Men
4535,5332,Maik Petzold,GER,10,1204,38,3417,4659,20,1886,6564,Maik,Petzold,3,Elite Men
4535,5300,Andy Potts,USA,47,1204,39,3416,4659,23,1910,6591,Andy,Potts,4,Elite Men
4535,5325,Hunter Kemper,USA,43,1206,36,3415,4657,19,1949,6624,Hunter,Kemper,5,Elite Men
4535,5692,Jan Frodeno,GER,18,1219,35,3536,4790,19,1826,6632,Jan,Frodeno,6,Elite Men
4535,5662,Laurent Vidal,FRA,8,1230,37,3523,4790,19,1829,6636,Laurent,Vidal,7,Elite Men
4535,6442,Jarrod Shoemaker,USA,4,1220,38,3534,4792,21,1829,6641,Jarrod,Shoemaker,8,Elite Men
4535,5747,Steffen Justus,GER,11,1254,36,3501,4791,22,1841,6652,Steffen,Justus,9,Elite Men
4535,6560,William Clarke,GBR,24,1251,36,3504,4791,21,1848,6659,William,Clarke,10,Elite Men
4535,5711,Brad Kahlefeldt,AUS,2,1237,34,3519,4790,18,1871,6678,Brad,Kahlefeldt,11,Elite Men
4535,5348,Brent Mcmahon,CAN,20,1255,35,3500,4790,20,1870,6679,Brent,Mcmahon,12,Elite Men
4535,5718,David Hauss,FRA,15,1235,38,3519,4792,8,1880,6680,David,Hauss,13,Elite Men
4535,5687,Mark Fretta,USA,35,1239,39,3504,4782,10,1888,6680,Mark,Fretta,14,Elite Men
4535,5638,Daniel Unger,GER,44,1255,36,3500,4791,18,1874,6681,Daniel,Unger,15,Elite Men
4535,5654,Ryosuke Yamamoto,JPN,31,1246,37,3511,4794,22,1870,6684,Ryosuke,Yamamoto,16,Elite Men
4535,5359,Stuart Hayes,GBR,45,1243,37,3511,4791,6,1918,6712,Stuart,Hayes,17,Elite Men
4535,5305,Tim Don,GBR,17,1239,37,3516,4792,6,1937,6733,Tim,Don,18,Elite Men
4535,5929,Reinaldo Colucci,BRA,46,1252,39,3502,4793,19,1930,6741,Reinaldo,Colucci,19,Elite Men
4535,5624,Peter Croes,BEL,22,1245,38,3500,4783,7,1958,6747,Peter,Croes,20,Elite Men
4535,5331,Danylo Sapunov,UKR,28,1240,40,3513,4793,21,1941,6754,Danylo,Sapunov,21,Elite Men
4535,5635,Joe Umphenour,USA,37,1233,38,3524,4795,19,1954,6766,Joe,Umphenour,22,Elite Men
4535,5327,Hirokatsu Tayama,JPN,25,1253,30,3510,4793,11,1979,6782,Hirokatsu,Tayama,23,Elite Men
4535,5620,Leonardo Chacon,CRC,29,1240,37,3515,4792,22,1974,6787,Leonardo,Chacon,24,Elite Men
4535,5942,Gavin Noble,IRL,54,1237,40,3516,4793,23,2000,6814,Gavin,Noble,25,Elite Men
4535,10434,Matt Chrabot,USA,26,1238,37,3511,4786,11,2030,6825,Matt,Chrabot,26,Elite Men
4535,6899,Ákos Vanek,HUN,34,1241,38,3514,4793,22,2021,6834,Ákos,Vanek,27,Elite Men
4535,5703,Brian Fleischmann,USA,41,1218,40,3533,4791,21,2088,6898,Brian,Fleischmann,28,Elite Men
4535,10871,Ethan Brown,USA,42,1254,39,3640,4933,22,1956,6910,Ethan,Brown,29,Elite Men
4535,6202,Kyle Jones,CAN,19,1248,37,3555,4840,20,2118,6976,Kyle,Jones,30,Elite Men
4535,5355,Andriy Glushchenko,UKR,53,1260,38,3635,4933,24,2116,7071,Andriy,Glushchenko,31,Elite Men
