prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4534,5526,Emma Moffatt,AUS,3,1206,40,3867,5113,20,2064,7195,Emma,Moffatt,1,Elite Women
4534,5530,Emma Snowsill,AUS,9,1226,40,3848,5114,22,2086,7220,Emma,Snowsill,2,Elite Women
4534,7766,Daniela Ryf,SUI,12,1242,40,3830,5112,22,2129,7261,Daniela,Ryf,3,Elite Women
4534,6210,Sarah Haskins,USA,17,1205,43,3834,5082,25,2174,7278,Sarah,Haskins,4,Elite Women
4534,5573,Helen Jenkins,GBR,19,1206,38,3869,5113,23,2153,7287,Helen,Jenkins,5,Elite Women
4534,6783,Andrea Hewitt,NZL,8,1239,43,3832,5114,23,2170,7304,Andrea,Hewitt,6,Elite Women
4534,5410,Jessica Harrison,FRA,2,1211,38,3866,5115,21,2191,7325,Jessica,Harrison,7,Elite Women
4534,12785,Juri Ide,JPN,4,1232,42,3840,5114,23,2213,7348,Juri,Ide,8,Elite Women
4534,6246,Sarah True,USA,22,1209,41,3867,5117,22,2234,7372,Sarah,True,9,Elite Women
4534,5476,Lauren Groves,CAN,15,1267,39,3933,5239,22,2120,7379,Lauren,Groves,10,Elite Women
4534,5567,Debbie Tanner,NZL,26,1252,40,3824,5116,27,2253,7393,Debbie,Tanner,11,Elite Women
4534,5399,Laura Bennett,USA,40,1210,40,3865,5115,22,2271,7406,Laura,Bennett,12,Elite Women
4534,6120,Lisa Norden,SWE,11,1243,40,3830,5113,21,2283,7415,Lisa,Norden,13,Elite Women
4534,11070,Mary Beth Ellis,USA,25,1245,41,3793,5079,24,2316,7418,Mary Beth,Ellis,14,Elite Women
4534,5312,Anja Dittmer,GER,16,1264,44,3930,5238,24,2161,7421,Anja,Dittmer,15,Elite Women
4534,6150,Barbara Riveros,CHI,24,1264,38,3936,5238,30,2158,7423,Barbara,Riveros,16,Elite Women
4534,5398,Elizabeth May,LUX,31,1258,42,3939,5239,23,2193,7453,Elizabeth,May,17,Elite Women
4534,12786,Mariko Adachi,JPN,21,1241,43,3956,5240,23,2223,7483,Mariko,Adachi,18,Elite Women
4534,5523,Magali Di Marco Messmer,SUI,1,1245,41,3951,5237,21,2241,7497,Magali,Di Marco Messmer,19,Elite Women
4534,5369,Kiyomi Niwata,JPN,10,1282,42,3965,5289,23,2192,7502,Kiyomi,Niwata,20,Elite Women
4534,6224,Kerry Lang,GBR,37,1255,41,3944,5240,27,2280,7544,Kerry,Lang,21,Elite Women
4534,5571,Kathy Tremblay,CAN,6,1256,40,3941,5237,22,2297,7554,Kathy,Tremblay,22,Elite Women
4534,15483,Lisa Mensink,CAN,43,1282,43,3967,5292,21,2258,7568,Lisa,Mensink,23,Elite Women
4534,6209,Rebeccah Wassner,USA,35,1261,41,3939,5241,26,2326,7591,Rebeccah,Wassner,24,Elite Women
4534,21978,Aileen Reid,IRL,30,1274,42,4140,5456,30,2205,7689,Aileen,Reid,25,Elite Women
4534,5943,Maria Czesnik,POL,20,1289,45,4122,5456,25,2254,7734,Maria,Czesnik,26,Elite Women
4534,6338,Chie Nakashima,JPN,36,1209,41,3990,5240,24,2527,7789,Chie,Nakashima,27,Elite Women
4534,5559,Amanda Stevens,USA,38,1252,43,4110,5405,21,2433,7858,Amanda,Stevens,28,Elite Women
4534,23837,Akane Tsuchihashi,JPN,33,1210,42,4265,5517,31,2383,7928,Akane,Tsuchihashi,29,Elite Women
4534,6862,Amanda Felder,USA,41,1333,47,4078,5458,24,2463,7942,Amanda,Felder,30,Elite Women
