prog_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position,program
4531,6120,Lisa Norden,SWE,1,1101,61,3666,4828,22,2107,6955,Lisa,Norden,1,Elite Women
4531,6783,Andrea Hewitt,NZL,2,1096,63,3668,4827,19,2114,6960,Andrea,Hewitt,2,Elite Women
4531,12785,Juri Ide,JPN,6,1095,61,3672,4828,22,2114,6963,Juri,Ide,3,Elite Women
4531,5842,Liz Blatchford,GBR,14,1070,63,3696,4829,22,2131,6982,Liz,Blatchford,4,Elite Women
4531,5517,Annabel Luxford,AUS,18,1068,63,3695,4826,24,2140,6990,Annabel,Luxford,5,Elite Women
4531,5369,Kiyomi Niwata,JPN,9,1106,61,3662,4829,22,2138,6991,Kiyomi,Niwata,6,Elite Women
4531,5398,Elizabeth May,LUX,10,1105,63,3660,4828,24,2155,7005,Elizabeth,May,7,Elite Women
4531,7825,Kirsten Sweetland,CAN,12,1105,66,3658,4829,26,2157,7010,Kirsten,Sweetland,8,Elite Women
4531,6210,Sarah Haskins,USA,4,1069,66,3693,4828,22,2165,7017,Sarah,Haskins,9,Elite Women
4531,5372,Nicola Spirig,SUI,5,1124,63,3640,4827,21,2175,7022,Nicola,Spirig,10,Elite Women
4531,5407,Ricarda Lisk,GER,8,1103,61,3664,4828,26,2205,7060,Ricarda,Lisk,11,Elite Women
4531,6706,Kathrin Muller,GER,21,1104,64,3658,4826,22,2225,7072,Kathrin,Muller,12,Elite Women
4531,5567,Debbie Tanner,NZL,7,1101,61,3667,4829,24,2242,7093,Debbie,Tanner,13,Elite Women
4531,9742,Tomoko Sonoda,JPN,23,1099,63,3668,4830,21,2254,7104,Tomoko,Sonoda,14,Elite Women
4531,23837,Akane Tsuchihashi,JPN,28,1072,63,3696,4831,22,2278,7130,Akane,Tsuchihashi,15,Elite Women
4531,7766,Daniela Ryf,SUI,3,1097,63,3667,4827,22,2305,7154,Daniela,Ryf,16,Elite Women
4531,17143,Svenja Bazlen,GER,22,1105,64,3659,4828,24,2319,7172,Svenja,Bazlen,17,Elite Women
4531,11836,Emma Davis,IRL,30,1095,63,3672,4830,22,2326,7178,Emma,Davis,18,Elite Women
4531,6338,Chie Nakashima,JPN,27,1055,63,3713,4831,22,2383,7236,Chie,Nakashima,19,Elite Women
4531,5385,Jodie Swallow,GBR,19,1074,64,3739,4877,27,2364,7270,Jodie,Swallow,20,Elite Women
4531,7817,Yuliya Yelistratova,UKR,11,1128,61,3846,5035,26,2223,7284,Yuliya,Yelistratova,21,Elite Women
4531,5576,Ai Ueda,JPN,16,1216,61,3791,5068,24,2221,7315,Ai,Ueda,22,Elite Women
4531,12786,Mariko Adachi,JPN,15,1079,61,3898,5038,24,2282,7344,Mariko,Adachi,23,Elite Women
4531,6336,Keiko Tanaka,JPN,25,1106,63,3661,4830,24,2498,7354,Keiko,Tanaka,24,Elite Women
4531,8609,Anel Radford,RSA,31,1125,66,3847,5038,29,2448,7517,Anel,Radford,25,Elite Women
4531,5394,Maxine Seear,AUS,32,1107,63,3869,5039,24,2473,7537,Maxine,Seear,26,Elite Women
4531,6357,Hideko Kikuchi,JPN,26,1195,63,3811,5069,24,2497,7590,Hideko,Kikuchi,27,Elite Women
4531,5565,Misato Takagi,JPN,20,1106,64,3866,5036,29,2593,7658,Misato,Takagi,28,Elite Women
5199,17289,Shun Kudo,JPN,51,549,53,1822,2424,22,1045,3372,Shun,Kudo,1,Youth Men
5199,28199,Shinji Otani,JPN,52,548,53,1822,2423,22,1056,3382,Shinji,Otani,2,Youth Men
5199,31810,Jumpei Furuya,JPN,68,548,58,1816,2422,21,1114,3438,Jumpei,Furuya,3,Youth Men
5199,31811,Masahide Doi,JPN,63,598,53,1848,2499,19,1105,3501,Masahide,Doi,4,Youth Men
5199,31987,Yuuki Kubono,JPN,60,550,61,1886,2497,22,1112,3511,Yuuki,Kubono,5,Youth Men
5199,31593,Akihisa Kobayashi,JPN,54,592,59,1849,2500,26,1143,3549,Akihisa,Kobayashi,6,Youth Men
5199,31986,Hiroaki Mashiko,JPN,61,658,63,1858,2579,26,1101,3585,Hiroaki,Mashiko,7,Youth Men
5199,31856,Dae Yeong Lee,KOR,58,545,54,1953,2552,22,1143,3595,Dae Yeong,Lee,8,Youth Men
5199,31839,Taiyo Yamasaki,JPN,65,657,64,1861,2582,24,1114,3601,Taiyo,Yamasaki,9,Youth Men
5199,31594,Kenta Matsugu,JPN,53,552,58,1972,2582,24,1177,3663,Kenta,Matsugu,10,Youth Men
5199,31836,Takumi Sato,JPN,64,585,61,1928,2574,24,1272,3751,Takumi,Sato,11,Youth Men
5199,31857,Kwang Hoon Lee,KOR,56,556,66,2042,2664,26,1228,3797,Kwang Hoon,Lee,12,Youth Men
5199,31980,Shohei Sugiyama,JPN,67,711,70,1943,2724,27,1237,3868,Shohei,Sugiyama,13,Youth Men
5199,32531,Gen Nakazawa,JPN,76,653,83,1968,2704,31,1336,3952,Gen,Nakazawa,14,Youth Men
5199,32194,Ryutarou Ohi,JPN,73,669,66,1988,2723,31,1362,3997,Ryutarou,Ohi,15,Youth Men
5199,31982,Jun Nagata,JPN,69,722,71,2034,2827,29,1336,4069,Jun,Nagata,16,Youth Men
5199,31976,Shuichiro Yamamoto,JPN,72,554,80,2141,2775,51,1485,4190,Shuichiro,Yamamoto,17,Youth Men
5200,18592,Yuka Sato,JPN,51,549,61,1905,2515,21,1096,3633,Yuka,Sato,1,Youth Women
5200,17358,Nao Yamamoto,JPN,53,602,59,1906,2567,19,1120,3707,Nao,Yamamoto,2,Youth Women
5200,31592,Kei Fukuda,JPN,55,603,61,1907,2571,22,1220,3812,Kei,Fukuda,3,Youth Women
5200,28303,Paige Single,AUS,54,647,68,2077,2792,24,1241,4058,Paige,Single,4,Youth Women
5200,31595,Ai Fukumoto,JPN,56,599,66,2101,2766,22,1334,4120,Ai,Fukumoto,5,Youth Women
5200,31989,Shiho Sato,JPN,58,589,71,2105,2765,26,1355,4146,Shiho,Sato,6,Youth Women
