program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
4534,5526,Emma,Moffatt,AUS,3,1206,40,3867,20,00:34:24,1,7195
4534,5530,Emma,Snowsill,AUS,9,1226,40,3848,22,00:34:46,2,7220
4534,7766,Daniela,Ryf,SUI,12,1242,40,3830,22,00:35:29,3,7261
4534,6210,Sarah,Haskins,USA,17,1205,43,3834,25,00:36:14,4,7278
4534,5573,Helen,Jenkins,GBR,19,1206,38,3869,23,00:35:53,5,7287
4534,6783,Andrea,Hewitt,NZL,8,1239,43,3832,23,00:36:10,6,7304
4534,5410,Jessica,Harrison,FRA,2,1211,38,3866,21,00:36:31,7,7325
4534,12785,Juri,Ide,JPN,4,1232,42,3840,23,00:36:53,8,7348
4534,6246,Sarah,True,USA,22,1209,41,3867,22,00:37:14,9,7372
4534,5476,Lauren,Groves,CAN,15,1267,39,3933,22,00:35:20,10,7379
4534,5567,Debbie,Tanner,NZL,26,1252,40,3824,27,00:37:33,11,7393
4534,5399,Laura,Bennett,USA,40,1210,40,3865,22,00:37:51,12,7406
4534,6120,Lisa,Norden,SWE,11,1243,40,3830,21,00:38:03,13,7415
4534,11070,Mary Beth,Ellis,USA,25,1245,41,3793,24,00:38:36,14,7418
4534,5312,Anja,Dittmer,GER,16,1264,44,3930,24,00:36:01,15,7421
4534,6150,Barbara,Riveros,CHI,24,1264,38,3936,30,00:35:58,16,7423
4534,5398,Elizabeth,May,LUX,31,1258,42,3939,23,00:36:33,17,7453
4534,12786,Mariko,Adachi,JPN,21,1241,43,3956,23,00:37:03,18,7483
4534,5523,Magali,Di Marco Messmer,SUI,1,1245,41,3951,21,00:37:21,19,7497
4534,5369,Kiyomi,Niwata,JPN,10,1282,42,3965,23,00:36:32,20,7502
4534,6224,Kerry,Lang,GBR,37,1255,41,3944,27,00:38:00,21,7544
4534,5571,Kathy,Tremblay,CAN,6,1256,40,3941,22,00:38:17,22,7554
4534,15483,Lisa,Mensink,CAN,43,1282,43,3967,21,00:37:38,23,7568
4534,6209,Rebeccah,Wassner,USA,35,1261,41,3939,26,00:38:46,24,7591
4534,21978,Aileen,Reid,IRL,30,1274,42,4140,30,00:36:45,25,7689
4534,5943,Maria,Czesnik,POL,20,1289,45,4122,25,00:37:34,26,7734
4534,6338,Chie,Nakashima,JPN,36,1209,41,3990,24,00:42:07,27,7789
4534,5559,Amanda,Stevens,USA,38,1252,43,4110,21,00:40:33,28,7858
4534,23837,Akane,Tsuchihashi,JPN,33,1210,42,4265,31,00:39:43,29,7928
4534,6862,Amanda,Felder,USA,41,1333,47,4078,24,00:41:03,30,7942
