program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
4535,7788,Alistair,Brownlee,GBR,7.0,1206,33,3421,20,00:31:00,1,6538
4535,5695,Javier,Gomez Noya,ESP,9.0,1208,33,3419,20,00:31:12,2,6551
4535,5332,Maik,Petzold,GER,10.0,1204,38,3417,20,00:31:26,3,6564
4535,5300,Andy,Potts,USA,47.0,1204,39,3416,23,00:31:50,4,6591
4535,5325,Hunter,Kemper,USA,43.0,1206,36,3415,19,00:32:29,5,6624
4535,5692,Jan,Frodeno,GER,18.0,1219,35,3536,19,00:30:26,6,6632
4535,5662,Laurent,Vidal,FRA,8.0,1230,37,3523,19,00:30:29,7,6636
4535,6442,Jarrod,Shoemaker,USA,4.0,1220,38,3534,21,00:30:29,8,6641
4535,5747,Steffen,Justus,GER,11.0,1254,36,3501,22,00:30:41,9,6652
4535,6560,William,Clarke,GBR,24.0,1251,36,3504,21,00:30:48,10,6659
4535,5711,Brad,Kahlefeldt,AUS,2.0,1237,34,3519,18,00:31:11,11,6678
4535,5348,Brent,Mcmahon,CAN,20.0,1255,35,3500,20,00:31:10,12,6679
4535,5718,David,Hauss,FRA,15.0,1235,38,3519,8,00:31:20,13,6680
4535,5687,Mark,Fretta,USA,35.0,1239,39,3504,10,00:31:28,14,6680
4535,5638,Daniel,Unger,GER,44.0,1255,36,3500,18,00:31:14,15,6681
4535,5654,Ryosuke,Yamamoto,JPN,31.0,1246,37,3511,22,00:31:10,16,6684
4535,5359,Stuart,Hayes,GBR,45.0,1243,37,3511,6,00:31:58,17,6712
4535,5305,Tim,Don,GBR,17.0,1239,37,3516,6,00:32:17,18,6733
4535,5929,Reinaldo,Colucci,BRA,46.0,1252,39,3502,19,00:32:10,19,6741
4535,5624,Peter,Croes,BEL,22.0,1245,38,3500,7,00:32:38,20,6747
4535,5331,Danylo,Sapunov,UKR,28.0,1240,40,3513,21,00:32:21,21,6754
4535,5635,Joe,Umphenour,USA,37.0,1233,38,3524,19,00:32:34,22,6766
4535,5327,Hirokatsu,Tayama,JPN,25.0,1253,30,3510,11,00:32:59,23,6782
4535,5620,Leonardo,Chacon,CRC,29.0,1240,37,3515,22,00:32:54,24,6787
4535,5942,Gavin,Noble,IRL,54.0,1237,40,3516,23,00:33:20,25,6814
4535,10434,Matt,Chrabot,USA,26.0,1238,37,3511,11,00:33:50,26,6825
4535,6899,Ákos,Vanek,HUN,34.0,1241,38,3514,22,00:33:41,27,6834
4535,5703,Brian,Fleischmann,USA,41.0,1218,40,3533,21,00:34:48,28,6898
4535,10871,Ethan,Brown,USA,42.0,1254,39,3640,22,00:32:36,29,6910
4535,6202,Kyle,Jones,CAN,19.0,1248,37,3555,20,00:35:18,30,6976
4535,5355,Andriy,Glushchenko,UKR,53.0,1260,38,3635,24,00:35:16,31,7071
