program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
4520,5530,Emma,Snowsill,AUS,4,1187,61,4063,26,00:33:45,1,7362
4520,5526,Emma,Moffatt,AUS,3,1155,54,4099,24,00:34:01,2,7371
4520,12785,Juri,Ide,JPN,15,1189,58,4063,24,00:34:37,3,7411
4520,5571,Kathy,Tremblay,CAN,17,1193,51,4063,26,00:34:37,4,7412
4520,7825,Kirsten,Sweetland,CAN,26,1176,56,4075,29,00:34:43,5,7420
4520,5369,Kiyomi,Niwata,JPN,38,1215,53,4044,24,00:35:01,6,7437
4520,5523,Magali,Di Marco Messmer,SUI,6,1192,54,4063,26,00:35:11,7,7448
4520,5371,Samantha,Warriner,NZL,1,1218,54,4036,26,00:35:32,8,7465
4520,5467,Vendula,Frintova,CZE,10,1215,58,4036,29,00:35:30,9,7466
4520,5476,Lauren,Groves,CAN,31,1216,58,4037,24,00:35:32,10,7467
4520,12786,Mariko,Adachi,JPN,37,1175,63,4074,27,00:35:31,11,7471
4520,5410,Jessica,Harrison,FRA,11,1192,53,4063,29,00:35:38,12,7475
4520,5842,Liz,Blatchford,GBR,16,1186,59,4064,27,00:35:50,13,7488
4520,5573,Helen,Jenkins,GBR,2,1190,59,4061,27,00:36:02,14,7501
4520,5385,Jodie,Swallow,GBR,24,1174,56,4085,29,00:36:11,15,7514
4520,5312,Anja,Dittmer,GER,12,1217,56,4036,29,00:36:40,16,7538
4520,5376,Ainhoa,Murua Zubizarreta,ESP,20,1191,58,4061,26,00:36:52,17,7548
4520,6150,Barbara,Riveros,CHI,36,1207,51,4050,39,00:36:54,18,7562
4520,6069,Nicky,Samuels,NZL,19,1210,49,4050,26,00:37:12,19,7568
4520,5943,Maria,Czesnik,POL,28,1197,56,4057,31,00:37:29,20,7588
4520,9939,Helle,Frederiksen,DEN,27,1237,61,4069,29,00:36:41,21,7597
4520,21978,Aileen,Reid,IRL,43,1217,59,4090,29,00:36:50,22,7605
4520,5567,Debbie,Tanner,NZL,9,1231,56,4079,22,00:37:01,23,7611
4520,5360,Kate,Allen,AUT,23,1237,58,4077,32,00:37:16,24,7640
4520,6963,Irina,Abysova,RUS,21,1218,61,4090,31,00:37:20,25,7641
4520,5407,Ricarda,Lisk,GER,8,1215,54,4040,26,00:38:41,26,7656
4520,6209,Rebeccah,Wassner,USA,42,1242,58,4069,31,00:37:45,27,7667
4520,9742,Tomoko,Sonoda,JPN,34,1196,59,4058,27,00:38:49,28,7669
4520,5565,Misato,Takagi,JPN,39,1240,54,4075,31,00:38:01,29,7681
4520,9817,Olga,Dmitrieva,RUS,40,1222,61,4086,31,00:38:19,30,7697
4520,7817,Yuliya,Yelistratova,UKR,32,1252,61,4194,31,00:36:42,31,7738
4520,23847,Dan Bi,Hong,KOR,45,1191,53,4069,31,00:40:12,32,7757
4520,6224,Kerry,Lang,GBR,29,1190,51,4072,31,00:40:26,33,7768
4520,5539,Carole,Peon,FRA,14,1219,63,4086,31,00:39:59,34,7795
4520,5559,Amanda,Stevens,USA,41,1215,58,4093,29,00:40:01,35,7798
4520,5576,Ai,Ueda,JPN,22,1312,56,4270,29,00:36:35,36,7862
4520,17003,Jillian,Petersen,USA,25,1232,61,4077,34,00:41:01,37,7867
4520,5521,Sara,Mclarty,USA,44,1152,56,4105,36,00:42:25,38,7895
4520,6783,Andrea,Hewitt,NZL,7,1231,58,4216,29,00:40:14,39,7948
4520,10976,Na-Eun,Nam,KOR,47,1219,58,4363,29,00:41:19,40,8149
4520,6744,Lea Coline,Langit,PHI,49,1240,64,4336,34,00:43:26,41,8281
