program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
4521,5297,Bevan,Docherty,NZL,1,1116,48,3618,24,00:30:20,1,6625
4521,5711,Brad,Kahlefeldt,AUS,6,1108,53,3618,22,00:30:24,2,6625
4521,7747,Dmitry,Polyanskiy,RUS,9,1093,53,3598,24,00:31:01,3,6629
4521,5296,Kris,Gemmell,NZL,7,1106,46,3623,22,00:30:41,4,6639
4521,5747,Steffen,Justus,GER,10,1122,51,3605,26,00:30:37,5,6642
4521,6442,Jarrod,Shoemaker,USA,16,1091,56,3639,24,00:30:36,6,6645
4521,7743,Alexander,Bryukhankov,RUS,17,1089,51,3604,26,00:31:17,7,6646
4521,5662,Laurent,Vidal,FRA,3,1098,49,3628,22,00:30:48,8,6646
4521,5305,Tim,Don,GBR,2,1101,53,3628,26,00:30:53,9,6659
4521,5591,Courtney,Atkinson,AUS,38,1089,61,3629,22,00:31:04,10,6666
4521,5755,Yulian,Malyshev,RUS,27,1095,51,3636,24,00:31:02,11,6670
4521,7787,Oliver,Freeman,GBR,4,1094,56,3631,26,00:31:04,12,6673
4521,6084,Dan,Wilson,AUS,39,1117,49,3613,22,00:31:16,13,6677
4521,5302,Simon,Whitfield,CAN,5,1097,51,3633,22,00:31:13,14,6677
4521,5679,Cedric,Fleureton,FRA,14,1115,53,3616,24,00:31:17,15,6683
4521,5823,Bruno,Pais,POR,26,1101,49,3629,24,00:31:34,16,6698
4521,5335,Peter,Robertson,AUS,19,1121,51,3607,24,00:31:39,17,6704
4521,5331,Danylo,Sapunov,UKR,29,1098,61,3622,26,00:31:38,18,6706
4521,6202,Kyle,Jones,CAN,11,1123,51,3607,22,00:31:45,19,6709
4521,5824,Christian,Prochnow,GER,15,1107,54,3622,24,00:31:43,20,6712
4521,5340,Filip,Ospaly,CZE,20,1103,61,3619,27,00:31:43,21,6712
4521,5348,Brent,Mcmahon,CAN,22,1120,51,3606,24,00:31:51,22,6713
4521,73138,Igor,Sysoev,RUS,12,1094,54,3631,26,00:31:49,23,6717
4521,5776,Hiroki,Sugimoto,JPN,43,1121,54,3609,26,00:31:46,24,6718
4521,5713,Gareth,Halverson,AUS,41,1094,49,3639,22,00:31:59,25,6724
4521,5321,Frederic,Belaubre,FRA,32,1087,51,3571,29,00:33:13,26,6731
4521,5624,Peter,Croes,BEL,18,1123,51,3605,24,00:32:10,27,6734
4521,5687,Mark,Fretta,USA,30,1119,58,3533,32,00:33:18,28,6741
4521,5654,Ryosuke,Yamamoto,JPN,31,1092,64,3623,24,00:32:24,29,6749
4521,10434,Matt,Chrabot,USA,21,1099,56,3622,24,00:32:37,30,6758
4521,6899,Ákos,Vanek,HUN,50,1091,51,3637,27,00:32:37,31,6763
4521,5742,Yuichi,Hosoda,JPN,34,1105,51,3626,24,00:32:47,32,6773
4521,5327,Hirokatsu,Tayama,JPN,23,1093,56,3635,22,00:32:52,33,6778
4521,5635,Joe,Umphenour,USA,36,1102,56,3629,22,00:33:05,34,6793
4521,5802,Matthew,Reed,USA,8,1107,56,3617,26,00:33:09,35,6795
4521,5931,Andreas,Giglmayr,AUT,28,1120,56,3604,26,00:33:09,36,6796
4521,11134,Piotr,Grzegorzek,POL,67,1109,58,3618,24,00:33:09,37,6800
4521,5722,Franz,Höfer,AUT,25,1119,51,3614,24,00:33:12,38,6801
4521,6777,Min Ho,Heo,KOR,49,1097,48,3636,21,00:33:20,39,6803
4521,6707,Jan,Celustka,CZE,48,1096,56,3631,26,00:33:15,40,6804
4521,5705,Hideo,Fukui,JPN,45,1120,59,3604,26,00:33:31,41,6821
4521,7202,Sebastien,Gacond,SUI,35,1122,51,3604,24,00:33:41,42,6821
4521,5804,Dmitriy,Smurov,KAZ,54,1150,56,3639,26,00:32:47,43,6838
4521,6131,Hendrik,De Villiers,RSA,40,1129,51,3664,24,00:32:50,44,6839
4521,5655,Junichi,Yamamoto,JPN,46,1115,51,3618,26,00:33:58,45,6849
4521,10539,Joao,Silva,POR,58,1105,51,3627,21,00:34:14,46,6858
4521,5750,Marek,Jaskolka,POL,24,1128,56,3661,22,00:33:18,47,6865
4521,10935,Lukas,Salvisberg,SUI,37,1098,53,3629,24,00:34:25,48,6869
4521,19870,Ludovic,Dernier,BEL,57,1107,51,3626,29,00:34:20,49,6872
4521,6192,Yohann,Vincent,FRA,44,1153,53,3639,26,00:33:25,50,6875
4521,10579,Marc-Yvan,De Kaenel,SUI,59,1107,48,3625,22,00:34:37,51,6879
4521,6978,Marc,Geerts,BEL,63,1152,53,3636,22,00:33:40,52,6884
4521,5351,Daniel,Lee Chi Wo,HKG,42,1152,53,3641,26,00:34:09,53,6920
4521,18173,Ju Seok,Kim,KOR,55,1095,53,3633,24,00:35:29,54,6936
