program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
4531,6120,Lisa,Norden,SWE,1,1101,61,3666,22,00:35:07,1,6955
4531,6783,Andrea,Hewitt,NZL,2,1096,63,3668,19,00:35:14,2,6960
4531,12785,Juri,Ide,JPN,6,1095,61,3672,22,00:35:14,3,6963
4531,5842,Liz,Blatchford,GBR,14,1070,63,3696,22,00:35:31,4,6982
4531,5517,Annabel,Luxford,AUS,18,1068,63,3695,24,00:35:40,5,6990
4531,5369,Kiyomi,Niwata,JPN,9,1106,61,3662,22,00:35:38,6,6991
4531,5398,Elizabeth,May,LUX,10,1105,63,3660,24,00:35:55,7,7005
4531,7825,Kirsten,Sweetland,CAN,12,1105,66,3658,26,00:35:57,8,7010
4531,6210,Sarah,Haskins,USA,4,1069,66,3693,22,00:36:05,9,7017
4531,5372,Nicola,Spirig,SUI,5,1124,63,3640,21,00:36:15,10,7022
4531,5407,Ricarda,Lisk,GER,8,1103,61,3664,26,00:36:45,11,7060
4531,6706,Kathrin,Muller,GER,21,1104,64,3658,22,00:37:05,12,7072
4531,5567,Debbie,Tanner,NZL,7,1101,61,3667,24,00:37:22,13,7093
4531,9742,Tomoko,Sonoda,JPN,23,1099,63,3668,21,00:37:34,14,7104
4531,23837,Akane,Tsuchihashi,JPN,28,1072,63,3696,22,00:37:58,15,7130
4531,7766,Daniela,Ryf,SUI,3,1097,63,3667,22,00:38:25,16,7154
4531,17143,Svenja,Bazlen,GER,22,1105,64,3659,24,00:38:39,17,7172
4531,11836,Emma,Davis,IRL,30,1095,63,3672,22,00:38:46,18,7178
4531,6338,Chie,Nakashima,JPN,27,1055,63,3713,22,00:39:43,19,7236
4531,5385,Jodie,Swallow,GBR,19,1074,64,3739,27,00:39:24,20,7270
4531,7817,Yuliya,Yelistratova,UKR,11,1128,61,3846,26,00:37:03,21,7284
4531,5576,Ai,Ueda,JPN,16,1216,61,3791,24,00:37:01,22,7315
4531,12786,Mariko,Adachi,JPN,15,1079,61,3898,24,00:38:02,23,7344
4531,6336,Keiko,Tanaka,JPN,25,1106,63,3661,24,00:41:38,24,7354
4531,8609,Anel,Radford,RSA,31,1125,66,3847,29,00:40:48,25,7517
4531,5394,Maxine,Seear,AUS,32,1107,63,3869,24,00:41:13,26,7537
4531,6357,Hideko,Kikuchi,JPN,26,1195,63,3811,24,00:41:37,27,7590
4531,5565,Misato,Takagi,JPN,20,1106,64,3866,29,00:43:13,28,7658
