time,player1,player2,result
5,5695,11378,1
5,5695,5692,1
5,5695,7743,1
5,5695,11402,1
5,5695,5711,1
5,5695,6442,1
5,5695,5359,1
5,5695,5747,1
5,5695,7788,1
5,5695,10539,1
5,5695,5662,1
5,5695,5305,1
5,5695,5302,1
5,5695,5320,1
5,5695,5633,1
5,5695,5683,1
5,5695,7778,1
5,5695,7786,1
5,5695,6560,1
5,5695,5851,1
5,5695,5332,1
5,5695,5296,1
5,5695,6084,1
5,5695,5823,1
5,5695,6131,1
5,5695,5654,1
5,5695,5824,1
5,5695,5929,1
5,5695,5321,1
5,5695,6202,1
5,5695,5306,1
5,5695,15944,1
5,5695,5756,1
5,5695,10536,1
5,5695,5742,1
5,5695,5931,1
5,5695,7787,1
5,5695,6086,1
5,5695,11818,1
5,5695,7744,1
5,5695,11060,1
5,5695,5776,1
5,5695,5351,1
5,5695,9917,1
5,5695,10575,1
5,5695,5718,1
5,5695,6137,1
5,5695,6110,1
5,5695,5591,1
5,5695,10434,1
5,5695,11315,1
5,5695,13020,1
5,5695,5878,1
5,5695,12773,1
5,5695,7821,1
5,5695,5864,1
5,5695,11318,1
5,5695,19171,1
5,5695,5297,1
5,5695,6226,1
5,5695,5624,1
5,5695,5669,1
5,5695,10107,1
5,5695,5327,1
5,11378,5692,1
5,11378,7743,1
5,11378,11402,1
5,11378,5711,1
5,11378,6442,1
5,11378,5359,1
5,11378,5747,1
5,11378,7788,1
5,11378,10539,1
5,11378,5662,1
5,11378,5305,1
5,11378,5302,1
5,11378,5320,1
5,11378,5633,1
5,11378,5683,1
5,11378,7778,1
5,11378,7786,1
5,11378,6560,1
5,11378,5851,1
5,11378,5332,1
5,11378,5296,1
5,11378,6084,1
5,11378,5823,1
5,11378,6131,1
5,11378,5654,1
5,11378,5824,1
5,11378,5929,1
5,11378,5321,1
5,11378,6202,1
5,11378,5306,1
5,11378,15944,1
5,11378,5756,1
5,11378,10536,1
5,11378,5742,1
5,11378,5931,1
5,11378,7787,1
5,11378,6086,1
5,11378,11818,1
5,11378,7744,1
5,11378,11060,1
5,11378,5776,1
5,11378,5351,1
5,11378,9917,1
5,11378,10575,1
5,11378,5718,1
5,11378,6137,1
5,11378,6110,1
5,11378,5591,1
5,11378,10434,1
5,11378,11315,1
5,11378,13020,1
5,11378,5878,1
5,11378,12773,1
5,11378,7821,1
5,11378,5864,1
5,11378,11318,1
5,11378,19171,1
5,11378,5297,1
5,11378,6226,1
5,11378,5624,1
5,11378,5669,1
5,11378,10107,1
5,11378,5327,1
5,5692,7743,1
5,5692,11402,1
5,5692,5711,1
5,5692,6442,1
5,5692,5359,1
5,5692,5747,1
5,5692,7788,1
5,5692,10539,1
5,5692,5662,1
5,5692,5305,1
5,5692,5302,1
5,5692,5320,1
5,5692,5633,1
5,5692,5683,1
5,5692,7778,1
5,5692,7786,1
5,5692,6560,1
5,5692,5851,1
5,5692,5332,1
5,5692,5296,1
5,5692,6084,1
5,5692,5823,1
5,5692,6131,1
5,5692,5654,1
5,5692,5824,1
5,5692,5929,1
5,5692,5321,1
5,5692,6202,1
5,5692,5306,1
5,5692,15944,1
5,5692,5756,1
5,5692,10536,1
5,5692,5742,1
5,5692,5931,1
5,5692,7787,1
5,5692,6086,1
5,5692,11818,1
5,5692,7744,1
5,5692,11060,1
5,5692,5776,1
5,5692,5351,1
5,5692,9917,1
5,5692,10575,1
5,5692,5718,1
5,5692,6137,1
5,5692,6110,1
5,5692,5591,1
5,5692,10434,1
5,5692,11315,1
5,5692,13020,1
5,5692,5878,1
5,5692,12773,1
5,5692,7821,1
5,5692,5864,1
5,5692,11318,1
5,5692,19171,1
5,5692,5297,1
5,5692,6226,1
5,5692,5624,1
5,5692,5669,1
5,5692,10107,1
5,5692,5327,1
5,7743,11402,1
5,7743,5711,1
5,7743,6442,1
5,7743,5359,1
5,7743,5747,1
5,7743,7788,1
5,7743,10539,1
5,7743,5662,1
5,7743,5305,1
5,7743,5302,1
5,7743,5320,1
5,7743,5633,1
5,7743,5683,1
5,7743,7778,1
5,7743,7786,1
5,7743,6560,1
5,7743,5851,1
5,7743,5332,1
5,7743,5296,1
5,7743,6084,1
5,7743,5823,1
5,7743,6131,1
5,7743,5654,1
5,7743,5824,1
5,7743,5929,1
5,7743,5321,1
5,7743,6202,1
5,7743,5306,1
5,7743,15944,1
5,7743,5756,1
5,7743,10536,1
5,7743,5742,1
5,7743,5931,1
5,7743,7787,1
5,7743,6086,1
5,7743,11818,1
5,7743,7744,1
5,7743,11060,1
5,7743,5776,1
5,7743,5351,1
5,7743,9917,1
5,7743,10575,1
5,7743,5718,1
5,7743,6137,1
5,7743,6110,1
5,7743,5591,1
5,7743,10434,1
5,7743,11315,1
5,7743,13020,1
5,7743,5878,1
5,7743,12773,1
5,7743,7821,1
5,7743,5864,1
5,7743,11318,1
5,7743,19171,1
5,7743,5297,1
5,7743,6226,1
5,7743,5624,1
5,7743,5669,1
5,7743,10107,1
5,7743,5327,1
5,11402,5711,1
5,11402,6442,1
5,11402,5359,1
5,11402,5747,1
5,11402,7788,1
5,11402,10539,1
5,11402,5662,1
5,11402,5305,1
5,11402,5302,1
5,11402,5320,1
5,11402,5633,1
5,11402,5683,1
5,11402,7778,1
5,11402,7786,1
5,11402,6560,1
5,11402,5851,1
5,11402,5332,1
5,11402,5296,1
5,11402,6084,1
5,11402,5823,1
5,11402,6131,1
5,11402,5654,1
5,11402,5824,1
5,11402,5929,1
5,11402,5321,1
5,11402,6202,1
5,11402,5306,1
5,11402,15944,1
5,11402,5756,1
5,11402,10536,1
5,11402,5742,1
5,11402,5931,1
5,11402,7787,1
5,11402,6086,1
5,11402,11818,1
5,11402,7744,1
5,11402,11060,1
5,11402,5776,1
5,11402,5351,1
5,11402,9917,1
5,11402,10575,1
5,11402,5718,1
5,11402,6137,1
5,11402,6110,1
5,11402,5591,1
5,11402,10434,1
5,11402,11315,1
5,11402,13020,1
5,11402,5878,1
5,11402,12773,1
5,11402,7821,1
5,11402,5864,1
5,11402,11318,1
5,11402,19171,1
5,11402,5297,1
5,11402,6226,1
5,11402,5624,1
5,11402,5669,1
5,11402,10107,1
5,11402,5327,1
5,5711,6442,1
5,5711,5359,1
5,5711,5747,1
5,5711,7788,1
5,5711,10539,1
5,5711,5662,1
5,5711,5305,1
5,5711,5302,1
5,5711,5320,1
5,5711,5633,1
5,5711,5683,1
5,5711,7778,1
5,5711,7786,1
5,5711,6560,1
5,5711,5851,1
5,5711,5332,1
5,5711,5296,1
5,5711,6084,1
5,5711,5823,1
5,5711,6131,1
5,5711,5654,1
5,5711,5824,1
5,5711,5929,1
5,5711,5321,1
5,5711,6202,1
5,5711,5306,1
5,5711,15944,1
5,5711,5756,1
5,5711,10536,1
5,5711,5742,1
5,5711,5931,1
5,5711,7787,1
5,5711,6086,1
5,5711,11818,1
5,5711,7744,1
5,5711,11060,1
5,5711,5776,1
5,5711,5351,1
5,5711,9917,1
5,5711,10575,1
5,5711,5718,1
5,5711,6137,1
5,5711,6110,1
5,5711,5591,1
5,5711,10434,1
5,5711,11315,1
5,5711,13020,1
5,5711,5878,1
5,5711,12773,1
5,5711,7821,1
5,5711,5864,1
5,5711,11318,1
5,5711,19171,1
5,5711,5297,1
5,5711,6226,1
5,5711,5624,1
5,5711,5669,1
5,5711,10107,1
5,5711,5327,1
5,6442,5359,1
5,6442,5747,1
5,6442,7788,1
5,6442,10539,1
5,6442,5662,1
5,6442,5305,1
5,6442,5302,1
5,6442,5320,1
5,6442,5633,1
5,6442,5683,1
5,6442,7778,1
5,6442,7786,1
5,6442,6560,1
5,6442,5851,1
5,6442,5332,1
5,6442,5296,1
5,6442,6084,1
5,6442,5823,1
5,6442,6131,1
5,6442,5654,1
5,6442,5824,1
5,6442,5929,1
5,6442,5321,1
5,6442,6202,1
5,6442,5306,1
5,6442,15944,1
5,6442,5756,1
5,6442,10536,1
5,6442,5742,1
5,6442,5931,1
5,6442,7787,1
5,6442,6086,1
5,6442,11818,1
5,6442,7744,1
5,6442,11060,1
5,6442,5776,1
5,6442,5351,1
5,6442,9917,1
5,6442,10575,1
5,6442,5718,1
5,6442,6137,1
5,6442,6110,1
5,6442,5591,1
5,6442,10434,1
5,6442,11315,1
5,6442,13020,1
5,6442,5878,1
5,6442,12773,1
5,6442,7821,1
5,6442,5864,1
5,6442,11318,1
5,6442,19171,1
5,6442,5297,1
5,6442,6226,1
5,6442,5624,1
5,6442,5669,1
5,6442,10107,1
5,6442,5327,1
5,5359,5747,1
5,5359,7788,1
5,5359,10539,1
5,5359,5662,1
5,5359,5305,1
5,5359,5302,1
5,5359,5320,1
5,5359,5633,1
5,5359,5683,1
5,5359,7778,1
5,5359,7786,1
5,5359,6560,1
5,5359,5851,1
5,5359,5332,1
5,5359,5296,1
5,5359,6084,1
5,5359,5823,1
5,5359,6131,1
5,5359,5654,1
5,5359,5824,1
5,5359,5929,1
5,5359,5321,1
5,5359,6202,1
5,5359,5306,1
5,5359,15944,1
5,5359,5756,1
5,5359,10536,1
5,5359,5742,1
5,5359,5931,1
5,5359,7787,1
5,5359,6086,1
5,5359,11818,1
5,5359,7744,1
5,5359,11060,1
5,5359,5776,1
5,5359,5351,1
5,5359,9917,1
5,5359,10575,1
5,5359,5718,1
5,5359,6137,1
5,5359,6110,1
5,5359,5591,1
5,5359,10434,1
5,5359,11315,1
5,5359,13020,1
5,5359,5878,1
5,5359,12773,1
5,5359,7821,1
5,5359,5864,1
5,5359,11318,1
5,5359,19171,1
5,5359,5297,1
5,5359,6226,1
5,5359,5624,1
5,5359,5669,1
5,5359,10107,1
5,5359,5327,1
5,5747,7788,1
5,5747,10539,1
5,5747,5662,1
5,5747,5305,1
5,5747,5302,1
5,5747,5320,1
5,5747,5633,1
5,5747,5683,1
5,5747,7778,1
5,5747,7786,1
5,5747,6560,1
5,5747,5851,1
5,5747,5332,1
5,5747,5296,1
5,5747,6084,1
5,5747,5823,1
5,5747,6131,1
5,5747,5654,1
5,5747,5824,1
5,5747,5929,1
5,5747,5321,1
5,5747,6202,1
5,5747,5306,1
5,5747,15944,1
5,5747,5756,1
5,5747,10536,1
5,5747,5742,1
5,5747,5931,1
5,5747,7787,1
5,5747,6086,1
5,5747,11818,1
5,5747,7744,1
5,5747,11060,1
5,5747,5776,1
5,5747,5351,1
5,5747,9917,1
5,5747,10575,1
5,5747,5718,1
5,5747,6137,1
5,5747,6110,1
5,5747,5591,1
5,5747,10434,1
5,5747,11315,1
5,5747,13020,1
5,5747,5878,1
5,5747,12773,1
5,5747,7821,1
5,5747,5864,1
5,5747,11318,1
5,5747,19171,1
5,5747,5297,1
5,5747,6226,1
5,5747,5624,1
5,5747,5669,1
5,5747,10107,1
5,5747,5327,1
5,7788,10539,1
5,7788,5662,1
5,7788,5305,1
5,7788,5302,1
5,7788,5320,1
5,7788,5633,1
5,7788,5683,1
5,7788,7778,1
5,7788,7786,1
5,7788,6560,1
5,7788,5851,1
5,7788,5332,1
5,7788,5296,1
5,7788,6084,1
5,7788,5823,1
5,7788,6131,1
5,7788,5654,1
5,7788,5824,1
5,7788,5929,1
5,7788,5321,1
5,7788,6202,1
5,7788,5306,1
5,7788,15944,1
5,7788,5756,1
5,7788,10536,1
5,7788,5742,1
5,7788,5931,1
5,7788,7787,1
5,7788,6086,1
5,7788,11818,1
5,7788,7744,1
5,7788,11060,1
5,7788,5776,1
5,7788,5351,1
5,7788,9917,1
5,7788,10575,1
5,7788,5718,1
5,7788,6137,1
5,7788,6110,1
5,7788,5591,1
5,7788,10434,1
5,7788,11315,1
5,7788,13020,1
5,7788,5878,1
5,7788,12773,1
5,7788,7821,1
5,7788,5864,1
5,7788,11318,1
5,7788,19171,1
5,7788,5297,1
5,7788,6226,1
5,7788,5624,1
5,7788,5669,1
5,7788,10107,1
5,7788,5327,1
5,10539,5662,1
5,10539,5305,1
5,10539,5302,1
5,10539,5320,1
5,10539,5633,1
5,10539,5683,1
5,10539,7778,1
5,10539,7786,1
5,10539,6560,1
5,10539,5851,1
5,10539,5332,1
5,10539,5296,1
5,10539,6084,1
5,10539,5823,1
5,10539,6131,1
5,10539,5654,1
5,10539,5824,1
5,10539,5929,1
5,10539,5321,1
5,10539,6202,1
5,10539,5306,1
5,10539,15944,1
5,10539,5756,1
5,10539,10536,1
5,10539,5742,1
5,10539,5931,1
5,10539,7787,1
5,10539,6086,1
5,10539,11818,1
5,10539,7744,1
5,10539,11060,1
5,10539,5776,1
5,10539,5351,1
5,10539,9917,1
5,10539,10575,1
5,10539,5718,1
5,10539,6137,1
5,10539,6110,1
5,10539,5591,1
5,10539,10434,1
5,10539,11315,1
5,10539,13020,1
5,10539,5878,1
5,10539,12773,1
5,10539,7821,1
5,10539,5864,1
5,10539,11318,1
5,10539,19171,1
5,10539,5297,1
5,10539,6226,1
5,10539,5624,1
5,10539,5669,1
5,10539,10107,1
5,10539,5327,1
5,5662,5305,1
5,5662,5302,1
5,5662,5320,1
5,5662,5633,1
5,5662,5683,1
5,5662,7778,1
5,5662,7786,1
5,5662,6560,1
5,5662,5851,1
5,5662,5332,1
5,5662,5296,1
5,5662,6084,1
5,5662,5823,1
5,5662,6131,1
5,5662,5654,1
5,5662,5824,1
5,5662,5929,1
5,5662,5321,1
5,5662,6202,1
5,5662,5306,1
5,5662,15944,1
5,5662,5756,1
5,5662,10536,1
5,5662,5742,1
5,5662,5931,1
5,5662,7787,1
5,5662,6086,1
5,5662,11818,1
5,5662,7744,1
5,5662,11060,1
5,5662,5776,1
5,5662,5351,1
5,5662,9917,1
5,5662,10575,1
5,5662,5718,1
5,5662,6137,1
5,5662,6110,1
5,5662,5591,1
5,5662,10434,1
5,5662,11315,1
5,5662,13020,1
5,5662,5878,1
5,5662,12773,1
5,5662,7821,1
5,5662,5864,1
5,5662,11318,1
5,5662,19171,1
5,5662,5297,1
5,5662,6226,1
5,5662,5624,1
5,5662,5669,1
5,5662,10107,1
5,5662,5327,1
5,5305,5302,1
5,5305,5320,1
5,5305,5633,1
5,5305,5683,1
5,5305,7778,1
5,5305,7786,1
5,5305,6560,1
5,5305,5851,1
5,5305,5332,1
5,5305,5296,1
5,5305,6084,1
5,5305,5823,1
5,5305,6131,1
5,5305,5654,1
5,5305,5824,1
5,5305,5929,1
5,5305,5321,1
5,5305,6202,1
5,5305,5306,1
5,5305,15944,1
5,5305,5756,1
5,5305,10536,1
5,5305,5742,1
5,5305,5931,1
5,5305,7787,1
5,5305,6086,1
5,5305,11818,1
5,5305,7744,1
5,5305,11060,1
5,5305,5776,1
5,5305,5351,1
5,5305,9917,1
5,5305,10575,1
5,5305,5718,1
5,5305,6137,1
5,5305,6110,1
5,5305,5591,1
5,5305,10434,1
5,5305,11315,1
5,5305,13020,1
5,5305,5878,1
5,5305,12773,1
5,5305,7821,1
5,5305,5864,1
5,5305,11318,1
5,5305,19171,1
5,5305,5297,1
5,5305,6226,1
5,5305,5624,1
5,5305,5669,1
5,5305,10107,1
5,5305,5327,1
5,5302,5320,1
5,5302,5633,1
5,5302,5683,1
5,5302,7778,1
5,5302,7786,1
5,5302,6560,1
5,5302,5851,1
5,5302,5332,1
5,5302,5296,1
5,5302,6084,1
5,5302,5823,1
5,5302,6131,1
5,5302,5654,1
5,5302,5824,1
5,5302,5929,1
5,5302,5321,1
5,5302,6202,1
5,5302,5306,1
5,5302,15944,1
5,5302,5756,1
5,5302,10536,1
5,5302,5742,1
5,5302,5931,1
5,5302,7787,1
5,5302,6086,1
5,5302,11818,1
5,5302,7744,1
5,5302,11060,1
5,5302,5776,1
5,5302,5351,1
5,5302,9917,1
5,5302,10575,1
5,5302,5718,1
5,5302,6137,1
5,5302,6110,1
5,5302,5591,1
5,5302,10434,1
5,5302,11315,1
5,5302,13020,1
5,5302,5878,1
5,5302,12773,1
5,5302,7821,1
5,5302,5864,1
5,5302,11318,1
5,5302,19171,1
5,5302,5297,1
5,5302,6226,1
5,5302,5624,1
5,5302,5669,1
5,5302,10107,1
5,5302,5327,1
5,5320,5633,1
5,5320,5683,1
5,5320,7778,1
5,5320,7786,1
5,5320,6560,1
5,5320,5851,1
5,5320,5332,1
5,5320,5296,1
5,5320,6084,1
5,5320,5823,1
5,5320,6131,1
5,5320,5654,1
5,5320,5824,1
5,5320,5929,1
5,5320,5321,1
5,5320,6202,1
5,5320,5306,1
5,5320,15944,1
5,5320,5756,1
5,5320,10536,1
5,5320,5742,1
5,5320,5931,1
5,5320,7787,1
5,5320,6086,1
5,5320,11818,1
5,5320,7744,1
5,5320,11060,1
5,5320,5776,1
5,5320,5351,1
5,5320,9917,1
5,5320,10575,1
5,5320,5718,1
5,5320,6137,1
5,5320,6110,1
5,5320,5591,1
5,5320,10434,1
5,5320,11315,1
5,5320,13020,1
5,5320,5878,1
5,5320,12773,1
5,5320,7821,1
5,5320,5864,1
5,5320,11318,1
5,5320,19171,1
5,5320,5297,1
5,5320,6226,1
5,5320,5624,1
5,5320,5669,1
5,5320,10107,1
5,5320,5327,1
5,5633,5683,1
5,5633,7778,1
5,5633,7786,1
5,5633,6560,1
5,5633,5851,1
5,5633,5332,1
5,5633,5296,1
5,5633,6084,1
5,5633,5823,1
5,5633,6131,1
5,5633,5654,1
5,5633,5824,1
5,5633,5929,1
5,5633,5321,1
5,5633,6202,1
5,5633,5306,1
5,5633,15944,1
5,5633,5756,1
5,5633,10536,1
5,5633,5742,1
5,5633,5931,1
5,5633,7787,1
5,5633,6086,1
5,5633,11818,1
5,5633,7744,1
5,5633,11060,1
5,5633,5776,1
5,5633,5351,1
5,5633,9917,1
5,5633,10575,1
5,5633,5718,1
5,5633,6137,1
5,5633,6110,1
5,5633,5591,1
5,5633,10434,1
5,5633,11315,1
5,5633,13020,1
5,5633,5878,1
5,5633,12773,1
5,5633,7821,1
5,5633,5864,1
5,5633,11318,1
5,5633,19171,1
5,5633,5297,1
5,5633,6226,1
5,5633,5624,1
5,5633,5669,1
5,5633,10107,1
5,5633,5327,1
5,5683,7778,1
5,5683,7786,1
5,5683,6560,1
5,5683,5851,1
5,5683,5332,1
5,5683,5296,1
5,5683,6084,1
5,5683,5823,1
5,5683,6131,1
5,5683,5654,1
5,5683,5824,1
5,5683,5929,1
5,5683,5321,1
5,5683,6202,1
5,5683,5306,1
5,5683,15944,1
5,5683,5756,1
5,5683,10536,1
5,5683,5742,1
5,5683,5931,1
5,5683,7787,1
5,5683,6086,1
5,5683,11818,1
5,5683,7744,1
5,5683,11060,1
5,5683,5776,1
5,5683,5351,1
5,5683,9917,1
5,5683,10575,1
5,5683,5718,1
5,5683,6137,1
5,5683,6110,1
5,5683,5591,1
5,5683,10434,1
5,5683,11315,1
5,5683,13020,1
5,5683,5878,1
5,5683,12773,1
5,5683,7821,1
5,5683,5864,1
5,5683,11318,1
5,5683,19171,1
5,5683,5297,1
5,5683,6226,1
5,5683,5624,1
5,5683,5669,1
5,5683,10107,1
5,5683,5327,1
5,7778,7786,1
5,7778,6560,1
5,7778,5851,1
5,7778,5332,1
5,7778,5296,1
5,7778,6084,1
5,7778,5823,1
5,7778,6131,1
5,7778,5654,1
5,7778,5824,1
5,7778,5929,1
5,7778,5321,1
5,7778,6202,1
5,7778,5306,1
5,7778,15944,1
5,7778,5756,1
5,7778,10536,1
5,7778,5742,1
5,7778,5931,1
5,7778,7787,1
5,7778,6086,1
5,7778,11818,1
5,7778,7744,1
5,7778,11060,1
5,7778,5776,1
5,7778,5351,1
5,7778,9917,1
5,7778,10575,1
5,7778,5718,1
5,7778,6137,1
5,7778,6110,1
5,7778,5591,1
5,7778,10434,1
5,7778,11315,1
5,7778,13020,1
5,7778,5878,1
5,7778,12773,1
5,7778,7821,1
5,7778,5864,1
5,7778,11318,1
5,7778,19171,1
5,7778,5297,1
5,7778,6226,1
5,7778,5624,1
5,7778,5669,1
5,7778,10107,1
5,7778,5327,1
5,7786,6560,1
5,7786,5851,1
5,7786,5332,1
5,7786,5296,1
5,7786,6084,1
5,7786,5823,1
5,7786,6131,1
5,7786,5654,1
5,7786,5824,1
5,7786,5929,1
5,7786,5321,1
5,7786,6202,1
5,7786,5306,1
5,7786,15944,1
5,7786,5756,1
5,7786,10536,1
5,7786,5742,1
5,7786,5931,1
5,7786,7787,1
5,7786,6086,1
5,7786,11818,1
5,7786,7744,1
5,7786,11060,1
5,7786,5776,1
5,7786,5351,1
5,7786,9917,1
5,7786,10575,1
5,7786,5718,1
5,7786,6137,1
5,7786,6110,1
5,7786,5591,1
5,7786,10434,1
5,7786,11315,1
5,7786,13020,1
5,7786,5878,1
5,7786,12773,1
5,7786,7821,1
5,7786,5864,1
5,7786,11318,1
5,7786,19171,1
5,7786,5297,1
5,7786,6226,1
5,7786,5624,1
5,7786,5669,1
5,7786,10107,1
5,7786,5327,1
5,6560,5851,1
5,6560,5332,1
5,6560,5296,1
5,6560,6084,1
5,6560,5823,1
5,6560,6131,1
5,6560,5654,1
5,6560,5824,1
5,6560,5929,1
5,6560,5321,1
5,6560,6202,1
5,6560,5306,1
5,6560,15944,1
5,6560,5756,1
5,6560,10536,1
5,6560,5742,1
5,6560,5931,1
5,6560,7787,1
5,6560,6086,1
5,6560,11818,1
5,6560,7744,1
5,6560,11060,1
5,6560,5776,1
5,6560,5351,1
5,6560,9917,1
5,6560,10575,1
5,6560,5718,1
5,6560,6137,1
5,6560,6110,1
5,6560,5591,1
5,6560,10434,1
5,6560,11315,1
5,6560,13020,1
5,6560,5878,1
5,6560,12773,1
5,6560,7821,1
5,6560,5864,1
5,6560,11318,1
5,6560,19171,1
5,6560,5297,1
5,6560,6226,1
5,6560,5624,1
5,6560,5669,1
5,6560,10107,1
5,6560,5327,1
5,5851,5332,1
5,5851,5296,1
5,5851,6084,1
5,5851,5823,1
5,5851,6131,1
5,5851,5654,1
5,5851,5824,1
5,5851,5929,1
5,5851,5321,1
5,5851,6202,1
5,5851,5306,1
5,5851,15944,1
5,5851,5756,1
5,5851,10536,1
5,5851,5742,1
5,5851,5931,1
5,5851,7787,1
5,5851,6086,1
5,5851,11818,1
5,5851,7744,1
5,5851,11060,1
5,5851,5776,1
5,5851,5351,1
5,5851,9917,1
5,5851,10575,1
5,5851,5718,1
5,5851,6137,1
5,5851,6110,1
5,5851,5591,1
5,5851,10434,1
5,5851,11315,1
5,5851,13020,1
5,5851,5878,1
5,5851,12773,1
5,5851,7821,1
5,5851,5864,1
5,5851,11318,1
5,5851,19171,1
5,5851,5297,1
5,5851,6226,1
5,5851,5624,1
5,5851,5669,1
5,5851,10107,1
5,5851,5327,1
5,5332,5296,1
5,5332,6084,1
5,5332,5823,1
