time,player1,player2,result
3,7788,5591,1
3,7788,5320,1
3,7788,5695,1
3,7788,5747,1
3,7788,5692,1
3,7788,10539,1
3,7788,7747,1
3,7788,6442,1
3,7788,7743,1
3,7788,6226,1
3,7788,6560,1
3,7788,7787,1
3,7788,10434,1
3,7788,5824,1
3,7788,5823,1
3,7788,5633,1
3,7788,5756,1
3,7788,5755,1
3,7788,10213,1
3,7788,5669,1
3,7788,11329,1
3,7788,6202,1
3,7788,6707,1
3,7788,5306,1
3,7788,6110,1
3,7788,11060,1
3,7788,11378,1
3,7788,12431,1
3,7788,5742,1
3,7788,7145,1
3,7788,10107,1
3,7788,5321,1
3,7788,5718,1
3,7788,5881,1
3,7788,7796,1
3,7788,5638,1
3,7788,19171,1
3,7788,5851,1
3,7788,5620,1
3,7788,5703,1
3,7788,15944,1
3,7788,10108,1
3,7788,5657,1
3,7788,5654,1
3,7788,5959,1
3,7788,11402,1
3,7788,5864,1
3,7788,7786,1
3,7788,5310,1
3,7788,5722,1
3,7788,6087,1
3,7788,10858,1
3,7788,6227,1
3,7788,5963,1
3,7788,9917,1
3,7788,5327,1
3,7788,5624,1
3,7788,5878,1
3,7788,5942,1
3,7788,6137,1
3,7788,5750,1
3,7788,10536,1
3,7788,7744,1
3,7788,6102,1
3,5591,5320,1
3,5591,5695,1
3,5591,5747,1
3,5591,5692,1
3,5591,10539,1
3,5591,7747,1
3,5591,6442,1
3,5591,7743,1
3,5591,6226,1
3,5591,6560,1
3,5591,7787,1
3,5591,10434,1
3,5591,5824,1
3,5591,5823,1
3,5591,5633,1
3,5591,5756,1
3,5591,5755,1
3,5591,10213,1
3,5591,5669,1
3,5591,11329,1
3,5591,6202,1
3,5591,6707,1
3,5591,5306,1
3,5591,6110,1
3,5591,11060,1
3,5591,11378,1
3,5591,12431,1
3,5591,5742,1
3,5591,7145,1
3,5591,10107,1
3,5591,5321,1
3,5591,5718,1
3,5591,5881,1
3,5591,7796,1
3,5591,5638,1
3,5591,19171,1
3,5591,5851,1
3,5591,5620,1
3,5591,5703,1
3,5591,15944,1
3,5591,10108,1
3,5591,5657,1
3,5591,5654,1
3,5591,5959,1
3,5591,11402,1
3,5591,5864,1
3,5591,7786,1
3,5591,5310,1
3,5591,5722,1
3,5591,6087,1
3,5591,10858,1
3,5591,6227,1
3,5591,5963,1
3,5591,9917,1
3,5591,5327,1
3,5591,5624,1
3,5591,5878,1
3,5591,5942,1
3,5591,6137,1
3,5591,5750,1
3,5591,10536,1
3,5591,7744,1
3,5591,6102,1
3,5320,5695,1
3,5320,5747,1
3,5320,5692,1
3,5320,10539,1
3,5320,7747,1
3,5320,6442,1
3,5320,7743,1
3,5320,6226,1
3,5320,6560,1
3,5320,7787,1
3,5320,10434,1
3,5320,5824,1
3,5320,5823,1
3,5320,5633,1
3,5320,5756,1
3,5320,5755,1
3,5320,10213,1
3,5320,5669,1
3,5320,11329,1
3,5320,6202,1
3,5320,6707,1
3,5320,5306,1
3,5320,6110,1
3,5320,11060,1
3,5320,11378,1
3,5320,12431,1
3,5320,5742,1
3,5320,7145,1
3,5320,10107,1
3,5320,5321,1
3,5320,5718,1
3,5320,5881,1
3,5320,7796,1
3,5320,5638,1
3,5320,19171,1
3,5320,5851,1
3,5320,5620,1
3,5320,5703,1
3,5320,15944,1
3,5320,10108,1
3,5320,5657,1
3,5320,5654,1
3,5320,5959,1
