time,player1,player2,result
1,5297,7743,1
1,5297,5718,1
1,5297,7747,1
1,5297,5302,1
1,5297,5851,1
1,5297,5298,1
1,5297,5662,1
1,5297,10434,1
1,5297,5325,1
1,5297,5711,1
1,5297,5306,1
1,5297,6110,1
1,5297,13020,1
1,5297,5296,1
1,5297,5756,1
1,5297,5310,1
1,5297,5321,1
1,5297,11818,1
1,5297,5359,1
1,5297,5742,1
1,5297,5683,1
1,5297,6102,1
1,5297,5931,1
1,5297,5335,1
1,5297,10107,1
1,5297,10575,1
1,5297,5654,1
1,5297,5638,1
1,5297,6104,1
1,5297,12814,1
1,5297,5692,1
1,5297,5331,1
1,5297,9887,1
1,5297,11318,1
1,5297,10935,1
1,5297,73138,1
1,5297,17908,1
1,5297,10108,1
1,5297,22570,1
1,5297,5624,1
1,5297,5728,1
1,5297,10010,1
1,5297,10955,1
1,5297,6777,1
1,5297,16315,1
1,5297,10871,1
1,5297,6087,1
1,5297,5687,1
1,5297,6202,1
1,5297,6442,1
1,5297,7744,1
1,5297,6086,1
1,5297,6995,1
1,5297,6084,1
1,7743,5718,1
1,7743,7747,1
1,7743,5302,1
1,7743,5851,1
1,7743,5298,1
1,7743,5662,1
1,7743,10434,1
1,7743,5325,1
1,7743,5711,1
1,7743,5306,1
1,7743,6110,1
1,7743,13020,1
1,7743,5296,1
1,7743,5756,1
1,7743,5310,1
1,7743,5321,1
1,7743,11818,1
1,7743,5359,1
1,7743,5742,1
1,7743,5683,1
1,7743,6102,1
1,7743,5931,1
1,7743,5335,1
1,7743,10107,1
1,7743,10575,1
1,7743,5654,1
1,7743,5638,1
1,7743,6104,1
1,7743,12814,1
1,7743,5692,1
1,7743,5331,1
1,7743,9887,1
1,7743,11318,1
1,7743,10935,1
1,7743,73138,1
1,7743,17908,1
1,7743,10108,1
1,7743,22570,1
1,7743,5624,1
1,7743,5728,1
1,7743,10010,1
1,7743,10955,1
1,7743,6777,1
1,7743,16315,1
1,7743,10871,1
1,7743,6087,1
1,7743,5687,1
1,7743,6202,1
1,7743,6442,1
1,7743,7744,1
1,7743,6086,1
1,7743,6995,1
1,7743,6084,1
1,5718,7747,1
1,5718,5302,1
1,5718,5851,1
1,5718,5298,1
1,5718,5662,1
1,5718,10434,1
1,5718,5325,1
1,5718,5711,1
1,5718,5306,1
1,5718,6110,1
1,5718,13020,1
1,5718,5296,1
1,5718,5756,1
1,5718,5310,1
1,5718,5321,1
1,5718,11818,1
1,5718,5359,1
1,5718,5742,1
1,5718,5683,1
1,5718,6102,1
1,5718,5931,1
1,5718,5335,1
1,5718,10107,1
1,5718,10575,1
1,5718,5654,1
1,5718,5638,1
1,5718,6104,1
1,5718,12814,1
1,5718,5692,1
1,5718,5331,1
1,5718,9887,1
1,5718,11318,1
1,5718,10935,1
1,5718,73138,1
1,5718,17908,1
1,5718,10108,1
1,5718,22570,1
1,5718,5624,1
1,5718,5728,1
1,5718,10010,1
1,5718,10955,1
1,5718,6777,1
1,5718,16315,1
1,5718,10871,1
1,5718,6087,1
1,5718,5687,1
1,5718,6202,1
1,5718,6442,1
1,5718,7744,1
1,5718,6086,1
1,5718,6995,1
1,5718,6084,1
1,7747,5302,1
1,7747,5851,1
1,7747,5298,1
1,7747,5662,1
1,7747,10434,1
1,7747,5325,1
1,7747,5711,1
1,7747,5306,1
1,7747,6110,1
1,7747,13020,1
1,7747,5296,1
1,7747,5756,1
1,7747,5310,1
1,7747,5321,1
1,7747,11818,1
1,7747,5359,1
1,7747,5742,1
1,7747,5683,1
1,7747,6102,1
1,7747,5931,1
1,7747,5335,1
1,7747,10107,1
1,7747,10575,1
1,7747,5654,1
1,7747,5638,1
1,7747,6104,1
1,7747,12814,1
1,7747,5692,1
1,7747,5331,1
1,7747,9887,1
1,7747,11318,1
1,7747,10935,1
1,7747,73138,1
1,7747,17908,1
1,7747,10108,1
1,7747,22570,1
1,7747,5624,1
1,7747,5728,1
1,7747,10010,1
1,7747,10955,1
1,7747,6777,1
1,7747,16315,1
1,7747,10871,1
1,7747,6087,1
1,7747,5687,1
1,7747,6202,1
1,7747,6442,1
1,7747,7744,1
1,7747,6086,1
1,7747,6995,1
1,7747,6084,1
1,5302,5851,1
1,5302,5298,1
1,5302,5662,1
1,5302,10434,1
1,5302,5325,1
1,5302,5711,1
1,5302,5306,1
1,5302,6110,1
1,5302,13020,1
1,5302,5296,1
1,5302,5756,1
1,5302,5310,1
1,5302,5321,1
1,5302,11818,1
1,5302,5359,1
1,5302,5742,1
1,5302,5683,1
1,5302,6102,1
1,5302,5931,1
1,5302,5335,1
1,5302,10107,1
1,5302,10575,1
1,5302,5654,1
1,5302,5638,1
1,5302,6104,1
1,5302,12814,1
1,5302,5692,1
1,5302,5331,1
1,5302,9887,1
1,5302,11318,1
1,5302,10935,1
1,5302,73138,1
1,5302,17908,1
1,5302,10108,1
1,5302,22570,1
1,5302,5624,1
1,5302,5728,1
1,5302,10010,1
1,5302,10955,1
1,5302,6777,1
1,5302,16315,1
1,5302,10871,1
1,5302,6087,1
1,5302,5687,1
1,5302,6202,1
1,5302,6442,1
1,5302,7744,1
1,5302,6086,1
1,5302,6995,1
1,5302,6084,1
1,5851,5298,1
1,5851,5662,1
1,5851,10434,1
1,5851,5325,1
1,5851,5711,1
1,5851,5306,1
1,5851,6110,1
1,5851,13020,1
1,5851,5296,1
1,5851,5756,1
1,5851,5310,1
1,5851,5321,1
1,5851,11818,1
1,5851,5359,1
1,5851,5742,1
1,5851,5683,1
1,5851,6102,1
1,5851,5931,1
1,5851,5335,1
1,5851,10107,1
1,5851,10575,1
1,5851,5654,1
1,5851,5638,1
1,5851,6104,1
1,5851,12814,1
1,5851,5692,1
1,5851,5331,1
1,5851,9887,1
1,5851,11318,1
1,5851,10935,1
1,5851,73138,1
1,5851,17908,1
1,5851,10108,1
1,5851,22570,1
1,5851,5624,1
1,5851,5728,1
1,5851,10010,1
1,5851,10955,1
1,5851,6777,1
1,5851,16315,1
1,5851,10871,1
1,5851,6087,1
1,5851,5687,1
1,5851,6202,1
1,5851,6442,1
1,5851,7744,1
1,5851,6086,1
1,5851,6995,1
1,5851,6084,1
1,5298,5662,1
1,5298,10434,1
1,5298,5325,1
1,5298,5711,1
1,5298,5306,1
1,5298,6110,1
1,5298,13020,1
1,5298,5296,1
1,5298,5756,1
1,5298,5310,1
1,5298,5321,1
1,5298,11818,1
1,5298,5359,1
1,5298,5742,1
1,5298,5683,1
1,5298,6102,1
1,5298,5931,1
1,5298,5335,1
1,5298,10107,1
1,5298,10575,1
1,5298,5654,1
1,5298,5638,1
1,5298,6104,1
1,5298,12814,1
1,5298,5692,1
1,5298,5331,1
1,5298,9887,1
1,5298,11318,1
1,5298,10935,1
1,5298,73138,1
1,5298,17908,1
1,5298,10108,1
1,5298,22570,1
1,5298,5624,1
1,5298,5728,1
1,5298,10010,1
1,5298,10955,1
1,5298,6777,1
1,5298,16315,1
1,5298,10871,1
1,5298,6087,1
1,5298,5687,1
1,5298,6202,1
1,5298,6442,1
1,5298,7744,1
1,5298,6086,1
1,5298,6995,1
1,5298,6084,1
1,5662,10434,1
1,5662,5325,1
1,5662,5711,1
1,5662,5306,1
1,5662,6110,1
1,5662,13020,1
1,5662,5296,1
1,5662,5756,1
1,5662,5310,1
1,5662,5321,1
1,5662,11818,1
1,5662,5359,1
1,5662,5742,1
1,5662,5683,1
1,5662,6102,1
1,5662,5931,1
1,5662,5335,1
1,5662,10107,1
1,5662,10575,1
1,5662,5654,1
1,5662,5638,1
1,5662,6104,1
1,5662,12814,1
1,5662,5692,1
1,5662,5331,1
1,5662,9887,1
1,5662,11318,1
1,5662,10935,1
1,5662,73138,1
1,5662,17908,1
1,5662,10108,1
1,5662,22570,1
1,5662,5624,1
1,5662,5728,1
1,5662,10010,1
1,5662,10955,1
1,5662,6777,1
1,5662,16315,1
1,5662,10871,1
1,5662,6087,1
1,5662,5687,1
1,5662,6202,1
1,5662,6442,1
1,5662,7744,1
1,5662,6086,1
1,5662,6995,1
1,5662,6084,1
1,10434,5325,1
1,10434,5711,1
1,10434,5306,1
1,10434,6110,1
1,10434,13020,1
1,10434,5296,1
1,10434,5756,1
1,10434,5310,1
1,10434,5321,1
1,10434,11818,1
1,10434,5359,1
1,10434,5742,1
1,10434,5683,1
1,10434,6102,1
1,10434,5931,1
1,10434,5335,1
1,10434,10107,1
1,10434,10575,1
1,10434,5654,1
1,10434,5638,1
1,10434,6104,1
1,10434,12814,1
1,10434,5692,1
1,10434,5331,1
1,10434,9887,1
1,10434,11318,1
1,10434,10935,1
1,10434,73138,1
1,10434,17908,1
1,10434,10108,1
1,10434,22570,1
1,10434,5624,1
1,10434,5728,1
1,10434,10010,1
1,10434,10955,1
1,10434,6777,1
1,10434,16315,1
1,10434,10871,1
1,10434,6087,1
1,10434,5687,1
1,10434,6202,1
1,10434,6442,1
1,10434,7744,1
1,10434,6086,1
1,10434,6995,1
1,10434,6084,1
1,5325,5711,1
1,5325,5306,1
1,5325,6110,1
1,5325,13020,1
1,5325,5296,1
1,5325,5756,1
1,5325,5310,1
1,5325,5321,1
1,5325,11818,1
1,5325,5359,1
1,5325,5742,1
1,5325,5683,1
1,5325,6102,1
1,5325,5931,1
