time,player1,player2,result
20,5530,5526,1
20,5530,5372,1
20,5530,6120,1
20,5530,12674,1
20,5530,7795,1
20,5530,5573,1
20,5530,5399,1
20,5530,5539,1
20,5530,12785,1
20,5530,5547,1
20,5530,8739,1
20,5530,12786,1
20,5530,7766,1
20,5530,5312,1
20,5530,5567,1
20,5530,21978,1
20,5530,5407,1
20,5530,5842,1
20,5530,6210,1
20,5530,6150,1
20,5530,6783,1
20,5530,5385,1
20,5530,5576,1
20,5530,6848,1
20,5530,5448,1
20,5530,23837,1
20,5530,6246,1
20,5530,5410,1
20,5530,11385,1
20,5530,5376,1
20,5530,17003,1
20,5530,6224,1
20,5530,17143,1
20,5530,15483,1
20,5530,10843,1
20,5530,6069,1
20,5530,6522,1
20,5530,5486,1
20,5530,5369,1
20,5530,6706,1
20,5530,5548,1
20,5530,6852,1
20,5530,6861,1
20,5530,5502,1
20,5530,11084,1
20,5530,9742,1
20,5530,5854,1
20,5530,11070,1
20,5530,6963,1
20,5530,11836,1
20,5530,11133,1
20,5530,23847,1
20,5530,5417,1
20,5530,110113,1
20,5530,10913,1
20,5530,10761,1
20,5530,5396,1
20,5530,9939,1
20,5530,5517,1
20,5530,5454,1
20,5530,5943,1
20,5530,17056,1
20,5530,7004,1
20,5530,72255,1
20,5530,6898,1
20,5530,7013,1
20,5530,16889,1
20,5526,5372,1
20,5526,6120,1
20,5526,12674,1
20,5526,7795,1
20,5526,5573,1
20,5526,5399,1
20,5526,5539,1
20,5526,12785,1
20,5526,5547,1
20,5526,8739,1
20,5526,12786,1
20,5526,7766,1
20,5526,5312,1
20,5526,5567,1
20,5526,21978,1
20,5526,5407,1
20,5526,5842,1
20,5526,6210,1
20,5526,6150,1
20,5526,6783,1
20,5526,5385,1
20,5526,5576,1
20,5526,6848,1
20,5526,5448,1
20,5526,23837,1
20,5526,6246,1
20,5526,5410,1
20,5526,11385,1
20,5526,5376,1
20,5526,17003,1
20,5526,6224,1
20,5526,17143,1
20,5526,15483,1
20,5526,10843,1
20,5526,6069,1
20,5526,6522,1
20,5526,5486,1
20,5526,5369,1
20,5526,6706,1
20,5526,5548,1
20,5526,6852,1
20,5526,6861,1
20,5526,5502,1
20,5526,11084,1
20,5526,9742,1
20,5526,5854,1
20,5526,11070,1
20,5526,6963,1
20,5526,11836,1
20,5526,11133,1
20,5526,23847,1
20,5526,5417,1
20,5526,110113,1
20,5526,10913,1
20,5526,10761,1
20,5526,5396,1
20,5526,9939,1
20,5526,5517,1
20,5526,5454,1
20,5526,5943,1
20,5526,17056,1
20,5526,7004,1
20,5526,72255,1
20,5526,6898,1
20,5526,7013,1
20,5526,16889,1
20,5372,6120,1
20,5372,12674,1
20,5372,7795,1
20,5372,5573,1
20,5372,5399,1
20,5372,5539,1
20,5372,12785,1
20,5372,5547,1
20,5372,8739,1
20,5372,12786,1
20,5372,7766,1
20,5372,5312,1
20,5372,5567,1
20,5372,21978,1
20,5372,5407,1
20,5372,5842,1
20,5372,6210,1
20,5372,6150,1
20,5372,6783,1
20,5372,5385,1
20,5372,5576,1
20,5372,6848,1
20,5372,5448,1
20,5372,23837,1
20,5372,6246,1
20,5372,5410,1
20,5372,11385,1
20,5372,5376,1
20,5372,17003,1
20,5372,6224,1
20,5372,17143,1
20,5372,15483,1
20,5372,10843,1
20,5372,6069,1
20,5372,6522,1
20,5372,5486,1
20,5372,5369,1
20,5372,6706,1
20,5372,5548,1
20,5372,6852,1
20,5372,6861,1
20,5372,5502,1
20,5372,11084,1
20,5372,9742,1
20,5372,5854,1
20,5372,11070,1
20,5372,6963,1
20,5372,11836,1
20,5372,11133,1
20,5372,23847,1
20,5372,5417,1
20,5372,110113,1
20,5372,10913,1
20,5372,10761,1
20,5372,5396,1
20,5372,9939,1
20,5372,5517,1
20,5372,5454,1
20,5372,5943,1
20,5372,17056,1
20,5372,7004,1
20,5372,72255,1
20,5372,6898,1
20,5372,7013,1
20,5372,16889,1
20,6120,12674,1
20,6120,7795,1
20,6120,5573,1
20,6120,5399,1
20,6120,5539,1
20,6120,12785,1
20,6120,5547,1
20,6120,8739,1
20,6120,12786,1
20,6120,7766,1
20,6120,5312,1
20,6120,5567,1
20,6120,21978,1
20,6120,5407,1
20,6120,5842,1
20,6120,6210,1
20,6120,6150,1
20,6120,6783,1
20,6120,5385,1
20,6120,5576,1
20,6120,6848,1
20,6120,5448,1
20,6120,23837,1
20,6120,6246,1
20,6120,5410,1
20,6120,11385,1
20,6120,5376,1
20,6120,17003,1
20,6120,6224,1
20,6120,17143,1
20,6120,15483,1
20,6120,10843,1
20,6120,6069,1
20,6120,6522,1
20,6120,5486,1
20,6120,5369,1
20,6120,6706,1
20,6120,5548,1
20,6120,6852,1
20,6120,6861,1
20,6120,5502,1
20,6120,11084,1
20,6120,9742,1
20,6120,5854,1
20,6120,11070,1
20,6120,6963,1
20,6120,11836,1
20,6120,11133,1
20,6120,23847,1
20,6120,5417,1
20,6120,110113,1
20,6120,10913,1
20,6120,10761,1
20,6120,5396,1
20,6120,9939,1
20,6120,5517,1
20,6120,5454,1
20,6120,5943,1
20,6120,17056,1
20,6120,7004,1
20,6120,72255,1
20,6120,6898,1
20,6120,7013,1
20,6120,16889,1
20,12674,7795,1
20,12674,5573,1
20,12674,5399,1
20,12674,5539,1
20,12674,12785,1
20,12674,5547,1
20,12674,8739,1
20,12674,12786,1
20,12674,7766,1
20,12674,5312,1
20,12674,5567,1
20,12674,21978,1
20,12674,5407,1
20,12674,5842,1
20,12674,6210,1
20,12674,6150,1
20,12674,6783,1
20,12674,5385,1
20,12674,5576,1
20,12674,6848,1
20,12674,5448,1
20,12674,23837,1
20,12674,6246,1
20,12674,5410,1
20,12674,11385,1
20,12674,5376,1
20,12674,17003,1
20,12674,6224,1
20,12674,17143,1
20,12674,15483,1
20,12674,10843,1
20,12674,6069,1
20,12674,6522,1
20,12674,5486,1
20,12674,5369,1
20,12674,6706,1
20,12674,5548,1
20,12674,6852,1
20,12674,6861,1
20,12674,5502,1
20,12674,11084,1
20,12674,9742,1
20,12674,5854,1
20,12674,11070,1
20,12674,6963,1
20,12674,11836,1
20,12674,11133,1
20,12674,23847,1
20,12674,5417,1
20,12674,110113,1
20,12674,10913,1
20,12674,10761,1
20,12674,5396,1
20,12674,9939,1
20,12674,5517,1
20,12674,5454,1
20,12674,5943,1
20,12674,17056,1
20,12674,7004,1
20,12674,72255,1
20,12674,6898,1
20,12674,7013,1
20,12674,16889,1
20,7795,5573,1
20,7795,5399,1
20,7795,5539,1
20,7795,12785,1
20,7795,5547,1
20,7795,8739,1
20,7795,12786,1
20,7795,7766,1
20,7795,5312,1
20,7795,5567,1
20,7795,21978,1
20,7795,5407,1
20,7795,5842,1
20,7795,6210,1
20,7795,6150,1
20,7795,6783,1
20,7795,5385,1
20,7795,5576,1
20,7795,6848,1
20,7795,5448,1
20,7795,23837,1
20,7795,6246,1
20,7795,5410,1
20,7795,11385,1
20,7795,5376,1
20,7795,17003,1
20,7795,6224,1
20,7795,17143,1
20,7795,15483,1
20,7795,10843,1
20,7795,6069,1
20,7795,6522,1
20,7795,5486,1
20,7795,5369,1
20,7795,6706,1
20,7795,5548,1
20,7795,6852,1
20,7795,6861,1
20,7795,5502,1
20,7795,11084,1
20,7795,9742,1
20,7795,5854,1
20,7795,11070,1
20,7795,6963,1
20,7795,11836,1
20,7795,11133,1
20,7795,23847,1
20,7795,5417,1
20,7795,110113,1
20,7795,10913,1
20,7795,10761,1
20,7795,5396,1
20,7795,9939,1
20,7795,5517,1
20,7795,5454,1
20,7795,5943,1
20,7795,17056,1
20,7795,7004,1
20,7795,72255,1
20,7795,6898,1
20,7795,7013,1
20,7795,16889,1
20,5573,5399,1
20,5573,5539,1
20,5573,12785,1
20,5573,5547,1
20,5573,8739,1
20,5573,12786,1
20,5573,7766,1
20,5573,5312,1
20,5573,5567,1
20,5573,21978,1
20,5573,5407,1
20,5573,5842,1
20,5573,6210,1
20,5573,6150,1
20,5573,6783,1
20,5573,5385,1
20,5573,5576,1
20,5573,6848,1
20,5573,5448,1
20,5573,23837,1
20,5573,6246,1
20,5573,5410,1
20,5573,11385,1
20,5573,5376,1
20,5573,17003,1
20,5573,6224,1
20,5573,17143,1
20,5573,15483,1
20,5573,10843,1
20,5573,6069,1
20,5573,6522,1
20,5573,5486,1
20,5573,5369,1
20,5573,6706,1
20,5573,5548,1
20,5573,6852,1
20,5573,6861,1
20,5573,5502,1
20,5573,11084,1
20,5573,9742,1
20,5573,5854,1
20,5573,11070,1
20,5573,6963,1
20,5573,11836,1
20,5573,11133,1
20,5573,23847,1
20,5573,5417,1
20,5573,110113,1
20,5573,10913,1
20,5573,10761,1
20,5573,5396,1
20,5573,9939,1
20,5573,5517,1
20,5573,5454,1
20,5573,5943,1
20,5573,17056,1
20,5573,7004,1
20,5573,72255,1
20,5573,6898,1
20,5573,7013,1
20,5573,16889,1
20,5399,5539,1
20,5399,12785,1
20,5399,5547,1
20,5399,8739,1
20,5399,12786,1
20,5399,7766,1
20,5399,5312,1
20,5399,5567,1
20,5399,21978,1
20,5399,5407,1
20,5399,5842,1
20,5399,6210,1
20,5399,6150,1
20,5399,6783,1
20,5399,5385,1
20,5399,5576,1
20,5399,6848,1
20,5399,5448,1
20,5399,23837,1
20,5399,6246,1
20,5399,5410,1
20,5399,11385,1
20,5399,5376,1
20,5399,17003,1
20,5399,6224,1
20,5399,17143,1
20,5399,15483,1
20,5399,10843,1
20,5399,6069,1
20,5399,6522,1
20,5399,5486,1
20,5399,5369,1
20,5399,6706,1
20,5399,5548,1
20,5399,6852,1
20,5399,6861,1
20,5399,5502,1
20,5399,11084,1
20,5399,9742,1
20,5399,5854,1
20,5399,11070,1
20,5399,6963,1
20,5399,11836,1
20,5399,11133,1
20,5399,23847,1
20,5399,5417,1
20,5399,110113,1
20,5399,10913,1
20,5399,10761,1
20,5399,5396,1
20,5399,9939,1
20,5399,5517,1
20,5399,5454,1
20,5399,5943,1
20,5399,17056,1
20,5399,7004,1
20,5399,72255,1
20,5399,6898,1
20,5399,7013,1
20,5399,16889,1
20,5539,12785,1
20,5539,5547,1
20,5539,8739,1
20,5539,12786,1
20,5539,7766,1
20,5539,5312,1
20,5539,5567,1
20,5539,21978,1
20,5539,5407,1
20,5539,5842,1
20,5539,6210,1
20,5539,6150,1
20,5539,6783,1
20,5539,5385,1
20,5539,5576,1
20,5539,6848,1
20,5539,5448,1
20,5539,23837,1
20,5539,6246,1
20,5539,5410,1
20,5539,11385,1
20,5539,5376,1
20,5539,17003,1
20,5539,6224,1
20,5539,17143,1
20,5539,15483,1
20,5539,10843,1
20,5539,6069,1
20,5539,6522,1
20,5539,5486,1
20,5539,5369,1
20,5539,6706,1
20,5539,5548,1
20,5539,6852,1
20,5539,6861,1
20,5539,5502,1
20,5539,11084,1
20,5539,9742,1
20,5539,5854,1
20,5539,11070,1
20,5539,6963,1
20,5539,11836,1
20,5539,11133,1
20,5539,23847,1
20,5539,5417,1
20,5539,110113,1
20,5539,10913,1
20,5539,10761,1
20,5539,5396,1
20,5539,9939,1
20,5539,5517,1
20,5539,5454,1
20,5539,5943,1
20,5539,17056,1
20,5539,7004,1
20,5539,72255,1
20,5539,6898,1
20,5539,7013,1
20,5539,16889,1
20,12785,5547,1
20,12785,8739,1
20,12785,12786,1
20,12785,7766,1
20,12785,5312,1
20,12785,5567,1
20,12785,21978,1
20,12785,5407,1
20,12785,5842,1
20,12785,6210,1
20,12785,6150,1
20,12785,6783,1
20,12785,5385,1
20,12785,5576,1
20,12785,6848,1
20,12785,5448,1
20,12785,23837,1
20,12785,6246,1
20,12785,5410,1
20,12785,11385,1
20,12785,5376,1
20,12785,17003,1
20,12785,6224,1
20,12785,17143,1
20,12785,15483,1
20,12785,10843,1
20,12785,6069,1
20,12785,6522,1
20,12785,5486,1
20,12785,5369,1
20,12785,6706,1
20,12785,5548,1
20,12785,6852,1
20,12785,6861,1
20,12785,5502,1
20,12785,11084,1
20,12785,9742,1
20,12785,5854,1
20,12785,11070,1
20,12785,6963,1
20,12785,11836,1
20,12785,11133,1
20,12785,23847,1
20,12785,5417,1
20,12785,110113,1
20,12785,10913,1
20,12785,10761,1
20,12785,5396,1
20,12785,9939,1
20,12785,5517,1
20,12785,5454,1
20,12785,5943,1
20,12785,17056,1
20,12785,7004,1
20,12785,72255,1
20,12785,6898,1
20,12785,7013,1
20,12785,16889,1
20,5547,8739,1
20,5547,12786,1
20,5547,7766,1
20,5547,5312,1
20,5547,5567,1
20,5547,21978,1
20,5547,5407,1
20,5547,5842,1
20,5547,6210,1
20,5547,6150,1
20,5547,6783,1
20,5547,5385,1
20,5547,5576,1
20,5547,6848,1
20,5547,5448,1
20,5547,23837,1
20,5547,6246,1
20,5547,5410,1
20,5547,11385,1
20,5547,5376,1
20,5547,17003,1
20,5547,6224,1
20,5547,17143,1
20,5547,15483,1
20,5547,10843,1
20,5547,6069,1
20,5547,6522,1
20,5547,5486,1
20,5547,5369,1
20,5547,6706,1
20,5547,5548,1
20,5547,6852,1
20,5547,6861,1
20,5547,5502,1
20,5547,11084,1
20,5547,9742,1
20,5547,5854,1
20,5547,11070,1
20,5547,6963,1
20,5547,11836,1
20,5547,11133,1
20,5547,23847,1
20,5547,5417,1
20,5547,110113,1
20,5547,10913,1
20,5547,10761,1
20,5547,5396,1
20,5547,9939,1
20,5547,5517,1
20,5547,5454,1
20,5547,5943,1
20,5547,17056,1
20,5547,7004,1
20,5547,72255,1
20,5547,6898,1
20,5547,7013,1
20,5547,16889,1
20,8739,12786,1
20,8739,7766,1
20,8739,5312,1
20,8739,5567,1
20,8739,21978,1
20,8739,5407,1
20,8739,5842,1
20,8739,6210,1
20,8739,6150,1
20,8739,6783,1
20,8739,5385,1
20,8739,5576,1
20,8739,6848,1
20,8739,5448,1
20,8739,23837,1
20,8739,6246,1
20,8739,5410,1
20,8739,11385,1
20,8739,5376,1
20,8739,17003,1
20,8739,6224,1
20,8739,17143,1
20,8739,15483,1
20,8739,10843,1
20,8739,6069,1
20,8739,6522,1
20,8739,5486,1
20,8739,5369,1
20,8739,6706,1
20,8739,5548,1
20,8739,6852,1
20,8739,6861,1
20,8739,5502,1
20,8739,11084,1
20,8739,9742,1
20,8739,5854,1
20,8739,11070,1
20,8739,6963,1
20,8739,11836,1
20,8739,11133,1
20,8739,23847,1
20,8739,5417,1
20,8739,110113,1
20,8739,10913,1
20,8739,10761,1
20,8739,5396,1
20,8739,9939,1
20,8739,5517,1
20,8739,5454,1
20,8739,5943,1
20,8739,17056,1
20,8739,7004,1
20,8739,72255,1
20,8739,6898,1
20,8739,7013,1
20,8739,16889,1
20,12786,7766,1
20,12786,5312,1
20,12786,5567,1
20,12786,21978,1
20,12786,5407,1
20,12786,5842,1
20,12786,6210,1
20,12786,6150,1
20,12786,6783,1
20,12786,5385,1
20,12786,5576,1
20,12786,6848,1
20,12786,5448,1
20,12786,23837,1
20,12786,6246,1
20,12786,5410,1
20,12786,11385,1
20,12786,5376,1
20,12786,17003,1
20,12786,6224,1
20,12786,17143,1
20,12786,15483,1
20,12786,10843,1
20,12786,6069,1
20,12786,6522,1
20,12786,5486,1
20,12786,5369,1
20,12786,6706,1
20,12786,5548,1
20,12786,6852,1
20,12786,6861,1
20,12786,5502,1
20,12786,11084,1
20,12786,9742,1
20,12786,5854,1
20,12786,11070,1
20,12786,6963,1
