time,player1,player2,result
20,7788,5695,1
20,7788,5747,1
20,7788,10539,1
20,7788,5711,1
20,7788,5718,1
20,7788,5332,1
20,7788,5320,1
20,7788,7778,1
20,7788,5824,1
20,7788,5756,1
20,7788,5823,1
20,7788,10858,1
20,7788,5298,1
20,7788,5931,1
20,7788,10434,1
20,7788,5359,1
20,7788,5683,1
20,7788,5851,1
20,7788,5633,1
20,7788,6226,1
20,7788,6131,1
20,7788,5651,1
20,7788,5657,1
20,7788,5321,1
20,7788,15944,1
20,7788,6137,1
20,7788,5591,1
20,7788,5620,1
20,7788,5306,1
20,7788,10575,1
20,7788,7744,1
20,7788,5350,1
20,7788,5742,1
20,7788,10536,1
20,7788,5624,1
20,7788,6202,1
20,7788,6087,1
20,7788,5351,1
20,7788,6110,1
20,7788,5692,1
20,7788,19171,1
20,7788,6086,1
20,7788,5829,1
20,7788,5331,1
20,7788,5327,1
20,7788,5755,1
20,7788,5669,1
20,7788,7747,1
20,7788,5758,1
20,7788,6442,1
20,7788,6084,1
20,7788,7743,1
20,7788,5654,1
20,7788,5694,1
20,7788,11318,1
20,7788,7786,1
20,7788,5864,1
20,7788,5881,1
20,7788,5958,1
20,7788,9917,1
20,7788,70017,1
20,7788,5776,1
20,7788,15981,1
20,7788,11193,1
20,7788,13020,1
20,5695,5747,1
20,5695,10539,1
20,5695,5711,1
20,5695,5718,1
20,5695,5332,1
20,5695,5320,1
20,5695,7778,1
20,5695,5824,1
20,5695,5756,1
20,5695,5823,1
20,5695,10858,1
20,5695,5298,1
20,5695,5931,1
20,5695,10434,1
20,5695,5359,1
20,5695,5683,1
20,5695,5851,1
20,5695,5633,1
20,5695,6226,1
20,5695,6131,1
20,5695,5651,1
20,5695,5657,1
20,5695,5321,1
20,5695,15944,1
20,5695,6137,1
20,5695,5591,1
20,5695,5620,1
20,5695,5306,1
20,5695,10575,1
20,5695,7744,1
20,5695,5350,1
20,5695,5742,1
20,5695,10536,1
20,5695,5624,1
20,5695,6202,1
20,5695,6087,1
20,5695,5351,1
20,5695,6110,1
20,5695,5692,1
20,5695,19171,1
20,5695,6086,1
20,5695,5829,1
20,5695,5331,1
20,5695,5327,1
20,5695,5755,1
20,5695,5669,1
20,5695,7747,1
20,5695,5758,1
20,5695,6442,1
20,5695,6084,1
20,5695,7743,1
20,5695,5654,1
20,5695,5694,1
20,5695,11318,1
20,5695,7786,1
20,5695,5864,1
20,5695,5881,1
20,5695,5958,1
20,5695,9917,1
20,5695,70017,1
20,5695,5776,1
20,5695,15981,1
20,5695,11193,1
20,5695,13020,1
20,5747,10539,1
20,5747,5711,1
20,5747,5718,1
20,5747,5332,1
20,5747,5320,1
20,5747,7778,1
20,5747,5824,1
20,5747,5756,1
20,5747,5823,1
20,5747,10858,1
20,5747,5298,1
20,5747,5931,1
20,5747,10434,1
20,5747,5359,1
20,5747,5683,1
20,5747,5851,1
20,5747,5633,1
20,5747,6226,1
20,5747,6131,1
20,5747,5651,1
20,5747,5657,1
20,5747,5321,1
20,5747,15944,1
20,5747,6137,1
20,5747,5591,1
20,5747,5620,1
20,5747,5306,1
20,5747,10575,1
20,5747,7744,1
20,5747,5350,1
20,5747,5742,1
20,5747,10536,1
20,5747,5624,1
20,5747,6202,1
20,5747,6087,1
20,5747,5351,1
20,5747,6110,1
20,5747,5692,1
20,5747,19171,1
20,5747,6086,1
20,5747,5829,1
20,5747,5331,1
20,5747,5327,1
20,5747,5755,1
20,5747,5669,1
20,5747,7747,1
20,5747,5758,1
20,5747,6442,1
20,5747,6084,1
20,5747,7743,1
20,5747,5654,1
20,5747,5694,1
20,5747,11318,1
20,5747,7786,1
20,5747,5864,1
20,5747,5881,1
20,5747,5958,1
20,5747,9917,1
20,5747,70017,1
20,5747,5776,1
20,5747,15981,1
20,5747,11193,1
20,5747,13020,1
20,10539,5711,1
20,10539,5718,1
20,10539,5332,1
20,10539,5320,1
20,10539,7778,1
20,10539,5824,1
20,10539,5756,1
20,10539,5823,1
20,10539,10858,1
20,10539,5298,1
20,10539,5931,1
20,10539,10434,1
20,10539,5359,1
20,10539,5683,1
20,10539,5851,1
20,10539,5633,1
20,10539,6226,1
20,10539,6131,1
20,10539,5651,1
20,10539,5657,1
20,10539,5321,1
20,10539,15944,1
20,10539,6137,1
20,10539,5591,1
20,10539,5620,1
20,10539,5306,1
20,10539,10575,1
20,10539,7744,1
20,10539,5350,1
20,10539,5742,1
20,10539,10536,1
20,10539,5624,1
20,10539,6202,1
20,10539,6087,1
20,10539,5351,1
20,10539,6110,1
20,10539,5692,1
20,10539,19171,1
20,10539,6086,1
20,10539,5829,1
20,10539,5331,1
20,10539,5327,1
20,10539,5755,1
20,10539,5669,1
20,10539,7747,1
20,10539,5758,1
20,10539,6442,1
20,10539,6084,1
20,10539,7743,1
20,10539,5654,1
20,10539,5694,1
20,10539,11318,1
20,10539,7786,1
20,10539,5864,1
20,10539,5881,1
20,10539,5958,1
20,10539,9917,1
20,10539,70017,1
20,10539,5776,1
20,10539,15981,1
20,10539,11193,1
20,10539,13020,1
20,5711,5718,1
20,5711,5332,1
20,5711,5320,1
20,5711,7778,1
20,5711,5824,1
20,5711,5756,1
20,5711,5823,1
20,5711,10858,1
20,5711,5298,1
20,5711,5931,1
20,5711,10434,1
20,5711,5359,1
20,5711,5683,1
20,5711,5851,1
20,5711,5633,1
