time,player1,player2,result
16,7788,5591,1
16,7788,5320,1
16,7788,5695,1
16,7788,5747,1
16,7788,5692,1
16,7788,10539,1
16,7788,7747,1
16,7788,6442,1
16,7788,7743,1
16,7788,6226,1
16,7788,6560,1
16,7788,7787,1
16,7788,10434,1
16,7788,5824,1
16,7788,5823,1
16,7788,5633,1
16,7788,5756,1
16,7788,5755,1
16,7788,10213,1
16,7788,5669,1
16,7788,11329,1
16,7788,6202,1
16,7788,6707,1
16,7788,5306,1
16,7788,6110,1
16,7788,11060,1
16,7788,11378,1
16,7788,12431,1
16,7788,5742,1
16,7788,7145,1
16,7788,10107,1
16,7788,5321,1
16,7788,5718,1
16,7788,5881,1
16,7788,7796,1
16,7788,5638,1
16,7788,19171,1
16,7788,5851,1
16,7788,5620,1
16,7788,5703,1
16,7788,15944,1
16,7788,10108,1
16,7788,5657,1
16,7788,5654,1
16,7788,5959,1
16,7788,11402,1
16,7788,5864,1
16,7788,7786,1
16,7788,5310,1
16,7788,5722,1
16,7788,6087,1
16,7788,10858,1
16,7788,6227,1
16,5591,5320,1
16,5591,5695,1
16,5591,5747,1
16,5591,5692,1
16,5591,10539,1
16,5591,7747,1
16,5591,6442,1
16,5591,7743,1
16,5591,6226,1
16,5591,6560,1
16,5591,7787,1
16,5591,10434,1
16,5591,5824,1
16,5591,5823,1
16,5591,5633,1
16,5591,5756,1
16,5591,5755,1
16,5591,10213,1
16,5591,5669,1
16,5591,11329,1
16,5591,6202,1
16,5591,6707,1
16,5591,5306,1
16,5591,6110,1
16,5591,11060,1
16,5591,11378,1
16,5591,12431,1
16,5591,5742,1
16,5591,7145,1
16,5591,10107,1
16,5591,5321,1
16,5591,5718,1
16,5591,5881,1
16,5591,7796,1
16,5591,5638,1
16,5591,19171,1
16,5591,5851,1
16,5591,5620,1
16,5591,5703,1
16,5591,15944,1
16,5591,10108,1
16,5591,5657,1
16,5591,5654,1
16,5591,5959,1
16,5591,11402,1
16,5591,5864,1
16,5591,7786,1
16,5591,5310,1
16,5591,5722,1
16,5591,6087,1
16,5591,10858,1
16,5591,6227,1
16,5320,5695,1
16,5320,5747,1
16,5320,5692,1
16,5320,10539,1
16,5320,7747,1
16,5320,6442,1
16,5320,7743,1
16,5320,6226,1
16,5320,6560,1
16,5320,7787,1
16,5320,10434,1
16,5320,5824,1
16,5320,5823,1
16,5320,5633,1
16,5320,5756,1
16,5320,5755,1
16,5320,10213,1
16,5320,5669,1
16,5320,11329,1
16,5320,6202,1
16,5320,6707,1
16,5320,5306,1
16,5320,6110,1
16,5320,11060,1
16,5320,11378,1
16,5320,12431,1
16,5320,5742,1
16,5320,7145,1
16,5320,10107,1
16,5320,5321,1
16,5320,5718,1
16,5320,5881,1
16,5320,7796,1
16,5320,5638,1
16,5320,19171,1
16,5320,5851,1
16,5320,5620,1
16,5320,5703,1
16,5320,15944,1
16,5320,10108,1
16,5320,5657,1
16,5320,5654,1
16,5320,5959,1
16,5320,11402,1
16,5320,5864,1
16,5320,7786,1
16,5320,5310,1
16,5320,5722,1
16,5320,6087,1
16,5320,10858,1
16,5320,6227,1
16,5695,5747,1
16,5695,5692,1
16,5695,10539,1
16,5695,7747,1
16,5695,6442,1
16,5695,7743,1
16,5695,6226,1
16,5695,6560,1
16,5695,7787,1
16,5695,10434,1
16,5695,5824,1
16,5695,5823,1
16,5695,5633,1
16,5695,5756,1
16,5695,5755,1
16,5695,10213,1
16,5695,5669,1
16,5695,11329,1
16,5695,6202,1
16,5695,6707,1
16,5695,5306,1
16,5695,6110,1
16,5695,11060,1
16,5695,11378,1
16,5695,12431,1
16,5695,5742,1
16,5695,7145,1
16,5695,10107,1
16,5695,5321,1
16,5695,5718,1
16,5695,5881,1
16,5695,7796,1
16,5695,5638,1
16,5695,19171,1
16,5695,5851,1
16,5695,5620,1
16,5695,5703,1
16,5695,15944,1
16,5695,10108,1
16,5695,5657,1
16,5695,5654,1
16,5695,5959,1
16,5695,11402,1
16,5695,5864,1
16,5695,7786,1
16,5695,5310,1
16,5695,5722,1
16,5695,6087,1
16,5695,10858,1
16,5695,6227,1
16,5747,5692,1
16,5747,10539,1
16,5747,7747,1
16,5747,6442,1
16,5747,7743,1
16,5747,6226,1
16,5747,6560,1
16,5747,7787,1
16,5747,10434,1
16,5747,5824,1
16,5747,5823,1
16,5747,5633,1
16,5747,5756,1
16,5747,5755,1
16,5747,10213,1
16,5747,5669,1
16,5747,11329,1
16,5747,6202,1
16,5747,6707,1
16,5747,5306,1
16,5747,6110,1
16,5747,11060,1
16,5747,11378,1
16,5747,12431,1
16,5747,5742,1
16,5747,7145,1
16,5747,10107,1
16,5747,5321,1
16,5747,5718,1
16,5747,5881,1
16,5747,7796,1
16,5747,5638,1
16,5747,19171,1
16,5747,5851,1
16,5747,5620,1
16,5747,5703,1
16,5747,15944,1
16,5747,10108,1
16,5747,5657,1
16,5747,5654,1
16,5747,5959,1
16,5747,11402,1
16,5747,5864,1
16,5747,7786,1
16,5747,5310,1
16,5747,5722,1
16,5747,6087,1
16,5747,10858,1
16,5747,6227,1
16,5692,10539,1
16,5692,7747,1
16,5692,6442,1
16,5692,7743,1
16,5692,6226,1
16,5692,6560,1
16,5692,7787,1
16,5692,10434,1
16,5692,5824,1
16,5692,5823,1
16,5692,5633,1
16,5692,5756,1
16,5692,5755,1
16,5692,10213,1
16,5692,5669,1
16,5692,11329,1
16,5692,6202,1
16,5692,6707,1
16,5692,5306,1
16,5692,6110,1
16,5692,11060,1
16,5692,11378,1
16,5692,12431,1
16,5692,5742,1
16,5692,7145,1
16,5692,10107,1
16,5692,5321,1
16,5692,5718,1
16,5692,5881,1
16,5692,7796,1
16,5692,5638,1
16,5692,19171,1
16,5692,5851,1
16,5692,5620,1
16,5692,5703,1
16,5692,15944,1
16,5692,10108,1
16,5692,5657,1
16,5692,5654,1
16,5692,5959,1
16,5692,11402,1
16,5692,5864,1
16,5692,7786,1
16,5692,5310,1
16,5692,5722,1
16,5692,6087,1
16,5692,10858,1
16,5692,6227,1
16,10539,7747,1
