time,player1,player2,result
15,7766,6150,1
15,7766,5526,1
15,7766,5372,1
15,7766,6783,1
15,7766,5530,1
15,7766,12786,1
15,7766,5410,1
15,7766,5573,1
15,7766,6210,1
15,7766,5312,1
15,7766,5567,1
15,7766,6120,1
15,7766,17143,1
15,7766,17003,1
15,7766,6706,1
15,7766,9939,1
15,7766,8739,1
15,7766,7795,1
15,7766,5369,1
15,7766,5564,1
15,7766,11409,1
15,7766,39508,1
15,7766,6069,1
15,7766,5502,1
15,7766,6224,1
15,7766,5448,1
15,7766,17348,1
15,7766,5943,1
15,7766,11133,1
15,7766,9852,1
15,7766,7817,1
15,7766,5407,1
15,7766,15747,1
15,7766,23837,1
15,7766,12785,1
15,7766,11018,1
15,7766,18592,1
15,7766,6963,1
15,7766,23847,1
15,7766,6781,1
15,7766,10761,1
15,7766,29104,1
15,7766,6246,1
15,7766,17347,1
15,7766,17356,1
15,7766,18345,1
15,7766,10602,1
15,7766,5454,1
15,7766,5467,1
15,6150,5526,1
15,6150,5372,1
15,6150,6783,1
15,6150,5530,1
15,6150,12786,1
15,6150,5410,1
15,6150,5573,1
15,6150,6210,1
15,6150,5312,1
15,6150,5567,1
15,6150,6120,1
15,6150,17143,1
15,6150,17003,1
15,6150,6706,1
15,6150,9939,1
15,6150,8739,1
15,6150,7795,1
15,6150,5369,1
15,6150,5564,1
15,6150,11409,1
15,6150,39508,1
15,6150,6069,1
15,6150,5502,1
15,6150,6224,1
15,6150,5448,1
15,6150,17348,1
15,6150,5943,1
15,6150,11133,1
15,6150,9852,1
15,6150,7817,1
15,6150,5407,1
15,6150,15747,1
15,6150,23837,1
15,6150,12785,1
15,6150,11018,1
15,6150,18592,1
15,6150,6963,1
15,6150,23847,1
15,6150,6781,1
15,6150,10761,1
15,6150,29104,1
15,6150,6246,1
15,6150,17347,1
15,6150,17356,1
15,6150,18345,1
15,6150,10602,1
15,6150,5454,1
15,6150,5467,1
15,5526,5372,1
15,5526,6783,1
15,5526,5530,1
15,5526,12786,1
15,5526,5410,1
15,5526,5573,1
15,5526,6210,1
15,5526,5312,1
15,5526,5567,1
15,5526,6120,1
15,5526,17143,1
15,5526,17003,1
15,5526,6706,1
15,5526,9939,1
15,5526,8739,1
15,5526,7795,1
15,5526,5369,1
15,5526,5564,1
15,5526,11409,1
15,5526,39508,1
15,5526,6069,1
15,5526,5502,1
15,5526,6224,1
15,5526,5448,1
15,5526,17348,1
15,5526,5943,1
15,5526,11133,1
15,5526,9852,1
15,5526,7817,1
15,5526,5407,1
15,5526,15747,1
15,5526,23837,1
15,5526,12785,1
15,5526,11018,1
15,5526,18592,1
15,5526,6963,1
15,5526,23847,1
15,5526,6781,1
15,5526,10761,1
15,5526,29104,1
15,5526,6246,1
15,5526,17347,1
15,5526,17356,1
15,5526,18345,1
15,5526,10602,1
15,5526,5454,1
15,5526,5467,1
15,5372,6783,1
15,5372,5530,1
15,5372,12786,1
15,5372,5410,1
15,5372,5573,1
15,5372,6210,1
15,5372,5312,1
15,5372,5567,1
15,5372,6120,1
15,5372,17143,1
15,5372,17003,1
15,5372,6706,1
15,5372,9939,1
15,5372,8739,1
15,5372,7795,1
15,5372,5369,1
15,5372,5564,1
15,5372,11409,1
15,5372,39508,1
15,5372,6069,1
15,5372,5502,1
15,5372,6224,1
15,5372,5448,1
15,5372,17348,1
15,5372,5943,1
15,5372,11133,1
15,5372,9852,1
15,5372,7817,1
15,5372,5407,1
15,5372,15747,1
15,5372,23837,1
15,5372,12785,1
15,5372,11018,1
15,5372,18592,1
15,5372,6963,1
15,5372,23847,1
15,5372,6781,1
15,5372,10761,1
15,5372,29104,1
15,5372,6246,1
15,5372,17347,1
15,5372,17356,1
15,5372,18345,1
15,5372,10602,1
15,5372,5454,1
15,5372,5467,1
15,6783,5530,1
15,6783,12786,1
15,6783,5410,1
15,6783,5573,1
15,6783,6210,1
15,6783,5312,1
15,6783,5567,1
15,6783,6120,1
15,6783,17143,1
15,6783,17003,1
15,6783,6706,1
15,6783,9939,1
15,6783,8739,1
15,6783,7795,1
15,6783,5369,1
15,6783,5564,1
15,6783,11409,1
15,6783,39508,1
15,6783,6069,1
15,6783,5502,1
15,6783,6224,1
15,6783,5448,1
15,6783,17348,1
15,6783,5943,1
15,6783,11133,1
15,6783,9852,1
15,6783,7817,1
15,6783,5407,1
15,6783,15747,1
15,6783,23837,1
15,6783,12785,1
15,6783,11018,1
15,6783,18592,1
15,6783,6963,1
15,6783,23847,1
15,6783,6781,1
15,6783,10761,1
15,6783,29104,1
15,6783,6246,1
15,6783,17347,1
15,6783,17356,1
15,6783,18345,1
15,6783,10602,1
15,6783,5454,1
15,6783,5467,1
15,5530,12786,1
15,5530,5410,1
15,5530,5573,1
15,5530,6210,1
15,5530,5312,1
15,5530,5567,1
15,5530,6120,1
15,5530,17143,1
15,5530,17003,1
15,5530,6706,1
15,5530,9939,1
15,5530,8739,1
15,5530,7795,1
15,5530,5369,1
15,5530,5564,1
15,5530,11409,1
15,5530,39508,1
15,5530,6069,1
15,5530,5502,1
15,5530,6224,1
15,5530,5448,1
15,5530,17348,1
15,5530,5943,1
15,5530,11133,1
15,5530,9852,1
15,5530,7817,1
15,5530,5407,1
15,5530,15747,1
15,5530,23837,1
15,5530,12785,1
15,5530,11018,1
15,5530,18592,1
15,5530,6963,1
15,5530,23847,1
15,5530,6781,1
15,5530,10761,1
15,5530,29104,1
15,5530,6246,1
15,5530,17347,1
15,5530,17356,1
15,5530,18345,1
15,5530,10602,1
15,5530,5454,1
15,5530,5467,1
15,12786,5410,1
15,12786,5573,1
15,12786,6210,1
15,12786,5312,1
15,12786,5567,1
15,12786,6120,1
15,12786,17143,1
15,12786,17003,1
15,12786,6706,1
15,12786,9939,1
15,12786,8739,1
15,12786,7795,1
15,12786,5369,1
15,12786,5564,1
15,12786,11409,1
15,12786,39508,1
15,12786,6069,1
15,12786,5502,1
15,12786,6224,1
15,12786,5448,1
15,12786,17348,1
15,12786,5943,1
15,12786,11133,1
15,12786,9852,1
15,12786,7817,1
15,12786,5407,1
15,12786,15747,1
15,12786,23837,1
15,12786,12785,1
15,12786,11018,1
15,12786,18592,1
15,12786,6963,1
15,12786,23847,1
15,12786,6781,1
15,12786,10761,1
15,12786,29104,1
15,12786,6246,1
15,12786,17347,1
15,12786,17356,1
15,12786,18345,1
15,12786,10602,1
15,12786,5454,1
15,12786,5467,1
15,5410,5573,1
15,5410,6210,1
15,5410,5312,1
15,5410,5567,1
15,5410,6120,1
15,5410,17143,1
15,5410,17003,1
15,5410,6706,1
15,5410,9939,1
15,5410,8739,1
15,5410,7795,1
15,5410,5369,1
15,5410,5564,1
15,5410,11409,1
15,5410,39508,1
15,5410,6069,1
15,5410,5502,1
15,5410,6224,1
15,5410,5448,1
15,5410,17348,1
15,5410,5943,1
15,5410,11133,1
15,5410,9852,1
15,5410,7817,1
15,5410,5407,1
15,5410,15747,1
15,5410,23837,1
15,5410,12785,1
15,5410,11018,1
15,5410,18592,1
15,5410,6963,1
15,5410,23847,1
15,5410,6781,1
15,5410,10761,1
15,5410,29104,1
15,5410,6246,1
15,5410,17347,1
15,5410,17356,1
15,5410,18345,1
15,5410,10602,1
15,5410,5454,1
15,5410,5467,1
15,5573,6210,1
15,5573,5312,1
15,5573,5567,1
15,5573,6120,1
15,5573,17143,1
15,5573,17003,1
15,5573,6706,1
15,5573,9939,1
15,5573,8739,1
15,5573,7795,1
15,5573,5369,1
15,5573,5564,1
15,5573,11409,1
15,5573,39508,1
15,5573,6069,1
15,5573,5502,1
15,5573,6224,1
15,5573,5448,1
15,5573,17348,1
15,5573,5943,1
15,5573,11133,1
15,5573,9852,1
15,5573,7817,1
15,5573,5407,1
15,5573,15747,1
15,5573,23837,1
15,5573,12785,1
15,5573,11018,1
15,5573,18592,1
15,5573,6963,1
15,5573,23847,1
15,5573,6781,1
15,5573,10761,1
15,5573,29104,1
15,5573,6246,1
15,5573,17347,1
15,5573,17356,1
15,5573,18345,1
15,5573,10602,1
15,5573,5454,1
15,5573,5467,1
15,6210,5312,1
15,6210,5567,1
15,6210,6120,1
15,6210,17143,1
15,6210,17003,1
15,6210,6706,1
15,6210,9939,1
15,6210,8739,1
15,6210,7795,1
15,6210,5369,1
15,6210,5564,1
15,6210,11409,1
15,6210,39508,1
15,6210,6069,1
15,6210,5502,1
15,6210,6224,1
15,6210,5448,1
15,6210,17348,1
15,6210,5943,1
15,6210,11133,1
15,6210,9852,1
15,6210,7817,1
15,6210,5407,1
15,6210,15747,1
15,6210,23837,1
15,6210,12785,1
15,6210,11018,1
15,6210,18592,1
15,6210,6963,1
15,6210,23847,1
15,6210,6781,1
15,6210,10761,1
15,6210,29104,1
15,6210,6246,1
15,6210,17347,1
15,6210,17356,1
15,6210,18345,1
15,6210,10602,1
15,6210,5454,1
15,6210,5467,1
