program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5859,5530,Emma,Snowsill,AUS,,00:18:25,00:01:02,00:56:40,00:00:30,00:33:08,1,01:49:43
5859,5526,Emma,Moffatt,AUS,,00:18:24,00:01:00,00:56:40,00:00:18,00:35:05,2,01:51:25
5859,5372,Nicola,Spirig,SUI,,00:18:36,00:01:00,00:56:23,00:00:24,00:35:05,3,01:51:28
5859,6120,Lisa,Norden,SWE,,00:18:52,00:00:57,00:56:10,00:00:24,00:35:05,4,01:51:28
5859,12674,Paula,Findlay,CAN,,00:18:57,00:00:57,00:56:08,00:00:26,00:35:02,5,01:51:30
5859,7795,Vicky,Holland,GBR,,00:18:14,00:01:04,00:56:43,00:00:24,00:35:05,6,01:51:31
5859,5573,Helen,Jenkins,GBR,,00:18:06,00:01:00,00:56:57,00:00:24,00:35:09,7,01:51:34
5859,5399,Laura,Bennett,USA,,00:18:12,00:01:00,00:56:51,00:00:23,00:35:12,8,01:51:36
5859,5539,Carole,Peon,FRA,,00:18:53,00:01:02,00:56:08,00:00:27,00:35:09,9,01:51:36
5859,12785,Juri,Ide,JPN,,00:18:41,00:01:04,00:56:23,00:00:27,00:35:21,10,01:51:55
5859,5547,Kate,Roberts,RSA,,00:18:13,00:01:02,00:56:47,00:00:27,00:35:45,11,01:52:13
5859,8739,Kate,Mcilroy,NZL,,00:18:45,00:01:00,00:56:18,00:00:27,00:35:50,12,01:52:19
5859,12786,Mariko,Adachi,JPN,,00:18:37,00:01:06,00:56:25,00:00:28,00:35:51,13,01:52:27
5859,7766,Daniela,Ryf,SUI,,00:18:44,00:00:56,00:56:21,00:00:24,00:36:11,14,01:52:35
5859,5312,Anja,Dittmer,GER,,00:18:46,00:00:56,00:56:21,00:00:27,00:36:11,15,01:52:40
5859,5567,Debbie,Tanner,NZL,,00:18:38,00:01:03,00:56:23,00:00:25,00:36:13,16,01:52:41
5859,21978,Aileen,Reid,IRL,,00:18:23,00:01:00,00:56:44,00:00:28,00:36:18,17,01:52:52
5859,5407,Ricarda,Lisk,GER,,00:18:50,00:01:00,00:56:10,00:00:21,00:36:35,18,01:52:54
5859,5842,Liz,Blatchford,GBR,,00:18:24,00:00:58,00:56:42,00:00:28,00:36:31,19,01:53:03
