program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5860,7788,Alistair,Brownlee,GBR,,00:17:12,00:00:54,00:53:54,00:00:25,00:30:00,1,01:42:26
5860,5695,Javier,Gomez Noya,ESP,,00:17:09,00:00:58,00:53:54,00:00:24,00:30:05,2,01:42:30
5860,5747,Steffen,Justus,GER,,00:17:48,00:00:54,00:53:22,00:00:31,00:30:29,3,01:43:04
5860,10539,Joao,Silva,POR,,00:17:24,00:00:53,00:53:50,00:00:28,00:30:29,4,01:43:05
5860,5711,Brad,Kahlefeldt,AUS,,00:17:30,00:00:56,00:53:39,00:00:26,00:30:40,5,01:43:09
5860,5718,David,Hauss,FRA,,00:18:11,00:00:56,00:53:00,00:00:23,00:30:44,6,01:43:12
5860,5332,Maik,Petzold,GER,,00:17:21,00:00:56,00:53:47,00:00:30,00:30:46,7,01:43:18
5860,5320,Sven,Riederer,SUI,,00:17:29,00:00:58,00:53:37,00:00:26,00:31:08,8,01:43:37
5860,7778,Jonathan,Zipf,GER,,00:17:57,00:00:56,00:53:13,00:00:25,00:31:16,9,01:43:46
5860,5824,Christian,Prochnow,GER,,00:17:21,00:00:58,00:53:52,00:00:27,00:31:17,10,01:43:54
5860,5756,Valentin,Mechsheryakov,KAZ,,00:17:28,00:00:54,00:53:47,00:00:30,00:31:19,11,01:43:57
5860,5823,Bruno,Pais,POR,,00:18:11,00:01:03,00:52:52,00:00:24,00:31:30,12,01:43:59
5860,10858,Gregor,Buchholz,GER,,00:18:10,00:01:00,00:53:00,00:00:28,00:31:22,13,01:44:01
5860,5298,Greg,Bennett,USA,,00:18:02,00:01:04,00:52:59,00:00:31,00:31:32,14,01:44:05
5860,5931,Andreas,Giglmayr,AUT,,00:18:11,00:01:02,00:52:52,00:00:28,00:31:36,15,01:44:08
5860,10434,Matt,Chrabot,USA,,00:17:27,00:00:56,00:53:39,00:00:28,00:31:41,16,01:44:12
5860,5359,Stuart,Hayes,GBR,,00:17:31,00:00:56,00:53:37,00:00:33,00:31:38,17,01:44:15
5860,5683,Clark,Ellice,NZL,,00:18:07,00:00:58,00:53:05,00:00:26,00:31:42,18,01:44:16
5860,5851,Tony,Moulai,FRA,,00:17:37,00:01:04,00:53:24,00:00:26,00:31:50,19,01:44:18
5860,5633,Vladimir,Turbayevskiy,RUS,,00:17:28,00:01:02,00:53:37,00:00:28,00:31:45,20,01:44:20
5860,6226,Sebastian,Rank,GER,,00:17:28,00:00:58,00:53:37,00:00:24,00:31:53,21,01:44:21
5860,6131,Hendrik,De Villiers,RSA,,00:17:49,00:00:54,00:53:24,00:00:21,00:31:55,22,01:44:24
5860,5651,Ivan,Vasiliev,RUS,,00:17:30,00:00:56,00:53:39,00:00:31,00:31:50,23,01:44:24
5860,5657,Ruedi,Wild,SUI,,00:18:13,00:00:57,00:52:55,00:00:27,00:31:59,24,01:44:31
5860,5321,Frederic,Belaubre,FRA,,00:17:11,00:00:54,00:54:07,00:00:32,00:31:53,25,01:44:35
5860,15944,Brendan,Sexton,AUS,,00:18:00,00:01:04,00:53:03,00:00:28,00:32:06,26,01:44:38
5860,6137,Erhard,Wolfaardt,RSA,,00:18:10,00:01:00,00:53:06,00:00:30,00:32:01,27,01:44:44
5860,5591,Courtney,Atkinson,AUS,,00:17:23,00:00:57,00:53:42,00:00:23,00:32:32,28,01:44:55
5860,5620,Leonardo,Chacon,CRC,,00:18:07,00:01:02,00:53:01,00:00:28,00:32:21,29,01:44:57
5860,5306,Ivan,Raña Fuentes,ESP,,00:17:51,00:01:02,00:53:14,00:00:32,00:32:21,30,01:44:57
5860,10575,Jan,Van Berkel,SUI,,00:18:04,00:00:56,00:53:05,00:00:26,00:32:27,31,01:44:59
5860,7744,Ivan,Tutukin,RUS,,00:17:45,00:00:58,00:53:21,00:00:27,00:32:31,32,01:45:03
5860,5350,Martin,Krnavek,CZE,,00:17:32,00:01:04,00:53:33,00:00:30,00:32:24,33,01:45:04
5860,5742,Yuichi,Hosoda,JPN,,00:17:41,00:01:00,00:53:30,00:00:30,00:32:29,34,01:45:08
5860,10536,Joao,Pereira,POR,,00:17:49,00:00:56,00:53:29,00:00:41,00:32:23,35,01:45:16
5860,5624,Peter,Croes,BEL,,00:17:50,00:00:56,00:53:17,00:00:27,00:32:59,36,01:45:27
5860,6202,Kyle,Jones,CAN,,00:17:36,00:01:00,00:53:32,00:00:27,00:33:00,37,01:45:35
5860,6087,James,Elvery,NZL,,00:17:25,00:00:54,00:53:52,00:00:25,00:33:09,38,01:45:44
5860,5351,Daniel,Lee Chi Wo,HKG,,00:18:09,00:00:54,00:53:01,00:00:27,00:33:19,39,01:45:47
5860,6110,James,Seear,AUS,,00:17:33,00:01:04,00:53:30,00:00:26,00:33:17,40,01:45:49
5860,5692,Jan,Frodeno,GER,,00:17:28,00:00:54,00:53:41,00:00:15,00:33:40,41,01:45:56
5860,19171,Ben,Collins,USA,,00:17:27,00:01:13,00:53:22,00:00:28,00:33:35,42,01:46:03
5860,6086,Martin,Van Barneveld,NZL,,00:17:53,00:00:54,00:53:20,00:00:27,00:33:34,43,01:46:07
5860,5829,Harunobu,Sato,JPN,,00:18:03,00:00:56,00:53:16,00:00:28,00:33:26,44,01:46:08
5860,5331,Danylo,Sapunov,UKR,,00:17:24,00:01:02,00:53:44,00:00:28,00:33:45,45,01:46:23
5860,5327,Hirokatsu,Tayama,JPN,,00:17:33,00:01:04,00:53:37,00:00:27,00:33:50,46,01:46:30
5860,5755,Yulian,Malyshev,RUS,,00:17:25,00:00:58,00:56:17,00:00:28,00:31:36,47,01:46:44
5860,5669,Claude,Eksteen,RSA,,00:18:06,00:00:54,00:53:09,00:00:30,00:34:07,48,01:46:45
5860,7747,Dmitry,Polyanskiy,RUS,,00:17:15,00:00:52,00:57:06,00:00:28,00:31:22,49,01:47:03
5860,5758,Kuniaki,Takahama,JPN,,00:17:59,00:01:12,00:53:05,00:00:30,00:34:58,50,01:47:43
5860,6442,Jarrod,Shoemaker,USA,,00:17:32,00:01:03,00:56:38,00:00:28,00:32:13,51,01:47:54
5860,6084,Dan,Wilson,AUS,,00:17:47,00:00:57,00:56:28,00:00:23,00:32:49,52,01:48:22
5860,7743,Alexander,Bryukhankov,RUS,,00:17:26,00:00:56,00:57:41,00:00:26,00:32:00,53,01:48:27
5860,5654,Ryosuke,Yamamoto,JPN,,00:17:30,00:01:22,00:53:22,00:00:34,00:35:54,54,01:48:40
5860,5694,Ramon,Ejeda Medina,ESP,,00:18:09,00:00:58,00:56:06,00:00:28,00:33:13,55,01:48:54
5860,11318,Kevin,Collington,USA,,00:18:10,00:01:02,00:55:30,00:00:31,00:34:01,56,01:49:13
5860,7786,Jose Miguel,Perez,ESP,,00:17:47,00:01:03,00:56:23,00:00:31,00:33:35,57,01:49:17
5860,5864,Manuel,Huerta,PUR,,00:18:04,00:01:03,00:53:06,00:00:32,00:37:12,58,01:49:55
5860,5881,Duarte Silva,Marques,POR,,00:17:24,00:00:57,00:55:52,00:00:26,00:35:22,59,01:49:59
5860,5958,Dan,Alterman,ISR,,00:17:45,00:00:57,00:57:22,00:00:27,00:34:13,60,01:50:44
5860,9917,Diogo,Sclebin,BRA,,00:17:57,00:01:07,00:56:08,00:00:31,00:35:32,61,01:51:13
5860,70017,Zhihang,Jiang,CHN,,00:17:52,00:01:07,00:56:16,00:00:28,00:36:07,62,01:51:49
5860,5776,Hiroki,Sugimoto,JPN,,00:18:00,00:01:00,00:56:14,00:00:33,00:36:16,63,01:52:02
5860,15981,Mehdi,Essadiq,MAR,,00:18:12,00:00:57,00:56:04,00:00:28,00:36:37,64,01:52:17
5860,11193,Henrique,Siqueira De Oliveira,BRA,,00:18:25,00:01:00,00:58:49,00:00:26,00:33:51,65,01:52:31
5860,13020,Chris,Foster,USA,,00:19:59,00:01:03,00:57:13,00:00:26,00:35:17,66,01:53:56
5860,7787,Oliver,Freeman,GBR,,00:17:15,00:00:56,00:00:00,00:00:00,00:00:00,DSQ,DSQ
5860,5355,Andriy,Glushchenko,UKR,,00:17:21,00:01:04,00:53:48,00:00:30,00:00:00,DNF,DNF
5860,5883,Csaba,Rendes,HUN,,00:17:43,00:01:07,00:00:00,00:00:00,00:00:00,DNF,DNF
5860,5638,Daniel,Unger,GER,,00:17:33,00:00:58,00:00:00,00:00:00,00:00:00,DNF,DNF
5860,5963,Balázs,Pocsai,HUN,,00:18:07,00:01:03,00:00:00,00:00:00,00:00:00,DNF,DNF
5860,6707,Jan,Celustka,CZE,,00:17:53,00:01:00,00:53:19,00:00:28,00:00:00,DNF,DNF
5860,5296,Kris,Gemmell,NZL,,00:17:23,00:00:58,00:00:00,00:00:00,00:00:00,DNF,DNF
5860,5305,Tim,Don,GBR,,00:17:23,00:00:54,00:00:00,00:00:00,00:00:00,DNF,DNF
5860,6102,Ben,Pattle,NZL,,00:17:33,00:01:00,00:00:00,00:00:00,00:00:00,DNF,DNF
