program_id,athlete_id,athlete_name,start_number,swim,t1,bike,after_b,t2,run,total_time,nationality,athlete_first,athlete_last,position
5860,7788,Alistair Brownlee,NA,NA,NA,NA,NA,NA,NA,NA,GBR,Alistair,Brownlee,1
5860,5695,Javier Gomez Noya,NA,NA,NA,NA,NA,NA,NA,NA,ESP,Javier,Gomez Noya,2
5860,5747,Steffen Justus,NA,NA,NA,NA,NA,NA,NA,NA,GER,Steffen,Justus,3
5860,10539,Joao Silva,NA,NA,NA,NA,NA,NA,NA,NA,POR,Joao,Silva,4
5860,5711,Brad Kahlefeldt,NA,NA,NA,NA,NA,NA,NA,NA,AUS,Brad,Kahlefeldt,5
5860,5718,David Hauss,NA,NA,NA,NA,NA,NA,NA,NA,FRA,David,Hauss,6
5860,5332,Maik Petzold,NA,NA,NA,NA,NA,NA,NA,NA,GER,Maik,Petzold,7
5860,5320,Sven Riederer,NA,NA,NA,NA,NA,NA,NA,NA,SUI,Sven,Riederer,8
5860,7778,Jonathan Zipf,NA,NA,NA,NA,NA,NA,NA,NA,GER,Jonathan,Zipf,9
5860,5824,Christian Prochnow,NA,NA,NA,NA,NA,NA,NA,NA,GER,Christian,Prochnow,10
5860,5756,Valentin Mechsheryakov,NA,NA,NA,NA,NA,NA,NA,NA,KAZ,Valentin,Mechsheryakov,11
5860,5823,Bruno Pais,NA,NA,NA,NA,NA,NA,NA,NA,POR,Bruno,Pais,12
5860,10858,Gregor Buchholz,NA,NA,NA,NA,NA,NA,NA,NA,GER,Gregor,Buchholz,13
5860,5298,Greg Bennett,NA,NA,NA,NA,NA,NA,NA,NA,USA,Greg,Bennett,14
5860,5931,Andreas Giglmayr,NA,NA,NA,NA,NA,NA,NA,NA,AUT,Andreas,Giglmayr,15
5860,10434,Matt Chrabot,NA,NA,NA,NA,NA,NA,NA,NA,USA,Matt,Chrabot,16
5860,5359,Stuart Hayes,NA,NA,NA,NA,NA,NA,NA,NA,GBR,Stuart,Hayes,17
5860,5683,Clark Ellice,NA,NA,NA,NA,NA,NA,NA,NA,NZL,Clark,Ellice,18
5860,5851,Tony Moulai,NA,NA,NA,NA,NA,NA,NA,NA,FRA,Tony,Moulai,19
5860,5633,Vladimir Turbayevskiy,NA,NA,NA,NA,NA,NA,NA,NA,RUS,Vladimir,Turbayevskiy,20
5860,6226,Sebastian Rank,NA,NA,NA,NA,NA,NA,NA,NA,GER,Sebastian,Rank,21
5860,6131,Hendrik De Villiers,NA,NA,NA,NA,NA,NA,NA,NA,RSA,Hendrik,De Villiers,22
5860,5651,Ivan Vasiliev,NA,NA,NA,NA,NA,NA,NA,NA,RUS,Ivan,Vasiliev,23
5860,5657,Ruedi Wild,NA,NA,NA,NA,NA,NA,NA,NA,SUI,Ruedi,Wild,24
5860,5321,Frederic Belaubre,NA,NA,NA,NA,NA,NA,NA,NA,FRA,Frederic,Belaubre,25
5860,15944,Brendan Sexton,NA,NA,NA,NA,NA,NA,NA,NA,AUS,Brendan,Sexton,26
5860,6137,Erhard Wolfaardt,NA,NA,NA,NA,NA,NA,NA,NA,RSA,Erhard,Wolfaardt,27
5860,5591,Courtney Atkinson,NA,NA,NA,NA,NA,NA,NA,NA,AUS,Courtney,Atkinson,28
5860,5620,Leonardo Chacon,NA,NA,NA,NA,NA,NA,NA,NA,CRC,Leonardo,Chacon,29
5860,5306,Ivan Raña Fuentes,NA,NA,NA,NA,NA,NA,NA,NA,ESP,Ivan,Raña Fuentes,30
5860,10575,Jan Van Berkel,NA,NA,NA,NA,NA,NA,NA,NA,SUI,Jan,Van Berkel,31
5860,7744,Ivan Tutukin,NA,NA,NA,NA,NA,NA,NA,NA,RUS,Ivan,Tutukin,32
5860,5350,Martin Krnavek,NA,NA,NA,NA,NA,NA,NA,NA,CZE,Martin,Krnavek,33
5860,5742,Yuichi Hosoda,NA,NA,NA,NA,NA,NA,NA,NA,JPN,Yuichi,Hosoda,34
5860,10536,Joao Pereira,NA,NA,NA,NA,NA,NA,NA,NA,POR,Joao,Pereira,35
5860,5624,Peter Croes,NA,NA,NA,NA,NA,NA,NA,NA,BEL,Peter,Croes,36
5860,6202,Kyle Jones,NA,NA,NA,NA,NA,NA,NA,NA,CAN,Kyle,Jones,37
5860,6087,James Elvery,NA,NA,NA,NA,NA,NA,NA,NA,NZL,James,Elvery,38
5860,5351,Daniel Lee Chi Wo,NA,NA,NA,NA,NA,NA,NA,NA,HKG,Daniel,Lee Chi Wo,39
5860,6110,James Seear,NA,NA,NA,NA,NA,NA,NA,NA,AUS,James,Seear,40
5860,5692,Jan Frodeno,NA,NA,NA,NA,NA,NA,NA,NA,GER,Jan,Frodeno,41
5860,19171,Ben Collins,NA,NA,NA,NA,NA,NA,NA,NA,USA,Ben,Collins,42
5860,6086,Martin Van Barneveld,NA,NA,NA,NA,NA,NA,NA,NA,NZL,Martin,Van Barneveld,43
5860,5829,Harunobu Sato,NA,NA,NA,NA,NA,NA,NA,NA,JPN,Harunobu,Sato,44
5860,5331,Danylo Sapunov,NA,NA,NA,NA,NA,NA,NA,NA,UKR,Danylo,Sapunov,45
5860,5327,Hirokatsu Tayama,NA,NA,NA,NA,NA,NA,NA,NA,JPN,Hirokatsu,Tayama,46
5860,5755,Yulian Malyshev,NA,NA,NA,NA,NA,NA,NA,NA,RUS,Yulian,Malyshev,47
5860,5669,Claude Eksteen,NA,NA,NA,NA,NA,NA,NA,NA,RSA,Claude,Eksteen,48
5860,7747,Dmitry Polyanskiy,NA,NA,NA,NA,NA,NA,NA,NA,RUS,Dmitry,Polyanskiy,49
5860,5758,Kuniaki Takahama,NA,NA,NA,NA,NA,NA,NA,NA,JPN,Kuniaki,Takahama,50
5860,6442,Jarrod Shoemaker,NA,NA,NA,NA,NA,NA,NA,NA,USA,Jarrod,Shoemaker,51
5860,6084,Dan Wilson,NA,NA,NA,NA,NA,NA,NA,NA,AUS,Dan,Wilson,52
5860,7743,Alexander Bryukhankov,NA,NA,NA,NA,NA,NA,NA,NA,RUS,Alexander,Bryukhankov,53
5860,5654,Ryosuke Yamamoto,NA,NA,NA,NA,NA,NA,NA,NA,JPN,Ryosuke,Yamamoto,54
5860,5694,Ramon Ejeda Medina,NA,NA,NA,NA,NA,NA,NA,NA,ESP,Ramon,Ejeda Medina,55
5860,11318,Kevin Collington,NA,NA,NA,NA,NA,NA,NA,NA,USA,Kevin,Collington,56
5860,7786,Jose Miguel Perez,NA,NA,NA,NA,NA,NA,NA,NA,ESP,Jose Miguel,Perez,57
5860,5864,Manuel Huerta,NA,NA,NA,NA,NA,NA,NA,NA,PUR,Manuel,Huerta,58
5860,5881,Duarte Silva Marques,NA,NA,NA,NA,NA,NA,NA,NA,POR,Duarte Silva,Marques,59
5860,5958,Dan Alterman,NA,NA,NA,NA,NA,NA,NA,NA,ISR,Dan,Alterman,60
5860,9917,Diogo Sclebin,NA,NA,NA,NA,NA,NA,NA,NA,BRA,Diogo,Sclebin,61
5860,70017,Zhihang Jiang,NA,NA,NA,NA,NA,NA,NA,NA,CHN,Zhihang,Jiang,62
5860,5776,Hiroki Sugimoto,NA,NA,NA,NA,NA,NA,NA,NA,JPN,Hiroki,Sugimoto,63
5860,15981,Mehdi Essadiq,NA,NA,NA,NA,NA,NA,NA,NA,MAR,Mehdi,Essadiq,64
5860,11193,Henrique Siqueira De Oliveira,NA,NA,NA,NA,NA,NA,NA,NA,BRA,Henrique,Siqueira De Oliveira,65
5860,13020,Chris Foster,NA,NA,NA,NA,NA,NA,NA,NA,USA,Chris,Foster,66
