program_id,athlete_id,athlete_name,start_number,swim,t1,bike,after_b,t2,run,total_time,nationality,athlete_first,athlete_last,position
5688,5695,Javier Gomez Noya,8,NA,NA,NA,NA,NA,NA,NA,ESP,Javier,Gomez Noya,1
5688,5692,Jan Frodeno,4,NA,NA,NA,NA,NA,NA,NA,GER,Jan,Frodeno,2
5688,5305,Tim Don,24,NA,NA,NA,NA,NA,NA,NA,GBR,Tim,Don,3
5688,5320,Sven Riederer,10,NA,NA,NA,NA,NA,NA,NA,SUI,Sven,Riederer,4
5688,5633,Vladimir Turbayevskiy,29,NA,NA,NA,NA,NA,NA,NA,RUS,Vladimir,Turbayevskiy,5
5688,5711,Brad Kahlefeldt,7,NA,NA,NA,NA,NA,NA,NA,AUS,Brad,Kahlefeldt,6
5688,6442,Jarrod Shoemaker,9,NA,NA,NA,NA,NA,NA,NA,USA,Jarrod,Shoemaker,7
5688,5747,Steffen Justus,6,NA,NA,NA,NA,NA,NA,NA,GER,Steffen,Justus,8
5688,7743,Alexander Bryukhankov,1,NA,NA,NA,NA,NA,NA,NA,RUS,Alexander,Bryukhankov,9
5688,10539,Joao Silva,15,NA,NA,NA,NA,NA,NA,NA,POR,Joao,Silva,10
5688,5851,Tony Moulai,18,NA,NA,NA,NA,NA,NA,NA,FRA,Tony,Moulai,11
5688,5302,Simon Whitfield,17,NA,NA,NA,NA,NA,NA,NA,CAN,Simon,Whitfield,12
5688,5864,Manuel Huerta,51,NA,NA,NA,NA,NA,NA,NA,PUR,Manuel,Huerta,13
5688,5756,Valentin Mechsheryakov,20,NA,NA,NA,NA,NA,NA,NA,KAZ,Valentin,Mechsheryakov,14
5688,11060,Alessandro Fabian,38,NA,NA,NA,NA,NA,NA,NA,ITA,Alessandro,Fabian,15
5688,6202,Kyle Jones,34,NA,NA,NA,NA,NA,NA,NA,CAN,Kyle,Jones,16
5688,5823,Bruno Pais,28,NA,NA,NA,NA,NA,NA,NA,POR,Bruno,Pais,17
5688,5654,Ryosuke Yamamoto,40,NA,NA,NA,NA,NA,NA,NA,JPN,Ryosuke,Yamamoto,18
