program_id,athlete_id,athlete_name,start_number,swim,t1,bike,after_b,t2,run,total_time,nationality,athlete_first,athlete_last,position
5703,5359,Stuart Hayes,23,NA,NA,NA,NA,NA,NA,NA,GBR,Stuart,Hayes,1
5703,5695,Javier Gomez Noya,2,NA,NA,NA,NA,NA,NA,NA,ESP,Javier,Gomez Noya,2
5703,5692,Jan Frodeno,1,NA,NA,NA,NA,NA,NA,NA,GER,Jan,Frodeno,3
5703,10434,Matt Chrabot,19,NA,NA,NA,NA,NA,NA,NA,USA,Matt,Chrabot,4
5703,5332,Maik Petzold,46,NA,NA,NA,NA,NA,NA,NA,GER,Maik,Petzold,5
5703,6226,Sebastian Rank,32,NA,NA,NA,NA,NA,NA,NA,GER,Sebastian,Rank,6
5703,10539,Joao Silva,10,NA,NA,NA,NA,NA,NA,NA,POR,Joao,Silva,7
5703,5711,Brad Kahlefeldt,4,NA,NA,NA,NA,NA,NA,NA,AUS,Brad,Kahlefeldt,8
5703,5718,David Hauss,22,NA,NA,NA,NA,NA,NA,NA,FRA,David,Hauss,9
5703,7503,Crisanto Grajales,59,NA,NA,NA,NA,NA,NA,NA,MEX,Crisanto,Grajales,10
5703,7743,Alexander Bryukhankov,3,NA,NA,NA,NA,NA,NA,NA,RUS,Alexander,Bryukhankov,11
5703,5305,Tim Don,11,NA,NA,NA,NA,NA,NA,NA,GBR,Tim,Don,12
5703,7786,Jose Miguel Perez,42,NA,NA,NA,NA,NA,NA,NA,ESP,Jose Miguel,Perez,13
5703,5851,Tony Moulai,15,NA,NA,NA,NA,NA,NA,NA,FRA,Tony,Moulai,14
5703,5929,Reinaldo Colucci,51,NA,NA,NA,NA,NA,NA,NA,BRA,Reinaldo,Colucci,15
5703,5320,Sven Riederer,7,NA,NA,NA,NA,NA,NA,NA,SUI,Sven,Riederer,16
5703,5651,Ivan Vasiliev,56,NA,NA,NA,NA,NA,NA,NA,RUS,Ivan,Vasiliev,17
5703,5591,Courtney Atkinson,9,NA,NA,NA,NA,NA,NA,NA,AUS,Courtney,Atkinson,18
5703,5756,Valentin Mechsheryakov,21,NA,NA,NA,NA,NA,NA,NA,KAZ,Valentin,Mechsheryakov,19
5703,5747,Steffen Justus,5,NA,NA,NA,NA,NA,NA,NA,GER,Steffen,Justus,20
5703,5824,Christian Prochnow,39,NA,NA,NA,NA,NA,NA,NA,GER,Christian,Prochnow,21
5703,5881,Duarte Silva Marques,67,NA,NA,NA,NA,NA,NA,NA,POR,Duarte Silva,Marques,22
5703,6560,William Clarke,18,NA,NA,NA,NA,NA,NA,NA,GBR,William,Clarke,23
5703,11818,Ryan Sissons,45,NA,NA,NA,NA,NA,NA,NA,NZL,Ryan,Sissons,24
5703,5298,Greg Bennett,31,NA,NA,NA,NA,NA,NA,NA,USA,Greg,Bennett,25
5703,10536,Joao Pereira,49,NA,NA,NA,NA,NA,NA,NA,POR,Joao,Pereira,26
5703,5669,Claude Eksteen,48,NA,NA,NA,NA,NA,NA,NA,RSA,Claude,Eksteen,27
5703,5823,Bruno Pais,26,NA,NA,NA,NA,NA,NA,NA,POR,Bruno,Pais,28
5703,11060,Alessandro Fabian,38,NA,NA,NA,NA,NA,NA,NA,ITA,Alessandro,Fabian,29
5703,5931,Andreas Giglmayr,36,NA,NA,NA,NA,NA,NA,NA,AUT,Andreas,Giglmayr,30
5703,5620,Leonardo Chacon,34,NA,NA,NA,NA,NA,NA,NA,CRC,Leonardo,Chacon,31
5703,6707,Jan Celustka,41,NA,NA,NA,NA,NA,NA,NA,CZE,Jan,Celustka,32
5703,5683,Clark Ellice,37,NA,NA,NA,NA,NA,NA,NA,NZL,Clark,Ellice,33
5703,7702,Aurelien Raphael,63,NA,NA,NA,NA,NA,NA,NA,FRA,Aurelien,Raphael,34
5703,9917,Diogo Sclebin,60,NA,NA,NA,NA,NA,NA,NA,BRA,Diogo,Sclebin,35
5703,5633,Vladimir Turbayevskiy,16,NA,NA,NA,NA,NA,NA,NA,RUS,Vladimir,Turbayevskiy,36
5703,7744,Ivan Tutukin,44,NA,NA,NA,NA,NA,NA,NA,RUS,Ivan,Tutukin,37
5703,5321,Frederic Belaubre,40,NA,NA,NA,NA,NA,NA,NA,FRA,Frederic,Belaubre,38
5703,6110,James Seear,29,NA,NA,NA,NA,NA,NA,NA,AUS,James,Seear,39
5703,7788,Alistair Brownlee,14,NA,NA,NA,NA,NA,NA,NA,GBR,Alistair,Brownlee,40
5703,5802,Matthew Reed,65,NA,NA,NA,NA,NA,NA,NA,USA,Matthew,Reed,41
5703,15944,Brendan Sexton,55,NA,NA,NA,NA,NA,NA,NA,AUS,Brendan,Sexton,42
5703,7778,Jonathan Zipf,43,NA,NA,NA,NA,NA,NA,NA,GER,Jonathan,Zipf,43
5703,5674,David Dellow,50,NA,NA,NA,NA,NA,NA,NA,AUS,David,Dellow,44
5703,6084,Dan Wilson,24,NA,NA,NA,NA,NA,NA,NA,AUS,Dan,Wilson,45
5703,6086,Martin Van Barneveld,52,NA,NA,NA,NA,NA,NA,NA,NZL,Martin,Van Barneveld,46
5703,5742,Yuichi Hosoda,28,NA,NA,NA,NA,NA,NA,NA,JPN,Yuichi,Hosoda,47
5703,7747,Dmitry Polyanskiy,8,NA,NA,NA,NA,NA,NA,NA,RUS,Dmitry,Polyanskiy,48
5703,5829,Harunobu Sato,61,NA,NA,NA,NA,NA,NA,NA,JPN,Harunobu,Sato,49
5703,10107,Josh Mchugh,47,NA,NA,NA,NA,NA,NA,NA,AUS,Josh,Mchugh,50
5703,5963,Balázs Pocsai,62,NA,NA,NA,NA,NA,NA,NA,HUN,Balázs,Pocsai,51
5703,5624,Peter Croes,64,NA,NA,NA,NA,NA,NA,NA,BEL,Peter,Croes,52
