program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5702,12674,Paula,Findlay,CAN,18,00:19:48,00:00:51,01:06:52,00:00:25,00:35:10,1,02:03:03
5702,6120,Lisa,Norden,SWE,7,00:19:44,00:00:49,01:06:55,00:00:24,00:35:17,2,02:03:06
5702,6783,Andrea,Hewitt,NZL,2,00:19:42,00:00:50,01:06:56,00:00:23,00:35:22,3,02:03:10
5702,5573,Helen,Jenkins,GBR,5,00:19:44,00:00:47,01:06:57,00:00:24,00:36:16,4,02:04:06
5702,5526,Emma,Moffatt,AUS,1,00:19:40,00:00:48,01:07:00,00:00:25,00:36:28,5,02:04:19
5702,5547,Kate,Roberts,RSA,6,00:19:45,00:00:47,01:06:57,00:00:25,00:36:48,6,02:04:41
5702,5567,Debbie,Tanner,NZL,17,00:19:44,00:00:54,01:06:51,00:00:21,00:36:56,7,02:04:43
5702,5399,Laura,Bennett,USA,10,00:19:24,00:00:52,01:07:15,00:00:24,00:36:58,8,02:04:51
5702,5376,Ainhoa,Murua Zubizarreta,ESP,11,00:19:47,00:00:49,01:06:53,00:00:24,00:37:01,9,02:04:52
5702,6246,Sarah,True,USA,15,00:19:41,00:00:50,01:06:58,00:00:24,00:37:04,10,02:04:55
5702,7766,Daniela,Ryf,SUI,8,00:19:47,00:00:48,01:06:53,00:00:22,00:37:20,11,02:05:08
5702,8739,Kate,Mcilroy,NZL,26,00:19:48,00:00:49,01:06:53,00:00:24,00:37:27,12,02:05:19
5702,7795,Vicky,Holland,GBR,9,00:19:43,00:00:50,01:06:58,00:00:21,00:38:01,13,02:05:50
5702,6069,Nicky,Samuels,NZL,31,00:19:40,00:00:48,01:07:03,00:00:25,00:38:05,14,02:05:59
5702,5448,Felicity,Abram,AUS,14,00:20:09,00:00:49,01:08:16,00:00:26,00:36:27,15,02:06:05
5702,21978,Aileen,Reid,IRL,16,00:20:11,00:00:56,01:08:06,00:00:28,00:36:45,16,02:06:24
5702,5943,Maria,Czesnik,POL,33,00:20:24,00:00:56,01:07:51,00:00:24,00:36:58,17,02:06:30
5702,5372,Nicola,Spirig,SUI,4,00:20:20,00:00:46,01:08:03,00:00:23,00:37:03,18,02:06:33
5702,12785,Juri,Ide,JPN,34,00:20:19,00:00:59,01:07:58,00:00:26,00:37:08,19,02:06:47
5702,6848,Melanie,Hauss,SUI,25,00:19:47,00:00:49,01:06:54,00:00:23,00:39:04,20,02:06:54
5702,5517,Annabel,Luxford,AUS,28,00:19:46,00:00:52,01:06:50,00:00:27,00:39:03,21,02:06:57
5702,9852,Alexandra,Razarenova,RUS,42,00:20:25,00:00:49,01:07:58,00:00:22,00:37:25,22,02:06:58
5702,7646,Claudia,Rivas,MEX,48,00:19:39,00:00:50,01:07:03,00:00:24,00:39:17,23,02:07:10
5702,5407,Ricarda,Lisk,GER,27,00:20:23,00:00:49,01:07:58,00:00:24,00:38:22,24,02:07:54
5702,15483,Lisa,Mensink,CAN,24,00:19:49,00:00:51,01:06:50,00:00:24,00:40:16,25,02:08:08
5702,10843,Vanessa,Raw,GBR,30,00:20:19,00:00:58,01:07:57,00:00:27,00:38:37,26,02:08:15
5702,6522,Radka,Vodickova,CZE,44,00:20:16,00:00:52,01:08:06,00:00:25,00:38:45,27,02:08:21
5702,6224,Kerry,Lang,GBR,41,00:20:06,00:00:50,01:08:15,00:00:26,00:38:48,28,02:08:24
5702,11070,Mary Beth,Ellis,USA,53,00:20:10,00:00:53,01:08:09,00:00:27,00:38:49,29,02:08:26
5702,6706,Kathrin,Muller,GER,19,00:20:20,00:00:51,01:07:59,00:00:23,00:38:57,30,02:08:28
5702,23837,Akane,Tsuchihashi,JPN,22,00:19:49,00:00:55,01:08:33,00:00:25,00:38:53,31,02:08:33
5702,6150,Barbara,Riveros,CHI,3,00:20:39,00:00:52,01:10:51,00:00:24,00:36:56,32,02:09:41
5702,6338,Chie,Nakashima,JPN,51,00:19:48,00:00:51,01:06:53,00:00:22,00:41:54,33,02:09:45
5702,6357,Hideko,Kikuchi,JPN,52,00:20:29,00:00:50,01:07:55,00:00:26,00:40:26,34,02:10:03
5702,11133,Agnieszka,Jerzyk,POL,37,00:21:06,00:00:49,01:10:28,00:00:23,00:37:30,35,02:10:14
5702,17056,Szandra,Szalay,HUN,57,00:20:20,00:00:52,01:08:01,00:00:27,00:40:42,36,02:10:19
5702,9817,Olga,Dmitrieva,RUS,54,00:20:22,00:00:54,01:09:55,00:00:27,00:38:59,37,02:10:35
5702,6852,Paulina,Kotfica,POL,49,00:20:19,00:00:49,01:08:08,00:00:26,00:40:58,38,02:10:38
5702,5452,Marina,Damlaimcourt,ESP,36,00:20:38,00:00:52,01:10:55,00:00:25,00:38:07,39,02:10:55
5702,11409,Hollie,Avil,GBR,43,00:20:37,00:01:04,01:10:42,00:00:27,00:38:19,40,02:11:06
5702,6336,Keiko,Tanaka,JPN,39,00:20:24,00:00:53,01:07:55,00:00:25,00:41:49,41,02:11:24
5702,21486,Pamella,Oliveira,BRA,58,00:19:48,00:00:50,01:06:53,00:00:24,00:43:42,42,02:11:35
5702,5576,Ai,Ueda,JPN,46,00:21:09,00:00:52,01:12:58,00:00:23,00:36:23,43,02:11:43
5702,5502,Alicia,Kaye,USA,38,00:20:37,00:00:51,01:10:56,00:00:25,00:38:59,44,02:11:46
5702,22171,Neiske,Becks,NED,62,00:20:30,00:00:56,01:10:57,00:00:25,00:40:06,45,02:12:52
5702,10761,Lydia,Waldmüller,AUT,64,00:20:23,00:00:52,01:07:56,00:00:26,00:43:22,46,02:12:58
5702,7773,Annamaria,Mazzetti,ITA,40,00:20:39,00:00:51,01:10:54,00:00:22,00:40:48,47,02:13:31
5702,6862,Amanda,Felder,USA,56,00:20:33,00:00:54,01:10:57,00:00:28,00:41:23,48,02:14:14
5702,5521,Sara,Mclarty,USA,66,00:19:22,00:00:56,01:07:15,00:00:31,00:00:00,DNF,00:00:00
5702,5571,Kathy,Tremblay,CAN,45,00:20:16,00:00:50,01:08:07,00:00:24,00:00:00,DNF,00:00:00
5702,9939,Helle,Frederiksen,DEN,35,00:20:37,00:00:53,01:10:51,00:00:22,00:00:00,DNF,00:00:00
5702,31438,Non,Stanford,GBR,61,00:20:38,00:00:53,01:10:53,00:00:25,00:00:00,DNF,00:00:00
5702,17143,Svenja,Bazlen,GER,20,00:21:03,00:00:52,01:10:27,00:00:27,00:00:00,DNF,00:00:00
5702,11343,Maaike,Caelers,NED,60,00:21:12,00:00:51,01:12:56,00:00:24,00:00:00,DNF,00:00:00
5702,11385,Jodie,Stimpson,GBR,32,00:19:47,00:00:51,01:47:58,00:00:00,00:00:00,DNF,00:00:00
5702,5530,Emma,Snowsill,AUS,21,00:20:21,00:00:52,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5702,5486,Anastasiya,Polyanskaya Yatsenko,RUS,47,00:20:25,00:00:49,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5702,6861,Maria,Pujol,ESP,55,00:20:28,00:00:50,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5702,11141,Emmie,Charayron,FRA,12,00:21:08,00:00:56,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5702,6898,Olesya,Prystayko,UKR,67,00:22:43,00:00:48,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5702,30438,Andrea,Steyn,RSA,63,00:23:12,00:00:52,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5702,7004,Irina,Kirchler,AUT,65,00:00:10,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5702,15346,Romina,Palacio Balena,ARG,59,00:00:10,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5702,5454,Erin,Densham,AUS,50,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
