program_id,athlete_id,athlete_name,start_number,swim,t1,bike,after_b,t2,run,total_time,nationality,athlete_first,athlete_last,position
5612,7788,Alistair Brownlee,34,NA,NA,NA,NA,NA,NA,NA,GBR,Alistair,Brownlee,1
5612,5591,Courtney Atkinson,4,NA,NA,NA,NA,NA,NA,NA,AUS,Courtney,Atkinson,2
5612,5320,Sven Riederer,26,NA,NA,NA,NA,NA,NA,NA,SUI,Sven,Riederer,3
5612,5695,Javier Gomez Noya,16,NA,NA,NA,NA,NA,NA,NA,ESP,Javier,Gomez Noya,4
5612,5747,Steffen Justus,7,NA,NA,NA,NA,NA,NA,NA,GER,Steffen,Justus,5
5612,5692,Jan Frodeno,3,NA,NA,NA,NA,NA,NA,NA,GER,Jan,Frodeno,6
5612,10539,Joao Silva,23,NA,NA,NA,NA,NA,NA,NA,POR,Joao,Silva,7
5612,7747,Dmitry Polyanskiy,2,NA,NA,NA,NA,NA,NA,NA,RUS,Dmitry,Polyanskiy,8
5612,6442,Jarrod Shoemaker,11,NA,NA,NA,NA,NA,NA,NA,USA,Jarrod,Shoemaker,9
5612,7743,Alexander Bryukhankov,1,NA,NA,NA,NA,NA,NA,NA,RUS,Alexander,Bryukhankov,10
5612,6226,Sebastian Rank,28,NA,NA,NA,NA,NA,NA,NA,GER,Sebastian,Rank,11
5612,6560,William Clarke,15,NA,NA,NA,NA,NA,NA,NA,GBR,William,Clarke,12
5612,7787,Oliver Freeman,17,NA,NA,NA,NA,NA,NA,NA,GBR,Oliver,Freeman,13
5612,10434,Matt Chrabot,9,NA,NA,NA,NA,NA,NA,NA,USA,Matt,Chrabot,14
5612,5824,Christian Prochnow,42,NA,NA,NA,NA,NA,NA,NA,GER,Christian,Prochnow,15
5612,5823,Bruno Pais,39,NA,NA,NA,NA,NA,NA,NA,POR,Bruno,Pais,16
5612,5633,Vladimir Turbayevskiy,43,NA,NA,NA,NA,NA,NA,NA,RUS,Vladimir,Turbayevskiy,17
5612,5756,Valentin Mechsheryakov,18,NA,NA,NA,NA,NA,NA,NA,KAZ,Valentin,Mechsheryakov,18
5612,5755,Yulian Malyshev,21,NA,NA,NA,NA,NA,NA,NA,RUS,Yulian,Malyshev,19
5612,10213,Jamie Huggett,48,NA,NA,NA,NA,NA,NA,NA,AUS,Jamie,Huggett,20
5612,5669,Claude Eksteen,56,NA,NA,NA,NA,NA,NA,NA,RSA,Claude,Eksteen,21
5612,11329,Oleksiy Syutkin,64,NA,NA,NA,NA,NA,NA,NA,UKR,Oleksiy,Syutkin,22
5612,6202,Kyle Jones,51,NA,NA,NA,NA,NA,NA,NA,CAN,Kyle,Jones,23
5612,6707,Jan Celustka,57,NA,NA,NA,NA,NA,NA,NA,CZE,Jan,Celustka,24
5612,5306,Ivan Raña Fuentes,8,NA,NA,NA,NA,NA,NA,NA,ESP,Ivan,Raña Fuentes,25
5612,6110,James Seear,12,NA,NA,NA,NA,NA,NA,NA,AUS,James,Seear,26
5612,11060,Alessandro Fabian,46,NA,NA,NA,NA,NA,NA,NA,ITA,Alessandro,Fabian,27
5612,11378,Jonathan Brownlee,66,NA,NA,NA,NA,NA,NA,NA,GBR,Jonathan,Brownlee,28
5612,12431,David Mcnamee,62,NA,NA,NA,NA,NA,NA,NA,GBR,David,Mcnamee,29
5612,5742,Yuichi Hosoda,14,NA,NA,NA,NA,NA,NA,NA,JPN,Yuichi,Hosoda,30
5612,7145,Bruno Matheus,52,NA,NA,NA,NA,NA,NA,NA,BRA,Bruno,Matheus,31
5612,10107,Josh Mchugh,27,NA,NA,NA,NA,NA,NA,NA,AUS,Josh,Mchugh,32
5612,5321,Frederic Belaubre,20,NA,NA,NA,NA,NA,NA,NA,FRA,Frederic,Belaubre,33
5612,5718,David Hauss,5,NA,NA,NA,NA,NA,NA,NA,FRA,David,Hauss,34
5612,5881,Duarte Silva Marques,47,NA,NA,NA,NA,NA,NA,NA,POR,Duarte Silva,Marques,35
5612,7796,Francesc Godoy Contreras,55,NA,NA,NA,NA,NA,NA,NA,ESP,Francesc,Godoy Contreras,36
5612,5638,Daniel Unger,25,NA,NA,NA,NA,NA,NA,NA,GER,Daniel,Unger,37
5612,19171,Ben Collins,44,NA,NA,NA,NA,NA,NA,NA,USA,Ben,Collins,38
5612,5851,Tony Moulai,10,NA,NA,NA,NA,NA,NA,NA,FRA,Tony,Moulai,39
5612,5620,Leonardo Chacon,19,NA,NA,NA,NA,NA,NA,NA,CRC,Leonardo,Chacon,40
5612,5703,Brian Fleischmann,54,NA,NA,NA,NA,NA,NA,NA,USA,Brian,Fleischmann,41
5612,15944,Brendan Sexton,60,NA,NA,NA,NA,NA,NA,NA,AUS,Brendan,Sexton,42
5612,10108,Joshua Amberger,33,NA,NA,NA,NA,NA,NA,NA,AUS,Joshua,Amberger,43
5612,5657,Ruedi Wild,32,NA,NA,NA,NA,NA,NA,NA,SUI,Ruedi,Wild,44
5612,5654,Ryosuke Yamamoto,29,NA,NA,NA,NA,NA,NA,NA,JPN,Ryosuke,Yamamoto,45
5612,5959,Ran Alterman,59,NA,NA,NA,NA,NA,NA,NA,ISR,Ran,Alterman,46
5612,11402,Mario Mola,65,NA,NA,NA,NA,NA,NA,NA,ESP,Mario,Mola,47
5612,5864,Manuel Huerta,35,NA,NA,NA,NA,NA,NA,NA,PUR,Manuel,Huerta,48
5612,7786,Jose Miguel Perez,49,NA,NA,NA,NA,NA,NA,NA,ESP,Jose Miguel,Perez,49
5612,5310,Reto Hug,6,NA,NA,NA,NA,NA,NA,NA,SUI,Reto,Hug,50
5612,5722,Franz Höfer,63,NA,NA,NA,NA,NA,NA,NA,AUT,Franz,Höfer,51
5612,6087,James Elvery,58,NA,NA,NA,NA,NA,NA,NA,NZL,James,Elvery,52
5612,10858,Gregor Buchholz,50,NA,NA,NA,NA,NA,NA,NA,GER,Gregor,Buchholz,53
5612,6227,Francisco Serrano,37,NA,NA,NA,NA,NA,NA,NA,MEX,Francisco,Serrano,54
