program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5589,7766,Daniela,Ryf,SUI,,00:19:53,00:01:18,01:06:05,00:00:21,00:33:23,1,02:00:59
5589,6150,Barbara,Riveros,CHI,,00:20:02,00:01:17,01:05:58,00:00:23,00:33:24,2,02:01:02
5589,5526,Emma,Moffatt,AUS,,00:19:46,00:01:18,01:06:15,00:00:20,00:33:26,3,02:01:04
5589,5372,Nicola,Spirig,SUI,,00:20:48,00:01:16,01:05:12,00:00:21,00:33:28,4,02:01:05
5589,6783,Andrea,Hewitt,NZL,,00:20:01,00:01:17,01:05:58,00:00:21,00:33:28,5,02:01:06
5589,5530,Emma,Snowsill,AUS,,00:20:36,00:01:23,01:05:22,00:00:21,00:33:28,6,02:01:10
5589,12786,Mariko,Adachi,JPN,,00:19:55,00:01:25,01:06:00,00:00:24,00:33:32,7,02:01:16
5589,5410,Jessica,Harrison,FRA,,00:19:50,00:01:17,01:06:12,00:00:21,00:33:52,8,02:01:31
5589,5573,Helen,Jenkins,GBR,,00:19:57,00:01:18,01:06:03,00:00:23,00:34:05,9,02:01:44
5589,6210,Sarah,Haskins,USA,,00:19:16,00:01:22,01:06:40,00:00:23,00:34:23,10,02:02:02
5589,5312,Anja,Dittmer,GER,,00:20:59,00:01:14,01:05:04,00:00:24,00:34:36,11,02:02:15
5589,5567,Debbie,Tanner,NZL,,00:19:57,00:01:20,01:06:00,00:00:24,00:34:46,12,02:02:27
5589,6120,Lisa,Norden,SWE,,00:20:01,00:01:19,01:05:58,00:00:23,00:34:57,13,02:02:36
5589,17143,Svenja,Bazlen,GER,,00:20:00,00:01:31,01:05:46,00:00:24,00:35:00,14,02:02:40
5589,17003,Jillian,Petersen,USA,,00:20:50,00:01:22,01:05:12,00:00:26,00:35:00,15,02:02:48
5589,6706,Kathrin,Muller,GER,,00:20:02,00:01:23,01:05:53,00:00:23,00:35:16,16,02:02:55
5589,9939,Helle,Frederiksen,DEN,,00:20:14,00:01:25,01:05:46,00:00:25,00:35:09,17,02:02:58
5589,8739,Kate,Mcilroy,NZL,,00:20:02,00:01:28,01:05:50,00:00:24,00:35:21,18,02:03:02
5589,7795,Vicky,Holland,GBR,,00:19:53,00:01:37,01:05:48,00:00:25,00:35:25,19,02:03:07
5589,5369,Kiyomi,Niwata,JPN,,00:20:48,00:01:22,01:05:12,00:00:25,00:35:25,20,02:03:10
5589,5564,Zita,Szabó,HUN,,00:20:47,00:01:23,01:05:11,00:00:24,00:35:31,21,02:03:14
5589,11409,Hollie,Avil,GBR,,00:20:07,00:01:23,01:05:50,00:00:27,00:35:40,22,02:03:27
5589,39508,Keira,Pride,AUS,,00:19:57,00:01:21,01:05:58,00:00:23,00:36:01,23,02:03:39
5589,6069,Nicky,Samuels,NZL,,00:20:04,00:01:15,01:06:00,00:00:21,00:36:40,24,02:04:21
5589,5502,Alicia,Kaye,USA,,00:20:06,00:01:16,01:06:00,00:00:25,00:37:38,25,02:05:22
5589,6224,Kerry,Lang,GBR,,00:19:18,00:01:19,01:06:44,00:00:25,00:37:42,26,02:05:27
5589,5448,Felicity,Abram,AUS,,00:20:55,00:01:30,01:09:10,00:00:28,00:33:26,27,02:05:28
5589,17348,Yun-Jung,Jang,KOR,,00:19:55,00:01:23,01:06:05,00:00:21,00:38:34,28,02:06:18
5589,5943,Maria,Czesnik,POL,,00:20:04,00:01:19,01:08:56,00:00:25,00:35:44,29,02:06:27
5589,11133,Agnieszka,Jerzyk,POL,,00:21:46,00:01:17,01:08:34,00:00:23,00:34:42,30,02:06:40
5589,9852,Alexandra,Razarenova,RUS,,00:20:03,00:02:01,01:09:04,00:00:21,00:35:15,31,02:06:43
5589,7817,Yuliya,Yelistratova,UKR,,00:20:54,00:01:26,01:09:12,00:00:24,00:35:24,32,02:07:19
5589,5407,Ricarda,Lisk,GER,,00:20:03,00:01:19,01:05:58,00:00:21,00:39:50,33,02:07:29
5589,15747,Emma,Jackson,AUS,,00:20:09,00:01:27,01:10:03,00:00:25,00:35:50,34,02:07:53
5589,23837,Akane,Tsuchihashi,JPN,,00:19:55,00:01:23,01:10:20,00:00:32,00:36:05,35,02:08:14
5589,12785,Juri,Ide,JPN,,00:20:04,00:01:21,01:09:58,00:00:26,00:37:19,36,02:09:07
5589,11018,Zsófia,Tóth,HUN,,00:20:59,00:01:20,01:09:16,00:00:23,00:37:10,37,02:09:08
5589,18592,Yuka,Sato,JPN,,00:20:44,00:01:21,01:09:32,00:00:23,00:37:22,38,02:09:21
5589,6963,Irina,Abysova,RUS,,00:20:45,00:01:21,01:09:32,00:00:25,00:37:30,39,02:09:32
5589,23847,Dan Bi,Hong,KOR,,00:19:54,00:01:20,01:10:26,00:00:26,00:40:29,40,02:12:33
5589,6781,Hee Ju,Kim,KOR,,00:20:50,00:01:17,01:09:30,00:00:25,00:41:00,41,02:12:59
5589,10761,Lydia,Waldmüller,AUT,,00:20:13,00:01:27,01:09:43,00:00:34,00:42:16,42,02:14:11
5589,29104,Hayley,Peirsol,USA,,00:19:07,00:01:30,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5589,6246,Sarah,True,USA,,00:19:48,00:01:21,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5589,17347,Hyun Ju,Lee,KOR,,00:20:47,00:01:22,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5589,17356,Won-Jung,Choi,KOR,,00:20:49,00:01:20,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5589,18345,Kui-Sun,Lee,KOR,,00:21:44,00:01:30,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5589,10602,Song-Nan,Lee,KOR,,00:21:48,00:01:25,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5589,5454,Erin,Densham,AUS,,00:21:56,00:02:02,00:00:00,00:00:00,00:00:00,DNF,00:00:00
5589,5467,Vendula,Frintova,CZE,,00:22:22,00:01:20,00:00:00,00:00:00,00:00:00,DNF,00:00:00
