program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5590,5692,Jan,Frodeno,GER,,00:19:25,00:01:10,01:01:47,00:00:19,00:29:08,1,01:51:49
5590,5591,Courtney,Atkinson,AUS,,00:19:23,00:01:12,01:01:49,00:00:18,00:29:08,2,01:51:50
5590,5711,Brad,Kahlefeldt,AUS,,00:19:30,00:01:10,01:01:46,00:00:20,00:29:32,3,01:52:17
5590,5747,Steffen,Justus,GER,,00:19:42,00:01:10,01:01:39,00:00:24,00:29:27,4,01:52:21
5590,7743,Alexander,Bryukhankov,RUS,,00:19:33,00:01:16,01:01:44,00:00:27,00:29:30,5,01:52:28
5590,7747,Dmitry,Polyanskiy,RUS,,00:19:12,00:01:13,01:02:06,00:00:24,00:29:40,6,01:52:34
5590,5297,Bevan,Docherty,NZL,,00:19:26,00:01:13,01:01:46,00:00:20,00:29:56,7,01:52:39
5590,6442,Jarrod,Shoemaker,USA,,00:19:32,00:01:22,01:01:43,00:00:19,00:29:48,8,01:52:43
5590,5310,Reto,Hug,SUI,,00:19:34,00:01:15,01:01:35,00:00:20,00:30:00,9,01:52:43
5590,6560,William,Clarke,GBR,,00:19:28,00:01:10,01:01:47,00:00:20,00:30:09,10,01:52:54
5590,5305,Tim,Don,GBR,,00:19:27,00:01:07,01:01:50,00:00:17,00:30:26,11,01:53:07
5590,5695,Javier,Gomez Noya,ESP,,00:19:10,00:01:10,01:02:10,00:00:23,00:30:21,12,01:53:14
5590,6084,Dan,Wilson,AUS,,00:19:36,00:01:12,01:01:39,00:00:19,00:30:33,13,01:53:17
5590,5306,Ivan,Raña Fuentes,ESP,,00:19:33,00:01:16,01:01:34,00:00:21,00:30:36,14,01:53:20
5590,5742,Yuichi,Hosoda,JPN,,00:19:36,00:01:16,01:01:36,00:00:21,00:30:36,15,01:53:24
5590,7787,Oliver,Freeman,GBR,,00:19:13,00:01:16,01:02:00,00:00:20,00:30:39,16,01:53:27
5590,5620,Leonardo,Chacon,CRC,,00:19:28,00:01:16,01:01:47,00:00:23,00:30:38,17,01:53:30
5590,5755,Yulian,Malyshev,RUS,,00:19:36,00:01:20,01:01:42,00:00:26,00:30:36,18,01:53:37
5590,10434,Matt,Chrabot,USA,,00:19:21,00:01:14,01:01:50,00:00:21,00:30:57,19,01:53:42
5590,7744,Ivan,Tutukin,RUS,,00:19:40,00:01:12,01:01:35,00:00:20,00:30:57,20,01:53:44
5590,5662,Laurent,Vidal,FRA,,00:19:19,00:01:10,01:01:55,00:00:20,00:31:02,21,01:53:47
5590,10539,Joao,Silva,POR,,00:19:23,00:01:09,01:01:57,00:00:20,00:31:01,22,01:53:47
5590,6110,James,Seear,AUS,,00:19:29,00:01:23,01:01:38,00:00:20,00:31:01,23,01:53:50
5590,5687,Mark,Fretta,USA,,00:19:33,00:01:20,01:01:42,00:00:25,00:30:55,24,01:53:54
5590,5320,Sven,Riederer,SUI,,00:19:30,00:01:17,01:01:37,00:00:20,00:31:16,25,01:54:00
5590,6226,Sebastian,Rank,GER,,00:19:36,00:01:10,01:01:39,00:00:21,00:31:15,26,01:54:02
5590,13020,Chris,Foster,USA,,00:19:55,00:01:13,01:01:21,00:00:23,00:31:23,27,01:54:14
5590,5296,Kris,Gemmell,NZL,,00:19:23,00:01:10,01:01:49,00:00:20,00:31:36,28,01:54:19
5590,73138,Igor,Sysoev,RUS,,00:19:32,00:01:20,01:01:42,00:00:21,00:31:27,29,01:54:20
5590,5750,Marek,Jaskolka,POL,,00:19:32,00:01:22,01:01:42,00:00:24,00:31:29,30,01:54:27
5590,5931,Andreas,Giglmayr,AUT,,00:19:29,00:01:12,01:01:48,00:00:20,00:31:48,31,01:54:36
5590,5713,Gareth,Halverson,AUS,,00:19:32,00:01:10,01:01:48,00:00:23,00:31:45,32,01:54:38
5590,5776,Hiroki,Sugimoto,JPN,,00:19:36,00:01:15,01:01:44,00:00:21,00:31:43,33,01:54:41
5590,10536,Joao,Pereira,POR,,00:19:46,00:01:10,01:01:35,00:00:21,00:31:51,34,01:54:44
5590,5657,Ruedi,Wild,SUI,,00:19:37,00:01:16,01:01:33,00:00:20,00:32:04,35,01:54:50
5590,5758,Kuniaki,Takahama,JPN,,00:19:38,00:01:19,01:01:39,00:00:24,00:31:55,36,01:54:55
5590,6086,Martin,Van Barneveld,NZL,,00:19:25,00:01:13,01:01:54,00:00:24,00:32:02,37,01:54:57
5590,6104,David,Matthews,AUS,,00:19:33,00:01:14,01:01:44,00:00:20,00:32:22,38,01:55:11
5590,5958,Dan,Alterman,ISR,,00:19:33,00:01:18,01:01:46,00:00:23,00:32:23,39,01:55:20
5590,5351,Daniel,Lee Chi Wo,HKG,,00:19:47,00:01:10,01:01:31,00:00:21,00:32:38,40,01:55:26
5590,5355,Andriy,Glushchenko,UKR,,00:19:33,00:01:22,01:01:39,00:00:25,00:32:35,41,01:55:31
5590,10871,Ethan,Brown,USA,,00:19:44,00:01:16,01:01:39,00:00:24,00:32:32,42,01:55:35
5590,5654,Ryosuke,Yamamoto,JPN,,00:19:28,00:01:18,01:01:48,00:00:23,00:32:44,43,01:55:39
5590,5321,Frederic,Belaubre,FRA,,00:19:14,00:01:14,01:02:02,00:00:23,00:32:54,44,01:55:44
5590,5633,Vladimir,Turbayevskiy,RUS,,00:19:25,00:01:22,01:01:42,00:00:23,00:33:13,45,01:56:04
5590,6777,Min Ho,Heo,KOR,,00:19:29,00:01:09,01:01:51,00:00:20,00:33:17,46,01:56:05
5590,18173,Ju Seok,Kim,KOR,,00:19:37,00:01:08,01:01:50,00:00:21,00:33:57,47,01:56:53
5590,5881,Duarte Silva,Marques,POR,,00:19:29,00:01:10,01:01:59,00:00:20,00:34:50,48,01:57:49
5590,5327,Hirokatsu,Tayama,JPN,,00:19:44,00:01:15,01:01:34,00:00:23,00:35:07,49,01:58:02
5590,5683,Clark,Ellice,NZL,,00:20:44,00:01:08,01:04:06,00:00:25,00:31:56,50,01:58:18
5590,6541,Chang Yon,Lee,KOR,,00:19:27,00:01:13,01:01:57,00:00:24,00:35:55,51,01:58:56
5590,5824,Christian,Prochnow,GER,,00:19:23,00:01:16,01:05:01,00:00:24,00:33:52,52,01:59:56
5590,22570,Kohei,Shimomura,JPN,,00:21:17,00:01:16,01:04:04,00:00:23,00:32:59,53,01:59:57
5590,6934,Luc,Van Es,NED,,00:19:44,00:01:17,01:04:38,00:00:24,00:34:37,54,02:00:39
5590,17844,Soung Geun,Sin,KOR,,00:21:17,00:01:15,01:04:07,00:00:20,00:33:54,55,02:00:52
