program_id,athlete_id,athlete_name,start_number,swim,t1,bike,after_b,t2,run,total_time,nationality,athlete_first,athlete_last,position
5543,5297,Bevan Docherty,8,NA,NA,NA,NA,NA,NA,NA,NZL,Bevan,Docherty,1
5543,7743,Alexander Bryukhankov,6,NA,NA,NA,NA,NA,NA,NA,RUS,Alexander,Bryukhankov,2
5543,5718,David Hauss,10,NA,NA,NA,NA,NA,NA,NA,FRA,David,Hauss,3
5543,7747,Dmitry Polyanskiy,4,NA,NA,NA,NA,NA,NA,NA,RUS,Dmitry,Polyanskiy,4
5543,5302,Simon Whitfield,9,NA,NA,NA,NA,NA,NA,NA,CAN,Simon,Whitfield,5
5543,5851,Tony Moulai,17,NA,NA,NA,NA,NA,NA,NA,FRA,Tony,Moulai,6
5543,5298,Greg Bennett,45,NA,NA,NA,NA,NA,NA,NA,USA,Greg,Bennett,7
5543,5662,Laurent Vidal,2,NA,NA,NA,NA,NA,NA,NA,FRA,Laurent,Vidal,8
5543,10434,Matt Chrabot,28,NA,NA,NA,NA,NA,NA,NA,USA,Matt,Chrabot,9
5543,5325,Hunter Kemper,27,NA,NA,NA,NA,NA,NA,NA,USA,Hunter,Kemper,10
5543,5711,Brad Kahlefeldt,7,NA,NA,NA,NA,NA,NA,NA,AUS,Brad,Kahlefeldt,11
5543,5306,Ivan Raña Fuentes,47,NA,NA,NA,NA,NA,NA,NA,ESP,Ivan,Raña Fuentes,12
5543,6110,James Seear,14,NA,NA,NA,NA,NA,NA,NA,AUS,James,Seear,13
5543,13020,Chris Foster,46,NA,NA,NA,NA,NA,NA,NA,USA,Chris,Foster,14
5543,5296,Kris Gemmell,3,NA,NA,NA,NA,NA,NA,NA,NZL,Kris,Gemmell,15
5543,5756,Valentin Mechsheryakov,53,NA,NA,NA,NA,NA,NA,NA,KAZ,Valentin,Mechsheryakov,16
5543,5310,Reto Hug,40,NA,NA,NA,NA,NA,NA,NA,SUI,Reto,Hug,17
5543,5321,Frederic Belaubre,24,NA,NA,NA,NA,NA,NA,NA,FRA,Frederic,Belaubre,18
5543,11818,Ryan Sissons,44,NA,NA,NA,NA,NA,NA,NA,NZL,Ryan,Sissons,19
5543,5359,Stuart Hayes,31,NA,NA,NA,NA,NA,NA,NA,GBR,Stuart,Hayes,20
5543,5742,Yuichi Hosoda,25,NA,NA,NA,NA,NA,NA,NA,JPN,Yuichi,Hosoda,21
5543,5683,Clark Ellice,19,NA,NA,NA,NA,NA,NA,NA,NZL,Clark,Ellice,22
5543,6102,Ben Pattle,50,NA,NA,NA,NA,NA,NA,NA,NZL,Ben,Pattle,23
5543,5931,Andreas Giglmayr,36,NA,NA,NA,NA,NA,NA,NA,AUT,Andreas,Giglmayr,24
5543,5335,Peter Robertson,34,NA,NA,NA,NA,NA,NA,NA,AUS,Peter,Robertson,25
5543,10107,Josh Mchugh,32,NA,NA,NA,NA,NA,NA,NA,AUS,Josh,Mchugh,26
5543,10575,Jan Van Berkel,29,NA,NA,NA,NA,NA,NA,NA,SUI,Jan,Van Berkel,27
5543,5654,Ryosuke Yamamoto,16,NA,NA,NA,NA,NA,NA,NA,JPN,Ryosuke,Yamamoto,28
5543,5638,Daniel Unger,11,NA,NA,NA,NA,NA,NA,NA,GER,Daniel,Unger,29
5543,6104,David Matthews,49,NA,NA,NA,NA,NA,NA,NA,AUS,David,Matthews,30
5543,12814,Tony Dodds,51,NA,NA,NA,NA,NA,NA,NA,NZL,Tony,Dodds,31
5543,5692,Jan Frodeno,1,NA,NA,NA,NA,NA,NA,NA,GER,Jan,Frodeno,32
5543,5331,Danylo Sapunov,15,NA,NA,NA,NA,NA,NA,NA,UKR,Danylo,Sapunov,33
5543,9887,Callum Millward,41,NA,NA,NA,NA,NA,NA,NA,NZL,Callum,Millward,34
5543,11318,Kevin Collington,30,NA,NA,NA,NA,NA,NA,NA,USA,Kevin,Collington,35
5543,10935,Lukas Salvisberg,37,NA,NA,NA,NA,NA,NA,NA,SUI,Lukas,Salvisberg,36
5543,73138,Igor Sysoev,39,NA,NA,NA,NA,NA,NA,NA,RUS,Igor,Sysoev,37
5543,17908,Anton Chuchko,54,NA,NA,NA,NA,NA,NA,NA,RUS,Anton,Chuchko,38
5543,10108,Joshua Amberger,33,NA,NA,NA,NA,NA,NA,NA,AUS,Joshua,Amberger,39
5543,22570,Kohei Shimomura,55,NA,NA,NA,NA,NA,NA,NA,JPN,Kohei,Shimomura,40
5543,5624,Peter Croes,22,NA,NA,NA,NA,NA,NA,NA,BEL,Peter,Croes,41
5543,5728,Tsukasa Hirano,56,NA,NA,NA,NA,NA,NA,NA,JPN,Tsukasa,Hirano,42
5543,10010,Samuel Betten,43,NA,NA,NA,NA,NA,NA,NA,AUS,Samuel,Betten,43
5543,10955,Ron Darmon,59,NA,NA,NA,NA,NA,NA,NA,ISR,Ron,Darmon,44
5543,6777,Min Ho Heo,42,NA,NA,NA,NA,NA,NA,NA,KOR,Min Ho,Heo,45
5543,16315,Kohei Tsubaki,57,NA,NA,NA,NA,NA,NA,NA,JPN,Kohei,Tsubaki,46
