program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5859,5530,Emma,Snowsill,AUS,,1105,62,3400,30,00:33:08,1,6583
5859,5526,Emma,Moffatt,AUS,,1104,60,3400,18,00:35:05,2,6685
5859,5372,Nicola,Spirig,SUI,,1116,60,3383,24,00:35:05,3,6688
5859,6120,Lisa,Norden,SWE,,1132,57,3370,24,00:35:05,4,6688
5859,12674,Paula,Findlay,CAN,,1137,57,3368,26,00:35:02,5,6690
5859,7795,Vicky,Holland,GBR,,1094,64,3403,24,00:35:05,6,6691
5859,5573,Helen,Jenkins,GBR,,1086,60,3417,24,00:35:09,7,6694
5859,5399,Laura,Bennett,USA,,1092,60,3411,23,00:35:12,8,6696
5859,5539,Carole,Peon,FRA,,1133,62,3368,27,00:35:09,9,6696
5859,12785,Juri,Ide,JPN,,1121,64,3383,27,00:35:21,10,6715
5859,5547,Kate,Roberts,RSA,,1093,62,3407,27,00:35:45,11,6733
5859,8739,Kate,Mcilroy,NZL,,1125,60,3378,27,00:35:50,12,6739
5859,12786,Mariko,Adachi,JPN,,1117,66,3385,28,00:35:51,13,6747
5859,7766,Daniela,Ryf,SUI,,1124,56,3381,24,00:36:11,14,6755
5859,5312,Anja,Dittmer,GER,,1126,56,3381,27,00:36:11,15,6760
5859,5567,Debbie,Tanner,NZL,,1118,63,3383,25,00:36:13,16,6761
5859,21978,Aileen,Reid,IRL,,1103,60,3404,28,00:36:18,17,6772
5859,5407,Ricarda,Lisk,GER,,1130,60,3370,21,00:36:35,18,6774
5859,5842,Liz,Blatchford,GBR,,1104,58,3402,28,00:36:31,19,6783
5859,6210,Sarah,Haskins,USA,,1084,66,3413,30,00:36:32,20,6784
5859,6150,Barbara,Riveros,CHI,,1147,60,3446,27,00:35:12,21,6789
5859,6783,Andrea,Hewitt,NZL,,1158,56,3437,24,00:35:18,22,6791
5859,5385,Jodie,Swallow,GBR,,1102,63,3400,27,00:36:47,23,6797
5859,5576,Ai,Ueda,JPN,,1165,64,3424,27,00:35:19,24,6797
5859,6848,Melanie,Hauss,SUI,,1135,60,3370,28,00:36:54,25,6807
5859,5448,Felicity,Abram,AUS,,1140,62,3452,28,00:35:30,26,6811
5859,23837,Akane,Tsuchihashi,JPN,,1105,67,3396,28,00:37:01,27,6817
5859,6246,Sarah,True,USA,,1100,64,3409,24,00:37:14,28,6829
5859,5410,Jessica,Harrison,FRA,,1100,57,3407,27,00:37:24,29,6833
5859,11385,Jodie,Stimpson,GBR,,1121,58,3385,26,00:37:24,30,6836
5859,5376,Ainhoa,Murua Zubizarreta,ESP,,1104,68,3396,28,00:37:32,31,6845
5859,17003,Jillian,Petersen,USA,,1117,67,3376,30,00:37:39,32,6848
5859,6224,Kerry,Lang,GBR,,1131,60,3370,28,00:37:42,33,6849
5859,17143,Svenja,Bazlen,GER,,1133,63,3368,28,00:37:45,34,6856
5859,15483,Lisa,Mensink,CAN,,1141,57,3363,27,00:38:10,35,6877
5859,10843,Vanessa,Raw,GBR,,1145,69,3440,28,00:36:50,36,6890
5859,6069,Nicky,Samuels,NZL,,1163,64,3426,25,00:36:58,37,6894
5859,6522,Radka,Vodickova,CZE,,1097,56,3413,26,00:38:33,38,6904
5859,5486,Anastasiya,Polyanskaya Yatsenko,RUS,,1135,56,3370,24,00:39:19,39,6944
5859,5369,Kiyomi,Niwata,JPN,,1125,62,3383,27,00:39:31,40,6965
5859,6706,Kathrin,Muller,GER,,1163,60,3427,24,00:38:25,41,6980
5859,5548,Zuriñe,Rodriguez Sanchez,ESP,,1163,57,3433,26,00:38:29,42,6986
5859,6852,Paulina,Kotfica,POL,,1168,58,3429,27,00:38:31,43,6991
5859,6861,Maria,Pujol,ESP,,1169,57,3427,28,00:39:05,44,7024
5859,5502,Alicia,Kaye,USA,,1161,60,3431,26,00:39:22,45,7039
5859,11084,Margit,Vanek,HUN,,1095,63,3495,28,00:39:31,46,7050
5859,9742,Tomoko,Sonoda,JPN,,1132,64,3372,28,00:41:25,47,7080
5859,5854,Birgit,Cals-Berk,NED,,1139,60,3455,30,00:40:24,48,7106
5859,11070,Mary Beth,Ellis,USA,,1118,60,3387,30,00:42:40,49,7154
5859,6963,Irina,Abysova,RUS,,1144,63,3710,32,00:37:16,50,7183
5859,11836,Emma,Davis,IRL,,1141,64,3448,28,00:42:04,51,7203
5859,11133,Agnieszka,Jerzyk,POL,,1242,58,3631,23,00:37:52,52,7226
5859,23847,Dan Bi,Hong,KOR,,1097,60,3412,27,00:43:58,53,7234
5859,5417,Maria,Areosa,POR,,1173,69,3693,26,00:38:17,54,7256
5859,110113,Inna,Tutukina,RUS,,1171,68,3697,27,00:42:50,55,7531
5859,10913,Dan,Fan,CHN,,1175,69,3693,27,00:43:05,56,7548
