program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5860,7788,Alistair,Brownlee,GBR,,1032,54,3234,25,00:30:00,1,6146
5860,5695,Javier,Gomez Noya,ESP,,1029,58,3234,24,00:30:05,2,6150
5860,5747,Steffen,Justus,GER,,1068,54,3202,31,00:30:29,3,6184
5860,10539,Joao,Silva,POR,,1044,53,3230,28,00:30:29,4,6185
5860,5711,Brad,Kahlefeldt,AUS,,1050,56,3219,26,00:30:40,5,6189
5860,5718,David,Hauss,FRA,,1091,56,3180,23,00:30:44,6,6192
5860,5332,Maik,Petzold,GER,,1041,56,3227,30,00:30:46,7,6198
5860,5320,Sven,Riederer,SUI,,1049,58,3217,26,00:31:08,8,6217
5860,7778,Jonathan,Zipf,GER,,1077,56,3193,25,00:31:16,9,6226
5860,5824,Christian,Prochnow,GER,,1041,58,3232,27,00:31:17,10,6234
5860,5756,Valentin,Mechsheryakov,KAZ,,1048,54,3227,30,00:31:19,11,6237
5860,5823,Bruno,Pais,POR,,1091,63,3172,24,00:31:30,12,6239
5860,10858,Gregor,Buchholz,GER,,1090,60,3180,28,00:31:22,13,6241
5860,5298,Greg,Bennett,USA,,1082,64,3179,31,00:31:32,14,6245
5860,5931,Andreas,Giglmayr,AUT,,1091,62,3172,28,00:31:36,15,6248
5860,10434,Matt,Chrabot,USA,,1047,56,3219,28,00:31:41,16,6252
5860,5359,Stuart,Hayes,GBR,,1051,56,3217,33,00:31:38,17,6255
5860,5683,Clark,Ellice,NZL,,1087,58,3185,26,00:31:42,18,6256
5860,5851,Tony,Moulai,FRA,,1057,64,3204,26,00:31:50,19,6258
5860,5633,Vladimir,Turbayevskiy,RUS,,1048,62,3217,28,00:31:45,20,6260
5860,6226,Sebastian,Rank,GER,,1048,58,3217,24,00:31:53,21,6261
5860,6131,Hendrik,De Villiers,RSA,,1069,54,3204,21,00:31:55,22,6264
5860,5651,Ivan,Vasiliev,RUS,,1050,56,3219,31,00:31:50,23,6264
5860,5657,Ruedi,Wild,SUI,,1093,57,3175,27,00:31:59,24,6271
5860,5321,Frederic,Belaubre,FRA,,1031,54,3247,32,00:31:53,25,6275
5860,15944,Brendan,Sexton,AUS,,1080,64,3183,28,00:32:06,26,6278
5860,6137,Erhard,Wolfaardt,RSA,,1090,60,3186,30,00:32:01,27,6284
5860,5591,Courtney,Atkinson,AUS,,1043,57,3222,23,00:32:32,28,6295
5860,5620,Leonardo,Chacon,CRC,,1087,62,3181,28,00:32:21,29,6297
5860,5306,Ivan,Raña Fuentes,ESP,,1071,62,3194,32,00:32:21,30,6297
5860,10575,Jan,Van Berkel,SUI,,1084,56,3185,26,00:32:27,31,6299
5860,7744,Ivan,Tutukin,RUS,,1065,58,3201,27,00:32:31,32,6303
5860,5350,Martin,Krnavek,CZE,,1052,64,3213,30,00:32:24,33,6304
5860,5742,Yuichi,Hosoda,JPN,,1061,60,3210,30,00:32:29,34,6308
5860,10536,Joao,Pereira,POR,,1069,56,3209,41,00:32:23,35,6316
5860,5624,Peter,Croes,BEL,,1070,56,3197,27,00:32:59,36,6327
5860,6202,Kyle,Jones,CAN,,1056,60,3212,27,00:33:00,37,6335
5860,6087,James,Elvery,NZL,,1045,54,3232,25,00:33:09,38,6344
5860,5351,Daniel,Lee Chi Wo,HKG,,1089,54,3181,27,00:33:19,39,6347
5860,6110,James,Seear,AUS,,1053,64,3210,26,00:33:17,40,6349
5860,5692,Jan,Frodeno,GER,,1048,54,3221,15,00:33:40,41,6356
5860,19171,Ben,Collins,USA,,1047,73,3202,28,00:33:35,42,6363
5860,6086,Martin,Van Barneveld,NZL,,1073,54,3200,27,00:33:34,43,6367
5860,5829,Harunobu,Sato,JPN,,1083,56,3196,28,00:33:26,44,6368
5860,5331,Danylo,Sapunov,UKR,,1044,62,3224,28,00:33:45,45,6383
5860,5327,Hirokatsu,Tayama,JPN,,1053,64,3217,27,00:33:50,46,6390
5860,5755,Yulian,Malyshev,RUS,,1045,58,3377,28,00:31:36,47,6404
5860,5669,Claude,Eksteen,RSA,,1086,54,3189,30,00:34:07,48,6405
5860,7747,Dmitry,Polyanskiy,RUS,,1035,52,3426,28,00:31:22,49,6423
5860,5758,Kuniaki,Takahama,JPN,,1079,72,3185,30,00:34:58,50,6463
5860,6442,Jarrod,Shoemaker,USA,,1052,63,3398,28,00:32:13,51,6474
5860,6084,Dan,Wilson,AUS,,1067,57,3388,23,00:32:49,52,6502
5860,7743,Alexander,Bryukhankov,RUS,,1046,56,3461,26,00:32:00,53,6507
5860,5654,Ryosuke,Yamamoto,JPN,,1050,82,3202,34,00:35:54,54,6520
5860,5694,Ramon,Ejeda Medina,ESP,,1089,58,3366,28,00:33:13,55,6534
5860,11318,Kevin,Collington,USA,,1090,62,3330,31,00:34:01,56,6553
5860,7786,Jose Miguel,Perez,ESP,,1067,63,3383,31,00:33:35,57,6557
5860,5864,Manuel,Huerta,PUR,,1084,63,3186,32,00:37:12,58,6595
5860,5881,Duarte Silva,Marques,POR,,1044,57,3352,26,00:35:22,59,6599
5860,5958,Dan,Alterman,ISR,,1065,57,3442,27,00:34:13,60,6644
5860,9917,Diogo,Sclebin,BRA,,1077,67,3368,31,00:35:32,61,6673
5860,70017,Zhihang,Jiang,CHN,,1072,67,3376,28,00:36:07,62,6709
5860,5776,Hiroki,Sugimoto,JPN,,1080,60,3374,33,00:36:16,63,6722
5860,15981,Mehdi,Essadiq,MAR,,1092,57,3364,28,00:36:37,64,6737
5860,11193,Henrique,Siqueira De Oliveira,BRA,,1105,60,3529,26,00:33:51,65,6751
5860,13020,Chris,Foster,USA,,1199,63,3433,26,00:35:17,66,6836
