program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5589,7766,Daniela,Ryf,SUI,,1193,78,3965,21,00:33:23,1,7259
5589,6150,Barbara,Riveros,CHI,,1202,77,3958,23,00:33:24,2,7262
5589,5526,Emma,Moffatt,AUS,,1186,78,3975,20,00:33:26,3,7264
5589,5372,Nicola,Spirig,SUI,,1248,76,3912,21,00:33:28,4,7265
5589,6783,Andrea,Hewitt,NZL,,1201,77,3958,21,00:33:28,5,7266
5589,5530,Emma,Snowsill,AUS,,1236,83,3922,21,00:33:28,6,7270
5589,12786,Mariko,Adachi,JPN,,1195,85,3960,24,00:33:32,7,7276
5589,5410,Jessica,Harrison,FRA,,1190,77,3972,21,00:33:52,8,7291
5589,5573,Helen,Jenkins,GBR,,1197,78,3963,23,00:34:05,9,7304
5589,6210,Sarah,Haskins,USA,,1156,82,4000,23,00:34:23,10,7322
5589,5312,Anja,Dittmer,GER,,1259,74,3904,24,00:34:36,11,7335
5589,5567,Debbie,Tanner,NZL,,1197,80,3960,24,00:34:46,12,7347
5589,6120,Lisa,Norden,SWE,,1201,79,3958,23,00:34:57,13,7356
5589,17143,Svenja,Bazlen,GER,,1200,91,3946,24,00:35:00,14,7360
5589,17003,Jillian,Petersen,USA,,1250,82,3912,26,00:35:00,15,7368
5589,6706,Kathrin,Muller,GER,,1202,83,3953,23,00:35:16,16,7375
5589,9939,Helle,Frederiksen,DEN,,1214,85,3946,25,00:35:09,17,7378
5589,8739,Kate,Mcilroy,NZL,,1202,88,3950,24,00:35:21,18,7382
5589,7795,Vicky,Holland,GBR,,1193,97,3948,25,00:35:25,19,7387
5589,5369,Kiyomi,Niwata,JPN,,1248,82,3912,25,00:35:25,20,7390
5589,5564,Zita,Szabó,HUN,,1247,83,3911,24,00:35:31,21,7394
5589,11409,Hollie,Avil,GBR,,1207,83,3950,27,00:35:40,22,7407
5589,39508,Keira,Pride,AUS,,1197,81,3958,23,00:36:01,23,7419
5589,6069,Nicky,Samuels,NZL,,1204,75,3960,21,00:36:40,24,7461
5589,5502,Alicia,Kaye,USA,,1206,76,3960,25,00:37:38,25,7522
5589,6224,Kerry,Lang,GBR,,1158,79,4004,25,00:37:42,26,7527
5589,5448,Felicity,Abram,AUS,,1255,90,4150,28,00:33:26,27,7528
5589,17348,Yun-Jung,Jang,KOR,,1195,83,3965,21,00:38:34,28,7578
5589,5943,Maria,Czesnik,POL,,1204,79,4136,25,00:35:44,29,7587
5589,11133,Agnieszka,Jerzyk,POL,,1306,77,4114,23,00:34:42,30,7600
5589,9852,Alexandra,Razarenova,RUS,,1203,121,4144,21,00:35:15,31,7603
5589,7817,Yuliya,Yelistratova,UKR,,1254,86,4152,24,00:35:24,32,7639
5589,5407,Ricarda,Lisk,GER,,1203,79,3958,21,00:39:50,33,7649
5589,15747,Emma,Jackson,AUS,,1209,87,4203,25,00:35:50,34,7673
5589,23837,Akane,Tsuchihashi,JPN,,1195,83,4220,32,00:36:05,35,7694
5589,12785,Juri,Ide,JPN,,1204,81,4198,26,00:37:19,36,7747
5589,11018,Zsófia,Tóth,HUN,,1259,80,4156,23,00:37:10,37,7748
5589,18592,Yuka,Sato,JPN,,1244,81,4172,23,00:37:22,38,7761
5589,6963,Irina,Abysova,RUS,,1245,81,4172,25,00:37:30,39,7772
5589,23847,Dan Bi,Hong,KOR,,1194,80,4226,26,00:40:29,40,7953
5589,6781,Hee Ju,Kim,KOR,,1250,77,4170,25,00:41:00,41,7979
5589,10761,Lydia,Waldmüller,AUT,,1213,87,4183,34,00:42:16,42,8051
