program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5590,5692,Jan,Frodeno,GER,,1165,70,3707,19,00:29:08,1,6709
5590,5591,Courtney,Atkinson,AUS,,1163,72,3709,18,00:29:08,2,6710
5590,5711,Brad,Kahlefeldt,AUS,,1170,70,3706,20,00:29:32,3,6737
5590,5747,Steffen,Justus,GER,,1182,70,3699,24,00:29:27,4,6741
5590,7743,Alexander,Bryukhankov,RUS,,1173,76,3704,27,00:29:30,5,6748
5590,7747,Dmitry,Polyanskiy,RUS,,1152,73,3726,24,00:29:40,6,6754
5590,5297,Bevan,Docherty,NZL,,1166,73,3706,20,00:29:56,7,6759
5590,6442,Jarrod,Shoemaker,USA,,1172,82,3703,19,00:29:48,8,6763
5590,5310,Reto,Hug,SUI,,1174,75,3695,20,00:30:00,9,6763
5590,6560,William,Clarke,GBR,,1168,70,3707,20,00:30:09,10,6774
5590,5305,Tim,Don,GBR,,1167,67,3710,17,00:30:26,11,6787
5590,5695,Javier,Gomez Noya,ESP,,1150,70,3730,23,00:30:21,12,6794
5590,6084,Dan,Wilson,AUS,,1176,72,3699,19,00:30:33,13,6797
5590,5306,Ivan,Raña Fuentes,ESP,,1173,76,3694,21,00:30:36,14,6800
5590,5742,Yuichi,Hosoda,JPN,,1176,76,3696,21,00:30:36,15,6804
5590,7787,Oliver,Freeman,GBR,,1153,76,3720,20,00:30:39,16,6807
5590,5620,Leonardo,Chacon,CRC,,1168,76,3707,23,00:30:38,17,6810
5590,5755,Yulian,Malyshev,RUS,,1176,80,3702,26,00:30:36,18,6817
5590,10434,Matt,Chrabot,USA,,1161,74,3710,21,00:30:57,19,6822
5590,7744,Ivan,Tutukin,RUS,,1180,72,3695,20,00:30:57,20,6824
5590,5662,Laurent,Vidal,FRA,,1159,70,3715,20,00:31:02,21,6827
5590,10539,Joao,Silva,POR,,1163,69,3717,20,00:31:01,22,6827
5590,6110,James,Seear,AUS,,1169,83,3698,20,00:31:01,23,6830
5590,5687,Mark,Fretta,USA,,1173,80,3702,25,00:30:55,24,6834
5590,5320,Sven,Riederer,SUI,,1170,77,3697,20,00:31:16,25,6840
5590,6226,Sebastian,Rank,GER,,1176,70,3699,21,00:31:15,26,6842
5590,13020,Chris,Foster,USA,,1195,73,3681,23,00:31:23,27,6854
5590,5296,Kris,Gemmell,NZL,,1163,70,3709,20,00:31:36,28,6859
5590,73138,Igor,Sysoev,RUS,,1172,80,3702,21,00:31:27,29,6860
5590,5750,Marek,Jaskolka,POL,,1172,82,3702,24,00:31:29,30,6867
5590,5931,Andreas,Giglmayr,AUT,,1169,72,3708,20,00:31:48,31,6876
5590,5713,Gareth,Halverson,AUS,,1172,70,3708,23,00:31:45,32,6878
5590,5776,Hiroki,Sugimoto,JPN,,1176,75,3704,21,00:31:43,33,6881
5590,10536,Joao,Pereira,POR,,1186,70,3695,21,00:31:51,34,6884
5590,5657,Ruedi,Wild,SUI,,1177,76,3693,20,00:32:04,35,6890
5590,5758,Kuniaki,Takahama,JPN,,1178,79,3699,24,00:31:55,36,6895
5590,6086,Martin,Van Barneveld,NZL,,1165,73,3714,24,00:32:02,37,6897
5590,6104,David,Matthews,AUS,,1173,74,3704,20,00:32:22,38,6911
5590,5958,Dan,Alterman,ISR,,1173,78,3706,23,00:32:23,39,6920
5590,5351,Daniel,Lee Chi Wo,HKG,,1187,70,3691,21,00:32:38,40,6926
5590,5355,Andriy,Glushchenko,UKR,,1173,82,3699,25,00:32:35,41,6931
5590,10871,Ethan,Brown,USA,,1184,76,3699,24,00:32:32,42,6935
5590,5654,Ryosuke,Yamamoto,JPN,,1168,78,3708,23,00:32:44,43,6939
5590,5321,Frederic,Belaubre,FRA,,1154,74,3722,23,00:32:54,44,6944
5590,5633,Vladimir,Turbayevskiy,RUS,,1165,82,3702,23,00:33:13,45,6964
5590,6777,Min Ho,Heo,KOR,,1169,69,3711,20,00:33:17,46,6965
5590,18173,Ju Seok,Kim,KOR,,1177,68,3710,21,00:33:57,47,7013
5590,5881,Duarte Silva,Marques,POR,,1169,70,3719,20,00:34:50,48,7069
5590,5327,Hirokatsu,Tayama,JPN,,1184,75,3694,23,00:35:07,49,7082
5590,5683,Clark,Ellice,NZL,,1244,68,3846,25,00:31:56,50,7098
5590,6541,Chang Yon,Lee,KOR,,1167,73,3717,24,00:35:55,51,7136
5590,5824,Christian,Prochnow,GER,,1163,76,3901,24,00:33:52,52,7196
5590,22570,Kohei,Shimomura,JPN,,1277,76,3844,23,00:32:59,53,7197
5590,6934,Luc,Van Es,NED,,1184,77,3878,24,00:34:37,54,7239
5590,17844,Soung Geun,Sin,KOR,,1277,75,3847,20,00:33:54,55,7252
