program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
5542,6150,Barbara,Riveros,CHI,19,1311,53,3925,23,00:35:45,1,7459
5542,6783,Andrea,Hewitt,NZL,3,1278,52,3962,20,00:35:44,2,7459
5542,5526,Emma,Moffatt,AUS,1,1287,50,3958,19,00:35:45,3,7460
5542,12786,Mariko,Adachi,JPN,23,1278,56,3961,23,00:35:50,4,7470
5542,6120,Lisa,Norden,SWE,2,1289,51,3947,21,00:36:17,5,7488
5542,5547,Kate,Roberts,RSA,31,1276,51,3965,21,00:36:13,6,7489
5542,5410,Jessica,Harrison,FRA,7,1282,51,3956,21,00:36:28,7,7501
5542,6210,Sarah,Haskins,USA,6,1267,52,3971,23,00:36:27,8,7501
5542,7766,Daniela,Ryf,SUI,4,1289,51,3951,22,00:36:32,9,7506
5542,7795,Vicky,Holland,GBR,38,1281,52,3959,19,00:36:42,10,7516
5542,5448,Felicity,Abram,AUS,37,1308,50,3940,22,00:36:42,11,7524
5542,5842,Liz,Blatchford,GBR,11,1282,54,3955,30,00:36:51,12,7533
5542,9742,Tomoko,Sonoda,JPN,29,1280,52,3963,25,00:36:58,13,7540
5542,5399,Laura,Bennett,USA,28,1265,53,3979,19,00:37:08,14,7546
5542,5573,Helen,Jenkins,GBR,5,1274,51,3966,24,00:37:20,15,7557
5542,5567,Debbie,Tanner,NZL,14,1282,54,3957,21,00:37:30,16,7567
5542,5398,Elizabeth,May,LUX,17,1286,51,3953,21,00:37:39,17,7572
5542,11385,Jodie,Stimpson,GBR,35,1276,52,3964,21,00:37:42,18,7578
5542,6246,Sarah,True,USA,12,1273,54,3972,22,00:37:48,19,7591
5542,5312,Anja,Dittmer,GER,8,1291,53,3949,23,00:38:01,20,7598
5542,6069,Nicky,Samuels,NZL,21,1289,53,3955,23,00:37:58,21,7600
5542,15483,Lisa,Mensink,CAN,33,1305,52,3939,23,00:37:59,22,7601
5542,6435,Jenna,Parker,USA,36,1304,51,3943,20,00:38:10,23,7610
5542,15747,Emma,Jackson,AUS,40,1291,53,3957,21,00:38:19,24,7623
5542,5564,Zita,Szabó,HUN,27,1302,54,3942,22,00:38:23,25,7625
5542,17003,Jillian,Petersen,USA,34,1306,54,3941,25,00:38:21,26,7629
5542,23837,Akane,Tsuchihashi,JPN,32,1277,53,3970,24,00:38:46,27,7652
5542,6122,Felicity,Sheedy-Ryan,AUS,30,1324,54,4088,28,00:36:21,28,7676
5542,10843,Vanessa,Raw,GBR,39,1292,58,3950,28,00:39:32,29,7702
5542,5571,Kathy,Tremblay,CAN,9,1288,51,3950,19,00:40:07,30,7717
5542,28197,Teresa,Adam,NZL,42,1268,54,3976,21,00:40:04,31,7725
5542,5376,Ainhoa,Murua Zubizarreta,ESP,20,1271,55,3966,22,00:40:29,32,7745
5542,15990,Ashley,Finaughty,ZIM,47,1285,52,3954,22,00:40:50,33,7766
5542,7817,Yuliya,Yelistratova,UKR,24,1326,51,4087,23,00:38:13,34,7781
5542,6706,Kathrin,Muller,GER,26,1298,52,4114,23,00:38:54,35,7824
5542,5576,Ai,Ueda,JPN,25,1361,51,4198,24,00:36:46,36,7842
5542,6434,Jasmine,Oeinck,USA,41,1287,55,3953,24,00:42:14,37,7855
5542,18592,Yuka,Sato,JPN,46,1278,55,4134,24,00:42:27,38,8040
5542,21851,Rebecca,Kingsford,NZL,43,1307,51,4108,20,00:43:23,39,8091
