time,player1,player2,result
2,11378,5695,1
2,11378,7788,1
2,11378,5718,1
2,11378,7743,1
2,11378,5662,1
2,11378,7778,1
2,11378,10539,1
2,11378,5824,1
2,11378,5851,1
2,11378,5711,1
2,11378,5305,1
2,11378,11060,1
2,11378,5320,1
2,11378,11818,1
2,11378,5657,1
2,11378,5332,1
2,11378,11143,1
2,11378,15944,1
2,11378,29442,1
2,11378,11508,1
2,11378,6236,1
2,11378,18719,1
2,11378,5879,1
2,11378,5683,1
2,11378,5747,1
2,11378,5321,1
2,11378,16392,1
2,11378,7501,1
2,11378,10141,1
2,11378,11803,1
2,11378,12814,1
2,11378,10767,1
2,11378,16030,1
2,11378,11162,1
2,11378,10858,1
2,11378,5776,1
2,11378,10575,1
2,11378,10017,1
2,11378,6087,1
2,11378,5624,1
2,11378,10100,1
2,11378,7745,1
2,11378,11315,1
2,11378,15371,1
2,11378,40452,1
2,11378,10955,1
2,11378,6777,1
2,11378,13363,1
2,11378,5551,1
2,11378,11499,1
2,11378,11402,1
2,11378,10938,1
2,11378,5651,1
2,11378,6086,1
2,11378,10166,1
2,11378,15981,1
2,11378,30458,1
2,11378,39824,1
2,11378,5310,1
2,11378,5633,1
2,11378,11871,1
2,11378,6488,1
2,11378,29903,1
2,11378,10943,1
2,11378,5687,1
2,11378,6556,1
2,11378,16522,1
2,11378,12773,1
2,11378,18576,1
2,11378,6241,1
2,11378,7747,1
2,11378,6110,1
2,11378,6899,1
2,11378,11092,1
2,5695,7788,1
2,5695,5718,1
2,5695,7743,1
2,5695,5662,1
2,5695,7778,1
2,5695,10539,1
2,5695,5824,1
2,5695,5851,1
2,5695,5711,1
2,5695,5305,1
2,5695,11060,1
2,5695,5320,1
2,5695,11818,1
2,5695,5657,1
2,5695,5332,1
2,5695,11143,1
2,5695,15944,1
2,5695,29442,1
2,5695,11508,1
2,5695,6236,1
2,5695,18719,1
2,5695,5879,1
2,5695,5683,1
2,5695,5747,1
2,5695,5321,1
2,5695,16392,1
2,5695,7501,1
2,5695,10141,1
2,5695,11803,1
2,5695,12814,1
2,5695,10767,1
2,5695,16030,1
2,5695,11162,1
2,5695,10858,1
2,5695,5776,1
2,5695,10575,1
2,5695,10017,1
2,5695,6087,1
2,5695,5624,1
2,5695,10100,1
2,5695,7745,1
2,5695,11315,1
2,5695,15371,1
2,5695,40452,1
2,5695,10955,1
2,5695,6777,1
2,5695,13363,1
2,5695,5551,1
2,5695,11499,1
2,5695,11402,1
2,5695,10938,1
2,5695,5651,1
2,5695,6086,1
2,5695,10166,1
2,5695,15981,1
2,5695,30458,1
2,5695,39824,1
2,5695,5310,1
2,5695,5633,1
2,5695,11871,1
2,5695,6488,1
2,5695,29903,1
2,5695,10943,1
2,5695,5687,1
2,5695,6556,1
2,5695,16522,1
2,5695,12773,1
2,5695,18576,1
2,5695,6241,1
2,5695,7747,1
2,5695,6110,1
2,5695,6899,1
2,5695,11092,1
2,7788,5718,1
2,7788,7743,1
2,7788,5662,1
2,7788,7778,1
2,7788,10539,1
2,7788,5824,1
2,7788,5851,1
2,7788,5711,1
2,7788,5305,1
2,7788,11060,1
2,7788,5320,1
2,7788,11818,1
2,7788,5657,1
2,7788,5332,1
2,7788,11143,1
2,7788,15944,1
2,7788,29442,1
2,7788,11508,1
2,7788,6236,1
2,7788,18719,1
2,7788,5879,1
2,7788,5683,1
2,7788,5747,1
2,7788,5321,1
2,7788,16392,1
2,7788,7501,1
2,7788,10141,1
2,7788,11803,1
2,7788,12814,1
2,7788,10767,1
2,7788,16030,1
2,7788,11162,1
2,7788,10858,1
2,7788,5776,1
2,7788,10575,1
2,7788,10017,1
2,7788,6087,1
2,7788,5624,1
2,7788,10100,1
2,7788,7745,1
2,7788,11315,1
2,7788,15371,1
2,7788,40452,1
2,7788,10955,1
2,7788,6777,1
2,7788,13363,1
2,7788,5551,1
2,7788,11499,1
2,7788,11402,1
2,7788,10938,1
2,7788,5651,1
2,7788,6086,1
2,7788,10166,1
2,7788,15981,1
2,7788,30458,1
2,7788,39824,1
2,7788,5310,1
2,7788,5633,1
2,7788,11871,1
2,7788,6488,1
2,7788,29903,1
2,7788,10943,1
2,7788,5687,1
2,7788,6556,1
2,7788,16522,1
2,7788,12773,1
2,7788,18576,1
2,7788,6241,1
2,7788,7747,1
2,7788,6110,1
2,7788,6899,1
2,7788,11092,1
2,5718,7743,1
2,5718,5662,1
2,5718,7778,1
2,5718,10539,1
2,5718,5824,1
2,5718,5851,1
2,5718,5711,1
2,5718,5305,1
2,5718,11060,1
2,5718,5320,1
2,5718,11818,1
2,5718,5657,1
2,5718,5332,1
2,5718,11143,1
