time,player1,player2,result
1,12674,6150,1
1,12674,6783,1
1,12674,5539,1
1,12674,9742,1
1,12674,5399,1
1,12674,5576,1
1,12674,5842,1
1,12674,6120,1
1,12674,5476,1
1,12674,15483,1
1,12674,7795,1
1,12674,5526,1
1,12674,7766,1
1,12674,5448,1
1,12674,5312,1
1,12674,5943,1
1,12674,5398,1
1,12674,12786,1
1,12674,17003,1
1,12674,5567,1
1,12674,5410,1
1,12674,11385,1
1,12674,15747,1
1,12674,6962,1
1,12674,17143,1
1,12674,6848,1
1,12674,6069,1
1,12674,7817,1
1,12674,9852,1
1,12674,29097,1
1,12674,7757,1
1,12674,5573,1
1,12674,5571,1
1,12674,11141,1
1,12674,6224,1
1,12674,5467,1
1,12674,6963,1
1,12674,11343,1
1,12674,7771,1
1,12674,6122,1
1,12674,5530,1
1,12674,5517,1
1,12674,7646,1
1,12674,22171,1
1,12674,7773,1
1,12674,18592,1
1,12674,22170,1
1,12674,5446,1
1,12674,7525,1
1,12674,18767,1
1,12674,5396,1
1,12674,11018,1
1,12674,5547,1
1,12674,31943,1
1,12674,21486,1
1,6150,6783,1
1,6150,5539,1
1,6150,9742,1
1,6150,5399,1
1,6150,5576,1
1,6150,5842,1
1,6150,6120,1
1,6150,5476,1
1,6150,15483,1
1,6150,7795,1
1,6150,5526,1
1,6150,7766,1
1,6150,5448,1
1,6150,5312,1
1,6150,5943,1
1,6150,5398,1
1,6150,12786,1
1,6150,17003,1
1,6150,5567,1
1,6150,5410,1
1,6150,11385,1
1,6150,15747,1
1,6150,6962,1
1,6150,17143,1
1,6150,6848,1
1,6150,6069,1
1,6150,7817,1
1,6150,9852,1
1,6150,29097,1
1,6150,7757,1
1,6150,5573,1
1,6150,5571,1
1,6150,11141,1
1,6150,6224,1
1,6150,5467,1
1,6150,6963,1
1,6150,11343,1
1,6150,7771,1
1,6150,6122,1
1,6150,5530,1
1,6150,5517,1
1,6150,7646,1
1,6150,22171,1
1,6150,7773,1
1,6150,18592,1
1,6150,22170,1
1,6150,5446,1
1,6150,7525,1
1,6150,18767,1
1,6150,5396,1
1,6150,11018,1
1,6150,5547,1
1,6150,31943,1
1,6150,21486,1
1,6783,5539,1
1,6783,9742,1
1,6783,5399,1
1,6783,5576,1
1,6783,5842,1
1,6783,6120,1
1,6783,5476,1
1,6783,15483,1
1,6783,7795,1
1,6783,5526,1
1,6783,7766,1
1,6783,5448,1
1,6783,5312,1
1,6783,5943,1
1,6783,5398,1
1,6783,12786,1
1,6783,17003,1
1,6783,5567,1
1,6783,5410,1
1,6783,11385,1
1,6783,15747,1
1,6783,6962,1
1,6783,17143,1
1,6783,6848,1
1,6783,6069,1
1,6783,7817,1
1,6783,9852,1
1,6783,29097,1
1,6783,7757,1
1,6783,5573,1
1,6783,5571,1
1,6783,11141,1
1,6783,6224,1
1,6783,5467,1
1,6783,6963,1
1,6783,11343,1
1,6783,7771,1
1,6783,6122,1
1,6783,5530,1
1,6783,5517,1
1,6783,7646,1
1,6783,22171,1
1,6783,7773,1
