time,player1,player2,result
32,6783,5573,1
32,6783,6848,1
32,6783,6120,1
32,6783,5399,1
32,6783,8739,1
32,6783,5410,1
32,6783,5842,1
32,6783,7776,1
32,6783,6246,1
32,6783,5526,1
32,6783,15747,1
32,6783,5448,1
32,6783,5376,1
32,6783,39683,1
32,6783,22170,1
32,6783,5530,1
32,6783,21978,1
32,6783,5560,1
32,6783,5372,1
32,6783,9742,1
32,6783,17143,1
32,6783,12785,1
32,6783,5398,1
32,6783,5567,1
32,6783,12786,1
32,6783,5369,1
32,6783,5452,1
32,6783,7646,1
32,6783,6963,1
32,6783,5571,1
32,6783,23837,1
32,6783,6069,1
32,6783,11385,1
32,6783,5548,1
32,6783,18592,1
32,6783,14196,1
32,6783,6706,1
32,6783,6224,1
32,6783,11141,1
32,6783,7773,1
32,6783,5547,1
32,6783,15515,1
32,6783,6150,1
32,6783,9345,1
32,6783,5943,1
32,6783,9852,1
32,6783,7771,1
32,6783,5312,1
32,6783,5576,1
32,6783,6962,1
32,6783,30295,1
32,6783,18767,1
32,6783,11879,1
32,6783,17003,1
32,6783,10916,1
32,6783,7795,1
32,6783,6357,1
32,6783,5396,1
32,6783,29097,1
32,6783,16889,1
32,6783,5486,1
32,6783,6336,1
32,6783,10930,1
32,6783,6122,1
32,6783,29391,1
32,6783,9939,1
32,6783,15483,1
32,6783,12674,1
32,5573,6848,1
32,5573,6120,1
32,5573,5399,1
32,5573,8739,1
32,5573,5410,1
32,5573,5842,1
32,5573,7776,1
32,5573,6246,1
32,5573,5526,1
32,5573,15747,1
32,5573,5448,1
32,5573,5376,1
32,5573,39683,1
32,5573,22170,1
32,5573,5530,1
32,5573,21978,1
32,5573,5560,1
32,5573,5372,1
32,5573,9742,1
32,5573,17143,1
32,5573,12785,1
32,5573,5398,1
32,5573,5567,1
32,5573,12786,1
32,5573,5369,1
32,5573,5452,1
32,5573,7646,1
32,5573,6963,1
32,5573,5571,1
32,5573,23837,1
32,5573,6069,1
32,5573,11385,1
32,5573,5548,1
32,5573,18592,1
32,5573,14196,1
32,5573,6706,1
32,5573,6224,1
32,5573,11141,1
32,5573,7773,1
32,5573,5547,1
32,5573,15515,1
32,5573,6150,1
