time,player1,player2,result
31,6150,15747,1
31,6150,6783,1
31,6150,5573,1
31,6150,15744,1
31,6150,40887,1
31,6150,6246,1
31,6150,6120,1
31,6150,11141,1
31,6150,5448,1
31,6150,7773,1
31,6150,5312,1
31,6150,22170,1
31,6150,17143,1
31,6150,7781,1
31,6150,5372,1
31,6150,5376,1
31,6150,11385,1
31,6150,7795,1
31,6150,6357,1
31,6150,6848,1
31,6150,6069,1
31,6150,5560,1
31,6150,5526,1
31,6150,6962,1
31,6150,12801,1
31,6150,14196,1
31,6150,6706,1
31,6150,11879,1
31,6150,10930,1
31,6150,7771,1
31,6150,18721,1
31,6150,6122,1
31,6150,15515,1
31,6150,39876,1
31,6150,7757,1
31,6150,15483,1
31,6150,72291,1
31,6150,6338,1
31,6150,25560,1
31,6150,11281,1
31,6150,7013,1
31,6150,17670,1
31,6150,6336,1
31,6150,26478,1
31,6150,18592,1
31,6150,22243,1
31,6150,11424,1
31,6150,11316,1
31,6150,25176,1
31,6150,12804,1
31,6150,40842,1
31,6150,21851,1
31,6150,16708,1
31,6150,5319,1
31,6150,12728,1
31,6150,17356,1
31,6150,47221,1
31,6150,21171,1
31,6150,15346,1
31,6150,9925,1
31,6150,16285,1
31,6150,5410,1
31,6150,9345,1
31,6150,31438,1
31,6150,5486,1
31,6150,39136,1
31,6150,11157,1
31,6150,6526,1
31,6150,18335,1
31,6150,75637,1
31,15747,6783,1
31,15747,5573,1
31,15747,15744,1
31,15747,40887,1
31,15747,6246,1
31,15747,6120,1
31,15747,11141,1
31,15747,5448,1
31,15747,7773,1
31,15747,5312,1
31,15747,22170,1
31,15747,17143,1
31,15747,7781,1
31,15747,5372,1
31,15747,5376,1
31,15747,11385,1
31,15747,7795,1
31,15747,6357,1
31,15747,6848,1
31,15747,6069,1
31,15747,5560,1
31,15747,5526,1
31,15747,6962,1
31,15747,12801,1
31,15747,14196,1
31,15747,6706,1
31,15747,11879,1
31,15747,10930,1
31,15747,7771,1
31,15747,18721,1
31,15747,6122,1
31,15747,15515,1
31,15747,39876,1
31,15747,7757,1
31,15747,15483,1
31,15747,72291,1
31,15747,6338,1
31,15747,25560,1
31,15747,11281,1
31,15747,7013,1
31,15747,17670,1
31,15747,6336,1
31,15747,26478,1
31,15747,18592,1
31,15747,22243,1
31,15747,11424,1
31,15747,11316,1
31,15747,25176,1
31,15747,12804,1
31,15747,40842,1
31,15747,21851,1
31,15747,16708,1
31,15747,5319,1
31,15747,12728,1
31,15747,17356,1
31,15747,47221,1
31,15747,21171,1
31,15747,15346,1
31,15747,9925,1
31,15747,16285,1
31,15747,5410,1
31,15747,9345,1
31,15747,31438,1
31,15747,5486,1
31,15747,39136,1
31,15747,11157,1
31,15747,6526,1
