time,player1,player2,result
28,7788,7743,1
28,7788,5320,1
28,7788,6560,1
28,7788,5711,1
28,7788,5662,1
28,7788,5633,1
28,7788,7747,1
28,7788,11143,1
28,7788,5297,1
28,7788,11402,1
28,7788,5929,1
28,7788,5359,1
28,7788,11060,1
28,7788,5718,1
28,7788,5742,1
28,7788,12431,1
28,7788,5683,1
28,7788,5756,1
28,7788,5851,1
28,7788,5332,1
28,7788,10213,1
28,7788,5931,1
28,7788,5864,1
28,7788,5298,1
28,7788,5657,1
28,7788,5638,1
28,7788,6236,1
28,7788,5310,1
28,7788,7745,1
28,7788,5651,1
28,7788,6559,1
28,7788,5881,1
28,7788,5654,1
28,7788,5306,1
28,7788,6226,1
28,7788,10434,1
28,7788,10575,1
28,7788,5340,1
28,7788,5331,1
28,7788,9917,1
28,7788,5694,1
28,7788,5883,1
28,7788,6110,1
28,7788,7744,1
28,7788,5305,1
28,7788,5958,1
28,7788,12814,1
28,7788,7702,1
28,7788,5878,1
28,7788,5722,1
28,7788,5644,1
28,7788,7778,1
28,7788,5687,1
28,7788,5591,1
28,7788,10858,1
28,7788,5620,1
28,7788,7503,1
28,7788,5747,1
28,7788,7145,1
28,7788,5814,1
28,7788,5349,1
28,7788,5327,1
28,7788,5302,1
28,7743,5320,1
28,7743,6560,1
28,7743,5711,1
28,7743,5662,1
28,7743,5633,1
28,7743,7747,1
28,7743,11143,1
28,7743,5297,1
28,7743,11402,1
28,7743,5929,1
28,7743,5359,1
28,7743,11060,1
28,7743,5718,1
28,7743,5742,1
28,7743,12431,1
28,7743,5683,1
28,7743,5756,1
28,7743,5851,1
28,7743,5332,1
28,7743,10213,1
28,7743,5931,1
28,7743,5864,1
28,7743,5298,1
28,7743,5657,1
28,7743,5638,1
28,7743,6236,1
28,7743,5310,1
28,7743,7745,1
28,7743,5651,1
28,7743,6559,1
28,7743,5881,1
28,7743,5654,1
28,7743,5306,1
28,7743,6226,1
28,7743,10434,1
28,7743,10575,1
28,7743,5340,1
28,7743,5331,1
28,7743,9917,1
28,7743,5694,1
28,7743,5883,1
28,7743,6110,1
28,7743,7744,1
28,7743,5305,1
28,7743,5958,1
28,7743,12814,1
28,7743,7702,1
28,7743,5878,1
28,7743,5722,1
28,7743,5644,1
28,7743,7778,1
28,7743,5687,1
28,7743,5591,1
28,7743,10858,1
28,7743,5620,1
28,7743,7503,1
28,7743,5747,1
28,7743,7145,1
28,7743,5814,1
28,7743,5349,1
28,7743,5327,1
28,7743,5302,1
28,5320,6560,1
28,5320,5711,1
28,5320,5662,1
28,5320,5633,1
28,5320,7747,1
28,5320,11143,1
28,5320,5297,1
28,5320,11402,1
28,5320,5929,1
28,5320,5359,1
28,5320,11060,1
28,5320,5718,1
28,5320,5742,1
28,5320,12431,1
28,5320,5683,1
28,5320,5756,1
28,5320,5851,1
28,5320,5332,1
28,5320,10213,1
28,5320,5931,1
28,5320,5864,1
28,5320,5298,1
28,5320,5657,1
28,5320,5638,1
28,5320,6236,1
28,5320,5310,1
28,5320,7745,1
28,5320,5651,1
28,5320,6559,1
28,5320,5881,1
28,5320,5654,1
28,5320,5306,1
28,5320,6226,1
28,5320,10434,1
28,5320,10575,1
28,5320,5340,1
28,5320,5331,1
28,5320,9917,1
28,5320,5694,1
28,5320,5883,1
28,5320,6110,1
28,5320,7744,1
28,5320,5305,1
28,5320,5958,1
28,5320,12814,1
28,5320,7702,1
28,5320,5878,1
28,5320,5722,1
28,5320,5644,1
28,5320,7778,1
28,5320,5687,1
28,5320,5591,1
28,5320,10858,1
28,5320,5620,1
28,5320,7503,1
28,5320,5747,1
28,5320,7145,1
28,5320,5814,1
28,5320,5349,1
28,5320,5327,1
28,5320,5302,1
28,6560,5711,1
28,6560,5662,1
28,6560,5633,1
28,6560,7747,1
28,6560,11143,1
28,6560,5297,1
28,6560,11402,1
28,6560,5929,1
28,6560,5359,1
28,6560,11060,1
28,6560,5718,1
28,6560,5742,1
28,6560,12431,1
28,6560,5683,1
28,6560,5756,1
28,6560,5851,1
28,6560,5332,1
28,6560,10213,1
28,6560,5931,1
28,6560,5864,1
28,6560,5298,1
28,6560,5657,1
28,6560,5638,1
28,6560,6236,1
28,6560,5310,1
28,6560,7745,1
28,6560,5651,1
28,6560,6559,1
