time,player1,player2,result
33,6783,5526,1
33,6783,8739,1
33,6783,21978,1
33,6783,15747,1
33,6783,5573,1
33,6783,6120,1
33,6783,5576,1
33,6783,5369,1
33,6783,12785,1
33,6783,22170,1
33,6783,7795,1
33,6783,5398,1
33,6783,6122,1
33,6783,5547,1
33,6783,5548,1
33,6783,5943,1
33,6783,11385,1
33,6783,11343,1
33,6783,11133,1
33,6783,9939,1
33,6783,6962,1
33,6783,5452,1
33,6783,9345,1
33,6783,5372,1
33,6783,5365,1
33,6783,7757,1
33,6783,30295,1
33,6783,23837,1
33,6783,15483,1
33,6783,21486,1
33,6783,18767,1
33,6783,6069,1
33,6783,6963,1
33,6783,18592,1
33,6783,6224,1
33,6783,11084,1
33,6783,31438,1
33,6783,6336,1
33,6783,9742,1
33,6783,39876,1
33,6783,11316,1
33,6783,17003,1
33,6783,6706,1
33,6783,6357,1
33,6783,25560,1
33,6783,11157,1
33,6783,6852,1
33,6783,18721,1
33,6783,29391,1
33,6783,7817,1
33,6783,11321,1
33,6783,5571,1
33,6783,5567,1
33,6783,12786,1
33,5526,8739,1
33,5526,21978,1
33,5526,15747,1
33,5526,5573,1
33,5526,6120,1
33,5526,5576,1
33,5526,5369,1
33,5526,12785,1
33,5526,22170,1
33,5526,7795,1
33,5526,5398,1
33,5526,6122,1
33,5526,5547,1
33,5526,5548,1
33,5526,5943,1
33,5526,11385,1
33,5526,11343,1
33,5526,11133,1
33,5526,9939,1
33,5526,6962,1
33,5526,5452,1
33,5526,9345,1
33,5526,5372,1
33,5526,5365,1
33,5526,7757,1
33,5526,30295,1
33,5526,23837,1
33,5526,15483,1
33,5526,21486,1
33,5526,18767,1
33,5526,6069,1
33,5526,6963,1
33,5526,18592,1
33,5526,6224,1
33,5526,11084,1
33,5526,31438,1
33,5526,6336,1
33,5526,9742,1
33,5526,39876,1
33,5526,11316,1
33,5526,17003,1
33,5526,6706,1
33,5526,6357,1
33,5526,25560,1
33,5526,11157,1
33,5526,6852,1
33,5526,18721,1
33,5526,29391,1
33,5526,7817,1
33,5526,11321,1
33,5526,5571,1
33,5526,5567,1
33,5526,12786,1
33,8739,21978,1
33,8739,15747,1
33,8739,5573,1
33,8739,6120,1
33,8739,5576,1
33,8739,5369,1
33,8739,12785,1
33,8739,22170,1
33,8739,7795,1
33,8739,5398,1
33,8739,6122,1
33,8739,5547,1
33,8739,5548,1
33,8739,5943,1
33,8739,11385,1
33,8739,11343,1
33,8739,11133,1
33,8739,9939,1
33,8739,6962,1
33,8739,5452,1
33,8739,9345,1
33,8739,5372,1
33,8739,5365,1
33,8739,7757,1
33,8739,30295,1
33,8739,23837,1
33,8739,15483,1
33,8739,21486,1
33,8739,18767,1
33,8739,6069,1
33,8739,6963,1
33,8739,18592,1
33,8739,6224,1
33,8739,11084,1
33,8739,31438,1
33,8739,6336,1
33,8739,9742,1
33,8739,39876,1
33,8739,11316,1
33,8739,17003,1
33,8739,6706,1
33,8739,6357,1
33,8739,25560,1
33,8739,11157,1
33,8739,6852,1
33,8739,18721,1
33,8739,29391,1
33,8739,7817,1
33,8739,11321,1
33,8739,5571,1
33,8739,5567,1
33,8739,12786,1
33,21978,15747,1
33,21978,5573,1
33,21978,6120,1
33,21978,5576,1
33,21978,5369,1
33,21978,12785,1
33,21978,22170,1
33,21978,7795,1
33,21978,5398,1
33,21978,6122,1
33,21978,5547,1
33,21978,5548,1
33,21978,5943,1
33,21978,11385,1
33,21978,11343,1
33,21978,11133,1
33,21978,9939,1
33,21978,6962,1
33,21978,5452,1
33,21978,9345,1
33,21978,5372,1
33,21978,5365,1
33,21978,7757,1
33,21978,30295,1
33,21978,23837,1
33,21978,15483,1
33,21978,21486,1
33,21978,18767,1
33,21978,6069,1
33,21978,6963,1
33,21978,18592,1
33,21978,6224,1
33,21978,11084,1
33,21978,31438,1
33,21978,6336,1
33,21978,9742,1
33,21978,39876,1
33,21978,11316,1
33,21978,17003,1
33,21978,6706,1
33,21978,6357,1
33,21978,25560,1
33,21978,11157,1
33,21978,6852,1
33,21978,18721,1
33,21978,29391,1
33,21978,7817,1
33,21978,11321,1
33,21978,5571,1
33,21978,5567,1
33,21978,12786,1
33,15747,5573,1
33,15747,6120,1
33,15747,5576,1
33,15747,5369,1
33,15747,12785,1
33,15747,22170,1
33,15747,7795,1
33,15747,5398,1
33,15747,6122,1
33,15747,5547,1
33,15747,5548,1
33,15747,5943,1
33,15747,11385,1
33,15747,11343,1
33,15747,11133,1
33,15747,9939,1
33,15747,6962,1
33,15747,5452,1
