time,player1,player2,result
33,10539,7743,1
33,10539,7747,1
33,10539,5302,1
33,10539,10434,1
33,10539,5657,1
33,10539,32470,1
33,10539,5305,1
33,10539,5348,1
33,10539,5742,1
33,10539,5320,1
33,10539,5776,1
33,10539,11818,1
33,10539,5624,1
33,10539,15944,1
33,10539,10554,1
33,10539,10536,1
33,10539,7786,1
33,10539,12431,1
33,10539,7002,1
33,10539,5651,1
33,10539,5958,1
33,10539,11803,1
33,10539,6707,1
33,10539,22570,1
33,10539,6442,1
33,10539,6236,1
33,10539,11499,1
33,10539,5931,1
33,10539,7145,1
33,10539,10575,1
33,10539,29442,1
33,10539,5814,1
33,10539,5654,1
33,10539,7744,1
33,10539,11535,1
33,10539,5707,1
33,10539,5750,1
33,10539,5755,1
33,10539,18576,1
33,10539,10767,1
33,10539,6899,1
33,10539,6087,1
33,10539,5758,1
33,10539,6227,1
33,10539,23719,1
33,10539,5829,1
33,10539,5349,1
33,10539,6050,1
33,10539,5633,1
33,10539,5327,1
33,10539,5728,1
33,10539,5687,1
33,10539,5959,1
33,10539,10955,1
33,10539,5297,1
33,10539,5669,1
33,10539,5310,1
33,10539,6202,1
33,10539,11351,1
33,10539,5756,1
33,10539,11402,1
33,10539,5942,1
33,10539,5306,1
33,10539,5883,1
33,7743,7747,1
33,7743,5302,1
33,7743,10434,1
33,7743,5657,1
33,7743,32470,1
33,7743,5305,1
33,7743,5348,1
33,7743,5742,1
33,7743,5320,1
33,7743,5776,1
33,7743,11818,1
33,7743,5624,1
33,7743,15944,1
33,7743,10554,1
33,7743,10536,1
33,7743,7786,1
33,7743,12431,1
33,7743,7002,1
33,7743,5651,1
33,7743,5958,1
33,7743,11803,1
33,7743,6707,1
33,7743,22570,1
33,7743,6442,1
33,7743,6236,1
33,7743,11499,1
33,7743,5931,1
33,7743,7145,1
33,7743,10575,1
33,7743,29442,1
33,7743,5814,1
33,7743,5654,1
33,7743,7744,1
33,7743,11535,1
33,7743,5707,1
33,7743,5750,1
33,7743,5755,1
33,7743,18576,1
33,7743,10767,1
33,7743,6899,1
33,7743,6087,1
33,7743,5758,1
33,7743,6227,1
33,7743,23719,1
33,7743,5829,1
33,7743,5349,1
33,7743,6050,1
33,7743,5633,1
33,7743,5327,1
33,7743,5728,1
33,7743,5687,1
33,7743,5959,1
33,7743,10955,1
33,7743,5297,1
33,7743,5669,1
33,7743,5310,1
33,7743,6202,1
33,7743,11351,1
33,7743,5756,1
33,7743,11402,1
33,7743,5942,1
33,7743,5306,1
33,7743,5883,1
33,7747,5302,1
33,7747,10434,1
33,7747,5657,1
33,7747,32470,1
33,7747,5305,1
33,7747,5348,1
33,7747,5742,1
33,7747,5320,1
33,7747,5776,1
33,7747,11818,1
33,7747,5624,1
33,7747,15944,1
33,7747,10554,1
33,7747,10536,1
33,7747,7786,1
33,7747,12431,1
33,7747,7002,1
33,7747,5651,1
33,7747,5958,1
33,7747,11803,1
33,7747,6707,1
33,7747,22570,1
33,7747,6442,1
33,7747,6236,1
33,7747,11499,1
33,7747,5931,1
33,7747,7145,1
33,7747,10575,1
33,7747,29442,1
33,7747,5814,1
33,7747,5654,1
33,7747,7744,1
33,7747,11535,1
33,7747,5707,1
33,7747,5750,1
33,7747,5755,1
33,7747,18576,1
33,7747,10767,1
33,7747,6899,1
33,7747,6087,1
33,7747,5758,1
33,7747,6227,1
33,7747,23719,1
33,7747,5829,1
33,7747,5349,1
33,7747,6050,1
33,7747,5633,1
33,7747,5327,1
33,7747,5728,1
33,7747,5687,1
33,7747,5959,1
33,7747,10955,1
33,7747,5297,1
33,7747,5669,1
33,7747,5310,1
33,7747,6202,1
33,7747,11351,1
33,7747,5756,1
33,7747,11402,1
33,7747,5942,1
33,7747,5306,1
33,7747,5883,1
33,5302,10434,1
33,5302,5657,1
33,5302,32470,1
33,5302,5305,1
33,5302,5348,1
33,5302,5742,1
33,5302,5320,1
33,5302,5776,1
33,5302,11818,1
33,5302,5624,1
33,5302,15944,1
33,5302,10554,1
33,5302,10536,1
33,5302,7786,1
33,5302,12431,1
33,5302,7002,1
33,5302,5651,1
33,5302,5958,1
33,5302,11803,1
33,5302,6707,1
33,5302,22570,1
33,5302,6442,1
33,5302,6236,1
33,5302,11499,1
33,5302,5931,1
33,5302,7145,1
33,5302,10575,1
33,5302,29442,1
33,5302,5814,1
33,5302,5654,1
33,5302,7744,1
33,5302,11535,1
33,5302,5707,1
33,5302,5750,1
33,5302,5755,1
33,5302,18576,1
33,5302,10767,1
33,5302,6899,1
33,5302,6087,1
33,5302,5758,1
33,5302,6227,1
33,5302,23719,1
33,5302,5829,1
33,5302,5349,1
33,5302,6050,1
33,5302,5633,1
33,5302,5327,1
33,5302,5728,1
33,5302,5687,1
33,5302,5959,1
33,5302,10955,1
33,5302,5297,1
33,5302,5669,1
33,5302,5310,1
33,5302,6202,1
33,5302,11351,1
33,5302,5756,1
33,5302,11402,1
33,5302,5942,1
33,5302,5306,1
33,5302,5883,1
33,10434,5657,1
33,10434,32470,1
33,10434,5305,1
33,10434,5348,1
33,10434,5742,1
33,10434,5320,1
33,10434,5776,1
33,10434,11818,1
33,10434,5624,1
33,10434,15944,1
33,10434,10554,1
33,10434,10536,1
33,10434,7786,1
33,10434,12431,1
33,10434,7002,1
33,10434,5651,1
33,10434,5958,1
33,10434,11803,1
33,10434,6707,1
33,10434,22570,1
33,10434,6442,1
33,10434,6236,1
33,10434,11499,1
33,10434,5931,1
33,10434,7145,1
33,10434,10575,1
33,10434,29442,1
33,10434,5814,1
33,10434,5654,1
33,10434,7744,1
33,10434,11535,1
33,10434,5707,1
33,10434,5750,1
33,10434,5755,1
33,10434,18576,1
33,10434,10767,1
33,10434,6899,1
33,10434,6087,1
33,10434,5758,1
33,10434,6227,1
33,10434,23719,1
33,10434,5829,1
33,10434,5349,1
33,10434,6050,1
33,10434,5633,1
33,10434,5327,1
33,10434,5728,1
33,10434,5687,1
33,10434,5959,1
33,10434,10955,1
33,10434,5297,1
33,10434,5669,1
33,10434,5310,1
33,10434,6202,1
33,10434,11351,1
33,10434,5756,1
33,10434,11402,1
33,10434,5942,1
33,10434,5306,1
33,10434,5883,1
33,5657,32470,1
33,5657,5305,1
33,5657,5348,1
33,5657,5742,1
33,5657,5320,1
33,5657,5776,1
33,5657,11818,1
33,5657,5624,1
33,5657,15944,1
33,5657,10554,1
33,5657,10536,1
33,5657,7786,1
33,5657,12431,1
33,5657,7002,1
33,5657,5651,1
33,5657,5958,1
33,5657,11803,1
33,5657,6707,1
33,5657,22570,1
33,5657,6442,1
33,5657,6236,1
33,5657,11499,1
33,5657,5931,1
33,5657,7145,1
33,5657,10575,1
33,5657,29442,1
33,5657,5814,1
33,5657,5654,1
33,5657,7744,1
33,5657,11535,1
33,5657,5707,1
33,5657,5750,1
33,5657,5755,1
33,5657,18576,1
33,5657,10767,1
33,5657,6899,1
33,5657,6087,1
33,5657,5758,1
33,5657,6227,1
33,5657,23719,1
33,5657,5829,1
33,5657,5349,1
33,5657,6050,1
33,5657,5633,1
33,5657,5327,1
33,5657,5728,1
33,5657,5687,1
33,5657,5959,1
33,5657,10955,1
33,5657,5297,1
33,5657,5669,1
33,5657,5310,1
33,5657,6202,1
33,5657,11351,1
33,5657,5756,1
33,5657,11402,1
33,5657,5942,1
33,5657,5306,1
33,5657,5883,1
33,32470,5305,1
33,32470,5348,1
33,32470,5742,1
33,32470,5320,1
33,32470,5776,1
33,32470,11818,1
33,32470,5624,1
33,32470,15944,1
33,32470,10554,1
33,32470,10536,1
33,32470,7786,1
33,32470,12431,1
33,32470,7002,1
33,32470,5651,1
33,32470,5958,1
33,32470,11803,1
33,32470,6707,1
33,32470,22570,1
33,32470,6442,1
33,32470,6236,1
33,32470,11499,1
33,32470,5931,1
33,32470,7145,1
33,32470,10575,1
33,32470,29442,1
33,32470,5814,1
33,32470,5654,1
33,32470,7744,1
33,32470,11535,1
33,32470,5707,1
33,32470,5750,1
33,32470,5755,1
33,32470,18576,1
33,32470,10767,1
33,32470,6899,1
33,32470,6087,1
33,32470,5758,1
33,32470,6227,1
33,32470,23719,1
33,32470,5829,1
33,32470,5349,1
33,32470,6050,1
33,32470,5633,1
33,32470,5327,1
33,32470,5728,1
33,32470,5687,1
33,32470,5959,1
33,32470,10955,1
33,32470,5297,1
33,32470,5669,1
33,32470,5310,1
33,32470,6202,1
33,32470,11351,1
33,32470,5756,1
33,32470,11402,1
33,32470,5942,1
33,32470,5306,1
33,32470,5883,1
33,5305,5348,1
33,5305,5742,1
33,5305,5320,1
33,5305,5776,1
33,5305,11818,1
33,5305,5624,1
33,5305,15944,1
33,5305,10554,1
33,5305,10536,1
33,5305,7786,1
33,5305,12431,1
33,5305,7002,1
33,5305,5651,1
33,5305,5958,1
33,5305,11803,1
33,5305,6707,1
33,5305,22570,1
33,5305,6442,1
33,5305,6236,1
33,5305,11499,1
33,5305,5931,1
33,5305,7145,1
33,5305,10575,1
33,5305,29442,1
33,5305,5814,1
33,5305,5654,1
33,5305,7744,1
33,5305,11535,1
33,5305,5707,1
33,5305,5750,1
33,5305,5755,1
33,5305,18576,1
33,5305,10767,1
33,5305,6899,1
33,5305,6087,1
33,5305,5758,1
33,5305,6227,1
33,5305,23719,1
33,5305,5829,1
33,5305,5349,1
33,5305,6050,1
33,5305,5633,1
33,5305,5327,1
33,5305,5728,1
33,5305,5687,1
33,5305,5959,1
33,5305,10955,1
33,5305,5297,1
33,5305,5669,1
33,5305,5310,1
33,5305,6202,1
33,5305,11351,1
33,5305,5756,1
33,5305,11402,1
33,5305,5942,1
33,5305,5306,1
33,5305,5883,1
33,5348,5742,1
33,5348,5320,1
33,5348,5776,1
33,5348,11818,1
33,5348,5624,1
33,5348,15944,1
33,5348,10554,1
33,5348,10536,1
33,5348,7786,1
33,5348,12431,1
33,5348,7002,1
33,5348,5651,1
33,5348,5958,1
33,5348,11803,1
33,5348,6707,1
33,5348,22570,1
33,5348,6442,1
33,5348,6236,1
33,5348,11499,1
33,5348,5931,1
