program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6783,6783,Andrea,Hewitt,NZL,,00:19:25,00:00:40,01:02:57,00:00:34,00:34:52,1,01:58:26
6783,5573,Helen,Jenkins,GBR,,00:19:11,00:00:41,01:03:12,00:00:41,00:34:57,2,01:58:40
6783,6848,Melanie,Hauss,SUI,,00:19:19,00:00:40,01:03:06,00:00:37,00:35:18,3,01:58:58
6783,6120,Lisa,Norden,SWE,,00:19:15,00:00:38,01:03:10,00:00:36,00:35:24,4,01:59:00
6783,5399,Laura,Bennett,USA,,00:19:12,00:00:39,01:03:13,00:00:34,00:35:27,5,01:59:02
6783,8739,Kate,Mcilroy,NZL,,00:19:14,00:00:40,01:03:10,00:00:38,00:35:24,6,01:59:04
6783,5410,Jessica,Harrison,FRA,,00:19:15,00:00:41,01:03:06,00:00:37,00:35:31,7,01:59:09
6783,5842,Liz,Blatchford,GBR,,00:19:10,00:00:40,01:03:16,00:00:36,00:36:29,8,02:00:11
6783,7776,Flora,Duffy,BER,,00:19:17,00:00:40,01:03:08,00:00:41,00:36:40,9,02:00:24
6783,6246,Sarah,True,USA,,00:19:11,00:00:41,01:03:13,00:00:35,00:36:58,10,02:00:37
6783,5526,Emma,Moffatt,AUS,,00:19:22,00:00:41,01:05:15,00:00:38,00:34:48,11,02:00:42
6783,15747,Emma,Jackson,AUS,,00:19:38,00:00:38,01:05:03,00:00:36,00:34:50,12,02:00:43
6783,5448,Felicity,Abram,AUS,,00:19:54,00:00:39,01:04:50,00:00:37,00:34:48,13,02:00:48
6783,5376,Ainhoa,Murua Zubizarreta,ESP,,00:19:27,00:00:40,01:05:11,00:00:36,00:35:07,14,02:00:59
6783,39683,Alice,Betto,ITA,,00:19:17,00:00:41,01:03:08,00:00:39,00:37:20,15,02:01:03
6783,22170,Rachel,Klamer,NED,,00:19:22,00:00:41,01:05:15,00:00:35,00:35:21,16,02:01:13
6783,5530,Emma,Snowsill,AUS,,00:19:41,00:00:40,01:05:03,00:00:37,00:35:24,17,02:01:23
6783,21978,Aileen,Reid,IRL,,00:19:43,00:00:45,01:04:49,00:00:38,00:35:38,18,02:01:32
6783,5560,Mateja,Šimic,SLO,,00:19:52,00:00:41,01:04:47,00:00:39,00:35:40,19,02:01:38
6783,5372,Nicola,Spirig,SUI,,00:19:35,00:00:39,01:05:02,00:00:37,00:35:50,20,02:01:40
6783,9742,Tomoko,Sonoda,JPN,,00:19:19,00:00:40,01:03:05,00:00:38,00:38:04,21,02:01:45
6783,17143,Svenja,Bazlen,GER,,00:19:25,00:00:40,01:05:13,00:00:38,00:36:01,22,02:01:56
6783,12785,Juri,Ide,JPN,,00:19:27,00:00:40,01:05:14,00:00:38,00:36:06,23,02:02:04
6783,5398,Elizabeth,May,LUX,,00:19:56,00:00:40,01:04:42,00:00:38,00:36:12,24,02:02:06
6783,5567,Debbie,Tanner,NZL,,00:19:13,00:00:39,01:03:13,00:00:35,00:38:31,25,02:02:08
6783,12786,Mariko,Adachi,JPN,,00:19:22,00:00:41,01:05:18,00:00:39,00:36:18,26,02:02:17
6783,5369,Kiyomi,Niwata,JPN,,00:20:00,00:00:43,01:04:38,00:00:38,00:36:22,27,02:02:19
6783,5452,Marina,Damlaimcourt,ESP,,00:19:44,00:00:41,01:04:58,00:00:38,00:36:29,28,02:02:29
6783,7646,Claudia,Rivas,MEX,,00:19:32,00:00:41,01:05:11,00:00:36,00:36:43,29,02:02:40
6783,6963,Irina,Abysova,RUS,,00:19:16,00:00:43,01:05:24,00:00:38,00:36:44,30,02:02:44
6783,5571,Kathy,Tremblay,CAN,,00:19:57,00:00:40,01:04:43,00:00:37,00:36:53,31,02:02:48
6783,23837,Akane,Tsuchihashi,JPN,,00:19:17,00:00:43,01:05:22,00:00:40,00:36:52,32,02:02:51
6783,6069,Nicky,Samuels,NZL,,00:19:59,00:00:41,01:04:42,00:00:38,00:36:58,33,02:02:55
6783,11385,Jodie,Stimpson,GBR,,00:19:25,00:00:43,01:05:14,00:00:39,00:36:58,34,02:02:58
6783,5548,Zuriñe,Rodriguez Sanchez,ESP,,00:19:55,00:00:40,01:04:43,00:00:41,00:37:08,35,02:03:06
6783,18592,Yuka,Sato,JPN,,00:19:21,00:00:43,01:05:19,00:00:36,00:37:08,36,02:03:07
6783,14196,Mariya,Shorets,RUS,,00:19:50,00:00:41,01:04:50,00:00:38,00:37:21,37,02:03:19
6783,6706,Kathrin,Muller,GER,,00:19:28,00:00:40,01:05:12,00:00:38,00:37:34,38,02:03:29
6783,6224,Kerry,Lang,GBR,,00:19:10,00:00:48,01:05:22,00:00:39,00:37:49,39,02:03:46
6783,11141,Emmie,Charayron,FRA,,00:20:04,00:00:41,01:07:35,00:00:38,00:34:52,40,02:03:49
6783,7773,Annamaria,Mazzetti,ITA,,00:20:08,00:00:39,01:07:34,00:00:35,00:35:21,41,02:04:16
6783,5547,Kate,Roberts,RSA,,00:19:21,00:00:38,01:05:22,00:00:41,00:39:04,42,02:05:04
6783,15515,Anne,Haug,GER,,00:20:42,00:00:41,01:07:14,00:00:35,00:35:54,43,02:05:07
6783,6150,Barbara,Riveros,CHI,,00:19:57,00:00:38,01:04:43,00:00:40,00:39:19,44,02:05:16
6783,9345,Gillian,Sanders,RSA,,00:20:06,00:00:40,01:07:37,00:00:36,00:36:25,45,02:05:22
6783,5943,Maria,Czesnik,POL,,00:20:01,00:00:41,01:07:37,00:00:41,00:36:29,46,02:05:29
6783,9852,Alexandra,Razarenova,RUS,,00:19:54,00:00:38,01:07:49,00:00:37,00:36:41,47,02:05:38
6783,7771,Charlotte,Bonin,ITA,,00:19:27,00:00:43,01:05:09,00:00:37,00:40:00,48,02:05:54
6783,5312,Anja,Dittmer,GER,,00:20:15,00:00:39,01:07:26,00:00:40,00:37:04,49,02:06:02
6783,5576,Ai,Ueda,JPN,,00:20:42,00:00:41,01:07:15,00:00:36,00:36:59,50,02:06:13
6783,6962,Danne,Boterenbrood,NED,,00:20:06,00:00:41,01:07:26,00:00:40,00:37:46,51,02:06:37
6783,30295,Katrien,Verstuyft,BEL,,00:20:04,00:00:41,01:07:38,00:00:35,00:37:55,52,02:06:52
6783,18767,Sarissa,De Vries,NED,,00:19:53,00:00:41,01:07:49,00:00:38,00:37:58,53,02:06:57
6783,11879,Lisa,Perterer,AUT,,00:20:04,00:00:40,01:07:37,00:00:38,00:38:15,54,02:07:13
6783,17003,Jillian,Petersen,USA,,00:20:01,00:00:40,01:07:37,00:00:38,00:38:43,55,02:07:38
6783,10916,Yi,Wang,CHN,,00:20:07,00:00:39,01:07:38,00:00:39,00:38:54,56,02:07:57
6783,7795,Vicky,Holland,GBR,,00:19:17,00:00:40,01:08:30,00:00:37,00:39:27,57,02:08:27
6783,6357,Hideko,Kikuchi,JPN,,00:20:09,00:00:41,01:07:37,00:00:43,00:43:07,58,02:12:14
6783,5396,Carla,Moreno,BRA,,00:19:59,00:00:41,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,29097,Line,Jensen,DEN,,00:19:45,00:00:45,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,16889,Yi,Zhang,CHN,,00:19:56,00:00:43,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,5486,Anastasiya,Polyanskaya Yatsenko,RUS,,00:20:04,00:00:41,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,6336,Keiko,Tanaka,JPN,,00:20:07,00:00:43,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,10930,Sarah,Fladung,GER,,00:20:11,00:00:40,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,6122,Felicity,Sheedy-Ryan,AUS,,00:20:30,00:00:40,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,29391,Anahi,Leon,MEX,,00:19:19,00:00:43,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,9939,Helle,Frederiksen,DEN,,00:19:23,00:00:41,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,15483,Lisa,Mensink,CAN,,00:20:07,00:00:41,00:00:00,00:00:00,00:00:00,DNF,00:00:00
6783,12674,Paula,Findlay,CAN,,00:20:04,00:00:40,00:00:00,00:00:00,00:00:00,DNF,00:00:00
