program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6784,7788,Alistair,Brownlee,GBR,,00:17:11,00:00:35,00:59:59,00:00:34,00:29:49,1,01:48:07
6784,5320,Sven,Riederer,SUI,,00:17:28,00:00:37,00:59:39,00:00:36,00:29:55,2,01:48:14
6784,11378,Jonathan,Brownlee,GBR,,00:17:11,00:00:37,00:59:57,00:00:34,00:29:59,3,01:48:17
6784,7747,Dmitry,Polyanskiy,RUS,,00:17:15,00:00:35,00:59:59,00:00:35,00:29:58,4,01:48:20
6784,5662,Laurent,Vidal,FRA,,00:17:23,00:00:37,00:59:47,00:00:34,00:30:03,5,01:48:24
6784,5695,Javier,Gomez Noya,ESP,,00:17:27,00:00:35,00:59:46,00:00:34,00:30:06,6,01:48:27
6784,5718,David,Hauss,FRA,,00:17:21,00:00:39,00:59:49,00:00:38,00:30:11,7,01:48:35
6784,11143,Vincent,Luis,FRA,,00:17:15,00:00:36,00:59:56,00:00:35,00:30:23,8,01:48:44
6784,5332,Maik,Petzold,GER,,00:17:14,00:00:36,00:59:55,00:00:34,00:30:29,9,01:48:46
6784,5306,Ivan,Raña Fuentes,ESP,,00:17:26,00:00:37,00:59:42,00:00:32,00:30:34,10,01:48:50
6784,7778,Jonathan,Zipf,GER,,00:17:38,00:00:37,00:59:33,00:00:36,00:30:36,11,01:48:57
6784,7743,Alexander,Bryukhankov,RUS,,00:17:12,00:00:39,00:59:56,00:00:34,00:30:53,12,01:49:12
6784,5302,Simon,Whitfield,CAN,,00:17:19,00:00:36,00:59:53,00:00:34,00:30:55,13,01:49:18
6784,11818,Ryan,Sissons,NZL,,00:17:25,00:00:36,00:59:49,00:00:35,00:30:59,14,01:49:22
6784,6560,William,Clarke,GBR,,00:17:23,00:00:36,00:59:50,00:00:36,00:31:04,15,01:49:28
6784,5321,Frederic,Belaubre,FRA,,00:17:18,00:00:37,00:59:56,00:00:34,00:31:07,16,01:49:29
6784,11060,Alessandro,Fabian,ITA,,00:17:17,00:00:35,00:59:55,00:00:33,00:31:12,17,01:49:31
6784,5742,Yuichi,Hosoda,JPN,,00:17:24,00:00:35,00:59:51,00:00:32,00:31:29,18,01:49:48
6784,5297,Bevan,Docherty,NZL,,00:17:24,00:00:36,00:59:47,00:00:34,00:31:36,19,01:49:57
6784,5747,Steffen,Justus,GER,,00:17:40,00:00:34,00:59:33,00:00:36,00:31:38,20,01:50:00
6784,5881,Duarte Silva,Marques,POR,,00:17:15,00:00:35,01:00:02,00:00:36,00:31:35,21,01:50:02
6784,5651,Ivan,Vasiliev,RUS,,00:17:12,00:00:37,01:00:02,00:00:41,00:31:36,22,01:50:06
6784,7744,Ivan,Tutukin,RUS,,00:17:36,00:00:37,00:59:39,00:00:38,00:31:58,23,01:50:25
6784,5824,Christian,Prochnow,GER,,00:17:56,00:00:37,01:00:23,00:00:32,00:31:01,24,01:50:27
6784,10434,Matt,Chrabot,USA,,00:17:33,00:00:34,00:59:43,00:00:38,00:32:02,25,01:50:28
6784,5942,Gavin,Noble,IRL,,00:17:26,00:00:35,00:59:51,00:00:35,00:32:06,26,01:50:32
6784,10539,Joao,Silva,POR,,00:17:22,00:00:35,00:59:56,00:00:37,00:32:04,27,01:50:33
