program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6662,6150,Barbara,Riveros,CHI,1,00:00:00,00:00:00,00:00:00,00:00:00,00:16:34,1,00:58:35
6662,15747,Emma,Jackson,AUS,7,00:10:15,00:00:30,00:30:45,00:00:28,00:16:36,2,00:58:35
6662,6783,Andrea,Hewitt,NZL,2,00:10:12,00:00:29,00:30:48,00:00:28,00:16:38,3,00:58:37
6662,5573,Helen,Jenkins,GBR,3,00:09:47,00:00:31,00:31:13,00:00:25,00:16:42,4,00:58:40
6662,15744,Ashleigh,Gentle,AUS,28,00:10:38,00:00:33,00:30:20,00:00:27,00:16:42,5,00:58:42
6662,40887,Gwen,Jorgensen,USA,18,00:10:16,00:00:37,00:30:41,00:00:32,00:16:54,6,00:59:02
6662,6246,Sarah,True,USA,5,00:10:10,00:00:33,00:30:48,00:00:28,00:17:05,7,00:59:06
6662,6120,Lisa,Norden,SWE,17,00:10:09,00:00:32,00:30:50,00:00:32,00:17:02,8,00:59:07
6662,11141,Emmie,Charayron,FRA,11,00:10:18,00:00:31,00:30:40,00:00:28,00:17:09,9,00:59:09
6662,5448,Felicity,Abram,AUS,24,00:10:41,00:00:32,00:30:21,00:00:30,00:17:05,10,00:59:09
6662,7773,Annamaria,Mazzetti,ITA,36,00:10:40,00:00:33,00:30:16,00:00:26,00:17:21,11,00:59:18
6662,5312,Anja,Dittmer,GER,9,00:10:14,00:00:33,00:30:42,00:00:28,00:17:21,12,00:59:20
6662,22170,Rachel,Klamer,NED,25,00:10:15,00:00:33,00:30:44,00:00:27,00:17:20,13,00:59:21
6662,17143,Svenja,Bazlen,GER,6,00:10:11,00:00:31,00:30:47,00:00:29,00:17:22,14,00:59:23
6662,7781,Rebecca,Robisch,GER,45,00:10:30,00:00:30,00:30:31,00:00:28,00:17:25,15,00:59:25
6662,5372,Nicola,Spirig,SUI,20,00:10:35,00:00:30,00:30:23,00:00:27,00:17:33,16,00:59:30
6662,5376,Ainhoa,Murua Zubizarreta,ESP,10,00:10:14,00:00:33,00:30:43,00:00:30,00:17:37,17,00:59:39
6662,11385,Jodie,Stimpson,GBR,12,00:10:15,00:00:31,00:30:43,00:00:36,00:17:40,18,00:59:47
6662,7795,Vicky,Holland,GBR,22,00:10:17,00:00:31,00:30:42,00:00:28,00:17:59,19,01:00:00
6662,6357,Hideko,Kikuchi,JPN,42,00:10:21,00:00:31,00:30:43,00:00:28,00:17:57,20,01:00:02
