program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
6648,7788,Alistair,Brownlee,GBR,4,00:17:18,00:00:58,01:02:14,00:00:24,00:31:01,1,01:51:54
6648,7743,Alexander,Bryukhankov,RUS,3,00:17:23,00:00:57,01:02:46,00:00:28,00:31:06,2,01:52:38
6648,5320,Sven,Riederer,SUI,5,00:17:31,00:01:01,01:02:33,00:00:27,00:31:29,3,01:52:59
6648,6560,William,Clarke,GBR,8,00:17:38,00:00:59,01:02:33,00:00:24,00:31:37,4,01:53:08
6648,5711,Brad,Kahlefeldt,AUS,42,00:17:29,00:00:55,01:02:40,00:00:21,00:31:47,5,01:53:10
6648,5662,Laurent,Vidal,FRA,17,00:17:35,00:01:01,01:02:30,00:00:24,00:31:45,6,01:53:13
6648,5633,Vladimir,Turbayevskiy,RUS,49,00:17:35,00:01:03,01:02:29,00:00:27,00:31:45,7,01:53:17
6648,7747,Dmitry,Polyanskiy,RUS,1,00:17:27,00:00:53,01:02:54,00:00:24,00:31:44,8,01:53:20
6648,11143,Vincent,Luis,FRA,45,00:17:24,00:00:55,01:02:49,00:00:26,00:31:52,9,01:53:23
6648,5297,Bevan,Docherty,NZL,24,00:00:00,00:00:00,00:00:00,00:00:25,00:31:55,10,01:53:26
6648,11402,Mario,Mola,ESP,21,00:17:40,00:00:54,01:02:39,00:00:34,00:31:44,11,01:53:29
6648,5929,Reinaldo,Colucci,BRA,23,00:17:39,00:01:01,01:01:54,00:00:27,00:32:37,12,01:53:37
6648,5359,Stuart,Hayes,GBR,26,00:17:22,00:01:00,01:02:12,00:00:25,00:32:49,13,01:53:45
6648,11060,Alessandro,Fabian,ITA,16,00:17:22,00:00:58,01:02:45,00:00:25,00:32:21,14,01:53:49
6648,5718,David,Hauss,FRA,2,00:17:32,00:00:57,01:02:41,00:00:28,00:32:13,15,01:53:50
6648,5742,Yuichi,Hosoda,JPN,46,00:17:41,00:01:08,01:02:25,00:00:25,00:32:14,16,01:53:51
6648,12431,David,Mcnamee,GBR,63,00:17:44,00:00:58,01:02:31,00:00:26,00:32:16,17,01:53:52
6648,5683,Clark,Ellice,NZL,29,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,18,01:53:54
6648,5756,Valentin,Mechsheryakov,KAZ,14,00:17:34,00:00:58,01:02:41,00:00:33,00:32:10,19,01:53:55
6648,5851,Tony,Moulai,FRA,22,00:17:45,00:00:58,01:02:27,00:00:25,00:32:22,20,01:53:56
6648,5332,Maik,Petzold,GER,7,00:17:24,00:00:56,01:02:49,00:00:24,00:32:24,21,01:53:56
6648,10213,Jamie,Huggett,AUS,52,00:17:37,00:00:57,01:02:35,00:00:26,00:32:24,22,01:53:57
6648,5931,Andreas,Giglmayr,AUT,33,00:17:37,00:01:09,01:02:19,00:00:27,00:32:30,23,01:54:00
6648,5864,Manuel,Huerta,PUR,40,00:17:48,00:01:04,01:02:22,00:00:29,00:32:23,24,01:54:04
6648,5298,Greg,Bennett,USA,36,00:17:42,00:01:01,01:02:26,00:00:34,00:32:30,25,01:54:10
6648,5657,Ruedi,Wild,SUI,30,00:17:45,00:01:02,01:02:22,00:00:34,00:32:32,26,01:54:13
